comparison,comparison_description,factor_type,factor,bucket_or_value,positive_group,negative_group,positive_count,negative_count,positive_mean,negative_mean,difference,effect_size,positive_rate,negative_rate,lift,evidence_score,priority,direction,interpretation
success_vs_ordinary,Positive samples vs ordinary baseline.,segment,support_type,C,success,ordinary,0,102,,,-0.31384615384615383,,0.0,0.31384615384615383,0.0,0.31384615384615383,1,negative_group_overrepresented,`support_type=C` is overrepresented in the negative group. lift=0.00.
success_vs_ordinary,Positive samples vs ordinary baseline.,segment,support_type,B,success,ordinary,0,43,,,-0.13230769230769232,,0.0,0.13230769230769232,0.0,0.13230769230769232,1,negative_group_overrepresented,`support_type=B` is overrepresented in the negative group. lift=0.00.
success_vs_ordinary,Positive samples vs ordinary baseline.,segment,signal_type,D2_WATCH_OR_SMALL,success,ordinary,0,33,,,-0.10153846153846154,,0.0,0.10153846153846154,0.0,0.10153846153846154,1,negative_group_overrepresented,`signal_type=D2_WATCH_OR_SMALL` is overrepresented in the negative group. lift=0.00.
success_vs_ordinary,Positive samples vs ordinary baseline.,segment,position_level,small,success,ordinary,0,33,,,-0.10153846153846154,,0.0,0.10153846153846154,0.0,0.10153846153846154,1,negative_group_overrepresented,`position_level=small` is overrepresented in the negative group. lift=0.00.
watch_hit_vs_watch_miss,WATCH_ONLY candidates that reached D3 target-min vs WATCH_ONLY ordinary candidates.,numeric,graph_quality_score,,watch_hit,watch_miss,123,254,73.3821138211382,55.90551181102362,17.476602010114583,0.7078348917081325,,,,0.7078348917081325,1,positive_group_higher,`graph_quality_score` is higher in the positive group; treat as a candidate hypothesis.
watch_hit_vs_watch_miss,WATCH_ONLY candidates that reached D3 target-min vs WATCH_ONLY ordinary candidates.,numeric,days_since_d0,,watch_hit,watch_miss,123,254,0.6016260162601627,1.2244094488188977,-0.622783432558735,-0.58736999383307,,,,0.58736999383307,1,negative_group_higher,`days_since_d0` is higher in the negative group; treat as a candidate hypothesis.
watch_hit_vs_watch_miss,WATCH_ONLY candidates that reached D3 target-min vs WATCH_ONLY ordinary candidates.,numeric,total_score,,watch_hit,watch_miss,123,254,69.78333333333333,60.73622047244095,9.047112860892383,0.5596646642769287,,,,0.5596646642769287,1,positive_group_higher,`total_score` is higher in the positive group; treat as a candidate hypothesis.
watch_hit_vs_watch_miss,WATCH_ONLY candidates that reached D3 target-min vs WATCH_ONLY ordinary candidates.,numeric,consecutive_boards,,watch_hit,watch_miss,123,254,1.3414634146341464,1.141732283464567,0.19973113116957952,0.4046209127397875,,,,0.4046209127397875,1,positive_group_higher,`consecutive_boards` is higher in the positive group; treat as a candidate hypothesis.
watch_hit_vs_watch_miss,WATCH_ONLY candidates that reached D3 target-min vs WATCH_ONLY ordinary candidates.,numeric,support_score,,watch_hit,watch_miss,123,254,70.79674796747967,59.44488188976378,11.351866077715897,0.3538205692154682,,,,0.3538205692154682,1,positive_group_higher,`support_score` is higher in the positive group; treat as a candidate hypothesis.
watch_hit_vs_watch_miss,WATCH_ONLY candidates that reached D3 target-min vs WATCH_ONLY ordinary candidates.,numeric,low_absorb_width_pct,,watch_hit,watch_miss,123,254,3.2615145128205376,3.6439053065515847,-0.3823907937310471,-0.28214485517265364,,,,0.28214485517265364,1,negative_group_higher,`low_absorb_width_pct` is higher in the negative group; treat as a candidate hypothesis.
watch_hit_vs_watch_miss,WATCH_ONLY candidates that reached D3 target-min vs WATCH_ONLY ordinary candidates.,numeric,invalid_distance_pct,,watch_hit,watch_miss,123,254,3.2615145128205376,3.6439053065515847,-0.3823907937310471,-0.28214485517265364,,,,0.28214485517265364,1,negative_group_higher,`invalid_distance_pct` is higher in the negative group; treat as a candidate hypothesis.
watch_hit_vs_watch_miss,WATCH_ONLY candidates that reached D3 target-min vs WATCH_ONLY ordinary candidates.,segment,support_type,C,watch_hit,watch_miss,28,102,,,-0.1739325267268421,,0.22764227642276422,0.4015748031496063,0.566873904033158,0.1739325267268421,1,negative_group_overrepresented,`support_type=C` is overrepresented in the negative group. lift=0.57.
watch_hit_vs_watch_miss,WATCH_ONLY candidates that reached D3 target-min vs WATCH_ONLY ordinary candidates.,segment,support_type,A,watch_hit,watch_miss,85,133,,,0.16743486332501123,,0.6910569105691057,0.5236220472440944,1.3197628216883672,0.16743486332501123,1,positive_group_overrepresented,`support_type=A` is overrepresented in the positive group. lift=1.32.
missed_selected_vs_success,Selected opportunities missed by D2 entry vs realized winners.,numeric,low_absorb_width_pct,,missed_selected,success,15,11,3.88458267299665,3.6996669043856487,0.18491576861100123,0.17983727207566277,,,,0.17983727207566277,5,weak_or_no_separation,`low_absorb_width_pct` has weak separation in this comparison.
missed_selected_vs_success,Selected opportunities missed by D2 entry vs realized winners.,numeric,invalid_distance_pct,,missed_selected,success,15,11,3.88458267299665,3.6996669043856487,0.18491576861100123,0.17983727207566277,,,,0.17983727207566277,5,weak_or_no_separation,`invalid_distance_pct` has weak separation in this comparison.
missed_selected_vs_success,Selected opportunities missed by D2 entry vs realized winners.,numeric,theme_score,,missed_selected,success,15,11,68.0,67.27272727272727,0.7272727272727337,0.17261559388041756,,,,0.17261559388041756,5,weak_or_no_separation,`theme_score` has weak separation in this comparison.
