signal_date,feature,semantic_group,FP_count,MW_count,FP_mean,MW_mean,MW_minus_FP
2026-06-10,d1_open_to_close_return_raw,REPAIR_COMPLETION,1,2,-0.0910224438903,-0.00901001026058,0.0820124336297
2026-06-11,d1_open_to_close_return_raw,REPAIR_COMPLETION,2,1,0.0560085297852,-0.0161290322581,-0.0721375620433
2026-06-12,d1_open_to_close_return_raw,REPAIR_COMPLETION,2,3,-0.0464883013546,-0.0354877002726,0.0110006010819
2026-06-16,d1_open_to_close_return_raw,REPAIR_COMPLETION,2,2,0.0354699126496,-0.0612753036437,-0.0967452162934
2026-06-17,d1_open_to_close_return_raw,REPAIR_COMPLETION,1,5,0.0972966080082,0.0254270478505,-0.0718695601577
2026-06-18,d1_open_to_close_return_raw,REPAIR_COMPLETION,3,1,0.0359635595156,-0.00253807106599,-0.0385016305816
2026-06-22,d1_open_to_close_return_raw,REPAIR_COMPLETION,2,3,0.0269090958976,-0.0715808992322,-0.0984899951299
2026-06-23,d1_open_to_close_return_raw,REPAIR_COMPLETION,2,4,-0.0352382352941,-0.0460950534966,-0.0108568182025
2026-06-24,d1_open_to_close_return_raw,REPAIR_COMPLETION,3,2,0.0166612339048,-0.0223328530569,-0.0389940869617
2026-06-25,d1_open_to_close_return_raw,REPAIR_COMPLETION,1,2,0.0113333333333,-0.0682365618661,-0.0795698951995
2026-06-26,d1_open_to_close_return_raw,REPAIR_COMPLETION,2,1,0.0330860137861,-0.0172250101723,-0.0503110239584
2026-06-29,d1_open_to_close_return_raw,REPAIR_COMPLETION,2,2,-0.118759657782,-0.029162295082,0.0895973626999
2026-06-30,d1_open_to_close_return_raw,REPAIR_COMPLETION,3,1,-0.00315967639298,0.0744360902256,0.0775957666185
2026-06-03,late_day_sell_amount_ratio,DAMAGE_DISAGREEMENT,3,1,0.0938311336382,0.0970011959229,0.00317006228469
2026-06-05,late_day_sell_amount_ratio,DAMAGE_DISAGREEMENT,2,1,0.113747494172,0.0827276647719,-0.0310198294006
2026-06-10,late_day_sell_amount_ratio,DAMAGE_DISAGREEMENT,1,2,0.0515557644385,0.0794310738994,0.027875309461
2026-06-11,late_day_sell_amount_ratio,DAMAGE_DISAGREEMENT,2,1,0.05267277556,0.0778295933152,0.0251568177552
2026-06-12,late_day_sell_amount_ratio,DAMAGE_DISAGREEMENT,2,3,0.136406176913,0.0287880786193,-0.107618098293
2026-06-16,late_day_sell_amount_ratio,DAMAGE_DISAGREEMENT,2,2,0.0550310534538,0.0430293277812,-0.0120017256726
2026-06-17,late_day_sell_amount_ratio,DAMAGE_DISAGREEMENT,1,5,0.0297633940598,0.0719576150089,0.0421942209491
2026-06-18,late_day_sell_amount_ratio,DAMAGE_DISAGREEMENT,3,1,0.0391959833695,0.0658556187057,0.0266596353362
2026-06-22,late_day_sell_amount_ratio,DAMAGE_DISAGREEMENT,2,3,0.0546428098419,0.0540913577589,-0.000551452082969
2026-06-23,late_day_sell_amount_ratio,DAMAGE_DISAGREEMENT,2,4,0.0740832382407,0.10390101691,0.0298177786692
2026-06-24,late_day_sell_amount_ratio,DAMAGE_DISAGREEMENT,3,2,0.0783549135943,0.110998473864,0.0326435602698
2026-06-25,late_day_sell_amount_ratio,DAMAGE_DISAGREEMENT,1,2,0.0414755515716,0.072811034721,0.0313354831494
2026-06-26,late_day_sell_amount_ratio,DAMAGE_DISAGREEMENT,2,1,0.0583835191392,0.0696113694763,0.011227850337
2026-06-29,late_day_sell_amount_ratio,DAMAGE_DISAGREEMENT,2,2,0.0556688371363,0.0756453091988,0.0199764720625
2026-06-30,late_day_sell_amount_ratio,DAMAGE_DISAGREEMENT,3,1,0.0936363587933,0.096958526504,0.00332216771065
2026-06-03,late_day_sell_volume_ratio,DAMAGE_DISAGREEMENT,3,1,0.0943310296152,0.101044871913,0.00671384229764
2026-06-05,late_day_sell_volume_ratio,DAMAGE_DISAGREEMENT,2,1,0.115768531733,0.0899738326469,-0.0257946990856
2026-06-10,late_day_sell_volume_ratio,DAMAGE_DISAGREEMENT,1,2,0.053597255197,0.0801552709342,0.0265580157371
2026-06-11,late_day_sell_volume_ratio,DAMAGE_DISAGREEMENT,2,1,0.0522442307722,0.0767003858658,0.0244561550936
2026-06-12,late_day_sell_volume_ratio,DAMAGE_DISAGREEMENT,2,3,0.140519482546,0.0284045150136,-0.112114967532
2026-06-16,late_day_sell_volume_ratio,DAMAGE_DISAGREEMENT,2,2,0.0545691622815,0.0436553388504,-0.0109138234311
2026-06-17,late_day_sell_volume_ratio,DAMAGE_DISAGREEMENT,1,5,0.0293394464883,0.0716634552137,0.0423240087254
2026-06-18,late_day_sell_volume_ratio,DAMAGE_DISAGREEMENT,3,1,0.038699124863,0.0654453463991,0.0267462215361
2026-06-22,late_day_sell_volume_ratio,DAMAGE_DISAGREEMENT,2,3,0.0533707795845,0.0546359243428,0.00126514475833
2026-06-23,late_day_sell_volume_ratio,DAMAGE_DISAGREEMENT,2,4,0.075703587508,0.106083884327,0.0303802968194
2026-06-24,late_day_sell_volume_ratio,DAMAGE_DISAGREEMENT,3,2,0.0788392698914,0.111454873149,0.0326156032575
2026-06-25,late_day_sell_volume_ratio,DAMAGE_DISAGREEMENT,1,2,0.0414922578699,0.0734194482959,0.031927190426
2026-06-26,late_day_sell_volume_ratio,DAMAGE_DISAGREEMENT,2,1,0.058727548543,0.0690944847084,0.0103669361655
2026-06-29,late_day_sell_volume_ratio,DAMAGE_DISAGREEMENT,2,2,0.057774179503,0.0777425060502,0.0199683265472
2026-06-30,late_day_sell_volume_ratio,DAMAGE_DISAGREEMENT,3,1,0.0927669040237,0.0930338219264,0.000266917902705
