event_id,signal_date,code,board,model_score,model_rank,target7,raw_repair_return,capped_opportunity_return_7,residual_group,d1_high_to_close_drawdown_raw,d1_close_location,d1_intraday_range,d1_low_to_close_recovery,d1_open_to_close_return_raw,d1_last_hour_return,late_day_sell_volume_ratio,late_day_sell_amount_ratio,score_gap_to_rank3,candidate_count
002421_2026-06-09,2026-06-09,002421,2,0.578510462191,3,0,-0.142105263158,-0.142105263158,TOP3_FALSE_POSITIVE,0.0731707317073,0.307692307692,0.113438045375,0.0363636363636,-0.0484140233723,0.0233393177738,0.0561222509406,0.0550960958525,,9
003009_2026-06-09,2026-06-09,003009,2,0.572928253248,4,0,-0.0131004366812,-0.0131004366812,RANK4_10_NON_WINNER,0.0462903225806,0.359375,0.0735149327207,0.0279902642559,-0.0462903225806,0.0173778389539,0.0834501879415,0.0836936929728,,9
000068_2026-06-09,2026-06-09,000068,2,0.56332656943,5,0,-0.0503978779841,-0.0503978779841,RANK4_10_NON_WINNER,0.0997624703088,0.207547169811,0.135204081633,0.0298913043478,-0.0501253132832,-0.0104438642298,0.138033350942,0.13383945648,,9
002361_2026-06-09,2026-06-09,002361,2,0.556643408355,6,0,0.047323943662,0.047323943662,RANK4_10_NON_WINNER,0.0623349181194,0.25786163522,0.0859924283396,0.0236447520185,-0.0363735070575,0.0195290063182,0.081361219213,0.0798928498749,,9
002613_2026-06-09,2026-06-09,002613,2,0.545545667452,7,0,-0.013698630137,-0.013698630137,RANK4_10_NON_WINNER,0.0797872340426,0.117647058824,0.0934065934066,0.0116959064327,-0.076512455516,0.0019305019305,0.137603613057,0.134550674719,,9
000517_2026-06-09,2026-06-09,000517,2,0.528890758783,8,0,0.0147783251232,0.0147783251232,RANK4_10_NON_WINNER,0.156626506024,0,0.167381974249,0,-0.156626506024,0,0,0,,9
000759_2026-06-09,2026-06-09,000759,2,0.523283966064,9,0,0.00649350649351,0.00649350649351,RANK4_10_NON_WINNER,0.032154340836,0.393939393939,0.0526315789474,0.0220713073005,-0.0258899676375,0.00837520938023,0.0916361843058,0.0914243804249,,9
603929_2026-06-10,2026-06-10,603929,2,0.582849870417,1,1,0.0850540374308,0.07,TOP3_TRUE_POSITIVE,0.0191262864968,0.797568957457,0.10393080997,0.0832195121951,0.0832195121951,0.00357029873006,0.0807183852572,0.0807549256621,,7
603616_2026-06-10,2026-06-10,603616,2,0.56994068717,2,0,0.0160583941606,0.0160583941606,TOP3_FALSE_POSITIVE,0.0910224438903,0.0135135135135,0.101508916324,0.00137362637363,-0.0910224438903,-0.0520156046814,0.053597255197,0.0515557644385,,7
603186_2026-06-10,2026-06-10,603186,2,0.568609474064,3,1,0.12896813445,0.07,TOP3_TRUE_POSITIVE,0.00771614314357,0.894954507858,0.0807993049522,0.0709508196721,0.0709508196721,-0.00103981894917,0.0557916812026,0.0562619152147,,7
001696_2026-06-10,2026-06-10,001696,2,0.557689283641,4,1,0.202105263158,0.07,RANK4_10_MISSED_WINNER,0.0134645261523,0.8,0.0740740740741,0.0577456968351,0.0577456968351,0.0068710359408,0.128355041495,0.127625014203,0.010920190423,7
002747_2026-06-10,2026-06-10,002747,2,0.530009055327,5,0,0.0194285714286,0.0194285714286,RANK4_10_NON_WINNER,0.0984638630068,0.111363636364,0.1172395417,0.0138770886434,-0.0973272818961,-0.00334075723831,0.0624749868972,0.0594843711314,,7
002362_2026-06-10,2026-06-10,002362,2,0.528205477225,6,0,-0.0082219938335,-0.0082219938335,RANK4_10_NON_WINNER,0.0630630630631,0.222222222222,0.0868902439024,0.0196078431373,0.0133333333333,-0.00753390256153,0.0614231152376,0.0604723791741,,7
