trade_date,code,name,market,latest_price,pct_chg,amount,turnover_rate,float_market_cap,total_market_cap,industry,limit_up_time,final_limit_up_time,open_board_count,seal_amount,consecutive_limit_up_count,source
2026-06-29,601133,柏诚股份,SH,42.11,10.005224227905273,901394160,4.142129898071289,22081925789.84,22158390475.36,专业工程,093245,101621,3,109393989,2,akshare_zt_pool_em
2026-06-29,601611,中国核建,SH,11.1,10.009910583496094,853128496,2.608973741531372,33453559753.2,33453559708.8,基础建设,105743,105743,0,69914682,1,akshare_zt_pool_em
2026-06-29,601636,旗滨集团,SH,9.82,9.966405868530273,812013952,2.807929039001465,29053979608.96,29053979608.96,玻璃玻纤,093028,093028,0,249629555,1,akshare_zt_pool_em
2026-06-29,603032,德新科技,SH,26.87,9.987720489501953,702740224,11.524446487426758,6228811010.8,6266820238.0,电池,094756,133232,1,57172911,1,akshare_zt_pool_em
2026-06-29,603033,三维股份,SH,9.13,10.0,122200028,1.3632838726043701,9244408194.34,9414523229.76,橡胶,130048,130048,0,29227047,1,akshare_zt_pool_em
2026-06-29,603061,金海通,SH,456.56,10.001204490661621,1738056096,4.471296787261963,39720720000.0,39720720000.0,半导体,094242,111733,1,139296456,1,akshare_zt_pool_em
2026-06-29,603155,新亚强,SH,27.87,9.984214782714844,893482704,10.51805305480957,8800978116.0,8800978116.0,化学制品,144449,144449,0,33363177,2,akshare_zt_pool_em
2026-06-29,603163,圣晖集成,SH,149.14,10.00147533416748,1234265008,8.505419731140137,14913999999.999998,14913999999.999998,专业工程,100133,132942,2,82101570,2,akshare_zt_pool_em
2026-06-29,603222,济民健康,SH,7.68,10.028653144836426,68331325,1.7364698648452759,4032695923.2,4032695869.44,医疗器械,093622,093622,0,32302848,1,akshare_zt_pool_em
2026-06-29,603283,赛腾股份,SH,78.74,10.00279426574707,2697201552,10.15090274810791,27757916373.82,27757916137.6,自动化设,134452,134452,0,126949903,1,akshare_zt_pool_em
2026-06-29,603318,水发燃气,SH,9.69,9.988649368286133,800240896,18.239351272583008,4448397253.559999,5374783463.04,燃气Ⅱ,093257,142551,3,7439013,1,akshare_zt_pool_em
2026-06-29,603336,宏辉果蔬,SH,8.2,10.067113876342773,268746896,5.687288761138916,4991495349.0,4991495340.799999,种植业,132319,133237,2,22243615,1,akshare_zt_pool_em
2026-06-29,603435,嘉德利,SH,65.26,9.994943618774414,236800380,10.343194961547852,2328968990.92,29965273399.36,电子化学,093951,094156,2,71780909,1,akshare_zt_pool_em
2026-06-29,603459,红板科技,SH,102.01,9.995687484741211,2603458272,34.7120361328125,8064080034.580001,76890403103.84,元件,133356,133356,0,42069536,1,akshare_zt_pool_em
2026-06-29,603477,巨星农牧,SH,14.55,9.977324485778809,266410185,3.738844633102417,7421525062.05,7609348291.200001,养殖业,103116,103116,0,45924907,1,akshare_zt_pool_em
2026-06-29,603516,淳中科技,SH,135.11,9.997557640075684,522927808,1.9356886148452759,27463577175.690002,27463577175.690002,计算机设,093718,093718,0,91127506,1,akshare_zt_pool_em
2026-06-29,603606,东方电缆,SH,41.82,9.994739532470703,1171167184,3.499011754989624,34493490968.16,34493491302.72,电网设备,111006,111218,1,20330374,1,akshare_zt_pool_em
2026-06-29,603650,彤程新材,SH,94.41,9.996504783630371,5657247232,9.94896411895752,58012432561.079994,58164393764.159996,橡胶,093125,145601,4,40785120,2,akshare_zt_pool_em
2026-06-29,603726,朗迪集团,SH,32.35,9.996600151062012,420964976,7.134496688842773,5975245570.0,6005816320.0,家电零部,093605,103626,5,54553196,1,akshare_zt_pool_em
2026-06-29,603880,南卫股份,SH,7.74,9.943181991577148,167393736,7.713098049163818,2237185080.0,2237185080.0,医疗器械,130033,135824,1,1012779,1,akshare_zt_pool_em
2026-06-29,603928,兴业股份,SH,13.45,9.975469589233398,221991799,5.004432201385498,4582468800.0,4582468800.0,塑料,093740,093740,0,60156739,2,akshare_zt_pool_em
2026-06-29,603950,长源东谷,SH,76.75,10.004300117492676,1047530944,4.308521270751953,24856930400.0,24877038900.0,汽车零部,094001,111437,2,70812927,1,akshare_zt_pool_em
2026-06-29,603956,威派格,SH,6.41,9.948541641235352,442320384,12.414011001586914,3653099293.26,3653099306.08,专用设备,093939,095239,6,17506863,3,akshare_zt_pool_em
2026-06-29,603983,丸美生物,SH,25.58,10.021505355834961,174402377,1.7649885416030884,10257580000.0,10257580000.0,化妆品,105650,105650,0,54321688,1,akshare_zt_pool_em
2026-06-29,605060,联德股份,SH,53.6,9.993844032287598,667129040,5.256206035614014,12807205440.0,12895731200.0,通用设备,094007,143301,6,12563840,1,akshare_zt_pool_em
2026-06-29,605098,行动教育,SH,59.69,10.00737190246582,89789161,1.3090696334838867,7118098159.0,7118098159.0,教育,130136,130136,0,45459904,1,akshare_zt_pool_em
2026-06-29,605178,时空科技,SH,97.35,10.0,484978256,5.107717990875244,9645438000.0,9645438000.0,专业工程,093809,095651,8,28572225,1,akshare_zt_pool_em
2026-06-29,605300,佳禾食品,SH,10.35,9.989372253417969,78358100,1.6671360731124878,4703025478.95,4703025427.2,饮料乳品,093009,093009,0,31247146,1,akshare_zt_pool_em
2026-06-29,605377,华旺科技,SH,9.52,10.0578031539917,143431332,2.7871878147125244,5299500951.36,5299500989.44,造纸,105021,105021,0,15834082,1,akshare_zt_pool_em
2026-06-29,605499,东鹏饮料,SH,121.99,10.0,1377201792,1.7454237937927246,82467301631.0,89564974070.87999,饮料乳品,131015,131148,1,162705382,1,akshare_zt_pool_em
