code,status,daily_source,minute_source,from_cache,daily_rows,daily_history_rows,daily_required_days,minute_rows,minute_trade_days,minute_required_days,daily_start,daily_end,minute_start,minute_end,daily_ma_coverage_ok,missing_latest_daily_ma,missing_daily_amount_count,missing_daily_volume_count,missing_minute_amount_count,missing_minute_volume_count,zero_minute_volume_count,daily_minute_close_matched_days,daily_minute_close_max_abs_diff,daily_minute_close_check_ok,warnings,error,name,trade_date,d0_date
603020,failed,cache,sina_5m,False,40,180,180,1394,30,40,2026-04-10 00:00:00,2026-06-09 00:00:00,2026-04-24 14:55:00,2026-06-09 15:00:00,True,,10,0,0,0,0,30,0.0,True,minute trade days 30 < required 40,603020 data quality check failed: minute trade days 30 < required 40,爱普股份,2026-06-09,2026-06-09
603048,failed,cache,sina_5m,False,40,180,180,1394,30,40,2026-04-10 00:00:00,2026-06-09 00:00:00,2026-04-24 14:55:00,2026-06-09 15:00:00,True,,10,0,0,0,0,30,0.0,True,minute trade days 30 < required 40,603048 data quality check failed: minute trade days 30 < required 40,浙江黎明,2026-06-09,2026-06-05
603070,failed,cache,sina_5m,False,40,180,180,1394,30,40,2026-04-10 00:00:00,2026-06-09 00:00:00,2026-04-24 14:55:00,2026-06-09 15:00:00,True,,10,0,0,0,0,30,0.0,True,minute trade days 30 < required 40,603070 data quality check failed: minute trade days 30 < required 40,万控智造,2026-06-09,2026-06-05
603078,failed,cache,sina_5m,False,40,180,180,1394,30,40,2026-04-10 00:00:00,2026-06-09 00:00:00,2026-04-24 14:55:00,2026-06-09 15:00:00,True,,10,0,0,0,0,30,0.0,True,minute trade days 30 < required 40,603078 data quality check failed: minute trade days 30 < required 40,江化微,2026-06-09,2026-06-05
603124,failed,cache,sina_5m,False,40,180,180,1394,30,40,2026-04-10 00:00:00,2026-06-09 00:00:00,2026-04-24 14:55:00,2026-06-09 15:00:00,True,,10,0,0,0,0,30,0.0,True,minute trade days 30 < required 40,603124 data quality check failed: minute trade days 30 < required 40,江南新材,2026-06-09,2026-06-09
603135,failed,cache,sina_5m,False,40,180,180,1394,30,40,2026-04-10 00:00:00,2026-06-09 00:00:00,2026-04-24 14:55:00,2026-06-09 15:00:00,True,,10,0,0,0,0,30,0.0,True,minute trade days 30 < required 40,603135 data quality check failed: minute trade days 30 < required 40,中重科技,2026-06-09,2026-06-08
603159,failed,cache,sina_5m,False,40,180,180,1651,35,40,2026-04-10 00:00:00,2026-06-09 00:00:00,2026-04-17 13:30:00,2026-06-09 15:00:00,True,,5,0,0,0,0,35,0.0,True,minute trade days 35 < required 40,603159 data quality check failed: minute trade days 35 < required 40,上海亚虹,2026-06-09,2026-06-05
603166,failed,cache,sina_5m,False,40,180,180,1394,30,40,2026-04-10 00:00:00,2026-06-09 00:00:00,2026-04-24 14:55:00,2026-06-09 15:00:00,True,,10,0,0,0,0,30,0.0,True,minute trade days 30 < required 40,603166 data quality check failed: minute trade days 30 < required 40,福达股份,2026-06-09,2026-06-05
603270,failed,cache,sina_5m,False,40,180,180,1394,30,40,2026-04-10 00:00:00,2026-06-09 00:00:00,2026-04-24 14:55:00,2026-06-09 15:00:00,True,,10,0,0,0,0,30,0.0,True,minute trade days 30 < required 40,603270 data quality check failed: minute trade days 30 < required 40,金帝股份,2026-06-09,2026-06-05
603360,failed,cache,sina_5m,False,40,180,180,1394,30,40,2026-04-10 00:00:00,2026-06-09 00:00:00,2026-04-24 14:55:00,2026-06-09 15:00:00,True,,10,0,0,0,0,30,0.0,True,minute trade days 30 < required 40,603360 data quality check failed: minute trade days 30 < required 40,百傲化学,2026-06-09,2026-06-05
603500,failed,cache,sina_5m,False,40,180,180,1394,30,40,2026-04-10 00:00:00,2026-06-09 00:00:00,2026-04-24 14:55:00,2026-06-09 15:00:00,True,,10,0,0,0,0,30,0.0,True,minute trade days 30 < required 40,603500 data quality check failed: minute trade days 30 < required 40,祥和实业,2026-06-09,2026-06-08
603578,failed,cache,sina_5m,False,40,180,180,1394,30,40,2026-04-10 00:00:00,2026-06-09 00:00:00,2026-04-24 14:55:00,2026-06-09 15:00:00,True,,10,0,0,0,0,30,0.0,True,minute trade days 30 < required 40,603578 data quality check failed: minute trade days 30 < required 40,三星新材,2026-06-09,2026-06-05
603725,failed,cache,sina_5m,False,40,180,180,1394,30,40,2026-04-10 00:00:00,2026-06-09 00:00:00,2026-04-24 14:55:00,2026-06-09 15:00:00,True,,10,0,0,0,0,30,0.0,True,minute trade days 30 < required 40,603725 data quality check failed: minute trade days 30 < required 40,天安新材,2026-06-09,2026-06-05
603790,failed,cache,sina_5m,False,40,180,180,1394,30,40,2026-04-10 00:00:00,2026-06-09 00:00:00,2026-04-24 14:55:00,2026-06-09 15:00:00,True,,10,0,0,0,0,30,0.0,True,minute trade days 30 < required 40,603790 data quality check failed: minute trade days 30 < required 40,XD雅运股,2026-06-09,2026-06-05
603823,failed,cache,sina_5m,False,40,180,180,1394,30,40,2026-04-10 00:00:00,2026-06-09 00:00:00,2026-04-24 14:55:00,2026-06-09 15:00:00,True,,10,0,0,0,0,30,0.0,True,minute trade days 30 < required 40,603823 data quality check failed: minute trade days 30 < required 40,百合花,2026-06-09,2026-06-08
603859,failed,cache,sina_5m,False,40,180,180,1394,30,40,2026-04-10 00:00:00,2026-06-09 00:00:00,2026-04-24 14:55:00,2026-06-09 15:00:00,True,,10,0,0,0,0,30,0.0,True,minute trade days 30 < required 40,603859 data quality check failed: minute trade days 30 < required 40,能科科技,2026-06-09,2026-06-08
