population,signal_date,board_group,candidate_count,candidate_target7_rate,candidate_loss_rate,candidate_mean_capped,top10_count,top10_target7_rate,top10_loss_rate,top10_mean_capped,selection_rate_top10,top5_count,top5_target7_rate,top5_loss_rate,top5_mean_capped,selection_rate_top5,top3_count,top3_target7_rate,top3_loss_rate,top3_mean_capped,selection_rate_top3
MATURED_PRE_JULY,2026-06-25,BOARD3,2,1,0,0.07,0,,,,0,0,,,,0,0,,,,0
MATURED_PRE_JULY,2026-06-26,BOARD2,12,0.25,0.416666666667,0.0160137516633,0,,,,0,0,,,,0,0,,,,0
STRICT_FUNNEL,2026-06-03,BOARD2,6,0.166666666667,0.166666666667,-0.00346415717403,6,0.166666666667,0.166666666667,-0.00346415717403,1,4,0,0.25,-0.040150034529,0.666666666667,2,0,0.5,-0.0952660554526,0.333333333333
STRICT_FUNNEL,2026-06-03,BOARD3,1,0,1,-0.0125313283208,1,0,1,-0.0125313283208,1,1,0,1,-0.0125313283208,1,1,0,1,-0.0125313283208,1
STRICT_FUNNEL,2026-06-04,BOARD2,5,0,0.4,-0.00201935468114,5,0,0.4,-0.00201935468114,1,4,0,0.25,0.00885792046972,0.8,2,0,0,0.03638671875,0.4
STRICT_FUNNEL,2026-06-04,BOARD3,1,0,1,-0.00709219858156,1,0,1,-0.00709219858156,1,1,0,1,-0.00709219858156,1,1,0,1,-0.00709219858156,1
STRICT_FUNNEL,2026-06-05,BOARD2,5,0.2,0.4,0.0167431618132,5,0.2,0.4,0.0167431618132,1,4,0.25,0.25,0.0237698613574,0.8,2,0,0.5,-0.0209851814997,0.4
STRICT_FUNNEL,2026-06-05,BOARD3,1,1,0,0.07,1,1,0,0.07,1,1,1,0,0.07,1,1,1,0,0.07,1
STRICT_FUNNEL,2026-06-08,BOARD2,3,0,0.666666666667,0.0133228381898,3,0,0.666666666667,0.0133228381898,1,3,0,0.666666666667,0.0133228381898,1,3,0,0.666666666667,0.0133228381898,1
STRICT_FUNNEL,2026-06-09,BOARD2,8,0,0.5,-0.0108331425482,8,0,0.5,-0.0108331425482,1,4,0,0.75,-0.0353905713819,0.5,2,0,0.5,-0.0390319854311,0.25
STRICT_FUNNEL,2026-06-09,BOARD3,1,1,0,0.07,1,1,0,0.07,1,1,1,0,0.07,1,1,1,0,0.07,1
STRICT_FUNNEL,2026-06-10,BOARD2,6,0.5,0.166666666667,0.0395441619593,6,0.5,0.166666666667,0.0395441619593,1,5,0.6,0,0.0490973931178,0.833333333333,3,0.666666666667,0,0.0520194647202,0.5
STRICT_FUNNEL,2026-06-10,BOARD3,1,1,0,0.07,1,1,0,0.07,1,0,,,,0,0,,,,0
