test_date,feature,board3_only_beta,unified_beta,beta_delta,board3_only_sign,unified_sign,same_sign
2026-06-22,rank_d1_close_ma10_pct,-0.0623318711351,0.0354395541908,-0.0977714253259,-1,1,False
2026-06-22,rank_d1_close_vwap_pct,0.160105456632,0.0237016635586,0.136403793074,1,1,True
2026-06-22,rank_d1_low_ma10_pct,-0.0963718228946,0.0442866745149,-0.140658497409,-1,1,False
2026-06-22,rank_days_since_d0,0.0193932354076,0.0181730983279,0.0012201370797,1,1,True
2026-06-22,rank_log_candidate_base_price,0.0835633094827,0.0666233892488,0.016939920234,1,1,True
2026-06-22,rank_theme_score,0.0427617122297,0.0450993848277,-0.00233767259795,1,1,True
2026-06-22,rank_total_score,0.0891246805705,0.00294461699202,0.0861800635784,1,1,True
2026-06-22,rank_trend_hold_score,0.0679012062317,0.014945798332,0.0529554078997,1,1,True
2026-06-22,spread_close_low,0.0340399517595,-0.00884712032405,0.0428870720836,1,-1,False
2026-06-23,INTERCEPT,0.397684746031,-0.0345803175113,0.432265063543,1,-1,False
2026-06-23,days_since_d0_eq2,0,0.00626709453659,-0.00626709453659,0,1,False
2026-06-23,days_since_d0_ge3,-0.0440454304341,-0.109602380302,0.0655569498681,-1,-1,True
2026-06-23,days_since_d0_le1,0.0440454304341,0.103335285766,-0.0592898553315,1,1,True
2026-06-23,inter_close_low,-0.114122577907,0.0431912609508,-0.157313838858,-1,1,False
2026-06-23,inter_close_trend,0.0129571260827,0.0259261236636,-0.0129689975809,1,1,True
2026-06-23,inter_low_active,-0.114642156105,0.056355732686,-0.170997888791,-1,1,False
2026-06-23,inter_total_active,0.0135123282753,0.0415763796881,-0.0280640514128,1,1,True
2026-06-23,inter_total_trend,0.114335958035,0.0149192386228,0.0994167194118,1,1,True
2026-06-23,rank_active_money_score,-0.0602939957243,0.0523625167022,-0.112656512427,-1,1,False
2026-06-23,rank_d1_close_ma10_pct,-0.071152362059,0.0331450279729,-0.104297390032,-1,1,False
2026-06-23,rank_d1_close_vwap_pct,0.138738597633,0.015910221179,0.122828376454,1,1,True
2026-06-23,rank_d1_low_ma10_pct,-0.106223569566,0.0416530171039,-0.14787658667,-1,1,False
2026-06-23,rank_days_since_d0,0.0246717844242,0.0152919253616,0.00937985906265,1,1,True
2026-06-23,rank_log_candidate_base_price,0.0702009919124,0.0583143254129,0.0118866664995,1,1,True
2026-06-23,rank_theme_score,0.0612313400972,0.0429892622459,0.0182420778513,1,1,True
2026-06-23,rank_total_score,0.104047524466,0.0033221405505,0.100725383915,1,1,True
2026-06-23,rank_trend_hold_score,0.0728298935364,0.0151040985544,0.057725794982,1,1,True
2026-06-23,spread_close_low,0.0350712075071,-0.00850798913101,0.0435791966381,1,-1,False
2026-06-24,INTERCEPT,0.315790498853,-0.0670889544764,0.38287945333,1,-1,False
2026-06-24,days_since_d0_eq2,0,0.00362531240972,-0.00362531240972,0,1,False
2026-06-24,days_since_d0_ge3,-0.039653059144,-0.103190303651,0.063537244507,-1,-1,True
2026-06-24,days_since_d0_le1,0.039653059144,0.0995649912413,-0.0599119320972,1,1,True
2026-06-24,inter_close_low,-0.104097627954,0.0434818433186,-0.147579471272,-1,1,False
2026-06-24,inter_close_trend,0.0225319379299,0.0278538066601,-0.00532186873016,1,1,True
2026-06-24,inter_low_active,-0.1084361283,0.0555665589273,-0.164002687227,-1,1,False
2026-06-24,inter_total_active,0.0192900966104,0.0434693480121,-0.0241792514017,1,1,True
2026-06-24,inter_total_trend,0.115834906199,0.0157857098788,0.10004919632,1,1,True
2026-06-24,rank_active_money_score,-0.0581953474299,0.0507853210962,-0.108980668526,-1,1,False
2026-06-24,rank_d1_close_ma10_pct,-0.0622033093015,0.0324251749435,-0.0946284842451,-1,1,False
