factor,bucket,record_count,selected_count,executed_count,execution_rate,target_hit_count,target_hit_rate,avg_candidate_d5_max_return_pct,avg_candidate_d10_max_return_pct,avg_d5_max_return_pct,avg_d5_close_return_pct,avg_d10_max_return_pct,avg_d10_close_return_pct,avg_d10_max_drawdown_pct
low_absorb_width_pct,2-3,528,75,46,0.6133333333333333,18,0.391304347826087,8.534184166963438,11.41153603565003,7.784780073310111,1.5778158873934078,9.719348159698248,1.2859396262971932,-6.060904774019969
low_absorb_width_pct,3-5,1707,219,149,0.680365296803653,70,0.4697986577181208,8.224856276383768,11.433260779327233,7.478111006740638,0.44302213822203435,9.922661715724237,0.19787552597391206,-7.4046826348872585
low_absorb_width_pct,<=1,244,15,1,0.06666666666666667,1,1.0,12.132688569732322,17.124032063507588,30.83066280075284,24.116180884073458,30.83066280075284,24.116180884073458,-0.8596571544839504
low_absorb_width_pct,>5,180,0,0,,0,,7.50816497041423,11.373271694175726,,,,,
position_level,normal,334,334,204,0.6107784431137725,93,0.45588235294117646,8.5273812982309,11.315133557307364,7.649335298973722,0.8284553094021916,9.953004486277456,0.577524924774867,-7.024320283928144
position_level,small,512,0,0,,0,,7.648287681336474,10.477866923605559,,,,,
position_level,zero,2116,0,0,,0,,9.005455193437912,12.617673930552225,,,,,
signal_type,D2_LOW_ABSORB,334,334,204,0.6107784431137725,93,0.45588235294117646,8.5273812982309,11.315133557307364,7.649335298973722,0.8284553094021916,9.953004486277456,0.577524924774867,-7.024320283928144
signal_type,D2_WATCH_OR_SMALL,512,0,0,,0,,7.648287681336474,10.477866923605559,,,,,
signal_type,WATCH_ONLY,2116,0,0,,0,,9.005455193437912,12.617673930552225,,,,,
support_score,50-60,49,13,7,0.5384615384615384,5,0.7142857142857143,5.407707098310596,8.048125402623686,8.810642419613513,0.27627708836292403,14.251595805648334,4.337919513894332,-5.4787572230803905
support_score,60-70,197,55,43,0.7818181818181819,18,0.4186046511627907,8.410393616649879,11.853646384124602,7.726355192304516,2.5083304864570675,10.750677519557627,4.443507456839506,-5.06831952149453
support_score,70-80,173,43,31,0.7209302325581395,12,0.3870967741935484,7.444305641010937,9.84338198179622,6.050300972876172,0.05846125524723035,7.0755226549954005,-0.8046367554313334,-6.249614571496336
support_score,<=50,973,77,56,0.7272727272727273,29,0.5178571428571429,8.548012147831413,11.787859223750178,8.447234096389462,1.4876221527483218,10.885041591742127,0.43917864879412577,-7.666335783260885
support_score,>80,1570,146,67,0.4589041095890411,29,0.43283582089552236,9.104263716539448,12.701746910774947,7.551525242198201,-0.3866627893241411,9.544314623547281,-1.5413647388266547,-8.26297675158982
support_type,A,1843,222,126,0.5675675675675675,52,0.4126984126984127,8.84312106418829,12.268568768874351,7.224669170632318,0.3599444477630978,9.220331722287044,-0.06400470335920125,-7.162875434715887
support_type,B,283,75,50,0.6666666666666666,28,0.56,8.736649348252142,11.91523147445074,8.516572957202593,1.779488521483186,12.030525905137674,2.8163682716459197,-6.256461840290378
support_type,C,836,37,28,0.7567567567567568,13,0.4642857142857143,8.430196899068362,11.790008026499336,8.011694201101351,1.2384805937763381,9.54017224769818,-0.5335262966058468,-7.771997897593593
theme_score,50-60,856,69,46,0.6666666666666666,31,0.6739130434782609,8.114359335246492,11.263268436430657,10.084600938125408,3.020940474907134,14.02216101434006,2.520311389314489,-7.115432616841158
theme_score,60-70,1763,244,144,0.5901639344262295,60,0.4166666666666667,9.321590724513163,13.09506140237815,7.298406180307619,0.5742256527611994,9.09375525390366,0.4605490884884424,-6.746858102279154
theme_score,<=50,343,21,14,0.6666666666666666,2,0.14285714285714285,7.085572553761707,9.032058189701473,3.25730484804098,-3.7604909089495577,5.420910855630761,-4.602736285480664,-9.578847915603573
total_score,50-60,563,0,0,,0,,7.404496506542263,10.952955370433582,,,,,
total_score,60-70,794,0,0,,0,,8.365583537174052,11.595004240945217,,,,,
total_score,70-80,795,213,148,0.6948356807511737,68,0.4594594594594595,9.48747563631172,12.857461120336946,7.5994787788422276,1.2186122383203106,10.148284724514511,1.057641319330795,-6.736345301001178
total_score,<=50,353,0,0,,0,,7.277278508288762,10.336391800126773,,,,,
total_score,>80,457,121,56,0.4628099173553719,25,0.44642857142857145,10.72277763664034,14.444877607154613,7.781098959321241,-0.20267371702426637,9.4369067137938,-0.6913541179800848,-7.785397024520839
