event_id,signal_date,code,candidate_count,label_available_date,stage1_score,stage1_rank,stage1_top10,stage1_strength,closing_completion_gap,strength_x_gap,original_stage1_top3,risk_p_loss,risk_veto,final_limited_risk_rank,target7,loss_target,raw_repair_return,capped_opportunity_return_7
600255_2026-06-05,2026-06-05,600255,6,2026-06-09,0.643192287344,2,True,0.8,0.291666666667,0.233333333333,True,0.183682654865,False,2,1,0,0.0896551724138,0.07
605162_2026-06-05,2026-06-05,605162,6,2026-06-09,0.626879956026,3,True,0.6,0.375,0.225,True,0.183130129403,False,3,0,1,-0.0449915110357,-0.0449915110357
001896_2026-06-05,2026-06-05,001896,6,2026-06-09,0.612742396022,4,True,0.4,0.833333333333,0.333333333333,False,,False,4,1,0,0.0850528434826,0.07
002787_2026-06-05,2026-06-05,002787,6,2026-06-09,0.584055502965,5,True,0.2,0.375,0.075,False,,False,5,0,0,0.0670498084291,0.0670498084291
600439_2026-06-05,2026-06-05,600439,6,2026-06-09,0.579469160203,6,True,0,0.708333333333,0,False,,False,6,0,1,-0.0113636363636,-0.0113636363636
000520_2026-06-08,2026-06-08,000520,3,2026-06-10,0.591371261451,1,True,1,0.333333333333,0.333333333333,True,0.206392122523,False,1,0,1,-0.0109409190372,-0.0109409190372
600293_2026-06-08,2026-06-08,600293,3,2026-06-10,0.566017213282,2,True,0.5,0.166666666667,0.0833333333333,True,0.207957379165,False,2,0,1,-0.0172839506173,-0.0172839506173
003036_2026-06-08,2026-06-08,003036,3,2026-06-10,0.523107889091,3,True,0,0.75,0,True,0.203874668383,False,3,0,0,0.0681933842239,0.0681933842239
603859_2026-06-09,2026-06-09,603859,9,2026-06-11,0.626528279519,1,True,1,0.0555555555556,0.0555555555556,True,0.214111365893,False,1,0,0,0.0640412922959,0.0640412922959
603500_2026-06-09,2026-06-09,603500,9,2026-06-11,0.611437680055,2,True,0.875,0.111111111111,0.0972222222222,True,0.21351265178,False,2,1,0,0.0936270653029,0.07
002421_2026-06-09,2026-06-09,002421,9,2026-06-11,0.592821129716,3,True,0.75,0.472222222222,0.354166666667,True,0.211375552259,False,3,0,1,-0.142105263158,-0.142105263158
003009_2026-06-09,2026-06-09,003009,9,2026-06-11,0.591826599503,4,True,0.625,0.416666666667,0.260416666667,False,,False,4,0,1,-0.0131004366812,-0.0131004366812
