source_column,admission_status,reason_codes,mechanism_group,target_blind,notes
d3_high,AUDIT_ONLY,NOT_STAGE1_ALLOWED|OUTCOME_AUDIT,FORBIDDEN_AUDIT,True,
d3_low,AUDIT_ONLY,NOT_STAGE1_ALLOWED|OUTCOME_AUDIT,FORBIDDEN_AUDIT,True,
d3_close,AUDIT_ONLY,NOT_STAGE1_ALLOWED|OUTCOME_AUDIT,FORBIDDEN_AUDIT,True,
d2open_to_d3high_return,AUDIT_ONLY,NOT_STAGE1_ALLOWED|OUTCOME_AUDIT,FORBIDDEN_AUDIT,True,
d2open_to_d3close_return,AUDIT_ONLY,NOT_STAGE1_ALLOWED|OUTCOME_AUDIT,FORBIDDEN_AUDIT,True,
target7_d2open_d3high,AUDIT_ONLY,NOT_STAGE1_ALLOWED|OUTCOME_AUDIT,FORBIDDEN_AUDIT,True,
tail_loss_5pct,AUDIT_ONLY,NOT_STAGE1_ALLOWED|OUTCOME_AUDIT,FORBIDDEN_AUDIT,True,
future_data_status,AUDIT_ONLY,NOT_STAGE1_ALLOWED|DATA_QUALITY,FORBIDDEN_AUDIT,True,
last_board_date,AUDIT_ONLY,NOT_STAGE1_ALLOWED|IDENTIFIER,FORBIDDEN_AUDIT,True,
v004a_score_source,EXCLUDE_FORBIDDEN,FORBIDDEN_MODEL_FIELD|recognition_score/v004a/v002/v005 禁止作为输入,FORBIDDEN_AUDIT,True,
stage_group,AUDIT_ONLY,NOT_STAGE1_ALLOWED|PROVENANCE,FORBIDDEN_AUDIT,True,
post_day,AUDIT_ONLY,NOT_STAGE1_ALLOWED|PROVENANCE,FORBIDDEN_AUDIT,True,
training_stage_feature,AUDIT_ONLY,NOT_STAGE1_ALLOWED|PROVENANCE,FORBIDDEN_AUDIT,True,
d1_bar_count,AUDIT_ONLY,NOT_STAGE1_ALLOWED|DATA_QUALITY,FORBIDDEN_AUDIT,True,
d2_bar_count,AUDIT_ONLY,NOT_STAGE1_ALLOWED|DATA_QUALITY,FORBIDDEN_AUDIT,True,
d3_bar_count,AUDIT_ONLY,NOT_STAGE1_ALLOWED|DATA_QUALITY,FORBIDDEN_AUDIT,True,
d1_first_bar_time,AUDIT_ONLY,NOT_STAGE1_ALLOWED|DATA_QUALITY,FORBIDDEN_AUDIT,True,
d2_first_bar_time,AUDIT_ONLY,NOT_STAGE1_ALLOWED|DATA_QUALITY,FORBIDDEN_AUDIT,True,
d3_first_bar_time,AUDIT_ONLY,NOT_STAGE1_ALLOWED|DATA_QUALITY,FORBIDDEN_AUDIT,True,
d1_last_bar_time,AUDIT_ONLY,NOT_STAGE1_ALLOWED|DATA_QUALITY,FORBIDDEN_AUDIT,True,
d2_last_bar_time,AUDIT_ONLY,NOT_STAGE1_ALLOWED|DATA_QUALITY,FORBIDDEN_AUDIT,True,
d3_last_bar_time,AUDIT_ONLY,NOT_STAGE1_ALLOWED|DATA_QUALITY,FORBIDDEN_AUDIT,True,
d1_expected_bar_count,AUDIT_ONLY,NOT_STAGE1_ALLOWED|DATA_QUALITY,FORBIDDEN_AUDIT,True,
d2_expected_bar_count,AUDIT_ONLY,NOT_STAGE1_ALLOWED|DATA_QUALITY,FORBIDDEN_AUDIT,True,
d3_expected_bar_count,AUDIT_ONLY,NOT_STAGE1_ALLOWED|DATA_QUALITY,FORBIDDEN_AUDIT,True,
d1_minute_complete,AUDIT_ONLY,NOT_STAGE1_ALLOWED|DATA_QUALITY,FORBIDDEN_AUDIT,True,
d2_minute_complete,AUDIT_ONLY,NOT_STAGE1_ALLOWED|DATA_QUALITY,FORBIDDEN_AUDIT,True,
d3_minute_complete,AUDIT_ONLY,NOT_STAGE1_ALLOWED|DATA_QUALITY,FORBIDDEN_AUDIT,True,
d2_daily_minute_open_diff,AUDIT_ONLY,NOT_STAGE1_ALLOWED|DATA_QUALITY,FORBIDDEN_AUDIT,True,
d3_daily_minute_high_diff,AUDIT_ONLY,NOT_STAGE1_ALLOWED|DATA_QUALITY,FORBIDDEN_AUDIT,True,
d3_daily_minute_close_diff,AUDIT_ONLY,NOT_STAGE1_ALLOWED|DATA_QUALITY,FORBIDDEN_AUDIT,True,
expected_d2_date,AUDIT_ONLY,NOT_STAGE1_ALLOWED|OUTCOME_AUDIT,FORBIDDEN_AUDIT,True,
actual_d2_date,AUDIT_ONLY,NOT_STAGE1_ALLOWED|OUTCOME_AUDIT,FORBIDDEN_AUDIT,True,
expected_d3_date,AUDIT_ONLY,NOT_STAGE1_ALLOWED|OUTCOME_AUDIT,FORBIDDEN_AUDIT,True,
