source_column,canonical_source_column,mapping_role,is_canonical,is_alias,exact_duplicate_group_id,admission_status,stage1_allowed_for_feature_analysis,notes
d1_close_above_ma5,d1_close_above_ma5,CANONICAL,True,False,ED10,SENSITIVITY_RAW,True,"精确重复组 canonical 字段, 保留并按其它准入规则处理"
d1_close_above_ma10,d1_close_above_ma10,CANONICAL,True,False,ED11,SENSITIVITY_RAW,True,"精确重复组 canonical 字段, 保留并按其它准入规则处理"
d1_true_reclaim_ma5,d1_true_reclaim_ma5,NONE,False,False,,PRIMARY_RAW,True,
d1_true_reclaim_ma10,d1_true_reclaim_ma10,NONE,False,False,,SENSITIVITY_RAW,True,
d1_close_to_ma5_bucket,d1_close_to_ma5_bucket,NONE,False,False,,SENSITIVITY_RAW,True,
d1_open_to_close_bucket,d1_open_to_close_bucket,NONE,False,False,,SENSITIVITY_RAW,True,
event_observation_count,event_observation_count,NONE,False,False,,AUDIT_ONLY,False,
signal_date_candidate_count,signal_date_candidate_count,NONE,False,False,,AUDIT_ONLY,False,
proposed_training_weight,proposed_training_weight,NONE,False,False,,AUDIT_ONLY,False,
d2_open_daily,d2_open_daily,NONE,False,False,,AUDIT_ONLY,False,
d3_high_daily,d3_high_daily,NONE,False,False,,AUDIT_ONLY,False,
d3_close_daily,d3_close_daily,NONE,False,False,,AUDIT_ONLY,False,
daily_d2open_to_d3high_return,daily_d2open_to_d3high_return,NONE,False,False,,AUDIT_ONLY,False,
daily_d2open_to_d3close_return,daily_d2open_to_d3close_return,NONE,False,False,,AUDIT_ONLY,False,
target7_daily_d2open_d3high,target7_daily_d2open_d3high,NONE,False,False,,AUDIT_ONLY,False,
tail_loss_daily_5pct,tail_loss_daily_5pct,NONE,False,False,,AUDIT_ONLY,False,
actual_daily_d2_date,actual_daily_d2_date,NONE,False,False,,AUDIT_ONLY,False,
actual_daily_d3_date,actual_daily_d3_date,NONE,False,False,,AUDIT_ONLY,False,
d2_daily_date_shift_reason,d2_daily_date_shift_reason,NONE,False,False,,AUDIT_ONLY,False,
d3_daily_date_shift_reason,d3_daily_date_shift_reason,NONE,False,False,,AUDIT_ONLY,False,
suspension_proof_status_daily,suspension_proof_status_daily,NONE,False,False,,AUDIT_ONLY,False,
daily_label_quality_ok,daily_label_quality_ok,NONE,False,False,,AUDIT_ONLY,False,
daily_label_quality_reason,daily_label_quality_reason,NONE,False,False,,AUDIT_ONLY,False,
audit_minute_d2_open,audit_minute_d2_open,NONE,False,False,,AUDIT_ONLY,False,
audit_minute_d3_high,audit_minute_d3_high,NONE,False,False,,AUDIT_ONLY,False,
audit_minute_d3_close,audit_minute_d3_close,NONE,False,False,,AUDIT_ONLY,False,
audit_minute_target7,audit_minute_target7,NONE,False,False,,AUDIT_ONLY,False,
audit_minute_tail_loss,audit_minute_tail_loss,NONE,False,False,,AUDIT_ONLY,False,
audit_minute_d2open_to_d3high_return,audit_minute_d2open_to_d3high_return,NONE,False,False,,AUDIT_ONLY,False,
audit_minute_d2open_to_d3close_return,audit_minute_d2open_to_d3close_return,NONE,False,False,,AUDIT_ONLY,False,
target_label_daily_vs_minute_same,target_label_daily_vs_minute_same,NONE,False,False,,AUDIT_ONLY,False,
tail_label_daily_vs_minute_same,tail_label_daily_vs_minute_same,NONE,False,False,,AUDIT_ONLY,False,
d2_open_daily_minus_minute,d2_open_daily_minus_minute,NONE,False,False,,AUDIT_ONLY,False,
d3_high_daily_minus_minute,d3_high_daily_minus_minute,NONE,False,False,,AUDIT_ONLY,False,
d3_close_daily_minus_minute,d3_close_daily_minus_minute,NONE,False,False,,AUDIT_ONLY,False,
target_return_daily_minus_minute,target_return_daily_minus_minute,NONE,False,False,,AUDIT_ONLY,False,
close_return_daily_minus_minute,close_return_daily_minus_minute,NONE,False,False,,AUDIT_ONLY,False,
d1_factor_quality_ok,d1_factor_quality_ok,NONE,False,False,,AUDIT_ONLY,False,
target_training_eligible,target_training_eligible,NONE,False,False,,AUDIT_ONLY,False,
tail_training_eligible,tail_training_eligible,NONE,False,False,,AUDIT_ONLY,False,
sample_role_v021,sample_role_v021,NONE,False,False,,AUDIT_ONLY,False,
label_d2_date,label_d2_date,NONE,False,False,,AUDIT_ONLY,False,
label_d3_date,label_d3_date,NONE,False,False,,AUDIT_ONLY,False,
daily_label_source_d2,daily_label_source_d2,NONE,False,False,,AUDIT_ONLY,False,
daily_label_source_d3,daily_label_source_d3,NONE,False,False,,AUDIT_ONLY,False,
daily_label_cache_path,daily_label_cache_path,NONE,False,False,,AUDIT_ONLY,False,
daily_label_cache_mtime,daily_label_cache_mtime,NONE,False,False,,AUDIT_ONLY,False,
daily_label_cache_sha256,daily_label_cache_sha256,NONE,False,False,,AUDIT_ONLY,False,
sample_role_v022,sample_role_v022,NONE,False,False,,AUDIT_ONLY,False,
d1_break_date,d1_break_date,NONE,False,False,,AUDIT_ONLY,False,
d1_signal_date,d1_signal_date,NONE,False,False,,AUDIT_ONLY,False,
d0_last_board_date,d0_last_board_date,NONE,False,False,,AUDIT_ONLY,False,
d2_entry_date,d2_entry_date,NONE,False,False,,AUDIT_ONLY,False,
d3_outcome_date,d3_outcome_date,NONE,False,False,,AUDIT_ONLY,False,
