source_column,source_column_role,available_as_of,stage1_allowed_for_feature_analysis,source_or_formula,dtype,semantic_type,mechanism_group,unit_family,non_null_count,missing_count,missing_rate,unique_count,dominant_value,dominant_count,dominant_rate,min_value,max_value,exact_duplicate_group_id,canonical_source_column,mutual_exclusion_group_id,admission_status,primary_allowed,sensitivity_allowed,derive_only,reason_codes,preprocess_policy,target_blind,notes
break_touched_limit_up,d1_feature,D1_CLOSE,True,copied unchanged from source v0.2.2 column break_touched_limit_up,bool,binary,D1_PRICE_ACTION,binary,333,0,0.0,2,False,282,0.846847,False,True,,break_touched_limit_up,,PRIMARY_RAW,True,False,False,BINARY|DEFAULT_PRIMARY,RAW_BINARY,True,
break_opened_from_limit_up,d1_feature,D1_CLOSE,True,copied unchanged from source v0.2.2 column break_opened_from_limit_up,bool,binary,D1_PRICE_ACTION,binary,333,0,0.0,2,False,325,0.975976,False,True,,break_opened_from_limit_up,,SENSITIVITY_RAW,False,True,False,BINARY|BINARY_MINORITY_LT_10,RAW_BINARY,True,
d1_open,d1_feature,D1_CLOSE,True,copied unchanged from source v0.2.2 column d1_open,float64,d1_absolute_price,RAW_SCALE_SOURCE,price,333,0,0.0,318,3.88,3,0.009009,1.49,558.2,ED01,d1_open,,DERIVE_ONLY,False,False,True,ABSOLUTE_SCALE|只允许派生为明确比例/收益/距离/rank 后使用,NO_DIRECT_MODEL_INPUT,True,"绝对尺度, 只允许派生为明确比例/收益/距离/rank 后使用"
d1_high,d1_feature,D1_CLOSE,True,copied unchanged from source v0.2.2 column d1_high,float64,d1_absolute_price,RAW_SCALE_SOURCE,price,333,0,0.0,317,3.72,2,0.006006,1.53,594.0,ED02,d1_high,,DERIVE_ONLY,False,False,True,ABSOLUTE_SCALE|只允许派生为明确比例/收益/距离/rank 后使用,NO_DIRECT_MODEL_INPUT,True,"绝对尺度, 只允许派生为明确比例/收益/距离/rank 后使用"
d1_low,d1_feature,D1_CLOSE,True,copied unchanged from source v0.2.2 column d1_low,float64,d1_absolute_price,RAW_SCALE_SOURCE,price,333,0,0.0,321,19.0,2,0.006006,1.34,553.18,ED03,d1_low,,DERIVE_ONLY,False,False,True,ABSOLUTE_SCALE|只允许派生为明确比例/收益/距离/rank 后使用,NO_DIRECT_MODEL_INPUT,True,"绝对尺度, 只允许派生为明确比例/收益/距离/rank 后使用"
d1_close,d1_feature,D1_CLOSE,True,copied unchanged from source v0.2.2 column d1_close,float64,d1_absolute_price,RAW_SCALE_SOURCE,price,333,0,0.0,327,3.99,3,0.009009,1.35,580.0,ED04,d1_close,,DERIVE_ONLY,False,False,True,ABSOLUTE_SCALE|只允许派生为明确比例/收益/距离/rank 后使用,NO_DIRECT_MODEL_INPUT,True,"绝对尺度, 只允许派生为明确比例/收益/距离/rank 后使用"
d1_volume,d1_feature,D1_CLOSE,True,copied unchanged from source v0.2.2 column d1_volume,float64,d1_absolute_volume,RAW_SCALE_SOURCE,volume,333,0,0.0,333,1511520.0,1,0.003003,27094.0,352760547.0,ED08,d1_volume,,DERIVE_ONLY,False,False,True,ABSOLUTE_SCALE|只允许派生为明确比例/收益/距离/rank 后使用,NO_DIRECT_MODEL_INPUT,True,"绝对尺度, 只允许派生为明确比例/收益/距离/rank 后使用"
d1_amount,d1_feature,D1_CLOSE,True,copied unchanged from source v0.2.2 column d1_amount,float64,d1_absolute_amount,RAW_SCALE_SOURCE,amount,333,0,0.0,333,576719965.3734,1,0.003003,86836270.0,35140741684.3214,ED09,d1_amount,,DERIVE_ONLY,False,False,True,ABSOLUTE_SCALE|只允许派生为明确比例/收益/距离/rank 后使用,NO_DIRECT_MODEL_INPUT,True,"绝对尺度, 只允许派生为明确比例/收益/距离/rank 后使用"
d1_ma5,d1_feature,D1_CLOSE,True,copied unchanged from source v0.2.2 column d1_ma5,float64,moving_average_price,RAW_SCALE_SOURCE,price,333,0,0.0,330,10.64,2,0.006006,1.266,520.268,,d1_ma5,,DERIVE_ONLY,False,False,True,ABSOLUTE_SCALE|只允许派生为明确比例/收益/距离/rank 后使用,NO_DIRECT_MODEL_INPUT,True,"绝对尺度, 只允许派生为明确比例/收益/距离/rank 后使用"
d1_ma10,d1_feature,D1_CLOSE,True,copied unchanged from source v0.2.2 column d1_ma10,float64,moving_average_price,RAW_SCALE_SOURCE,price,333,0,0.0,333,3.438,1,0.003003,1.226,484.744,,d1_ma10,,DERIVE_ONLY,False,False,True,ABSOLUTE_SCALE|只允许派生为明确比例/收益/距离/rank 后使用,NO_DIRECT_MODEL_INPUT,True,"绝对尺度, 只允许派生为明确比例/收益/距离/rank 后使用"
