source_column,admission_status,dtype,non_null_count,missing_count,missing_rate,unique_count,dominant_value,dominant_count,dominant_rate,min_value,max_value,is_binary,binary_value_counts,binary_minority_count,is_absolute_scale,is_bucket,exact_duplicate_group_id,canonical_source_column,mutual_exclusion_group_id,reason_codes,mechanism_group,preprocess_policy,target_blind
d1_vwap,DERIVE_ONLY,float64,333,0,0.0,333,3.8157144854903486,1,0.003003,1.436232481005097,569.5885010423804,False,,,True,False,,d1_vwap,,ABSOLUTE_SCALE|只允许派生为明确比例/收益/距离/rank 后使用,RAW_SCALE_SOURCE,FOLD_CLIP_Z,True
d1_close_to_vwap_raw,PRIMARY_RAW,float64,333,0,0.0,333,0.0142268282168589,1,0.003003,-0.0858233454563892,0.0750873748983902,False,,,False,False,,d1_close_to_vwap_raw,ME05_VWAP_GAP,ME_CANONICAL|DEFAULT_PRIMARY,D1_VWAP_POSITION,FOLD_CLIP_Z,True
d1_intraday_range,PRIMARY_RAW,float64,333,0,0.0,331,0.0781990521327014,2,0.006006,0.0,0.2001853568118627,False,,,False,False,ED05,d1_intraday_range,,DEFAULT_PRIMARY,D1_PRICE_ACTION,FOLD_CLIP_Z,True
d1_afternoon_return,PRIMARY_RAW,float64,333,0,0.0,315,0.0,19,0.057057,-0.1034103410341034,0.0990634005763688,False,,,False,False,,d1_afternoon_return,,DEFAULT_PRIMARY,D1_PRICE_ACTION,FOLD_CLIP_Z,True
d1_last_hour_return,PRIMARY_RAW,float64,333,0,0.0,313,0.0,19,0.057057,-0.0652041438147471,0.0735294117647058,False,,,False,False,,d1_last_hour_return,,DEFAULT_PRIMARY,D1_PRICE_ACTION,FOLD_CLIP_Z,True
d1_up_bar_volume_ratio,PRIMARY_RAW,float64,333,0,0.0,330,0.0,4,0.012012,0.0,0.7681235564582677,False,,,False,False,,d1_up_bar_volume_ratio,,DEFAULT_PRIMARY,D1_VOLUME_ACTIVITY,FOLD_CLIP_Z,True
d1_down_bar_volume_ratio,EXCLUDE_EXACT_DUPLICATE_ALIAS,float64,333,0,0.0,331,0.0,3,0.009009,0.0,0.8073547818436243,False,,,False,False,ED12,down_bar_volume_ratio,,EXACT_DUP_ALIAS,D1_VOLUME_ACTIVITY,FOLD_CLIP_Z,True
volume_above_d1_close_ratio,PRIMARY_RAW,float64,333,0,0.0,283,1.0,51,0.153153,0.0178623783419175,1.0,False,,,False,False,ED13,volume_above_d1_close_ratio,ME02_ABOVE_CLOSE_CHIP,ME_CANONICAL|DEFAULT_PRIMARY,D1_CHIP_DISTRIBUTION,FOLD_CLIP_Z,True
amount_above_d1_close_ratio,SENSITIVITY_RAW,float64,333,0,0.0,283,1.0,51,0.153153,0.018227312301159,1.0,False,,,False,False,,amount_above_d1_close_ratio,ME02_ABOVE_CLOSE_CHIP,ME_ALTERNATIVE|ME_ALTERNATIVE_MAX_SENSITIVITY,D1_CHIP_DISTRIBUTION,FOLD_CLIP_Z,True
volume_above_break_close_ratio,EXCLUDE_EXACT_DUPLICATE_ALIAS,float64,333,0,0.0,283,1.0,51,0.153153,0.0178623783419175,1.0,False,,,False,False,ED13,volume_above_d1_close_ratio,,EXACT_DUP_ALIAS,D1_CHIP_DISTRIBUTION,FOLD_CLIP_Z,True
high_zone_volume_ratio,PRIMARY_RAW,float64,333,0,0.0,240,0.0,93,0.279279,0.0,1.0,False,,,False,False,,high_zone_volume_ratio,ME03_HIGH_ZONE,ME_CANONICAL|DEFAULT_PRIMARY,D1_CHIP_DISTRIBUTION,FOLD_CLIP_Z,True
high_zone_amount_ratio,SENSITIVITY_RAW,float64,333,0,0.0,240,0.0,93,0.279279,0.0,1.0,False,,,False,False,,high_zone_amount_ratio,ME03_HIGH_ZONE,ME_ALTERNATIVE|ME_ALTERNATIVE_MAX_SENSITIVITY,D1_CHIP_DISTRIBUTION,FOLD_CLIP_Z,True
late_day_sell_volume_ratio,PRIMARY_RAW,float64,333,0,0.0,319,0.0,15,0.045045,0.0,0.2278629604938987,False,,,False,False,,late_day_sell_volume_ratio,ME04_LATE_SELL,ME_CANONICAL|DEFAULT_PRIMARY,D1_LATE_DAY_PRESSURE,FOLD_CLIP_Z,True
