event_id,code,signal_date,stage_group,post_day,old_v021_daily_label_quality_ok,new_v022_daily_label_quality_ok,old_v021_d2_open_daily,new_v022_d2_open_daily,old_v021_d3_high_daily,new_v022_d3_high_daily,old_v021_d3_close_daily,new_v022_d3_close_daily,old_v021_target7,new_v022_target7,old_v021_tail,new_v022_tail,audit_minute_target7,audit_minute_tail,target_changed_vs_v021,tail_changed_vs_v021,target_changed_vs_minute,tail_changed_vs_minute,recovered_from_previous_missing,change_reason
000720_2026-05-11,000720,2026-05-11,d0,,True,True,5.61,5.61,6.26,6.26,6.26,6.26,True,True,False,False,True,False,False,False,False,False,False,unchanged
002217_2026-05-08,002217,2026-05-11,post,1.0,True,True,3.58,3.58,3.64,3.64,3.54,3.54,False,False,False,False,False,False,False,False,False,False,False,unchanged
600936_2026-05-11,600936,2026-05-11,d0,,True,True,5.1,5.1,5.5,5.5,5.37,5.37,True,True,False,False,True,False,False,False,False,False,False,unchanged
603636_2026-05-11,603636,2026-05-11,d0,,True,True,11.0,11.0,11.81,11.81,11.72,11.72,True,True,False,False,True,False,False,False,False,False,False,unchanged
000720_2026-05-11,000720,2026-05-12,post,1.0,True,True,5.56,5.56,6.27,6.27,5.83,5.83,True,True,False,False,True,False,False,False,False,False,False,unchanged
002030_2026-05-12,002030,2026-05-12,d0,,True,True,6.78,6.78,6.8,6.8,6.33,6.33,False,False,True,True,False,True,False,False,False,False,False,unchanged
002217_2026-05-08,002217,2026-05-12,post,2.0,True,True,3.44,3.44,3.54,3.54,3.36,3.36,False,False,False,False,False,False,False,False,False,False,False,unchanged
600748_2026-05-12,600748,2026-05-12,d0,,True,True,5.85,5.85,5.89,5.89,5.61,5.61,False,False,False,False,False,False,False,False,False,False,False,unchanged
600936_2026-05-11,600936,2026-05-12,post,1.0,True,True,5.12,5.12,5.9,5.9,5.36,5.36,True,True,False,False,True,False,False,False,False,False,False,unchanged
603636_2026-05-11,603636,2026-05-12,post,1.0,True,True,11.34,11.34,11.6,11.6,10.79,10.79,False,False,False,False,False,False,False,False,False,False,False,unchanged
000029_2026-05-13,000029,2026-05-13,d0,,True,True,26.59,26.59,29.96,29.96,28.91,28.91,True,True,False,False,True,False,False,False,False,False,False,unchanged
002030_2026-05-12,002030,2026-05-13,post,1.0,True,True,6.67,6.67,6.35,6.35,6.04,6.04,False,False,True,True,False,True,False,False,False,False,False,unchanged
600748_2026-05-12,600748,2026-05-13,post,1.0,True,True,5.77,5.77,5.64,5.64,5.17,5.17,False,False,True,True,False,True,False,False,False,False,False,unchanged
600936_2026-05-11,600936,2026-05-13,post,2.0,True,True,5.37,5.37,5.55,5.55,5.47,5.47,False,False,False,False,False,False,False,False,False,False,False,unchanged
603636_2026-05-11,603636,2026-05-13,post,2.0,True,True,11.5,11.5,11.79,11.79,11.1,11.1,False,False,False,False,False,False,False,False,False,False,False,unchanged
000029_2026-05-13,000029,2026-05-14,post,1.0,True,True,28.29,28.29,30.59,30.59,29.82,29.82,True,True,False,False,True,False,False,False,False,False,False,unchanged
002030_2026-05-12,002030,2026-05-14,post,2.0,True,True,6.33,6.33,6.64,6.64,6.64,6.64,False,False,False,False,False,False,False,False,False,False,False,unchanged
600748_2026-05-12,600748,2026-05-14,post,2.0,False,False,5.53,5.53,,,,,False,False,False,False,False,True,False,False,False,False,False,still_missing
603070_2026-05-14,603070,2026-05-14,d0,,True,True,16.1,16.1,17.2,17.2,16.63,16.63,False,False,False,False,False,False,False,False,False,False,False,unchanged
000029_2026-05-13,000029,2026-05-15,post,2.0,True,True,28.97,28.97,31.11,31.11,29.42,29.42,True,True,False,False,True,False,False,False,False,False,False,unchanged
002782_2026-05-15,002782,2026-05-15,d0,,True,True,25.43,25.43,27.59,27.59,27.59,27.59,True,True,False,False,True,False,False,False,False,False,False,unchanged
603052_2026-05-15,603052,2026-05-15,d0,,True,True,110.0,110.0,106.53,106.53,104.5,104.5,False,False,True,True,False,True,False,False,False,False,False,unchanged
603070_2026-05-14,603070,2026-05-15,post,1.0,True,True,16.1,16.1,16.94,16.94,16.41,16.41,False,False,False,False,False,False,False,False,False,False,False,unchanged
603093_2026-05-15,603093,2026-05-15,d0,,True,True,22.45,22.45,24.61,24.61,23.33,23.33,True,True,False,False,True,False,False,False,False,False,False,unchanged
000601_2026-05-14,000601,2026-05-18,post,2.0,True,True,7.68,7.68,7.97,7.97,7.24,7.24,False,False,True,True,False,True,False,False,False,False,False,unchanged
000925_2026-05-14,000925,2026-05-18,post,2.0,True,True,8.99,8.99,8.92,8.92,8.6,8.6,False,False,False,False,False,False,False,False,False,False,False,unchanged
001210_2026-05-15,001210,2026-05-18,post,1.0,True,True,28.82,28.82,31.35,31.35,31.05,31.05,True,True,False,False,True,False,False,False,False,False,False,unchanged
002782_2026-05-15,002782,2026-05-18,post,1.0,True,True,25.0,25.0,30.35,30.35,30.35,30.35,True,True,False,False,True,False,False,False,False,False,False,unchanged
002971_2026-05-18,002971,2026-05-18,d0,,True,True,37.93,37.93,39.7,39.7,37.8,37.8,False,False,False,False,False,False,False,False,False,False,False,unchanged
600156_2026-05-15,600156,2026-05-18,post,1.0,True,True,13.12,13.12,12.68,12.68,11.85,11.85,False,False,True,True,False,True,False,False,False,False,False,unchanged
603007_2026-05-15,603007,2026-05-18,post,1.0,True,True,7.99,7.99,8.44,8.44,7.5,7.5,False,False,True,True,False,True,False,False,False,False,False,unchanged
603052_2026-05-15,603052,2026-05-18,post,1.0,True,True,103.0,103.0,103.44,103.44,102.39,102.39,False,False,False,False,False,False,False,False,False,False,False,unchanged
603070_2026-05-14,603070,2026-05-18,post,2.0,True,True,16.68,16.68,16.46,16.46,16.12,16.12,False,False,False,False,False,False,False,False,False,False,False,unchanged
603093_2026-05-15,603093,2026-05-18,post,1.0,True,True,23.78,23.78,23.66,23.66,22.86,22.86,False,False,False,False,False,False,False,False,False,False,False,unchanged
603203_2026-05-14,603203,2026-05-18,post,2.0,True,True,56.55,56.55,64.32,64.32,62.42,62.42,True,True,False,False,True,False,False,False,False,False,False,unchanged
001210_2026-05-15,001210,2026-05-19,post,2.0,True,True,29.8,29.8,30.81,30.81,29.3,29.3,False,False,False,False,False,False,False,False,False,False,False,unchanged
002971_2026-05-18,002971,2026-05-19,post,1.0,True,True,39.21,39.21,38.04,38.04,34.7,34.7,False,False,True,True,False,True,False,False,False,False,False,unchanged
600156_2026-05-15,600156,2026-05-19,post,2.0,True,True,12.66,12.66,13.04,13.04,13.04,13.04,False,False,False,False,False,False,False,False,False,False,False,unchanged
601133_2026-05-19,601133,2026-05-19,d0,,True,True,29.95,29.95,35.66,35.66,33.13,33.13,True,True,False,False,True,False,False,False,False,False,False,unchanged
603007_2026-05-15,603007,2026-05-19,post,2.0,True,True,8.33,8.33,7.72,7.72,6.9,6.9,False,False,True,True,False,True,False,False,False,False,False,unchanged
603052_2026-05-15,603052,2026-05-19,post,2.0,True,True,102.16,102.16,104.9,104.9,94.18,94.18,False,False,True,True,False,True,False,False,False,False,False,unchanged
603093_2026-05-15,603093,2026-05-19,post,2.0,True,True,23.3,23.3,23.95,23.95,22.04,22.04,False,False,True,True,False,True,False,False,False,False,False,unchanged
002971_2026-05-18,002971,2026-05-20,post,2.0,True,True,37.75,37.75,35.03,35.03,33.94,33.94,False,False,True,True,False,True,False,False,False,False,False,unchanged
600758_2026-05-20,600758,2026-05-20,d0,,True,True,4.76,4.76,4.84,4.84,4.66,4.66,False,False,False,False,False,False,False,False,False,False,False,unchanged
600903_2026-05-20,600903,2026-05-20,d0,,True,True,9.29,9.29,10.64,10.64,10.42,10.42,True,True,False,False,True,False,False,False,False,False,False,unchanged
603206_2026-05-20,603206,2026-05-20,d0,,True,True,19.47,19.47,19.39,19.39,19.04,19.04,False,False,False,False,False,False,False,False,False,False,False,unchanged
605218_2026-05-20,605218,2026-05-20,d0,,True,True,21.34,21.34,20.91,20.91,20.3,20.3,False,False,False,False,False,False,False,False,False,False,False,unchanged
002782_2026-05-21,002782,2026-05-21,d0,,True,True,28.75,28.75,29.89,29.89,28.31,28.31,False,False,False,False,False,False,False,False,False,False,False,unchanged
600563_2026-05-21,600563,2026-05-21,d0,,True,True,160.0,160.0,176.58,176.58,172.43,172.43,True,True,False,False,True,False,False,False,False,False,False,unchanged
600758_2026-05-20,600758,2026-05-21,post,1.0,True,True,4.69,4.69,4.95,4.95,4.69,4.69,False,False,False,False,False,False,False,False,False,False,False,unchanged
600903_2026-05-20,600903,2026-05-21,post,1.0,True,True,9.65,9.65,10.35,10.35,9.9,9.9,True,True,False,False,True,False,False,False,False,False,False,unchanged
601133_2026-05-19,601133,2026-05-21,post,2.0,True,True,33.35,33.35,34.93,34.93,33.7,33.7,False,False,False,False,False,False,False,False,False,False,False,unchanged
603206_2026-05-20,603206,2026-05-21,post,1.0,True,True,19.24,19.24,20.58,20.58,20.13,20.13,False,False,False,False,False,False,False,False,False,False,False,unchanged
603938_2026-05-21,603938,2026-05-21,d0,,True,True,51.84,51.84,49.68,49.68,47.73,47.73,False,False,True,True,False,True,False,False,False,False,False,unchanged
605218_2026-05-20,605218,2026-05-21,post,1.0,False,False,20.9,20.9,,,,,False,False,False,False,False,False,False,False,False,False,False,still_missing
002782_2026-05-21,002782,2026-05-22,post,1.0,True,True,29.33,29.33,29.97,29.97,28.54,28.54,False,False,False,False,False,False,False,False,False,False,False,unchanged
003004_2026-05-22,003004,2026-05-22,d0,,True,True,48.58,48.58,54.74,54.74,54.74,54.74,True,True,False,False,True,False,False,False,False,False,False,unchanged
600758_2026-05-20,600758,2026-05-22,post,2.0,True,True,4.93,4.93,4.54,4.54,4.22,4.22,False,False,True,True,False,True,False,False,False,False,False,unchanged
600903_2026-05-20,600903,2026-05-22,post,2.0,True,True,10.08,10.08,10.48,10.48,10.03,10.03,False,False,False,False,False,False,False,False,False,False,False,unchanged
603206_2026-05-20,603206,2026-05-22,post,2.0,True,True,18.97,18.97,20.39,20.39,19.68,19.68,True,True,False,False,True,False,False,False,False,False,False,unchanged
603938_2026-05-21,603938,2026-05-22,post,1.0,True,True,49.68,49.68,46.8,46.8,43.86,43.86,False,False,True,True,False,True,False,False,False,False,False,unchanged
605218_2026-05-20,605218,2026-05-22,post,2.0,False,False,,,,,,,False,False,False,False,False,True,False,False,False,False,False,still_missing
000012_2026-05-25,000012,2026-05-25,d0,,True,True,4.37,4.37,4.64,4.64,4.45,4.45,False,False,False,False,False,False,False,False,False,False,False,unchanged
000725_2026-05-25,000725,2026-05-25,d0,,True,True,5.22,5.22,6.09,6.09,5.72,5.72,True,True,False,False,True,False,False,False,False,False,False,unchanged
002442_2026-05-25,002442,2026-05-25,d0,,True,True,7.96,7.96,7.98,7.98,7.3,7.3,False,False,True,True,False,True,False,False,False,False,False,unchanged
002782_2026-05-21,002782,2026-05-25,post,2.0,True,True,28.1,28.1,31.23,31.23,30.14,30.14,True,True,False,False,True,False,False,False,False,False,False,unchanged
003004_2026-05-22,003004,2026-05-25,post,1.0,True,True,49.3,49.3,60.18,60.18,54.91,54.91,True,True,False,False,True,False,False,False,False,False,False,unchanged
600563_2026-05-21,600563,2026-05-25,post,2.0,True,True,167.58,167.58,176.32,176.32,170.37,170.37,False,False,False,False,False,False,False,False,False,False,False,unchanged
603938_2026-05-21,603938,2026-05-25,post,2.0,True,True,46.49,46.49,44.8,44.8,42.6,42.6,False,False,True,True,False,True,False,False,False,False,False,unchanged
000012_2026-05-25,000012,2026-05-26,post,1.0,True,True,4.38,4.38,4.55,4.55,4.38,4.38,False,False,False,False,False,False,False,False,False,False,False,unchanged
000725_2026-05-25,000725,2026-05-26,post,1.0,True,True,5.8,5.8,5.78,5.78,5.68,5.68,False,False,False,False,False,False,False,False,False,False,False,unchanged
002421_2026-05-26,002421,2026-05-26,d0,,True,True,4.7,4.7,4.96,4.96,4.57,4.57,False,False,False,False,False,False,False,False,False,False,False,unchanged
002442_2026-05-25,002442,2026-05-26,post,1.0,True,True,7.21,7.21,6.93,6.93,6.57,6.57,False,False,True,True,False,True,False,False,False,False,False,unchanged
002741_2026-05-26,002741,2026-05-26,d0,,True,True,27.81,27.81,31.16,31.16,31.16,31.16,True,True,False,False,True,False,False,False,False,False,False,unchanged
002897_2026-05-26,002897,2026-05-26,d0,,True,True,81.58,81.58,83.82,83.82,80.55,80.55,False,False,False,False,False,False,False,False,False,False,False,unchanged
002938_2026-05-26,002938,2026-05-26,d0,,True,True,110.2,110.2,107.73,107.73,106.0,106.0,False,False,False,False,False,False,False,False,False,False,False,unchanged
002975_2026-05-26,002975,2026-05-26,d0,,True,True,126.06,126.06,134.28,134.28,134.28,134.28,False,False,False,False,False,False,False,False,False,False,False,unchanged
002980_2026-05-26,002980,2026-05-26,d0,,True,True,111.01,111.01,117.39,117.39,113.6,113.6,False,False,False,False,False,False,False,False,False,False,False,unchanged
600186_2026-05-26,600186,2026-05-26,d0,,True,True,13.19,13.19,11.55,11.55,10.95,10.95,False,False,True,True,False,True,False,False,False,False,False,unchanged
600234_2026-05-26,600234,2026-05-26,d0,,True,True,29.74,29.74,27.12,27.12,26.3,26.3,False,False,True,True,False,True,False,False,False,False,False,unchanged
600503_2026-05-26,600503,2026-05-26,d0,,True,True,2.8,2.8,2.89,2.89,2.7,2.7,False,False,False,False,False,False,False,False,False,False,False,unchanged
603001_2026-05-26,603001,2026-05-26,d0,,True,True,10.6,10.6,10.61,10.61,10.27,10.27,False,False,False,False,False,False,False,False,False,False,False,unchanged
603661_2026-05-26,603661,2026-05-26,d0,,True,True,34.7,34.7,34.43,34.43,32.95,32.95,False,False,True,True,False,True,False,False,False,False,False,unchanged
605580_2026-05-26,605580,2026-05-26,d0,,True,True,25.0,25.0,28.18,28.18,28.18,28.18,True,True,False,False,True,False,False,False,False,False,False,unchanged
000012_2026-05-25,000012,2026-05-27,post,2.0,True,True,4.37,4.37,4.43,4.43,4.05,4.05,False,False,True,True,False,True,False,False,False,False,False,unchanged
000725_2026-05-25,000725,2026-05-27,post,2.0,True,True,5.72,5.72,5.64,5.64,5.11,5.11,False,False,True,True,False,True,False,False,False,False,False,unchanged
002185_2026-05-27,002185,2026-05-27,d0,,True,True,20.15,20.15,21.5,21.5,19.34,19.34,False,False,False,False,False,False,False,False,False,False,False,unchanged
002421_2026-05-26,002421,2026-05-27,post,1.0,True,True,4.24,4.24,4.84,4.84,4.11,4.11,True,True,False,False,True,False,False,False,False,False,False,unchanged
002442_2026-05-25,002442,2026-05-27,post,2.0,True,True,6.93,6.93,6.27,6.27,5.91,5.91,False,False,True,True,False,True,False,False,False,False,False,unchanged
002741_2026-05-26,002741,2026-05-27,post,1.0,True,True,29.0,29.0,30.5,30.5,28.86,28.86,False,False,False,False,False,False,False,False,False,False,False,unchanged
002897_2026-05-26,002897,2026-05-27,post,1.0,True,True,78.2,78.2,84.29,84.29,76.9,76.9,True,True,False,False,True,False,False,False,False,False,False,unchanged
002938_2026-05-26,002938,2026-05-27,post,1.0,True,True,106.92,106.92,112.99,112.99,105.01,105.01,False,False,False,False,False,False,False,False,False,False,False,unchanged
002975_2026-05-26,002975,2026-05-27,post,1.0,True,True,121.38,121.38,147.71,147.71,144.3,144.3,True,True,False,False,True,False,False,False,False,False,False,unchanged
002980_2026-05-26,002980,2026-05-27,post,1.0,True,True,117.39,117.39,116.55,116.55,109.22,109.22,False,False,True,True,False,True,False,False,False,False,False,unchanged
600172_2026-05-27,600172,2026-05-27,d0,,True,True,13.22,13.22,16.06,16.06,14.08,14.08,True,True,False,False,True,False,False,False,False,False,False,unchanged
600186_2026-05-26,600186,2026-05-27,post,1.0,True,True,11.31,11.31,11.03,11.03,10.15,10.15,False,False,True,True,False,True,False,False,False,False,False,unchanged
600234_2026-05-26,600234,2026-05-27,post,1.0,True,True,27.12,27.12,26.58,26.58,26.12,26.12,False,False,False,False,False,False,False,False,False,False,False,unchanged
600503_2026-05-26,600503,2026-05-27,post,1.0,True,True,2.7,2.7,2.92,2.92,2.65,2.65,True,True,False,False,True,False,False,False,False,False,False,unchanged
600520_2026-05-27,600520,2026-05-27,d0,,True,True,32.33,32.33,33.4,33.4,31.22,31.22,False,False,False,False,False,False,False,False,False,False,False,unchanged
603001_2026-05-26,603001,2026-05-27,post,1.0,True,True,10.56,10.56,10.53,10.53,10.11,10.11,False,False,False,False,False,False,False,False,False,False,False,unchanged
603661_2026-05-26,603661,2026-05-27,post,1.0,True,True,30.77,30.77,34.58,34.58,31.24,31.24,True,True,False,False,True,False,False,False,False,False,False,unchanged
605580_2026-05-26,605580,2026-05-27,post,1.0,True,True,25.5,25.5,31.0,31.0,30.29,30.29,True,True,False,False,True,False,False,False,False,False,False,unchanged
000759_2026-05-28,000759,2026-05-28,d0,,True,True,5.7,5.7,6.14,6.14,5.98,5.98,True,True,False,False,True,False,False,False,False,False,False,unchanged
001257_2026-05-28,001257,2026-05-28,d0,,True,True,28.37,28.37,26.45,26.45,24.91,24.91,False,False,True,True,False,True,False,False,False,False,False,unchanged
002185_2026-05-27,002185,2026-05-28,post,1.0,True,True,21.07,21.07,20.27,20.27,18.43,18.43,False,False,True,True,False,True,False,False,False,False,False,unchanged
002251_2026-05-28,002251,2026-05-28,d0,,True,True,4.45,4.45,5.2,5.2,5.0,5.0,True,True,False,False,True,False,False,False,False,False,False,unchanged
002421_2026-05-26,002421,2026-05-28,post,2.0,True,True,4.51,4.51,4.52,4.52,4.52,4.52,False,False,False,False,False,False,False,False,False,False,False,unchanged
002741_2026-05-26,002741,2026-05-28,post,2.0,True,True,30.4,30.4,29.2,29.2,27.35,27.35,False,False,True,True,False,True,False,False,False,False,False,unchanged
002771_2026-05-28,002771,2026-05-28,d0,,True,True,16.43,16.43,17.98,17.98,17.78,17.78,True,True,False,False,True,False,False,False,False,False,False,unchanged
002897_2026-05-26,002897,2026-05-28,post,2.0,True,True,81.01,81.01,84.04,84.04,80.18,80.18,False,False,False,False,False,False,False,False,False,False,False,unchanged
002938_2026-05-26,002938,2026-05-28,post,2.0,True,True,107.99,107.99,112.92,112.92,103.34,103.34,False,False,False,False,False,False,False,False,False,False,False,unchanged
002980_2026-05-26,002980,2026-05-28,post,2.0,True,True,115.66,115.66,109.2,109.2,101.93,101.93,False,False,True,True,False,True,False,False,False,False,False,unchanged
600186_2026-05-26,600186,2026-05-28,post,2.0,True,True,10.8,10.8,10.79,10.79,9.84,9.84,False,False,True,True,False,True,False,False,False,False,False,unchanged
600234_2026-05-26,600234,2026-05-28,post,2.0,True,True,26.56,26.56,27.1,27.1,25.66,25.66,False,False,False,False,False,False,False,False,False,False,False,unchanged
600503_2026-05-26,600503,2026-05-28,post,2.0,True,True,2.83,2.83,2.92,2.92,2.92,2.92,False,False,False,False,False,False,False,False,False,False,False,unchanged
600520_2026-05-27,600520,2026-05-28,post,1.0,True,True,33.39,33.39,31.99,31.99,30.22,30.22,False,False,True,True,False,True,False,False,False,False,False,unchanged
603001_2026-05-26,603001,2026-05-28,post,2.0,True,True,10.3,10.3,11.12,11.12,9.94,9.94,True,True,False,False,True,False,False,False,False,False,False,unchanged
603661_2026-05-26,603661,2026-05-28,post,2.0,True,True,33.55,33.55,31.81,31.81,31.39,31.39,False,False,True,True,False,True,False,False,False,False,False,unchanged
000759_2026-05-28,000759,2026-05-29,post,1.0,True,True,5.75,5.75,6.1,6.1,5.86,5.86,False,False,False,False,False,False,False,False,False,False,False,unchanged
001257_2026-05-28,001257,2026-05-29,post,1.0,True,True,24.91,24.91,25.67,25.67,25.14,25.14,False,False,False,False,False,False,False,False,False,False,False,unchanged
002185_2026-05-27,002185,2026-05-29,post,2.0,True,True,19.65,19.65,18.65,18.65,18.33,18.33,False,False,True,True,False,True,False,False,False,False,False,unchanged
002579_2026-05-29,002579,2026-05-29,d0,,True,True,17.36,17.36,20.76,20.76,20.76,20.76,True,True,False,False,True,False,False,False,False,False,False,unchanged
002771_2026-05-28,002771,2026-05-29,post,1.0,True,True,17.01,17.01,17.7,17.7,17.13,17.13,False,False,False,False,False,False,False,False,False,False,False,unchanged
600172_2026-05-27,600172,2026-05-29,post,2.0,True,True,14.1,14.1,14.54,14.54,13.9,13.9,False,False,False,False,False,False,False,False,False,False,False,unchanged
600520_2026-05-27,600520,2026-05-29,post,2.0,True,True,30.72,30.72,30.35,30.35,28.98,28.98,False,False,True,True,False,True,False,False,False,False,False,unchanged
603032_2026-05-29,603032,2026-05-29,d0,,True,True,25.23,25.23,25.29,25.29,24.58,24.58,False,False,False,False,False,False,False,False,False,False,False,unchanged
000090_2026-06-01,000090,2026-06-01,d0,,False,True,3.79,3.79,,3.69,,3.59,False,False,False,True,False,True,False,False,False,False,True,recovered_label_after_daily_cache_refresh
000759_2026-05-28,000759,2026-06-01,post,2.0,True,True,5.95,5.95,5.85,5.85,5.75,5.75,False,False,False,False,False,False,False,False,False,False,False,unchanged
001257_2026-05-28,001257,2026-06-01,post,2.0,True,True,25.0,25.0,25.89,25.89,25.35,25.35,False,False,False,False,False,False,False,False,False,False,False,unchanged
002251_2026-05-28,002251,2026-06-01,post,2.0,True,True,4.85,4.85,4.96,4.96,4.84,4.84,False,False,False,False,False,False,False,False,False,False,False,unchanged
002771_2026-05-28,002771,2026-06-01,post,2.0,True,True,17.29,17.29,17.33,17.33,16.74,16.74,False,False,False,False,False,False,False,False,False,False,False,unchanged
002806_2026-06-01,002806,2026-06-01,d0,,True,True,17.68,17.68,20.32,20.32,18.8,18.8,True,True,False,False,True,False,False,False,False,False,False,unchanged
600110_2026-06-01,600110,2026-06-01,d0,,True,True,12.18,12.18,12.73,12.73,12.04,12.04,False,False,False,False,False,False,False,False,False,False,False,unchanged
603032_2026-05-29,603032,2026-06-01,post,1.0,True,True,24.6,24.6,26.48,26.48,25.23,25.23,True,True,False,False,True,False,False,False,False,False,False,unchanged
603324_2026-06-01,603324,2026-06-01,d0,,True,True,33.03,33.03,33.77,33.77,32.48,32.48,False,False,False,False,False,False,False,False,False,False,False,unchanged
000090_2026-06-01,000090,2026-06-02,post,1.0,False,True,,3.68,,3.68,,3.52,False,False,False,False,False,False,False,False,False,False,True,recovered_label_after_daily_cache_refresh
002608_2026-06-02,002608,2026-06-02,d0,,True,True,10.0,10.0,10.99,10.99,10.5,10.5,True,True,False,False,True,False,False,False,False,False,False,unchanged
600011_2026-06-02,600011,2026-06-02,d0,,True,True,8.83,8.83,9.06,9.06,8.75,8.75,False,False,False,False,False,False,False,False,False,False,False,unchanged
600110_2026-06-01,600110,2026-06-02,post,1.0,True,True,11.52,11.52,11.9,11.9,11.54,11.54,False,False,False,False,False,False,False,False,False,False,False,unchanged
603032_2026-05-29,603032,2026-06-02,post,2.0,True,True,24.0,24.0,25.14,25.14,24.16,24.16,False,False,False,False,False,False,False,False,False,False,False,unchanged
603324_2026-06-01,603324,2026-06-02,post,1.0,True,True,32.75,32.75,32.57,32.57,31.39,31.39,False,False,False,False,False,False,False,False,False,False,False,unchanged
000055_2026-06-03,000055,2026-06-03,d0,,True,True,3.89,3.89,3.89,3.89,3.67,3.67,False,False,True,True,False,True,False,False,False,False,False,unchanged
001210_2026-06-03,001210,2026-06-03,d0,,True,True,35.37,35.37,26.72,26.72,24.93,24.93,False,False,True,True,False,True,False,False,False,False,False,unchanged
002404_2026-06-03,002404,2026-06-03,d0,,True,True,7.35,7.35,7.57,7.57,7.22,7.22,False,False,False,False,False,False,False,False,False,False,False,unchanged
002421_2026-06-03,002421,2026-06-03,d0,,True,True,4.87,4.87,5.21,5.21,5.21,5.21,False,False,False,False,False,False,False,False,False,False,False,unchanged
002579_2026-06-03,002579,2026-06-03,d0,,True,True,18.88,18.88,19.9,19.9,18.69,18.69,False,False,False,False,False,False,False,False,False,False,False,unchanged
002608_2026-06-02,002608,2026-06-03,post,1.0,True,True,10.03,10.03,11.13,11.13,9.83,9.83,True,True,False,False,True,False,False,False,False,False,False,unchanged
002806_2026-06-01,002806,2026-06-03,post,2.0,True,True,18.62,18.62,21.25,21.25,19.78,19.78,True,True,False,False,True,False,False,False,False,False,False,unchanged
600011_2026-06-02,600011,2026-06-03,post,1.0,True,True,8.91,8.91,8.9,8.9,8.39,8.39,False,False,True,True,False,True,False,False,False,False,False,unchanged
600110_2026-06-01,600110,2026-06-03,post,2.0,True,True,11.89,11.89,11.95,11.95,11.29,11.29,False,False,True,True,False,True,False,False,False,False,False,unchanged
600280_2026-06-03,600280,2026-06-03,d0,,True,True,3.99,3.99,3.94,3.94,3.4,3.4,False,False,True,True,False,True,False,False,False,False,False,unchanged
603045_2026-06-03,603045,2026-06-03,d0,,True,True,73.83,73.83,85.26,85.26,83.41,83.41,True,True,False,False,True,False,False,False,False,False,False,unchanged
603324_2026-06-01,603324,2026-06-03,post,2.0,True,True,31.86,31.86,31.48,31.48,30.18,30.18,False,False,True,True,False,True,False,False,False,False,False,unchanged
