signal_date,feature,count,target7_rate,top_quantile_target7_rate,bottom_quantile_target7_rate,quantile_rate_spread,corr_target7,direction_hint
2026-06-23,active_money_score,91,0.43956043956043955,0.391304347826087,0.631578947368421,-0.24027459954233404,-0.06813330981815328,lower_better
2026-06-24,active_money_score,155,0.27741935483870966,0.2647058823529412,0.34375,-0.07904411764705882,-0.07654540668467098,lower_better
2026-06-25,active_money_score,215,0.20465116279069767,0.16,0.2222222222222222,-0.06222222222222221,-0.040713581396597594,lower_better
2026-06-08,consecutive_boards,48,0.22916666666666666,0.22916666666666666,0.22916666666666666,0.0,,flat
2026-06-09,consecutive_boards,35,0.37142857142857144,0.37142857142857144,0.37142857142857144,0.0,,flat
2026-06-10,consecutive_boards,118,0.2966101694915254,0.2966101694915254,0.2743362831858407,0.02227388630568472,0.23182440673330337,higher_better
2026-06-11,consecutive_boards,171,0.3216374269005848,0.3216374269005848,0.3246753246753247,-0.003037897774739895,-0.0039800409133550025,lower_better
2026-06-12,consecutive_boards,174,0.5229885057471264,0.5229885057471264,0.5133333333333333,0.0096551724137931,0.036682758054243696,higher_better
2026-06-15,consecutive_boards,66,0.15151515151515152,0.15151515151515152,0.11666666666666667,0.03484848484848485,0.3073504281992883,higher_better
2026-06-16,consecutive_boards,96,0.4375,0.4375,0.4375,0.0,,flat
2026-06-17,consecutive_boards,169,0.3609467455621302,0.3609467455621302,0.3464052287581699,0.014541516803960264,0.09362791300647388,higher_better
2026-06-18,consecutive_boards,210,0.37142857142857144,0.37142857142857144,0.35795454545454547,0.013474025974025972,0.04866825600730619,higher_better
2026-06-23,consecutive_boards,91,0.43956043956043955,0.43956043956043955,0.43956043956043955,0.0,,flat
2026-06-24,consecutive_boards,155,0.27741935483870966,0.27741935483870966,0.2624113475177305,0.015008007320979178,0.10637927603986995,higher_better
2026-06-25,consecutive_boards,215,0.20465116279069767,0.20465116279069767,0.1935483870967742,0.011102775693923483,0.1011924255438287,higher_better
2026-06-08,d1_close_ma10_pct,48,0.22916666666666666,0.4,0.2,0.2,0.09449386347180705,higher_better
2026-06-09,d1_close_ma10_pct,35,0.37142857142857144,0.5714285714285714,0.42857142857142855,0.14285714285714285,-0.02285860103654269,higher_better
2026-06-10,d1_close_ma10_pct,118,0.2966101694915254,0.375,0.3333333333333333,0.041666666666666685,0.05760919762186001,higher_better
2026-06-11,d1_close_ma10_pct,171,0.3216374269005848,0.4,0.2571428571428571,0.1428571428571429,0.1450795498290098,higher_better
2026-06-12,d1_close_ma10_pct,174,0.5229885057471264,0.45714285714285713,0.5714285714285714,-0.11428571428571427,-0.00697636015344001,lower_better
2026-06-15,d1_close_ma10_pct,66,0.15151515151515152,0.14285714285714285,0.07142857142857142,0.07142857142857142,0.19473661970926476,higher_better
2026-06-16,d1_close_ma10_pct,96,0.4375,0.45,0.35,0.10000000000000003,-0.0026701322110595934,higher_better
2026-06-17,d1_close_ma10_pct,169,0.3609467455621302,0.47058823529411764,0.29411764705882354,0.1764705882352941,0.1736935368529699,higher_better
2026-06-18,d1_close_ma10_pct,210,0.37142857142857144,0.4523809523809524,0.2619047619047619,0.19047619047619047,0.13687724611478397,higher_better
2026-06-23,d1_close_ma10_pct,91,0.43956043956043955,0.6842105263157895,0.3684210526315789,0.31578947368421056,0.23740676787877,higher_better
2026-06-24,d1_close_ma10_pct,155,0.27741935483870966,0.3225806451612903,0.2903225806451613,0.032258064516129004,0.03269334570354683,higher_better
2026-06-25,d1_close_ma10_pct,215,0.20465116279069767,0.3023255813953488,0.13953488372093023,0.1627906976744186,0.18041501920972258,higher_better
2026-06-08,d1_close_vwap_pct,48,0.22916666666666666,0.2,0.3,-0.09999999999999998,-0.1401356832854057,lower_better
2026-06-09,d1_close_vwap_pct,35,0.37142857142857144,0.42857142857142855,0.2857142857142857,0.14285714285714285,0.05385810554926461,higher_better
2026-06-10,d1_close_vwap_pct,118,0.2966101694915254,0.25,0.16666666666666666,0.08333333333333334,0.035356202406478965,higher_better
2026-06-11,d1_close_vwap_pct,171,0.3216374269005848,0.4,0.22857142857142856,0.17142857142857146,0.12421730392237465,higher_better
2026-06-12,d1_close_vwap_pct,174,0.5229885057471264,0.2571428571428571,0.8,-0.5428571428571429,-0.3981682733203206,lower_better
2026-06-15,d1_close_vwap_pct,66,0.15151515151515152,0.2857142857142857,0.14285714285714285,0.14285714285714285,0.18630340787806318,higher_better
2026-06-16,d1_close_vwap_pct,96,0.4375,0.45,0.45,0.0,0.012997563979440626,flat
2026-06-17,d1_close_vwap_pct,169,0.3609467455621302,0.47058823529411764,0.3235294117647059,0.14705882352941174,0.0653443522640094,higher_better
2026-06-18,d1_close_vwap_pct,210,0.37142857142857144,0.42857142857142855,0.2619047619047619,0.16666666666666663,0.11228415484584522,higher_better
2026-06-23,d1_close_vwap_pct,91,0.43956043956043955,0.42105263157894735,0.47368421052631576,-0.05263157894736842,-0.066654163104432,lower_better
2026-06-24,d1_close_vwap_pct,155,0.27741935483870966,0.2903225806451613,0.2903225806451613,0.0,-0.005515356960973216,flat
2026-06-25,d1_close_vwap_pct,215,0.20465116279069767,0.27906976744186046,0.20930232558139536,0.0697674418604651,0.06613962074837273,higher_better
2026-06-08,d1_low_ma10_pct,48,0.22916666666666666,0.4,0.2,0.2,0.17213281517319354,higher_better
2026-06-09,d1_low_ma10_pct,35,0.37142857142857144,0.5714285714285714,0.5714285714285714,0.0,-0.047791117341759067,flat
2026-06-10,d1_low_ma10_pct,118,0.2966101694915254,0.3333333333333333,0.2916666666666667,0.04166666666666663,0.04593084330242059,higher_better
2026-06-11,d1_low_ma10_pct,171,0.3216374269005848,0.45714285714285713,0.2571428571428571,0.2,0.12170402421785338,higher_better
