left_feature,right_feature,pair_rule,count,target7_count,target7_rate,target7_rate_lift_vs_base,feature_corr
d1_close_vwap_pct,consecutive_boards,both_top_30pct,466,148,0.31759656652360513,-0.02025873063401762,0.05921771475289876
low_absorb_width_pct,days_since_d0,both_top_30pct,256,81,0.31640625,-0.021449047157622747,0.002668905968914762
invalid_distance_pct,days_since_d0,both_top_30pct,256,81,0.31640625,-0.021449047157622747,0.002668905968914762
active_money_score,consecutive_boards,both_top_30pct,535,163,0.30467289719626167,-0.033182399961361075,0.17121674356911973
d1_close_vwap_pct,days_since_d0,both_top_30pct,281,83,0.29537366548042704,-0.04248163167719571,0.00924285103448779
active_money_score,support_score,both_top_30pct,271,80,0.2952029520295203,-0.042652345128102453,0.3903924749463049
active_money_score,days_since_d0,both_top_30pct,241,71,0.2946058091286307,-0.043249488028992034,-0.23059311418553669
active_money_score,low_absorb_width_pct,both_top_30pct,180,53,0.29444444444444445,-0.043410852713178294,-0.004685267574361528
active_money_score,invalid_distance_pct,both_top_30pct,180,53,0.29444444444444445,-0.043410852713178294,-0.004685267574361528
d1_close_vwap_pct,low_absorb_width_pct,both_top_30pct,152,44,0.2894736842105263,-0.04838161294709642,-0.030865667035215715
d1_close_vwap_pct,invalid_distance_pct,both_top_30pct,152,44,0.2894736842105263,-0.04838161294709642,-0.030865667035215715
active_money_score,d1_close_vwap_pct,both_top_30pct,279,79,0.2831541218637993,-0.054701175293823456,0.30986624337690233
support_score,days_since_d0,both_top_30pct,295,83,0.28135593220338984,-0.05649936495423291,-0.04468985802709421
support_score,low_absorb_width_pct,both_top_30pct,146,39,0.2671232876712329,-0.07073200948638986,-0.07619081149568285
support_score,invalid_distance_pct,both_top_30pct,146,39,0.2671232876712329,-0.07073200948638986,-0.07619081149568285
