event_id,signal_date,code,board_group,stage1_score,stage1_rank,top1,top2,top3,d2_date,d3_date,d2_open_daily,d3_high_daily,target7,positive_non_target,loss,severe_loss,raw_repair_return,capped_return_7
002628_2026-07-01,2026-07-01,002628,BOARD2,0.544411243541,14,False,False,False,2026-07-02,2026-07-03,5.47,5.55,0,1,0,0,0.0146252285192,0.0146252285192
603033_2026-07-01,2026-07-01,603033,BOARD2,0.541720226648,15,False,False,False,2026-07-02,2026-07-03,10.1,10.73,0,1,0,0,0.0623762376238,0.0623762376238
603222_2026-07-01,2026-07-01,603222,BOARD2,0.539427009932,16,False,False,False,2026-07-02,2026-07-03,8.24,8.54,0,1,0,0,0.0364077669903,0.0364077669903
002638_2026-07-01,2026-07-01,002638,BOARD2,0.535730739531,17,False,False,False,2026-07-02,2026-07-03,4.32,4.22,0,0,1,0,-0.0231481481481,-0.0231481481481
002407_2026-07-02,2026-07-02,002407,BOARD3,0.596868166644,1,True,True,True,2026-07-03,2026-07-06,54.57,50.9,0,0,1,1,-0.0672530694521,-0.0672530694521
603379_2026-07-02,2026-07-02,603379,BOARD2,0.590785197299,2,False,True,True,2026-07-03,2026-07-06,80,76.07,0,0,1,0,-0.049125,-0.049125
002167_2026-07-02,2026-07-02,002167,BOARD2,0.584402219082,3,False,False,True,2026-07-03,2026-07-06,26.1,26.3,0,1,0,0,0.00766283524904,0.00766283524904
600113_2026-07-02,2026-07-02,600113,BOARD3,0.5796906718,4,False,False,False,2026-07-03,2026-07-06,36.5,35.64,0,0,1,0,-0.0235616438356,-0.0235616438356
603991_2026-07-02,2026-07-02,603991,BOARD2,0.575808667661,5,False,False,False,2026-07-03,2026-07-06,152.83,158.28,0,1,0,0,0.0356605378525,0.0356605378525
002396_2026-07-02,2026-07-02,002396,BOARD2,0.571563532043,6,False,False,False,2026-07-03,2026-07-06,23.4,25.74,1,0,0,0,0.1,0.07
603120_2026-07-02,2026-07-02,603120,BOARD2,0.571075104713,7,False,False,False,2026-07-03,2026-07-06,60.13,58.96,0,0,1,0,-0.0194578413438,-0.0194578413438
002929_2026-07-02,2026-07-02,002929,BOARD2,0.565629583841,8,False,False,False,2026-07-03,2026-07-06,69.65,69.99,0,1,0,0,0.00488155061019,0.00488155061019
000620_2026-07-02,2026-07-02,000620,BOARD2,0.560846583917,9,False,False,False,2026-07-03,2026-07-06,3.68,3.85,0,1,0,0,0.0461956521739,0.0461956521739
002273_2026-07-02,2026-07-02,002273,BOARD2,0.560213095017,10,False,False,False,2026-07-03,2026-07-06,39.24,38.09,0,0,1,0,-0.0293068297655,-0.0293068297655
002738_2026-07-02,2026-07-02,002738,BOARD2,0.559882196197,11,False,False,False,2026-07-03,2026-07-06,66.05,68.18,0,1,0,0,0.0322482967449,0.0322482967449
002747_2026-07-02,2026-07-02,002747,BOARD2,0.557894998444,12,False,False,False,2026-07-03,2026-07-06,42.02,48.3,1,0,0,0,0.149452641599,0.07
001399_2026-07-02,2026-07-02,001399,BOARD2,0.551085069999,13,False,False,False,2026-07-03,2026-07-06,46,42.81,0,0,1,1,-0.069347826087,-0.069347826087
600783_2026-07-02,2026-07-02,600783,BOARD2,0.547884101882,14,False,False,False,2026-07-03,2026-07-06,21.53,22.37,0,1,0,0,0.0390153274501,0.0390153274501
000603_2026-07-02,2026-07-02,000603,BOARD2,0.543351182528,15,False,False,False,2026-07-03,2026-07-06,25.45,26,0,1,0,0,0.0216110019646,0.0216110019646
002053_2026-07-02,2026-07-02,002053,BOARD2,0.542756221081,16,False,False,False,2026-07-03,2026-07-06,9.8,10.1,0,1,0,0,0.030612244898,0.030612244898
001331_2026-07-02,2026-07-02,001331,BOARD2,0.541992224054,17,False,False,False,2026-07-03,2026-07-06,62.99,66.34,0,1,0,0,0.0531830449278,0.0531830449278
600076_2026-07-02,2026-07-02,600076,BOARD2,0.541204166275,18,False,False,False,2026-07-03,2026-07-06,3.43,3.48,0,1,0,0,0.0145772594752,0.0145772594752
603212_2026-07-02,2026-07-02,603212,BOARD2,0.531871652326,19,False,False,False,2026-07-03,2026-07-06,12.9,12.77,0,0,1,0,-0.0100775193798,-0.0100775193798
600641_2026-07-03,2026-07-03,600641,BOARD3,0.595268286407,1,True,True,True,2026-07-06,2026-07-07,46.36,45.88,0,0,1,0,-0.0103537532355,-0.0103537532355
002559_2026-07-03,2026-07-03,002559,BOARD2,0.586803838448,2,False,True,True,2026-07-06,2026-07-07,14.32,13.79,0,0,1,0,-0.0370111731844,-0.0370111731844
605488_2026-07-03,2026-07-03,605488,BOARD2,0.575203439877,3,False,False,True,2026-07-06,2026-07-07,33.8,33.5,0,0,1,0,-0.00887573964497,-0.00887573964497
000536_2026-07-03,2026-07-03,000536,BOARD2,0.574848137133,4,False,False,False,2026-07-06,2026-07-07,3.91,3.78,0,0,1,0,-0.0332480818414,-0.0332480818414
002826_2026-07-03,2026-07-03,002826,BOARD2,0.565736269328,5,False,False,False,2026-07-06,2026-07-07,17.92,18.49,0,1,0,0,0.0318080357143,0.0318080357143
603538_2026-07-03,2026-07-03,603538,BOARD2,0.561437317122,6,False,False,False,2026-07-06,2026-07-07,37.61,45.74,1,0,0,0,0.216165913321,0.07
000520_2026-07-03,2026-07-03,000520,BOARD2,0.55804888901,7,False,False,False,2026-07-06,2026-07-07,4.66,4.79,0,1,0,0,0.0278969957082,0.0278969957082
002458_2026-07-03,2026-07-03,002458,BOARD2,0.557797846191,8,False,False,False,2026-07-06,2026-07-07,9,9.22,0,1,0,0,0.0244444444444,0.0244444444444
603505_2026-07-03,2026-07-03,603505,BOARD2,0.55502431412,9,False,False,False,2026-07-06,2026-07-07,22.09,20.45,0,0,1,1,-0.0742417383431,-0.0742417383431
002971_2026-07-03,2026-07-03,002971,BOARD2,0.547043098341,10,False,False,False,2026-07-06,2026-07-07,69.14,64.51,0,0,1,1,-0.06696557709,-0.06696557709
