model_head,factor,bucket,bucket_n,bucket_target7_rate,bucket_tail_rate,bucket_avg_close_return
d0_target,break_touched_limit_up,1,47,0.3617021276595745,0.3617021276595745,-0.018795131395021716
d0_target,break_opened_from_limit_up,0,273,0.3333333333333333,0.2673992673992674,0.0021842818136247103
d0_target,break_opened_from_limit_up,1,7,0.2857142857142857,0.42857142857142855,-0.05295600310988476
d0_target,board_streak_is_3,0,236,0.3177966101694915,0.2584745762711864,0.00295603987659872
d0_target,board_streak_is_3,1,44,0.4090909090909091,0.3409090909090909,-0.010727465852885122
d0_tail,d1_close_to_ma5_raw,0,3,0.3333333333333333,0.3333333333333333,0.024474239756238237
d0_tail,d1_close_to_ma5_raw,1,277,0.33212996389891697,0.27075812274368233,0.0005494375237604265
d0_tail,ma5_gap_clipped,0,3,0.3333333333333333,0.3333333333333333,0.024474239756238237
d0_tail,ma5_gap_clipped,1,277,0.33212996389891697,0.27075812274368233,0.0005494375237604265
d0_tail,ma5_below_minus_2_hinge,0,280,0.33214285714285713,0.2714285714285714,0.0008057746905369736
d0_tail,ma5_above_5_hinge,0,56,0.35714285714285715,0.26785714285714285,0.012404410954751558
d0_tail,ma5_above_5_hinge,1,224,0.32589285714285715,0.27232142857142855,-0.0020938843755166727
d0_tail,ma5_above_10_hinge,0,160,0.375,0.25,0.00783246081868685
d0_tail,ma5_above_10_hinge,1,120,0.275,0.3,-0.008563140146996195
d0_tail,d1_true_reclaim_ma5,0,265,0.32452830188679244,0.2792452830188679,-0.0011611119708521286
d0_tail,d1_true_reclaim_ma5,1,15,0.4666666666666667,0.13333333333333333,0.03555410570841111
d0_tail,d1_close_to_ma5_bucket,above_plus_10pct,120,0.275,0.3,-0.008563140146996195
d0_tail,d1_close_to_ma5_bucket,near_ma5,17,0.4117647058823529,0.17647058823529413,0.023119091565688706
d0_tail,d1_close_to_ma5_bucket,plus_2_to_plus_5pct,39,0.3333333333333333,0.3076923076923077,0.007733909149984081
d0_tail,d1_close_to_ma5_bucket,plus_5_to_plus_10pct,104,0.38461538461538464,0.2403846153846154,0.005370641514652007
d0_tail,d1_open_to_close_return_raw,0,173,0.3815028901734104,0.26011560693641617,0.007431942889668948
d0_tail,d1_open_to_close_return_raw,1,107,0.2523364485981308,0.2897196261682243,-0.00990756267815304
d0_tail,d1_oc_return_clipped,0,173,0.3815028901734104,0.26011560693641617,0.007431942889668948
d0_tail,d1_oc_return_clipped,1,107,0.2523364485981308,0.2897196261682243,-0.00990756267815304
d0_tail,d1_repair_above_2_hinge,0,207,0.34782608695652173,0.2608695652173913,0.0062261660485103615
d0_tail,d1_repair_above_2_hinge,1,73,0.2876712328767123,0.3013698630136986,-0.014564376146456056
d0_tail,d1_repair_above_5_flag,0,243,0.3333333333333333,0.2716049382716049,0.001323867313889816
d0_tail,d1_repair_above_5_flag,1,37,0.32432432432432434,0.2702702702702703,-0.002596833619591154
d0_tail,d1_open_to_close_bucket,above_plus_5pct,37,0.32432432432432434,0.2702702702702703,-0.002596833619591154
d0_tail,d1_open_to_close_bucket,below_minus_5pct,71,0.36619718309859156,0.2676056338028169,0.01177236592915061
d0_tail,d1_open_to_close_bucket,minus_2_to_0pct,32,0.53125,0.1875,0.025026880736202364
d0_tail,d1_open_to_close_bucket,minus_5_to_minus_2pct,67,0.3283582089552239,0.2835820895522388,-0.00457096518745778
d0_tail,d1_open_to_close_bucket,plus_2_to_plus_5pct,36,0.25,0.3333333333333333,-0.026864350410178314
d0_tail,d1_open_to_close_bucket,zero_to_plus_2pct,37,0.1891891891891892,0.2702702702702703,-0.0011250574304554803
d0_tail,d1_high_to_close_drawdown_raw,0,3,0.6666666666666666,0.3333333333333333,-0.0324879026966562
d0_tail,d1_high_to_close_drawdown_raw,1,277,0.3285198555956679,0.27075812274368233,0.001166356034080582
d0_tail,d1_close_location,0,23,0.43478260869565216,0.2608695652173913,0.009022593359075473
d0_tail,d1_close_location,1,257,0.3229571984435798,0.2723735408560311,7.041737778839307e-05
d0_tail,d1_close_to_vwap_raw,0,166,0.3313253012048193,0.2891566265060241,-0.0025025502666629726
d0_tail,d1_close_to_vwap_raw,1,114,0.3333333333333333,0.24561403508771928,0.005623160154529879
d0_tail,volume_above_d1_close_ratio,1,280,0.33214285714285713,0.2714285714285714,0.0008057746905369736
d0_tail,late_day_sell_volume_ratio,0,13,0.46153846153846156,0.23076923076923078,0.010461192002976957
d0_tail,late_day_sell_volume_ratio,1,267,0.3258426966292135,0.27340823970037453,0.0003356607389949542
d0_tail,down_bar_volume_ratio,0,2,0.5,0.5,-0.0572662860638189
d0_tail,down_bar_volume_ratio,1,278,0.33093525179856115,0.2697841726618705,0.0012235593002805421
d0_tail,break_volume_ratio_vs_board_days,1,280,0.33214285714285713,0.2714285714285714,0.0008057746905369736
d0_tail,break_volume_log_ratio,0,20,0.35,0.3,0.000917727745170409
d0_tail,break_volume_log_ratio,1,260,0.33076923076923076,0.2692307692307692,0.0007971629171036328
d0_tail,break_volume_distance_from_one,1,280,0.33214285714285713,0.2714285714285714,0.0008057746905369736
d0_tail,break_high_to_close_drawdown,0,3,0.6666666666666666,0.3333333333333333,-0.0324879026966562
d0_tail,break_high_to_close_drawdown,1,277,0.3285198555956679,0.27075812274368233,0.001166356034080582
d0_tail,break_close_location,0,23,0.43478260869565216,0.2608695652173913,0.009022593359075473
d0_tail,break_close_location,1,257,0.3229571984435798,0.2723735408560311,7.041737778839307e-05
d0_tail,break_touched_limit_up,0,233,0.3261802575107296,0.2532188841201717,0.004759605531829928
d0_tail,break_touched_limit_up,1,47,0.3617021276595745,0.3617021276595745,-0.018795131395021716
d0_tail,break_opened_from_limit_up,0,273,0.3333333333333333,0.2673992673992674,0.0021842818136247103
d0_tail,break_opened_from_limit_up,1,7,0.2857142857142857,0.42857142857142855,-0.05295600310988476
d0_tail,board_streak_is_3,0,236,0.3177966101694915,0.2584745762711864,0.00295603987659872
d0_tail,board_streak_is_3,1,44,0.4090909090909091,0.3409090909090909,-0.010727465852885122
post_target,d1_close_to_ma5_raw,0,171,0.38011695906432746,0.3508771929824561,0.00586016041260325
post_target,d1_close_to_ma5_raw,1,277,0.30324909747292417,0.33574007220216606,-0.006040883373887268
post_target,ma5_gap_clipped,0,171,0.38011695906432746,0.3508771929824561,0.00586016041260325
post_target,ma5_gap_clipped,1,277,0.30324909747292417,0.33574007220216606,-0.006040883373887268
post_target,ma5_below_minus_2_hinge,0,331,0.3202416918429003,0.3413897280966767,-0.0038887190658869614
post_target,ma5_below_minus_2_hinge,1,117,0.36752136752136755,0.3418803418803419,0.005264348263221937
post_target,ma5_above_5_hinge,0,322,0.35714285714285715,0.32608695652173914,0.00306153636938268
post_target,ma5_above_5_hinge,1,126,0.2698412698412698,0.38095238095238093,-0.013151206150419373
post_target,ma5_above_10_hinge,0,410,0.33414634146341465,0.32926829268292684,4.8875380531122314e-05
post_target,ma5_above_10_hinge,1,38,0.3157894736842105,0.47368421052631576,-0.018191478158667854
post_target,d1_true_reclaim_ma5,0,324,0.3425925925925926,0.345679012345679,0.0004647624923208774
post_target,d1_true_reclaim_ma5,1,124,0.3064516129032258,0.33064516129032256,-0.006627583157448245
post_target,d1_close_to_ma5_bucket,above_plus_10pct,38,0.3157894736842105,0.47368421052631576,-0.018191478158667854
post_target,d1_close_to_ma5_bucket,below_minus_5pct,51,0.45098039215686275,0.27450980392156865,0.009919703368553343
post_target,d1_close_to_ma5_bucket,minus_5_to_minus_2pct,66,0.30303030303030304,0.3939393939393939,0.0016670284091022149
post_target,d1_close_to_ma5_bucket,near_ma5,115,0.3217391304347826,0.391304347826087,-0.008097463738168983
post_target,d1_close_to_ma5_bucket,plus_2_to_plus_5pct,90,0.3888888888888889,0.2222222222222222,0.014456603267040994
post_target,d1_close_to_ma5_bucket,plus_5_to_plus_10pct,88,0.25,0.3409090909090909,-0.010974725055948441
post_target,d1_open_to_close_return_raw,0,255,0.3607843137254902,0.33725490196078434,0.0023762822197285756
post_target,d1_open_to_close_return_raw,1,193,0.29533678756476683,0.3471502590673575,-0.00661756077742179
post_target,d1_oc_return_clipped,0,255,0.3607843137254902,0.33725490196078434,0.0023762822197285756
post_target,d1_oc_return_clipped,1,193,0.29533678756476683,0.3471502590673575,-0.00661756077742179
post_target,d1_repair_above_2_hinge,0,318,0.3584905660377358,0.3333333333333333,0.002723453629247413
post_target,d1_repair_above_2_hinge,1,130,0.2692307692307692,0.36153846153846153,-0.011825350139325352
post_target,d1_repair_above_5_flag,0,390,0.3435897435897436,0.3384615384615385,0.0009539712331559247
post_target,d1_repair_above_5_flag,1,58,0.25862068965517243,0.3620689655172414,-0.01798769043004187
post_target,d1_open_to_close_bucket,above_plus_5pct,58,0.25862068965517243,0.3620689655172414,-0.01798769043004187
post_target,d1_open_to_close_bucket,below_minus_5pct,57,0.47368421052631576,0.3157894736842105,0.017564406091684637
post_target,d1_open_to_close_bucket,minus_2_to_0pct,75,0.32,0.3466666666666667,0.0004355808981246348
post_target,d1_open_to_close_bucket,minus_5_to_minus_2pct,109,0.3302752293577982,0.3394495412844037,-0.002772532948882046
post_target,d1_open_to_close_bucket,plus_2_to_plus_5pct,72,0.2777777777777778,0.3611111111111111,-0.006861242682914824
post_target,d1_open_to_close_bucket,zero_to_plus_2pct,77,0.35064935064935066,0.3246753246753247,0.0017457744278370011
post_target,d1_high_to_close_drawdown_raw,0,9,0.5555555555555556,0.3333333333333333,0.014191941377749682
post_target,d1_high_to_close_drawdown_raw,1,439,0.32801822323462415,0.3416856492027335,-0.0018199652310053873
post_target,d1_close_location,0,40,0.55,0.325,0.011841482664253136
post_target,d1_close_location,1,408,0.3112745098039216,0.3431372549019608,-0.0028061190455434897
post_target,d1_close_to_vwap_raw,0,252,0.373015873015873,0.32936507936507936,0.0037555279372240347
post_target,d1_close_to_vwap_raw,1,196,0.28061224489795916,0.35714285714285715,-0.008253215837714668
post_target,volume_above_d1_close_ratio,1,448,0.3325892857142857,0.34151785714285715,-0.0014982974643116477
post_target,late_day_sell_volume_ratio,0,27,0.5925925925925926,0.25925925925925924,0.02654930815670093
post_target,late_day_sell_volume_ratio,1,421,0.3159144893111639,0.34679334916864607,-0.0032970750219537834
post_target,down_bar_volume_ratio,0,6,0.6666666666666666,0.3333333333333333,0.01709161927163237
post_target,down_bar_volume_ratio,1,442,0.32805429864253394,0.3416289592760181,-0.001750649275206816
post_target,break_volume_ratio_vs_board_days,1,448,0.3325892857142857,0.34151785714285715,-0.0014982974643116477
post_target,break_volume_log_ratio,0,32,0.46875,0.25,0.017763487980240862
post_target,break_volume_log_ratio,1,416,0.32211538461538464,0.3485576923076923,-0.0029799732677387647
post_target,break_volume_distance_from_one,1,448,0.3325892857142857,0.34151785714285715,-0.0014982974643116477
post_target,break_high_to_close_drawdown,0,5,0.4,0.4,-0.013085759513682498
post_target,break_high_to_close_drawdown,1,443,0.33182844243792325,0.34085778781038373,-0.0013675134682690879
post_target,break_close_location,0,37,0.43243243243243246,0.32432432432432434,0.015832801214743675
post_target,break_close_location,1,411,0.3236009732360097,0.34306569343065696,-0.0030585180266596936
post_target,break_touched_limit_up,0,368,0.33152173913043476,0.32608695652173914,0.0009693660141492427
post_target,break_touched_limit_up,1,80,0.3375,0.4125,-0.012849549465231752
post_target,break_opened_from_limit_up,0,438,0.3356164383561644,0.3378995433789954,-0.001141573273563821
post_target,break_opened_from_limit_up,1,10,0.2,0.5,-0.01712281701906648
post_target,board_streak_is_3,0,371,0.33153638814016173,0.33692722371967654,-0.0014280338959096555
post_target,board_streak_is_3,1,77,0.33766233766233766,0.36363636363636365,-0.0018368401120667113
post_target,post_day,1,448,0.3325892857142857,0.34151785714285715,-0.0014982974643116477
post_tail,d1_close_to_ma5_raw,0,171,0.38011695906432746,0.3508771929824561,0.00586016041260325
