event_id,code,signal_date,stage_group,sample_role_v021,daily_d2open_to_d3high_return,audit_minute_d2open_to_d3high_return,target_return_daily_minus_minute,daily_d2open_to_d3close_return,audit_minute_d2open_to_d3close_return,close_return_daily_minus_minute,target7_daily_d2open_d3high,audit_minute_target7,target_label_daily_vs_minute_same,tail_loss_daily_5pct,audit_minute_tail_loss,tail_label_daily_vs_minute_same,d2_open_daily,audit_minute_d2_open,d2_open_daily_minus_minute,d3_high_daily,audit_minute_d3_high,d3_high_daily_minus_minute,d3_close_daily,audit_minute_d3_close,d3_close_daily_minus_minute,daily_label_quality_ok,daily_label_quality_reason,section,metric,value
000980_2026-05-06,000980,2026-05-08,post,SENSITIVITY_MAY_COMPLETE,0.06060606060606055,0.0606060606060605,5.551115123125783e-17,0.037878787878787845,0.0378787878787878,4.85722573273506e-17,False,False,True,False,False,True,2.64,2.64,0.0,2.8,2.8,0.0,2.74,2.74,0.0,True,ok,per_row,,
002217_2026-05-08,002217,2026-05-08,d0,SENSITIVITY_MAY_COMPLETE,0.022471910112359605,0.0224719101123596,6.938893903907228e-18,-0.0252808988764045,-0.0252808988764045,0.0,False,False,True,False,False,True,3.56,3.56,0.0,3.64,3.64,0.0,3.47,3.47,0.0,True,ok,per_row,,
002645_2026-05-06,002645,2026-05-08,post,SENSITIVITY_MAY_COMPLETE,0.07648320228734806,0.076483202287348,5.551115123125783e-17,0.027519656897784017,0.027519656897784,1.734723475976807e-17,True,True,True,False,False,True,27.98,27.98,0.0,30.12,30.12,0.0,28.75,28.75,0.0,True,ok,per_row,,
600714_2026-05-06,600714,2026-05-08,post,SENSITIVITY_MAY_COMPLETE,0.11515151515151523,0.1151515151515152,2.7755575615628914e-17,0.09956709956709942,0.0995670995670994,1.3877787807814457e-17,True,True,True,False,False,True,23.1,23.1,0.0,25.76,25.76,0.0,25.4,25.4,0.0,True,ok,per_row,,
605099_2026-05-06,605099,2026-05-08,post,SENSITIVITY_MAY_COMPLETE,0.021352313167259718,0.0213523131672597,1.734723475976807e-17,0.007512850929221049,0.007512850929221,4.85722573273506e-17,False,False,True,False,False,True,50.58,50.58,0.0,51.66,51.66,0.0,50.96,50.96,0.0,True,ok,per_row,,
000720_2026-05-11,000720,2026-05-11,d0,SENSITIVITY_MAY_COMPLETE,0.11586452762923338,0.1158645276292333,8.326672684688674e-17,0.11586452762923338,0.1158645276292333,8.326672684688674e-17,True,True,True,False,False,True,5.61,5.61,0.0,6.26,6.26,0.0,6.26,6.26,0.0,True,ok,per_row,,
002217_2026-05-08,002217,2026-05-11,post,SENSITIVITY_MAY_COMPLETE,0.016759776536312776,0.0167597765363127,7.632783294297951e-17,-0.011173184357541888,-0.0111731843575418,-8.847089727481716e-17,False,False,True,False,False,True,3.58,3.58,0.0,3.64,3.64,0.0,3.54,3.54,0.0,True,ok,per_row,,
600936_2026-05-11,600936,2026-05-11,d0,SENSITIVITY_MAY_COMPLETE,0.07843137254901977,0.0784313725490197,6.938893903907228e-17,0.05294117647058827,0.0529411764705882,6.938893903907228e-17,True,True,True,False,False,True,5.1,5.1,0.0,5.5,5.5,0.0,5.37,5.37,0.0,True,ok,per_row,,
603636_2026-05-11,603636,2026-05-11,d0,SENSITIVITY_MAY_COMPLETE,0.07363636363636372,0.0736363636363637,2.7755575615628914e-17,0.06545454545454543,0.0654545454545454,2.7755575615628914e-17,True,True,True,False,False,True,11.0,11.0,0.0,11.81,11.81,0.0,11.72,11.72,0.0,True,ok,per_row,,
000720_2026-05-11,000720,2026-05-12,post,SENSITIVITY_MAY_COMPLETE,0.1276978417266188,0.1276978417266188,0.0,0.04856115107913683,0.0485611510791368,3.469446951953614e-17,True,True,True,False,False,True,5.56,5.56,0.0,6.27,6.27,0.0,5.83,5.83,0.0,True,ok,per_row,,
002030_2026-05-12,002030,2026-05-12,d0,SENSITIVITY_MAY_COMPLETE,0.002949852507374562,0.0029498525073745,6.201636426617085e-17,-0.0663716814159292,-0.0663716814159292,0.0,False,False,True,True,True,True,6.78,6.78,0.0,6.8,6.8,0.0,6.33,6.33,0.0,True,ok,per_row,,
002217_2026-05-08,002217,2026-05-12,post,SENSITIVITY_MAY_COMPLETE,0.029069767441860517,0.0290697674418605,1.734723475976807e-17,-0.023255813953488413,-0.0232558139534884,-1.3877787807814457e-17,False,False,True,False,False,True,3.44,3.44,0.0,3.54,3.54,0.0,3.36,3.36,0.0,True,ok,per_row,,
600748_2026-05-12,600748,2026-05-12,d0,SENSITIVITY_MAY_COMPLETE,0.006837606837606813,0.0068376068376068,1.3010426069826053e-17,-0.04102564102564088,-0.0410256410256408,-8.326672684688674e-17,False,False,True,False,False,True,5.85,5.85,0.0,5.89,5.89,0.0,5.61,5.61,0.0,True,ok,per_row,,
600936_2026-05-11,600936,2026-05-12,post,SENSITIVITY_MAY_COMPLETE,0.15234375,0.15234375,0.0,0.046875,0.046875,0.0,True,True,True,False,False,True,5.12,5.12,0.0,5.9,5.9,0.0,5.36,5.36,0.0,True,ok,per_row,,
603636_2026-05-11,603636,2026-05-12,post,SENSITIVITY_MAY_COMPLETE,0.022927689594356204,0.0229276895943562,3.469446951953614e-18,-0.04850088183421519,-0.0485008818342151,-9.020562075079397e-17,False,False,True,False,False,True,11.34,11.34,0.0,11.6,11.6,0.0,10.79,10.79,0.0,True,ok,per_row,,
000029_2026-05-13,000029,2026-05-13,d0,SENSITIVITY_MAY_COMPLETE,0.12673937570515226,0.1267393757051522,5.551115123125783e-17,0.08725084618277545,0.0872508461827754,5.551115123125783e-17,True,True,True,False,False,True,26.59,26.59,0.0,29.96,29.96,0.0,28.91,28.91,0.0,True,ok,per_row,,
002030_2026-05-12,002030,2026-05-13,post,SENSITIVITY_MAY_COMPLETE,-0.04797601199400303,-0.047976011994003,-3.469446951953614e-17,-0.09445277361319337,-0.0944527736131933,-6.938893903907228e-17,False,False,True,True,True,True,6.67,6.67,0.0,6.35,6.35,0.0,6.04,6.04,0.0,True,ok,per_row,,
600748_2026-05-12,600748,2026-05-13,post,SENSITIVITY_MAY_COMPLETE,-0.022530329289428108,-0.0225303292894281,-6.938893903907228e-18,-0.10398613518197564,-0.1039861351819756,-4.163336342344337e-17,False,False,True,True,True,True,5.77,5.77,0.0,5.64,5.64,0.0,5.17,5.17,0.0,True,ok,per_row,,
600936_2026-05-11,600936,2026-05-13,post,SENSITIVITY_MAY_COMPLETE,0.03351955307262555,0.0335195530726255,4.85722573273506e-17,0.01862197392923637,0.0186219739292363,6.938893903907228e-17,False,False,True,False,False,True,5.37,5.37,0.0,5.55,5.55,0.0,5.47,5.47,0.0,True,ok,per_row,,
603636_2026-05-11,603636,2026-05-13,post,SENSITIVITY_MAY_COMPLETE,0.025217391304347858,0.0252173913043478,5.898059818321144e-17,-0.034782608695652195,-0.0347826086956521,-9.71445146547012e-17,False,False,True,False,False,True,11.5,11.5,0.0,11.79,11.79,0.0,11.1,11.1,0.0,True,ok,per_row,,
000029_2026-05-13,000029,2026-05-14,post,SENSITIVITY_MAY_COMPLETE,0.08130081300813008,0.08130081300813,8.326672684688674e-17,0.054082714740190996,0.0540827147401909,9.71445146547012e-17,True,True,True,False,False,True,28.29,28.29,0.0,30.59,30.59,0.0,29.82,29.82,0.0,True,ok,per_row,,
002030_2026-05-12,002030,2026-05-14,post,SENSITIVITY_MAY_COMPLETE,0.048973143759873494,0.0489731437598734,9.71445146547012e-17,0.048973143759873494,0.0489731437598734,9.71445146547012e-17,False,False,True,False,False,True,6.33,6.33,0.0,6.64,6.64,0.0,6.64,6.64,0.0,True,ok,per_row,,
600748_2026-05-12,600748,2026-05-14,post,AUDIT_ONLY_MAY_INCOMPLETE,,-0.0415913200723327,,,-0.0524412296564195,,False,False,,False,True,,5.53,5.53,0.0,,5.3,,,5.24,,False,d3_high_invalid|d3_close_invalid,per_row,,
603070_2026-05-14,603070,2026-05-14,d0,SENSITIVITY_MAY_COMPLETE,0.06832298136645942,0.0683229813664594,2.7755575615628914e-17,0.03291925465838497,0.0329192546583849,6.938893903907228e-17,False,False,True,False,False,True,16.1,16.1,0.0,17.2,17.2,0.0,16.63,16.63,0.0,True,ok,per_row,,
000029_2026-05-13,000029,2026-05-15,post,SENSITIVITY_MAY_COMPLETE,0.0738695201933035,0.0738695201933035,0.0,0.015533310321021787,0.0155333103210217,8.673617379884035e-17,True,True,True,False,False,True,28.97,28.97,0.0,31.11,31.11,0.0,29.42,29.42,0.0,True,ok,per_row,,
002782_2026-05-15,002782,2026-05-15,d0,SENSITIVITY_MAY_COMPLETE,0.0849390483680692,0.0849390483680692,0.0,0.0849390483680692,0.0849390483680692,0.0,True,True,True,False,False,True,25.43,25.43,0.0,27.59,27.59,0.0,27.59,27.59,0.0,True,ok,per_row,,
603052_2026-05-15,603052,2026-05-15,d0,SENSITIVITY_MAY_COMPLETE,-0.03154545454545454,-0.0315454545454545,-4.163336342344337e-17,-0.050000000000000044,-0.05,-4.163336342344337e-17,False,False,True,True,True,True,110.0,110.0,0.0,106.53,106.53,0.0,104.5,104.5,0.0,True,ok,per_row,,
603070_2026-05-14,603070,2026-05-15,post,SENSITIVITY_MAY_COMPLETE,0.05217391304347818,0.0521739130434781,8.326672684688674e-17,0.019254658385092993,0.0192546583850929,9.367506770274758e-17,False,False,True,False,False,True,16.1,16.1,0.0,16.94,16.94,0.0,16.41,16.41,0.0,True,ok,per_row,,
603093_2026-05-15,603093,2026-05-15,d0,SENSITIVITY_MAY_COMPLETE,0.09621380846325178,0.0962138084632517,8.326672684688674e-17,0.03919821826280612,0.0391982182628061,1.3877787807814457e-17,True,True,True,False,False,True,22.45,22.45,0.0,24.61,24.61,0.0,23.33,23.33,0.0,True,ok,per_row,,
000601_2026-05-14,000601,2026-05-18,post,SENSITIVITY_MAY_COMPLETE,0.03776041666666674,0.0377604166666667,4.163336342344337e-17,-0.05729166666666663,-0.0572916666666666,-2.7755575615628914e-17,False,False,True,True,True,True,7.68,7.68,0.0,7.97,7.97,0.0,7.24,7.24,0.0,True,ok,per_row,,
000925_2026-05-14,000925,2026-05-18,post,SENSITIVITY_MAY_COMPLETE,-0.007786429365962189,-0.0077864293659621,-8.847089727481716e-17,-0.04338153503893216,-0.0433815350389321,-6.245004513516506e-17,False,False,True,False,False,True,8.99,8.99,0.0,8.92,8.92,0.0,8.6,8.6,0.0,True,ok,per_row,,
001210_2026-05-15,001210,2026-05-18,post,SENSITIVITY_MAY_COMPLETE,0.08778625954198471,0.0877862595419847,1.3877787807814457e-17,0.07737682165163084,0.0773768216516308,4.163336342344337e-17,True,True,True,False,False,True,28.82,28.82,0.0,31.35,31.35,0.0,31.05,31.05,0.0,True,ok,per_row,,
002782_2026-05-15,002782,2026-05-18,post,SENSITIVITY_MAY_COMPLETE,0.21399999999999997,0.2139999999999999,5.551115123125783e-17,0.21399999999999997,0.2139999999999999,5.551115123125783e-17,True,True,True,False,False,True,25.0,25.0,0.0,30.35,30.35,0.0,30.35,30.35,0.0,True,ok,per_row,,
002971_2026-05-18,002971,2026-05-18,d0,SENSITIVITY_MAY_COMPLETE,0.046664909042974045,0.046664909042974,4.85722573273506e-17,-0.0034273662008964534,-0.0034273662008964,-5.334274688628682e-17,False,False,True,False,False,True,37.93,37.93,0.0,39.7,39.7,0.0,37.8,37.8,0.0,True,ok,per_row,,
600156_2026-05-15,600156,2026-05-18,post,SENSITIVITY_MAY_COMPLETE,-0.03353658536585358,-0.0335365853658535,-7.632783294297951e-17,-0.09679878048780488,-0.0967987804878048,-8.326672684688674e-17,False,False,True,True,True,True,13.12,13.12,0.0,12.68,12.68,0.0,11.85,11.85,0.0,True,ok,per_row,,
603007_2026-05-15,603007,2026-05-18,post,SENSITIVITY_MAY_COMPLETE,0.0563204005006257,0.0563204005006257,0.0,-0.06132665832290363,-0.0613266583229036,-2.7755575615628914e-17,False,False,True,True,True,True,7.99,7.99,0.0,8.44,8.44,0.0,7.5,7.5,0.0,True,ok,per_row,,
603052_2026-05-15,603052,2026-05-18,post,SENSITIVITY_MAY_COMPLETE,0.004271844660194146,0.0042718446601941,4.597017211338539e-17,-0.005922330097087425,-0.0059223300970874,-2.5153490401663703e-17,False,False,True,False,False,True,103.0,103.0,0.0,103.44,103.44,0.0,102.39,102.39,0.0,True,ok,per_row,,
603070_2026-05-14,603070,2026-05-18,post,SENSITIVITY_MAY_COMPLETE,-0.01318944844124692,-0.0131894484412469,-2.0816681711721685e-17,-0.033573141486810454,-0.0335731414868104,-5.551115123125783e-17,False,False,True,False,False,True,16.68,16.68,0.0,16.46,16.46,0.0,16.12,16.12,0.0,True,ok,per_row,,
603093_2026-05-15,603093,2026-05-18,post,SENSITIVITY_MAY_COMPLETE,-0.005046257359125339,-0.0050462573591253,-3.903127820947816e-17,-0.038687973086627525,-0.0386879730866275,-2.7755575615628914e-17,False,False,True,False,False,True,23.78,23.78,0.0,23.66,23.66,0.0,22.86,22.86,0.0,True,ok,per_row,,
603203_2026-05-14,603203,2026-05-18,post,SENSITIVITY_MAY_COMPLETE,0.1374005305039787,0.1374005305039787,0.0,0.10380194518125552,0.1038019451812555,1.3877787807814457e-17,True,True,True,False,False,True,56.55,56.55,0.0,64.32,64.32,0.0,62.42,62.42,0.0,True,ok,per_row,,
001210_2026-05-15,001210,2026-05-19,post,SENSITIVITY_MAY_COMPLETE,0.03389261744966432,0.0338926174496643,2.0816681711721685e-17,-0.016778523489932917,-0.0167785234899329,-1.734723475976807e-17,False,False,True,False,False,True,29.8,29.8,0.0,30.81,30.81,0.0,29.3,29.3,0.0,True,ok,per_row,,
002971_2026-05-18,002971,2026-05-19,post,SENSITIVITY_MAY_COMPLETE,-0.029839326702371882,-0.0298393267023718,-8.326672684688674e-17,-0.11502167814333075,-0.1150216781433307,-5.551115123125783e-17,False,False,True,True,True,True,39.21,39.21,0.0,38.04,38.04,0.0,34.7,34.7,0.0,True,ok,per_row,,
600156_2026-05-15,600156,2026-05-19,post,SENSITIVITY_MAY_COMPLETE,0.03001579778830954,0.0300157977883095,3.8163916471489756e-17,0.03001579778830954,0.0300157977883095,3.8163916471489756e-17,False,False,True,False,False,True,12.66,12.66,0.0,13.04,13.04,0.0,13.04,13.04,0.0,True,ok,per_row,,
601133_2026-05-19,601133,2026-05-19,d0,SENSITIVITY_MAY_COMPLETE,0.190651085141903,0.190651085141903,0.0,0.10617696160267132,0.1061769616026713,1.3877787807814457e-17,True,True,True,False,False,True,29.95,29.95,0.0,35.66,35.66,0.0,33.13,33.13,0.0,True,ok,per_row,,
603007_2026-05-15,603007,2026-05-19,post,SENSITIVITY_MAY_COMPLETE,-0.07322929171668668,-0.0732292917166866,-8.326672684688674e-17,-0.17166866746698672,-0.1716686674669867,-2.7755575615628914e-17,False,False,True,True,True,True,8.33,8.33,0.0,7.72,7.72,0.0,6.9,6.9,0.0,True,ok,per_row,,
603052_2026-05-15,603052,2026-05-19,post,SENSITIVITY_MAY_COMPLETE,0.02682067345340644,0.0268206734534064,4.163336342344337e-17,-0.07811276429130765,-0.0781127642913076,-4.163336342344337e-17,False,False,True,True,True,True,102.16,102.16,0.0,104.9,104.9,0.0,94.18,94.18,0.0,True,ok,per_row,,
603093_2026-05-15,603093,2026-05-19,post,SENSITIVITY_MAY_COMPLETE,0.027896995708154515,0.0278969957081545,1.3877787807814457e-17,-0.054077253218884236,-0.0540772532188842,-3.469446951953614e-17,False,False,True,True,True,True,23.3,23.3,0.0,23.95,23.95,0.0,22.04,22.04,0.0,True,ok,per_row,,
002971_2026-05-18,002971,2026-05-20,post,SENSITIVITY_MAY_COMPLETE,-0.07205298013245032,-0.0720529801324503,-1.3877787807814457e-17,-0.10092715231788085,-0.1009271523178808,-5.551115123125783e-17,False,False,True,True,True,True,37.75,37.75,0.0,35.03,35.03,0.0,33.94,33.94,0.0,True,ok,per_row,,
600758_2026-05-20,600758,2026-05-20,d0,SENSITIVITY_MAY_COMPLETE,0.01680672268907557,0.0168067226890755,6.938893903907228e-17,-0.021008403361344463,-0.0210084033613444,-6.245004513516506e-17,False,False,True,False,False,True,4.76,4.76,0.0,4.84,4.84,0.0,4.66,4.66,0.0,True,ok,per_row,,
600903_2026-05-20,600903,2026-05-20,d0,SENSITIVITY_MAY_COMPLETE,0.1453175457481164,0.1453175457481164,0.0,0.12163616792249732,0.1216361679224973,1.3877787807814457e-17,True,True,True,False,False,True,9.29,9.29,0.0,10.64,10.64,0.0,10.42,10.42,0.0,True,ok,per_row,,
603206_2026-05-20,603206,2026-05-20,d0,SENSITIVITY_MAY_COMPLETE,-0.00410888546481758,-0.0041088854648175,-7.979727989493313e-17,-0.022085259373395005,-0.022085259373395,-6.938893903907228e-18,False,False,True,False,False,True,19.47,19.47,0.0,19.39,19.39,0.0,19.04,19.04,0.0,True,ok,per_row,,
605218_2026-05-20,605218,2026-05-20,d0,SENSITIVITY_MAY_COMPLETE,-0.02014995313964385,-0.0201499531396438,-4.85722573273506e-17,-0.04873477038425489,-0.0487347703842548,-9.020562075079397e-17,False,False,True,False,False,True,21.34,21.34,0.0,20.91,20.91,0.0,20.3,20.3,0.0,True,ok,per_row,,
002782_2026-05-21,002782,2026-05-21,d0,SENSITIVITY_MAY_COMPLETE,0.03965217391304354,0.0396521739130435,4.163336342344337e-17,-0.015304347826087028,-0.015304347826087,-2.7755575615628914e-17,False,False,True,False,False,True,28.75,28.75,0.0,29.89,29.89,0.0,28.31,28.31,0.0,True,ok,per_row,,
600563_2026-05-21,600563,2026-05-21,d0,SENSITIVITY_MAY_COMPLETE,0.10362500000000008,0.103625,8.326672684688674e-17,0.07768750000000013,0.0776875000000001,2.7755575615628914e-17,True,True,True,False,False,True,160.0,160.0,0.0,176.58,176.58,0.0,172.43,172.43,0.0,True,ok,per_row,,
600758_2026-05-20,600758,2026-05-21,post,SENSITIVITY_MAY_COMPLETE,0.05543710021321946,0.0554371002132194,6.245004513516506e-17,0.0,0.0,0.0,False,False,True,False,False,True,4.69,4.69,0.0,4.95,4.95,0.0,4.69,4.69,0.0,True,ok,per_row,,
600903_2026-05-20,600903,2026-05-21,post,SENSITIVITY_MAY_COMPLETE,0.07253886010362676,0.0725388601036267,5.551115123125783e-17,0.02590673575129543,0.0259067357512954,2.7755575615628914e-17,True,True,True,False,False,True,9.65,9.65,0.0,10.35,10.35,0.0,9.9,9.9,0.0,True,ok,per_row,,
601133_2026-05-19,601133,2026-05-21,post,SENSITIVITY_MAY_COMPLETE,0.04737631184407798,0.0473763118440779,7.632783294297951e-17,0.010494752623688264,0.0104947526236882,6.418476861114186e-17,False,False,True,False,False,True,33.35,33.35,0.0,34.93,34.93,0.0,33.7,33.7,0.0,True,ok,per_row,,
603206_2026-05-20,603206,2026-05-21,post,SENSITIVITY_MAY_COMPLETE,0.06964656964656957,0.0696465696465695,6.938893903907228e-17,0.04625779625779636,0.0462577962577963,5.551115123125783e-17,False,False,True,False,False,True,19.24,19.24,0.0,20.58,20.58,0.0,20.13,20.13,0.0,True,ok,per_row,,
603938_2026-05-21,603938,2026-05-21,d0,SENSITIVITY_MAY_COMPLETE,-0.04166666666666674,-0.0416666666666667,-4.163336342344337e-17,-0.07928240740740755,-0.0792824074074075,-5.551115123125783e-17,False,False,True,True,True,True,51.84,51.84,0.0,49.68,49.68,0.0,47.73,47.73,0.0,True,ok,per_row,,
605218_2026-05-20,605218,2026-05-21,post,AUDIT_ONLY_MAY_INCOMPLETE,,-0.0358851674641148,,,-0.0468899521531098,,False,False,,False,False,,20.9,20.9,0.0,,20.15,,,19.92,,False,d3_high_invalid|d3_close_invalid,per_row,,
002782_2026-05-21,002782,2026-05-22,post,SENSITIVITY_MAY_COMPLETE,0.021820661438799904,0.0218206614387999,3.469446951953614e-18,-0.026934878963518538,-0.0269348789635185,-3.8163916471489756e-17,False,False,True,False,False,True,29.33,29.33,0.0,29.97,29.97,0.0,28.54,28.54,0.0,True,ok,per_row,,
003004_2026-05-22,003004,2026-05-22,d0,SENSITIVITY_MAY_COMPLETE,0.12680115273775217,0.1268011527377521,5.551115123125783e-17,0.12680115273775217,0.1268011527377521,5.551115123125783e-17,True,True,True,False,False,True,48.58,48.58,0.0,54.74,54.74,0.0,54.74,54.74,0.0,True,ok,per_row,,
600758_2026-05-20,600758,2026-05-22,post,SENSITIVITY_MAY_COMPLETE,-0.07910750507099384,-0.0791075050709938,-4.163336342344337e-17,-0.14401622718052742,-0.1440162271805274,-2.7755575615628914e-17,False,False,True,True,True,True,4.93,4.93,0.0,4.54,4.54,0.0,4.22,4.22,0.0,True,ok,per_row,,
600903_2026-05-20,600903,2026-05-22,post,SENSITIVITY_MAY_COMPLETE,0.039682539682539764,0.0396825396825397,6.245004513516506e-17,-0.004960317460317554,-0.0049603174603175,-5.377642775528102e-17,False,False,True,False,False,True,10.08,10.08,0.0,10.48,10.48,0.0,10.03,10.03,0.0,True,ok,per_row,,
603206_2026-05-20,603206,2026-05-22,post,SENSITIVITY_MAY_COMPLETE,0.07485503426462836,0.0748550342646283,5.551115123125783e-17,0.03742751713231418,0.0374275171323141,8.326672684688674e-17,True,True,True,False,False,True,18.97,18.97,0.0,20.39,20.39,0.0,19.68,19.68,0.0,True,ok,per_row,,
603938_2026-05-21,603938,2026-05-22,post,SENSITIVITY_MAY_COMPLETE,-0.05797101449275366,-0.0579710144927536,-5.551115123125783e-17,-0.11714975845410625,-0.1171497584541062,-4.163336342344337e-17,False,False,True,True,True,True,49.68,49.68,0.0,46.8,46.8,0.0,43.86,43.86,0.0,True,ok,per_row,,
605218_2026-05-20,605218,2026-05-22,post,AUDIT_ONLY_MAY_INCOMPLETE,,-0.0173697270471463,,,-0.0506203473945409,,False,False,,False,True,,,20.15,,,19.8,,,19.13,,False,d2_no_bar_without_proof(exp=2026-05-25)|d3_no_bar_without_proof(exp=2026-05-26)|d2_open_invalid|d3_high_invalid|d3_close_invalid,per_row,,
000012_2026-05-25,000012,2026-05-25,d0,SENSITIVITY_MAY_COMPLETE,0.06178489702517154,0.0617848970251715,3.469446951953614e-17,0.01830663615560635,0.0183066361556063,4.85722573273506e-17,False,False,True,False,False,True,4.37,4.37,0.0,4.64,4.64,0.0,4.45,4.45,0.0,True,ok,per_row,,
000725_2026-05-25,000725,2026-05-25,d0,SENSITIVITY_MAY_COMPLETE,0.16666666666666674,0.1666666666666667,2.7755575615628914e-17,0.09578544061302674,0.0957854406130267,4.163336342344337e-17,True,True,True,False,False,True,5.22,5.22,0.0,6.09,6.09,0.0,5.72,5.72,0.0,True,ok,per_row,,
002442_2026-05-25,002442,2026-05-25,d0,SENSITIVITY_MAY_COMPLETE,0.002512562814070307,0.0025125628140703,6.938893903907228e-18,-0.08291457286432158,-0.0829145728643215,-8.326672684688674e-17,False,False,True,True,True,True,7.96,7.96,0.0,7.98,7.98,0.0,7.3,7.3,0.0,True,ok,per_row,,
002782_2026-05-21,002782,2026-05-25,post,SENSITIVITY_MAY_COMPLETE,0.11138790035587176,0.1113879003558717,5.551115123125783e-17,0.07259786476868313,0.0725978647686831,2.7755575615628914e-17,True,True,True,False,False,True,28.1,28.1,0.0,31.23,31.23,0.0,30.14,30.14,0.0,True,ok,per_row,,
003004_2026-05-22,003004,2026-05-25,post,SENSITIVITY_MAY_COMPLETE,0.2206896551724138,0.2206896551724138,0.0,0.11379310344827576,0.1137931034482757,5.551115123125783e-17,True,True,True,False,False,True,49.3,49.3,0.0,60.18,60.18,0.0,54.91,54.91,0.0,True,ok,per_row,,
600563_2026-05-21,600563,2026-05-25,post,SENSITIVITY_MAY_COMPLETE,0.05215419501133778,0.0521541950113377,7.632783294297951e-17,0.016648764769065405,0.0166487647690654,3.469446951953614e-18,False,False,True,False,False,True,167.58,167.58,0.0,176.32,176.32,0.0,170.37,170.37,0.0,True,ok,per_row,,
