D0,code,pool_member_count,members_with_daily_volume,members_missing_daily_volume,rank_denominator_complete,event_id,signal_date
2026-06-03,603311,61,61,0,True,603311_2026-06-04,2026-06-04
2026-06-04,001896,67,67,0,True,001896_2026-06-05,2026-06-05
2026-06-04,002787,67,67,0,True,002787_2026-06-05,2026-06-05
2026-06-04,600255,67,67,0,True,600255_2026-06-05,2026-06-05
2026-06-04,600439,67,67,0,True,600439_2026-06-05,2026-06-05
2026-06-04,600688,67,67,0,True,600688_2026-06-05,2026-06-05
2026-06-04,605162,67,67,0,True,605162_2026-06-05,2026-06-05
2026-06-05,000520,64,64,0,True,000520_2026-06-08,2026-06-08
2026-06-05,003036,64,64,0,True,003036_2026-06-08,2026-06-08
2026-06-05,600293,64,64,0,True,600293_2026-06-08,2026-06-08
2026-06-08,000068,46,46,0,True,000068_2026-06-09,2026-06-09
2026-06-08,000517,46,46,0,True,000517_2026-06-09,2026-06-09
2026-06-08,000759,46,46,0,True,000759_2026-06-09,2026-06-09
2026-06-08,002361,46,46,0,True,002361_2026-06-09,2026-06-09
2026-06-08,002421,46,46,0,True,002421_2026-06-09,2026-06-09
2026-06-08,002613,46,46,0,True,002613_2026-06-09,2026-06-09
2026-06-08,003009,46,46,0,True,003009_2026-06-09,2026-06-09
2026-06-08,603500,46,46,0,True,603500_2026-06-09,2026-06-09
2026-06-08,603859,46,46,0,True,603859_2026-06-09,2026-06-09
2026-06-09,001696,107,107,0,True,001696_2026-06-10,2026-06-10
2026-06-09,002254,107,107,0,True,002254_2026-06-10,2026-06-10
2026-06-09,002362,107,107,0,True,002362_2026-06-10,2026-06-10
2026-06-09,002747,107,107,0,True,002747_2026-06-10,2026-06-10
2026-06-09,603186,107,107,0,True,603186_2026-06-10,2026-06-10
2026-06-09,603616,107,107,0,True,603616_2026-06-10,2026-06-10
2026-06-09,603929,107,107,0,True,603929_2026-06-10,2026-06-10
2026-06-10,000029,64,64,0,True,000029_2026-06-11,2026-06-11
2026-06-10,002585,64,64,0,True,002585_2026-06-11,2026-06-11
2026-06-10,002636,64,64,0,True,002636_2026-06-11,2026-06-11
2026-06-10,002669,64,64,0,True,002669_2026-06-11,2026-06-11
2026-06-10,003026,64,64,0,True,003026_2026-06-11,2026-06-11
2026-06-10,603002,64,64,0,True,603002_2026-06-11,2026-06-11
2026-06-10,603065,64,64,0,True,603065_2026-06-11,2026-06-11
2026-06-10,605006,64,64,0,True,605006_2026-06-11,2026-06-11
2026-06-10,605318,64,64,0,True,605318_2026-06-11,2026-06-11
2026-06-10,605589,64,64,0,True,605589_2026-06-11,2026-06-11
2026-06-11,000048,56,56,0,True,000048_2026-06-12,2026-06-12
2026-06-11,002119,56,56,0,True,002119_2026-06-12,2026-06-12
2026-06-11,002165,56,56,0,True,002165_2026-06-12,2026-06-12
2026-06-11,002409,56,56,0,True,002409_2026-06-12,2026-06-12
2026-06-11,600178,56,56,0,True,600178_2026-06-12,2026-06-12
2026-06-11,600378,56,56,0,True,600378_2026-06-12,2026-06-12
2026-06-11,600665,56,56,0,True,600665_2026-06-12,2026-06-12
2026-06-11,603155,56,56,0,True,603155_2026-06-12,2026-06-12
2026-06-12,002203,84,84,0,True,002203_2026-06-15,2026-06-15
2026-06-12,600067,84,84,0,True,600067_2026-06-15,2026-06-15
2026-06-12,603014,84,84,0,True,603014_2026-06-15,2026-06-15
2026-06-15,000506,128,128,0,True,000506_2026-06-16,2026-06-16
2026-06-15,000510,128,128,0,True,000510_2026-06-16,2026-06-16
2026-06-15,001359,128,128,0,True,001359_2026-06-16,2026-06-16
2026-06-15,601696,128,128,0,True,601696_2026-06-16,2026-06-16
2026-06-15,601958,128,128,0,True,601958_2026-06-16,2026-06-16
2026-06-15,603335,128,128,0,True,603335_2026-06-16,2026-06-16
2026-06-15,603738,128,128,0,True,603738_2026-06-16,2026-06-16
2026-06-16,002051,109,109,0,True,002051_2026-06-17,2026-06-17
2026-06-16,002515,109,109,0,True,002515_2026-06-17,2026-06-17
2026-06-16,002552,109,109,0,True,002552_2026-06-17,2026-06-17
2026-06-16,002585,109,109,0,True,002585_2026-06-17,2026-06-17
2026-06-16,002806,109,109,0,True,002806_2026-06-17,2026-06-17
2026-06-16,002824,109,109,0,True,002824_2026-06-17,2026-06-17
2026-06-16,002851,109,109,0,True,002851_2026-06-17,2026-06-17
