event_id,code,signal_date,board_streak_before_break,source_window,break_date,board_streak_is_3,max_board_streak_20d,recent_limit_up_count_10d,recent_limit_up_count_20d,recent_pool_appearance_count_10d,recent_pool_appearance_count_20d,board_day_volume_rank,break_open_return,break_high_return,break_close_return,break_touched_limit_up,break_opened_from_limit_up,break_upper_shadow_ratio,break_lower_shadow_ratio,d1_high_to_close_drawdown_raw,d1_low_to_close_recovery,d1_open_to_close_return_raw,d1_close_location,d1_intraday_range,d1_afternoon_return,d1_last_hour_return,break_volume_ratio_vs_board_days,d1_up_bar_volume_ratio,down_bar_volume_ratio,volume_above_d1_close_ratio,amount_above_d1_close_ratio,high_zone_volume_ratio,high_zone_amount_ratio,late_day_sell_volume_ratio,late_day_sell_amount_ratio,d1_close_to_vwap_raw,d1_close_to_ma5_raw,d1_low_to_ma5_raw,d1_high_to_ma5_raw,d1_close_to_ma10_raw,d1_low_to_ma10_raw,d1_close_to_ma20,d1_ma5_slope,d1_ma10_slope,d1_ma20_slope,d1_close_above_ma5,d1_close_above_ma10,d1_true_reclaim_ma5,d1_true_reclaim_ma10,consecutive_days_below_ma5,consecutive_days_below_ma10,break_day_in_pool,last_board_day_in_pool,pool_consecutive_count_last_board,recent_7d_cumulative_return,recent_7d_max_drawdown,recent_7d_close_position,recent_7d_limit_up_count,target7_daily_d2open_d3high,tail_loss_daily_5pct,dev_label_complete,dev_feature_source_complete,dev_training_eligible,structural_missing_count,source_missing_count,unexpected_missing_count,provenance,pairwise_v1_feature_source_complete,pairwise_v1_training_eligible
600857_2026-05-15,600857,2026-05-15,2,may,2026-05-15,0,2,2,2,2,2,28.0,0.0019329896907216,0.0019329896907216426,-0.09987113402061853,0,0,0.0,0.0,0.1016077170418006,0.0,-0.1016077170418006,0.0,0.1018041237113402,-0.0049857549857549,-0.0028551034975017,1.3815991956829514,0.2339488346671689,0.6948190239548342,1.0,1.0,0.0,0.0,0.0442823542707893,0.0434360802171835,-0.0206133292188097,0.0051806015253994,0.0051806015253994,0.1188660238883292,0.0508500075221904,0.0508500075221904,0.1009102013475709,0.0160842228395963,0.0135712107349801,0.007702997816160462,1,1,0,0,0,0,0,1,2.0,0.0871595330739301,0.0998711340206185,0.4768211920529803,2,1,0,1,1,1,0,0,0,v002:event_id=600857_2026-05-15;pool_window=complete;rank_denominator=full_pool,True,True
600903_2026-05-15,600903,2026-05-15,2,may,2026-05-15,0,2,2,2,2,2,9.0,0.0169491525423728,0.08213820078226863,0.04432855280312897,0,0,0.30526315789473746,0.47368421052631543,0.0349397590361446,0.0883152173913042,0.0269230769230768,0.6914893617021268,0.1225554106910039,-0.0049689440993789,-0.0135467980295566,1.8834562496355445,0.4661466868224792,0.5028559908320217,0.2810249470062077,0.2898067290781074,0.2038084151000495,0.2109171996074579,0.0836679542388504,0.0858723660036823,0.0237751134267509,0.1310364303868965,0.0378424173962159,0.1719853148828016,0.1838604788649127,0.0863139225539462,0.2254264514648514,0.0470136014192783,0.0222087928690135,0.013096714197148085,1,1,0,0,0,0,0,1,2.0,0.2554858934169279,0.0417209908735332,0.8535353535353531,2,1,0,1,1,1,0,0,0,v002:event_id=600903_2026-05-15;pool_window=complete;rank_denominator=full_pool,True,True
603007_2026-05-15,603007,2026-05-15,3,may,2026-05-15,1,3,3,3,3,3,24.0,-0.0172786177105831,-0.017278617710583144,-0.09611231101511886,0,0,0.0,0.05194805194805087,0.0802197802197802,0.0048019207683072,-0.0802197802197802,0.0519480519480508,0.0831533477321813,0.0035971223021582,0.0048019207683072,4.144677128940543,0.3574348563829689,0.5649261825681792,0.80735811618087,0.8099016861725332,0.0,0.0,0.0422292049218748,0.0418168896748889,-0.0103654892209988,0.029520295202952,0.0246002460024601,0.1193111931119312,0.1721047472342807,0.1665032908556225,0.2287140340575453,0.0460627895007719,0.0356780275562,0.012861497286447143,1,1,0,0,0,0,0,1,3.0,0.3391999999999999,0.1004319654427645,0.7294832826747719,3,0,0,1,1,1,0,0,0,v002:event_id=603007_2026-05-15;pool_window=complete;rank_denominator=full_pool,True,True
603052_2026-05-15,603052,2026-05-15,3,may,2026-05-15,1,3,3,6,3,6,43.0,-0.0042468365401282,0.04411509793725088,-0.016553995493153062,0,0,0.4899034240561895,0.38542581211589116,0.0577146653379837,0.0402456912357902,-0.0123596483593002,0.3871252204585537,0.0982839313572543,-0.0226528854435831,0.022989542012261,4.353098581543489,0.5768472595285217,0.4231527404714784,0.7904676405263179,0.7974585194537495,0.3571549298088516,0.3666338962516133,0.052006364016315,0.0497675625543892,-0.0146055786052703,0.1000058165461348,0.0574480873257459,0.1678655214533611,0.2029939675370802,0.1564517668013105,0.2578637268106665,0.0492513630075677,0.0311905542800918,0.024665765530401673,1,1,0,0,0,0,0,1,3.0,0.324191854358735,0.0751769861782222,0.8166099030652345,3,0,1,1,1,1,0,0,0,v002:event_id=603052_2026-05-15;pool_window=complete;rank_denominator=full_pool,True,True
603093_2026-05-15,603093,2026-05-15,2,may,2026-05-15,0,2,2,2,2,2,18.0,-0.0285824642719196,0.0034762456546928444,-0.10003862495171878,0,0,0.30970149253731416,0.0,0.1007333076032419,0.0,-0.0735586481113319,0.0,0.100811123986095,0.0,0.0,0.6651640986664824,0.0368217303886475,0.7723135655792026,1.0,1.0,0.0,0.0,0.0,0.0,-0.0349193625793103,0.0037046609804427,0.0037046609804427,0.1191522357198242,0.0504012262194573,0.0504012262194573,0.0947961940561492,0.0136232643437255,0.0127379810984795,0.008529795047980349,1,1,0,0,0,0,0,1,2.0,0.0954395862717443,0.1000386249517188,0.4745098039215688,2,1,0,1,1,1,0,0,0,v002:event_id=603093_2026-05-15;pool_window=complete;rank_denominator=full_pool,True,True
002971_2026-05-18,002971,2026-05-18,2,may,2026-05-18,0,2,3,4,3,4,21.0,-0.005095850521718,0.0999757340451346,-0.014074253821887872,1,0,0.6713178294573645,0.27131782945736455,0.1036840944187071,0.0450102880658436,-0.0090243902439023,0.2713178294573645,0.1565154088813393,-0.0256594724220623,-0.0209638554216866,1.4752921967199562,0.6053867664775151,0.3175841753360642,0.862416008469397,0.8689521702718686,0.2895814133227802,0.3045324772899251,0.0783835026977374,0.0756517210066781,-0.0366412221065935,0.0894513862819759,0.0425269480345364,0.2154770204322411,0.1709271160552179,0.1204933859765413,0.221679320454033,0.0353117539281546,0.024354962508118,0.01686234941600917,1,1,0,0,0,0,0,1,2.0,0.3043338683788124,0.0734463276836158,0.6769759450171824,3,0,0,1,1,1,0,0,0,v002:event_id=002971_2026-05-18;pool_window=complete;rank_denominator=full_pool,True,True
002374_2026-05-19,002374,2026-05-19,2,may,2026-05-19,0,2,2,2,2,2,15.0,-0.0537084398976982,0.01534526854219953,-0.025575447570332477,0,0,0.5161290322580648,0.1290322580645162,0.0378787878787878,0.0297297297297296,0.0297297297297296,0.4230769230769229,0.0664961636828643,0.0132978723404255,0.0187165775401068,2.2131442396460064,0.6331361981251178,0.2792978295643262,0.3663021705559766,0.3721514782945508,0.1022489372173401,0.1048646586976294,0.0513144032980089,0.0508903596989993,0.0027475236056564,0.0750564334085779,0.0327313769751693,0.1202031602708806,0.1346039309112567,0.0899344848123884,0.1719470932020916,0.0380785002929113,0.017884207335556,0.009157224895234961,1,1,0,0,0,0,0,1,2.0,0.2056962025316455,0.0639386189258312,0.8095238095238094,2,0,0,1,1,1,0,0,0,v002:event_id=002374_2026-05-19;pool_window=complete;rank_denominator=full_pool,True,True
003018_2026-05-19,003018,2026-05-19,3,may,2026-05-19,1,4,3,7,3,7,42.0,0.0607225211375865,0.10007686395080717,0.02229054573405076,1,0,0.34547908232118807,0.31713900134952705,0.0707098937954164,0.0308479305534024,-0.036231884057971,0.2822695035460987,0.1083781706379707,0.0071179766772679,-0.0043419673603833,2.557082692814976,0.3732789543364549,0.601952117389424,0.6247116427907193,0.63322275246128,0.261759300371509,0.2711964800203792,0.117485895797478,0.1150708778375108,-0.0161805679666554,0.1335742533751533,0.0935156143461066,0.2198281740079095,0.2344074844074843,0.1907855657855659,0.2645229991062769,0.0616765600115825,0.0253130828670398,0.030217546746593715,1,1,0,0,0,0,0,1,3.0,0.3967653854232305,0.0828542441663848,0.7967871485943775,3,1,0,1,1,1,0,0,0,v002:event_id=003018_2026-05-19;pool_window=complete;rank_denominator=full_pool,True,True
601133_2026-05-19,601133,2026-05-19,2,may,2026-05-19,0,2,2,2,2,2,60.0,0.0,0.0,-0.023548387096774204,0,0,0.0,0.6523809523809524,0.0235483870967742,0.0441531562607796,-0.0235483870967742,0.63681592039801,0.0648387096774194,0.0191919191919192,0.0250592617676939,2.3954154186312397,0.503670825953886,0.496329174046114,0.1029973951318387,0.1042043283186494,0.0367317296625165,0.0374262369511434,0.0445562744338286,0.0449572106759398,0.0138853270063605,0.073328132756542,0.024750017729239,0.0992128217856891,0.129983574734956,0.078841272211438,0.2053518098196154,0.0331159791926147,0.0287645454894582,0.009588132424772189,1,1,0,0,0,0,0,1,2.0,0.1337078651685392,0.0875778673506779,0.880327868852459,2,1,0,1,1,1,0,0,0,v002:event_id=601133_2026-05-19;pool_window=complete;rank_denominator=full_pool,True,True
601678_2026-05-19,601678,2026-05-19,2,may,2026-05-19,0,2,2,2,2,2,4.0,0.0,0.0,-0.031298904538341055,0,0,0.0,0.48717948717948856,0.031298904538341,0.0316666666666667,-0.031298904538341,0.4871794871794885,0.0610328638497652,0.0081433224755702,-0.0048231511254018,1.863944738407557,0.4027136223437216,0.4434998317326195,0.4708609501089885,0.4724583108369939,0.0,0.0,0.0507992489581051,0.0508703896272239,0.001664836131243,0.0768963117606125,0.0438413361169103,0.1116910229645093,0.1405933296480561,0.105583195135434,0.1695795937647617,0.0447110141766629,0.0157215047725995,0.01040473463153857,1,1,0,0,0,0,0,1,2.0,0.2209072978303747,0.0610328638497652,0.8630136986301374,2,0,0,1,1,1,0,0,0,v002:event_id=601678_2026-05-19;pool_window=complete;rank_denominator=full_pool,True,True
002208_2026-05-20,002208,2026-05-20,2,may,2026-05-20,0,3,5,5,5,5,5.0,-0.0433917197452229,0.0493630573248407,0.030254777070063632,0,0,0.17328519855595687,0.15884476534296077,0.015220700152207,0.0961457009741634,0.0769870994590093,0.8501872659176023,0.1062898089171975,0.0443906376109766,0.0149019607843137,1.8317236596534527,0.6654198631457381,0.3345801368542619,0.1868307293067882,0.1905812251641029,0.3379231830802578,0.3451719597359134,0.0781644251967774,0.0798554370873575,0.0323077271103087,0.131118881118881,0.0310314685314683,0.1520979020979018,0.345114345114345,0.226091476091476,0.6098031287904706,0.0739767179872323,0.0662824207492795,0.04270981969127008,1,1,0,0,0,0,0,1,2.0,0.5819070904645476,0.0609076433121019,0.9587274290627686,5,0,1,1,1,1,0,0,0,v002:event_id=002208_2026-05-20;pool_window=complete;rank_denominator=full_pool,True,True
002552_2026-05-20,002552,2026-05-20,2,may,2026-05-20,0,4,6,6,6,6,60.0,-0.0087471057370721,0.03138667352714197,-0.03781836892204782,0,0,0.3842364532019708,0.3374384236453194,0.057934508816121,0.0365853658536585,-0.0293277965221905,0.3646408839779002,0.0931309493182404,0.0143748304854895,-0.0024006401707122,2.732941267678949,0.3004318769525543,0.6995681230474456,0.1080381309620153,0.1088339802530337,0.0,0.0,0.1143965333131247,0.1146167130163078,0.0047315701162475,0.0529872177487471,0.0144152260825496,0.128723464159018,0.1365362992676329,0.0949038198559575,0.3674338677537887,0.0147999999999999,0.0462609690957651,0.030694151341573717,1,1,0,0,0,0,0,1,2.0,0.1177525403466825,0.1321886072499318,0.7252298263534215,3,1,0,1,1,1,0,0,0,v002:event_id=002552_2026-05-20;pool_window=complete;rank_denominator=full_pool,True,True
600758_2026-05-20,600758,2026-05-20,2,may,2026-05-20,0,2,3,3,3,3,4.0,0.0038684719535784,0.08704061895551263,-0.06769825918762085,0,0,0.48863636363636337,0.090909090909091,0.1392857142857141,0.0147368421052632,-0.071290944123314,0.0823529411764709,0.1644100580270792,-0.0143149284253577,0.0020790020790022,1.8677695514902333,0.5413780622593436,0.4452062956981879,0.9654025950180236,0.9678077122774408,0.3373736520471329,0.3538683314333496,0.0723903769615394,0.0682092788506267,-0.0659009740542337,0.0207539178314275,0.0038119440914867,0.1901736552308346,0.0870545782589085,0.0690121786197563,0.1402886207712326,0.0141752577319587,0.0186078566505858,0.011970313622217121,1,1,0,0,0,0,0,1,2.0,0.1813725490196078,0.1497975708502024,0.506172839506173,3,0,0,1,1,1,0,0,0,v002:event_id=600758_2026-05-20;pool_window=complete;rank_denominator=full_pool,True,True
600850_2026-05-20,600850,2026-05-20,2,may,2026-05-20,0,2,2,2,2,2,30.0,0.0217681030653043,0.06263882718791658,-0.00044424700133283146,0,0,0.5575757575757578,0.13939393939393946,0.0585774058577405,0.0103277952402335,-0.0217391304347825,0.1411042944785279,0.0724122612172367,0.0031208203299153,0.0062611806797854,2.0107622325017576,0.5623712414751605,0.3692034794149164,0.8388748564453381,0.8430625537296094,0.0741527306538748,0.0754164738937117,0.0466981387285812,0.0455461014806726,-0.021290430548415,0.0899050571594652,0.0787638054640573,0.1586901763224182,0.1079923179199291,0.0966661742256365,0.1127871609090231,0.0260437375745528,0.0148425787106447,0.0049453280318092485,1,1,0,0,0,0,0,1,2.0,0.1532547411583802,0.0996112730806607,0.7365491651205934,2,0,0,1,1,1,0,0,0,v002:event_id=600850_2026-05-20;pool_window=complete;rank_denominator=full_pool,True,True
600903_2026-05-20,600903,2026-05-20,2,may,2026-05-20,0,2,4,4,4,4,28.0,0.0619195046439629,0.10010319917440658,0.014447884416924683,1,0,0.4302325581395363,0.034883720930231836,0.0778611632270168,0.00203873598369,-0.0447035957240038,0.0235294117647053,0.087719298245614,-0.0400390625,-0.0209163346613544,2.9315448959402532,0.4534437713834894,0.4075082997244452,1.0,1.0,0.5312336283754993,0.5414235736008677,0.1182342946203822,0.1131164146437905,-0.0517165284051265,0.116791638264031,0.113383321972279,0.2110883890024995,0.2842957930493861,0.2803762738437421,0.4009833962801965,0.0695018226002428,0.0457712802295393,0.026404330017554267,1,1,0,0,0,0,0,1,2.0,0.550473186119874,0.0819277108433735,0.8087557603686636,4,1,0,1,1,1,0,0,0,v002:event_id=600903_2026-05-20;pool_window=complete;rank_denominator=full_pool,True,True
603115_2026-05-20,603115,2026-05-20,2,may,2026-05-20,0,2,2,5,2,5,65.0,-0.0066593886462882,0.0807860262008735,0.06495633187772931,0,0,0.18057285180572885,0.0024906600249061045,0.0146464646464646,0.0720958347071107,0.0720958347071107,0.8189762796504367,0.0874454148471616,0.0151940888750128,0.0236096537250787,1.529148691969763,0.6333041299305545,0.3666958700694454,0.0778527346161262,0.0796366303832435,0.2767391230265595,0.2814265472112609,0.0529728158162523,0.0535788605223203,0.0195369031803276,0.1652770145973194,0.0866760637408319,0.1825978928255727,0.319366487685462,0.2303718030214911,0.5049599654422317,0.0738897298406753,0.0496450880181715,0.04030814909922542,1,1,0,0,0,0,0,1,2.0,0.5362204724409447,0.0612244897959183,0.9626288659793814,2,1,0,1,1,1,0,0,0,v002:event_id=603115_2026-05-20;pool_window=complete;rank_denominator=full_pool,True,True
603206_2026-05-20,603206,2026-05-20,2,may,2026-05-20,0,2,2,2,2,2,61.0,0.0366143604374702,0.099857346647646,-0.04660009510223495,1,0,0.41823899371069134,0.031446540880503596,0.1331603977518373,0.0050125313283208,-0.0802752293577981,0.0314465408805035,0.1512125534950071,-0.0285852713178293,-0.009387351778656,3.374374441167443,0.5533318316651746,0.4276175085490182,0.948333499339446,0.9524732528868204,0.4953291574935683,0.5169868975616976,0.0394756405754691,0.0364053100803842,-0.0782054491329051,0.054486168086673,0.0492268854528241,0.2164720732092142,0.0977278948809197,0.0922529427867504,0.1403384046637281,0.0249029754204397,0.0157379601824045,0.007824143070044531,1,1,0,0,0,0,0,1,2.0,0.1470251716247139,0.051355206847361,0.4909090909090912,2,0,0,1,1,1,0,0,0,v002:event_id=603206_2026-05-20;pool_window=complete;rank_denominator=full_pool,True,True
603311_2026-05-20,603311,2026-05-20,3,may,2026-05-20,1,3,3,3,3,3,35.0,-0.0415026833631484,0.04901610017889091,0.02361359570661903,0,0,0.1863517060367457,0.33595800524934333,0.0228825136612022,0.1175781249999999,0.0679357969391565,0.8179347826086951,0.1316636851520572,0.0596296296296297,0.0313626532083635,1.3242581865314114,0.6569559643281556,0.3430440356718444,0.2418401504783158,0.2519494631637166,0.308219451040251,0.3208800662973659,0.0934074655276081,0.0974500155845363,0.0393819681106892,0.1346870786071228,0.011739509796145,0.1628460379154437,0.2751827420217507,0.1370119450882512,0.3812914906457454,0.0733015494636473,0.0451390506358595,0.02704913968364142,1,1,0,0,0,0,0,1,3.0,0.4486075949367087,0.0872987477638639,0.9287148594377508,3,1,0,1,1,1,0,0,0,v002:event_id=603311_2026-05-20;pool_window=complete;rank_denominator=full_pool,True,True
