event_id,code,name,signal_date,break_date,recognition_score,is_v004a_scorable,v004a_probability,v004a_rank,is_v004a_top3,is_v004a_top10,is_v004a_top15,is_v002_scorable,v002_rank,is_v002_top3,is_v002_top10,is_v002_top15,v004a_score_source
600067_2026-06-15,600067,冠城新材,2026-06-15,2026-06-15,0.7448559670781894,True,0.4319396064137688,14.0,False,False,True,False,,False,False,False,grid_v2_walk_forward
603014_2026-06-15,603014,威高血净,2026-06-15,2026-06-15,0.51440329218107,True,0.4253136093373551,15.0,False,False,True,False,,False,False,False,grid_v2_walk_forward
000506_2026-06-16,000506,招金黄金,2026-06-16,2026-06-16,0.6509186351706037,True,0.4320615791660563,29.0,False,False,False,False,,False,False,False,grid_v2_walk_forward
000510_2026-06-16,000510,新金路,2026-06-16,2026-06-16,0.3123359580052493,True,0.474573890362167,5.0,False,True,True,False,,False,False,False,grid_v2_walk_forward
001359_2026-06-16,001359,平安电工,2026-06-16,2026-06-16,0.5013123359580053,True,0.4763764794457507,4.0,False,True,True,False,,False,False,False,grid_v2_walk_forward
601696_2026-06-16,601696,中银证券,2026-06-16,2026-06-16,0.7244094488188977,True,0.453659557110852,14.0,False,False,True,False,,False,False,False,grid_v2_walk_forward
601958_2026-06-16,601958,金钼股份,2026-06-16,2026-06-16,0.8556430446194225,True,0.4684977288587044,11.0,False,False,True,False,,False,False,False,grid_v2_walk_forward
603335_2026-06-16,603335,迪生力,2026-06-16,2026-06-16,0.0131233595800524,True,0.458777664737847,12.0,False,False,True,False,,False,False,False,grid_v2_walk_forward
603738_2026-06-16,603738,泰晶科技,2026-06-16,2026-06-16,0.8897637795275589,True,0.4689176366943801,9.0,False,True,True,False,,False,False,False,grid_v2_walk_forward
002051_2026-06-17,002051,中工国际,2026-06-17,2026-06-17,,True,0.3830909359698713,143.0,False,False,False,False,,False,False,False,grid_v2_walk_forward
002515_2026-06-17,002515,金字火腿,2026-06-17,2026-06-17,0.6317460317460317,True,0.4615317938297258,23.0,False,False,False,False,,False,False,False,grid_v2_walk_forward
002552_2026-06-17,002552,宝鼎科技,2026-06-17,2026-06-17,0.1428571428571428,True,0.4606795002210438,24.0,False,False,False,False,,False,False,False,grid_v2_walk_forward
002585_2026-06-17,002585,双星新材,2026-06-17,2026-06-17,0.6761904761904761,True,0.4524120617516492,31.0,False,False,False,False,,False,False,False,grid_v2_walk_forward
002806_2026-06-17,002806,华锋股份,2026-06-17,2026-06-17,0.7873015873015873,True,0.4206959132624339,69.0,False,False,False,False,,False,False,False,grid_v2_walk_forward
002824_2026-06-17,002824,和胜股份,2026-06-17,2026-06-17,0.7206349206349207,True,0.4838631621420621,6.0,False,True,True,False,,False,False,False,grid_v2_walk_forward
002851_2026-06-17,002851,麦格米特,2026-06-17,2026-06-17,0.7174603174603176,True,0.4786538060863917,8.0,False,True,True,False,,False,False,False,grid_v2_walk_forward
002990_2026-06-17,002990,盛视科技,2026-06-17,2026-06-17,0.4412698412698413,True,0.4712390345826594,12.0,False,False,True,False,,False,False,False,grid_v2_walk_forward
600545_2026-06-17,600545,卓郎智能,2026-06-17,2026-06-17,0.7555555555555555,True,0.3953754782361665,122.0,False,False,False,False,,False,False,False,grid_v2_walk_forward
600549_2026-06-17,600549,厦门钨业,2026-06-17,2026-06-17,0.6825396825396824,True,0.4861042912438695,2.0,True,True,True,False,,False,False,False,grid_v2_walk_forward
600703_2026-06-17,600703,三安光电,2026-06-17,2026-06-17,,True,0.3987335888514985,112.0,False,False,False,False,,False,False,False,grid_v2_walk_forward
601179_2026-06-17,601179,中国西电,2026-06-17,2026-06-17,0.7555555555555555,True,0.4328983170297565,55.0,False,False,False,False,,False,False,False,grid_v2_walk_forward
