event_id,code,signal_date,break_date,stage_group,days_since_break,exclusion_reason
002203_2026-06-15,002203,2026-06-17,2026-06-15,post,2,not_d1_first_break_observation
600067_2026-06-15,600067,2026-06-17,2026-06-15,post,2,not_d1_first_break_observation
601696_2026-06-16,601696,2026-06-17,2026-06-16,post,1,not_d1_first_break_observation
601958_2026-06-16,601958,2026-06-17,2026-06-16,post,1,not_d1_first_break_observation
603014_2026-06-15,603014,2026-06-17,2026-06-15,post,2,not_d1_first_break_observation
603335_2026-06-16,603335,2026-06-17,2026-06-16,post,1,not_d1_first_break_observation
603738_2026-06-16,603738,2026-06-17,2026-06-16,post,1,not_d1_first_break_observation
000506_2026-06-16,000506,2026-06-18,2026-06-16,post,2,not_d1_first_break_observation
000510_2026-06-16,000510,2026-06-18,2026-06-16,post,2,not_d1_first_break_observation
001359_2026-06-16,001359,2026-06-18,2026-06-16,post,2,not_d1_first_break_observation
002051_2026-06-17,002051,2026-06-18,2026-06-17,post,1,not_d1_first_break_observation
002515_2026-06-17,002515,2026-06-18,2026-06-17,post,1,not_d1_first_break_observation
002552_2026-06-17,002552,2026-06-18,2026-06-17,post,1,not_d1_first_break_observation
002585_2026-06-17,002585,2026-06-18,2026-06-17,post,1,not_d1_first_break_observation
002806_2026-06-17,002806,2026-06-18,2026-06-17,post,1,not_d1_first_break_observation
002824_2026-06-17,002824,2026-06-18,2026-06-17,post,1,not_d1_first_break_observation
002851_2026-06-17,002851,2026-06-18,2026-06-17,post,1,not_d1_first_break_observation
002990_2026-06-17,002990,2026-06-18,2026-06-17,post,1,not_d1_first_break_observation
600549_2026-06-17,600549,2026-06-18,2026-06-17,post,1,not_d1_first_break_observation
600703_2026-06-17,600703,2026-06-18,2026-06-17,post,1,not_d1_first_break_observation
601179_2026-06-17,601179,2026-06-18,2026-06-17,post,1,not_d1_first_break_observation
601696_2026-06-16,601696,2026-06-18,2026-06-16,post,2,not_d1_first_break_observation
601958_2026-06-16,601958,2026-06-18,2026-06-16,post,2,not_d1_first_break_observation
603045_2026-06-17,603045,2026-06-18,2026-06-17,post,1,not_d1_first_break_observation
603256_2026-06-17,603256,2026-06-18,2026-06-17,post,1,not_d1_first_break_observation
