factor,target,universe,quantile,count,factor_min,factor_max,factor_mean,target_mean,target_median,target_p25,target_p75,target7_rate,target10_rate,loss_rate,opportunity7_rate,primary_close_mean,opportunity_max_mean
invalid_distance_pct,executed_realized_d3,executed_only,1,41,0.6605,2.8543,2.3392,0.4195,0.8476,-3.4769,7.0,0.2927,0.0,0.2927,0.3171,0.8949,5.935
invalid_distance_pct,executed_realized_d3,executed_only,2,41,2.8649,3.3311,3.0837,0.4184,1.1843,-4.588,7.0,0.2683,0.0,0.3171,0.2927,-0.2383,4.5845
invalid_distance_pct,executed_realized_d3,executed_only,3,40,3.3411,3.8797,3.6214,0.869,0.2095,-3.0121,7.0,0.375,0.0,0.25,0.4,1.1303,5.9503
invalid_distance_pct,executed_realized_d3,executed_only,4,41,3.8835,4.2644,4.0653,1.0493,2.0124,-1.8022,7.0,0.3659,0.0,0.2195,0.3902,0.5127,6.4333
invalid_distance_pct,executed_realized_d3,executed_only,5,41,4.2653,4.8171,4.4581,0.3272,0.6818,-5.2093,7.0,0.4146,0.0,0.3415,0.2927,-0.5096,5.1571
low_absorb_width_pct,all_opportunity_d3_max,all_candidates,1,591,0.0,2.1053,1.0808,7.4415,6.7266,2.2166,10.4059,0.4839,0.2978,0.022,0.4839,2.3248,7.4415
low_absorb_width_pct,all_opportunity_d3_max,all_candidates,2,590,2.1059,3.1454,2.6907,5.8955,4.6105,1.7495,9.2888,0.3492,0.2085,0.0068,0.3492,0.4408,5.8955
low_absorb_width_pct,all_opportunity_d3_max,all_candidates,3,590,3.1461,3.8955,3.5282,5.9,4.6354,1.8309,8.7915,0.3525,0.1966,0.0068,0.3525,0.7033,5.9
low_absorb_width_pct,all_opportunity_d3_max,all_candidates,4,590,3.8961,4.5543,4.2184,6.1453,4.9766,1.6878,9.8286,0.3729,0.2203,0.0119,0.3729,0.6162,6.1453
low_absorb_width_pct,all_opportunity_d3_max,all_candidates,5,591,4.5544,6.4587,5.0059,5.489,4.335,1.5138,9.0109,0.3401,0.1929,0.0118,0.3401,0.0068,5.489
low_absorb_width_pct,all_primary_d3_close,all_candidates,1,591,0.0,2.1053,1.0808,2.3248,1.7428,-3.8823,7.7709,0.2741,0.1912,0.2927,0.4839,2.3248,7.4415
low_absorb_width_pct,all_primary_d3_close,all_candidates,2,590,2.1059,3.1454,2.6907,0.4408,-0.7322,-4.6352,4.6109,0.1763,0.1169,0.3458,0.3492,0.4408,5.8955
low_absorb_width_pct,all_primary_d3_close,all_candidates,3,590,3.1461,3.8955,3.5282,0.7033,-0.3515,-4.3465,5.2493,0.1915,0.1136,0.339,0.3525,0.7033,5.9
low_absorb_width_pct,all_primary_d3_close,all_candidates,4,590,3.8961,4.5543,4.2184,0.6162,-0.423,-4.541,5.0694,0.1814,0.1085,0.3458,0.3729,0.6162,6.1453
low_absorb_width_pct,all_primary_d3_close,all_candidates,5,591,4.5544,6.4587,5.0059,0.0068,-0.7647,-5.2486,4.8787,0.176,0.0914,0.3773,0.3401,0.0068,5.489
low_absorb_width_pct,executed_realized_d3,executed_only,1,41,0.6605,2.8543,2.3392,0.4195,0.8476,-3.4769,7.0,0.2927,0.0,0.2927,0.3171,0.8949,5.935
low_absorb_width_pct,executed_realized_d3,executed_only,2,41,2.8649,3.3311,3.0837,0.4184,1.1843,-4.588,7.0,0.2683,0.0,0.3171,0.2927,-0.2383,4.5845
low_absorb_width_pct,executed_realized_d3,executed_only,3,40,3.3411,3.8797,3.6214,0.869,0.2095,-3.0121,7.0,0.375,0.0,0.25,0.4,1.1303,5.9503
low_absorb_width_pct,executed_realized_d3,executed_only,4,41,3.8835,4.2644,4.0653,1.0493,2.0124,-1.8022,7.0,0.3659,0.0,0.2195,0.3902,0.5127,6.4333
low_absorb_width_pct,executed_realized_d3,executed_only,5,41,4.2653,4.8171,4.4581,0.3272,0.6818,-5.2093,7.0,0.4146,0.0,0.3415,0.2927,-0.5096,5.1571
support_score,all_opportunity_d3_max,all_candidates,1,591,0.0,27.0,12.3113,5.5832,4.1737,1.4798,8.8895,0.335,0.2047,0.0152,0.335,0.6215,5.5832
support_score,all_opportunity_d3_max,all_candidates,2,590,27.0,69.0,47.9695,6.1372,4.3993,1.6529,9.9599,0.3593,0.2305,0.0119,0.3593,0.8576,6.1372
support_score,all_opportunity_d3_max,all_candidates,3,590,69.0,91.0,84.3932,5.6297,4.339,1.1885,9.1379,0.3475,0.1932,0.0186,0.3475,-0.1054,5.6297
support_score,all_opportunity_d3_max,all_candidates,4,590,91.0,91.0,91.0,7.1125,6.2223,2.6743,10.0432,0.4492,0.2678,0.0068,0.4492,2.1772,7.1125
support_score,all_opportunity_d3_max,all_candidates,5,591,91.0,91.0,91.0,6.4102,5.346,2.1965,9.9356,0.4078,0.22,0.0068,0.4078,0.543,6.4102
support_score,all_primary_d3_close,all_candidates,1,591,0.0,27.0,12.3113,0.6215,-0.6177,-4.8581,5.3211,0.1895,0.1151,0.3655,0.335,0.6215,5.5832
support_score,all_primary_d3_close,all_candidates,2,590,27.0,69.0,47.9695,0.8576,-0.2753,-4.6616,5.5543,0.2119,0.139,0.3458,0.3593,0.8576,6.1372
support_score,all_primary_d3_close,all_candidates,3,590,69.0,91.0,84.3932,-0.1054,-1.2466,-5.3346,4.7409,0.1593,0.1034,0.3932,0.3475,-0.1054,5.6297
support_score,all_primary_d3_close,all_candidates,4,590,91.0,91.0,91.0,2.1772,1.6403,-3.2587,6.7206,0.2424,0.1424,0.2678,0.4492,2.1772,7.1125
support_score,all_primary_d3_close,all_candidates,5,591,91.0,91.0,91.0,0.543,-0.2121,-4.8795,5.334,0.1963,0.1218,0.3283,0.4078,0.543,6.4102
support_score,executed_realized_d3,executed_only,1,41,21.0,47.0,37.1463,1.0975,1.8257,-2.6527,7.0,0.2927,0.0,0.2439,0.3659,3.6672,7.5822
support_score,executed_realized_d3,executed_only,2,41,47.0,69.0,56.0244,0.9762,0.8476,-3.5907,7.0,0.439,0.0,0.3171,0.4634,-0.0392,5.8875
support_score,executed_realized_d3,executed_only,3,40,69.0,79.0,72.25,0.0864,-0.4037,-4.2637,7.0,0.3,0.0,0.275,0.35,0.6845,5.3466
support_score,executed_realized_d3,executed_only,4,41,79.0,91.0,85.6341,0.7025,0.978,-4.588,7.0,0.4146,0.0,0.3415,0.3415,-1.5543,5.9222
support_score,executed_realized_d3,executed_only,5,41,91.0,91.0,91.0,0.2017,-0.085,-2.8958,7.0,0.2683,0.0,0.2439,0.1707,-0.979,3.3069
theme_score,all_opportunity_d3_max,all_candidates,1,591,45.0,60.0,51.3959,5.4819,4.0863,1.5505,8.6918,0.3215,0.1844,0.0118,0.3215,-0.402,5.4819
theme_score,all_opportunity_d3_max,all_candidates,2,590,60.0,60.0,60.0,6.0106,4.8324,1.7144,9.3944,0.361,0.2119,0.0136,0.361,0.6371,6.0106
theme_score,all_opportunity_d3_max,all_candidates,3,590,60.0,70.0,69.8136,6.4709,5.2312,2.0851,9.9704,0.3949,0.239,0.0203,0.3949,1.4513,6.4709
theme_score,all_opportunity_d3_max,all_candidates,4,590,70.0,70.0,70.0,7.1627,6.3565,2.3081,10.4814,0.4508,0.2915,0.0068,0.4508,2.5735,7.1627
theme_score,all_opportunity_d3_max,all_candidates,5,591,70.0,70.0,70.0,5.748,4.7691,1.5012,9.143,0.3706,0.1895,0.0068,0.3706,-0.1631,5.748
theme_score,all_primary_d3_close,all_candidates,1,591,45.0,60.0,51.3959,-0.402,-1.2563,-5.4055,4.1664,0.1523,0.0812,0.3976,0.3215,-0.402,5.4819
theme_score,all_primary_d3_close,all_candidates,2,590,60.0,60.0,60.0,0.6371,-0.5238,-4.7927,5.213,0.1932,0.1153,0.3576,0.361,0.6371,6.0106
theme_score,all_primary_d3_close,all_candidates,3,590,60.0,70.0,69.8136,1.4513,0.7401,-4.0023,5.871,0.2271,0.1559,0.3,0.3949,1.4513,6.4709
theme_score,all_primary_d3_close,all_candidates,4,590,70.0,70.0,70.0,2.5735,1.6031,-3.0594,7.4627,0.261,0.1729,0.2542,0.4508,2.5735,7.1627
theme_score,all_primary_d3_close,all_candidates,5,591,70.0,70.0,70.0,-0.1631,-1.0057,-5.6262,4.3173,0.1658,0.0964,0.3909,0.3706,-0.1631,5.748
theme_score,executed_realized_d3,executed_only,1,41,45.0,60.0,54.878,0.4297,0.6317,-2.8958,7.0,0.3171,0.0,0.2439,0.2683,0.3187,5.4531
theme_score,executed_realized_d3,executed_only,2,41,60.0,70.0,65.3659,2.5136,5.6576,-2.4961,7.0,0.4878,0.0,0.1951,0.4878,2.4238,7.6116
theme_score,executed_realized_d3,executed_only,3,40,70.0,70.0,70.0,2.5119,2.7063,-1.0654,7.0,0.475,0.0,0.2,0.4,2.7962,6.7963
theme_score,executed_realized_d3,executed_only,4,41,70.0,70.0,70.0,0.1,0.6876,-4.1825,7.0,0.3171,0.0,0.2927,0.3415,-0.6443,5.6695
theme_score,executed_realized_d3,executed_only,5,41,70.0,70.0,70.0,-2.4317,-2.9124,-6.3793,1.2912,0.122,0.0,0.4878,0.1951,-3.0636,2.5503
total_score,all_opportunity_d3_max,all_candidates,1,591,25.15,55.1,45.7534,4.9672,3.5714,1.4045,7.5532,0.2893,0.1489,0.0102,0.2893,-0.0961,4.9672
