code,cache_path,cache_exists,source,cache_fetched_at,file_mtime_asia_shanghai,time_basis,latest_daily_date,latest_daily_close,latest_daily_high,latest_daily_low,latest_daily_volume,file_sha256,stale_intraday_daily_cache,audit_error,refresh_status,refresh_source,refreshed_latest_daily_date,tencent_raw_close,sina_daily_close,eastmoney_raw_close,sina_5m_last_close,sina_5m_last_timestamp,sina_5m_bar_count,tencent_vs_sina_5m_abs_diff,sina_daily_vs_sina_5m_abs_diff,eastmoney_vs_sina_5m_abs_diff,max_refresh_close_abs_diff,refresh_error
000783,F:\fenqixuangu\data\cache\daily\000783_daily.pkl,True,tencent_daily,,2026-06-29T14:31:05.539906+08:00,file_mtime,2026-06-29,9.42,9.98,9.27,3033191.0,00a4a128002fc7478dfba4906f3d644f0df3674f567d364ab7ee89fc5975b039,True,,ok,tencent_daily,2026-06-29,9.45,9.45,9.45,9.45,2026-06-29 15:00:00,48,0.0,0.0,0.0,0.0,
001330,F:\fenqixuangu\data\cache\daily\001330_daily.pkl,True,tencent_daily,,2026-06-29T13:59:21.288301+08:00,file_mtime,2026-06-29,5.76,6.1,5.63,945358.0,66926800bebedc72a3d67d81289e9489a34a97825b7146c00ab167cf95861c17,True,,ok,tencent_daily,2026-06-29,5.7,5.7,5.7,5.7,2026-06-29 15:00:00,48,0.0,0.0,0.0,0.0,
002056,F:\fenqixuangu\data\cache\daily\002056_daily.pkl,True,tencent_daily,,2026-06-29T14:44:04.190692+08:00,file_mtime,2026-06-29,28.6,30.86,27.5,876927.0,e545b4fce8c00d5f661d263a5d36c69b281111f444a5acaa87905661385ce7ea,True,,ok,tencent_daily,2026-06-29,28.83,28.83,28.83,28.83,2026-06-29 15:00:00,48,0.0,0.0,0.0,0.0,
600500,F:\fenqixuangu\data\cache\daily\600500_daily.pkl,True,tencent_daily,,2026-06-29T13:40:49.254181+08:00,file_mtime,2026-06-29,8.03,8.99,8.03,1855506.0,61fe992790d9b08d75e97f9d2ec0577f27a31e93a1a2e9a41b8e5c5faba09099,True,,ok,tencent_daily,2026-06-29,8.03,8.03,8.03,8.03,2026-06-29 15:00:00,48,0.0,0.0,0.0,0.0,
600237,F:\fenqixuangu\data\cache\daily\600237_daily.pkl,True,tencent_daily,,2026-06-29T14:05:57.554110+08:00,file_mtime,2026-06-29,12.88,13.95,12.61,973170.0,b9116e70e39a401198ec8a358da0a743858d68f4a0ef4908f6b1ccb0c888a835,True,,ok,tencent_daily,2026-06-29,13.01,13.01,13.01,13.01,2026-06-29 15:00:00,48,0.0,0.0,0.0,0.0,
603010,F:\fenqixuangu\data\cache\daily\603010_daily.pkl,True,tencent_daily,,2026-06-29T14:44:17.875332+08:00,file_mtime,2026-06-29,17.54,18.27,16.44,452059.0,9ad956c355f9466d7f48e3125e2547c66b6aa06d26276924941d38f8ea187636,True,,ok,tencent_daily,2026-06-29,17.59,17.59,17.59,17.59,2026-06-29 15:00:00,48,0.0,0.0,0.0,0.0,
605589,F:\fenqixuangu\data\cache\daily\605589_daily.pkl,True,tencent_daily,,2026-06-29T13:41:33.678142+08:00,file_mtime,2026-06-29,62.45,68.05,60.5,526120.0,2ed9901b3da146bfbcddd32acb0f80f89ff320b6fd55764ecd01abd0dfb17367,True,,ok,tencent_daily,2026-06-29,62.69,62.69,62.69,62.69,2026-06-29 15:00:00,48,0.0,0.0,0.0,0.0,
603690,F:\fenqixuangu\data\cache\daily\603690_daily.pkl,True,tencent_daily,,2026-06-29T14:44:23.406296+08:00,file_mtime,2026-06-29,35.05,37.22,33.61,680360.0,0c3cbbda7f34bf54c838f34e525cd8b3325469d3476bc612f322d2bc3f92a248,True,,ok,tencent_daily,2026-06-29,35.39,35.39,35.39,35.39,2026-06-29 15:00:00,48,0.0,0.0,0.0,0.0,
600141,F:\fenqixuangu\data\cache\daily\600141_daily.pkl,True,tencent_daily,,2026-06-29T13:52:20.943872+08:00,file_mtime,2026-06-29,47.02,50.78,45.6,973096.0,78351d4a1b4086672a247ac1ba4c0cbd031e56b4c671865f90d0f225b7e539d4,True,,ok,tencent_daily,2026-06-29,47.88,47.88,47.88,47.88,2026-06-29 15:00:00,48,0.0,0.0,0.0,0.0,
000636,F:\fenqixuangu\data\cache\daily\000636_daily.pkl,True,tencent_daily,,2026-06-29T13:39:41.638164+08:00,file_mtime,2026-06-29,79.5,84.0,77.08,1143804.0,dd06912951359b6fa066242e269cc96a2e84ac1f4f891c4d60cb9d21b95d0608,True,,ok,tencent_daily,2026-06-29,80.27,80.27,80.27,80.27,2026-06-29 15:00:00,48,0.0,0.0,0.0,0.0,
001309,F:\fenqixuangu\data\cache\daily\001309_daily.pkl,True,tencent_daily,,2026-06-29T14:44:02.815813+08:00,file_mtime,2026-06-29,960.0,978.0,886.66,160961.0,b9457ead038bcd74a39903dd64713f86e23b23bda00b4176366307bcb5423049,True,,ok,tencent_daily,2026-06-29,970.0,970.0,970.0,970.0,2026-06-29 15:00:00,48,0.0,0.0,0.0,0.0,
600903,F:\fenqixuangu\data\cache\daily\600903_daily.pkl,True,tencent_daily,,2026-06-29T13:41:00.220941+08:00,file_mtime,2026-06-29,6.82,7.3,6.77,354161.0,58428c57e18ae008f7be59c2809a6f6d0088e245e43560412dfa6d90e3207bac,True,,ok,tencent_daily,2026-06-29,6.8,6.8,6.8,6.8,2026-06-29 15:00:00,48,0.0,0.0,0.0,0.0,
603733,F:\fenqixuangu\data\cache\daily\603733_daily.pkl,True,tencent_daily,,2026-06-29T14:44:24.796378+08:00,file_mtime,2026-06-29,26.62,27.37,25.61,149844.0,e289075a2091ea4c1f73f692d098f26f91906a1e7c44af59fa6186052fa32076,True,,ok,tencent_daily,2026-06-29,26.66,26.66,26.66,26.66,2026-06-29 15:00:00,48,0.0,0.0,0.0,0.0,
603063,F:\fenqixuangu\data\cache\daily\603063_daily.pkl,True,tencent_daily,,2026-06-29T14:44:20.677449+08:00,file_mtime,2026-06-29,50.91,52.95,48.35,307320.0,3ea6101206ec57f69087bd25cc9f727dafa284cb993f2ab638f5abdb63acf75e,True,,ok,tencent_daily,2026-06-29,51.13,51.13,51.13,51.13,2026-06-29 15:00:00,48,0.0,0.0,0.0,0.0,
600668,F:\fenqixuangu\data\cache\daily\600668_daily.pkl,True,tencent_daily,,2026-06-29T14:44:15.126687+08:00,file_mtime,2026-06-29,7.66,7.71,6.99,154687.0,d13ecc6a7196cc77130d418422a88630e0248f5be7073a8cf151f20c8be4577d,True,,ok,tencent_daily,2026-06-29,7.65,7.65,7.65,7.65,2026-06-29 15:00:00,48,0.0,0.0,0.0,0.0,
000766,F:\fenqixuangu\data\cache\daily\000766_daily.pkl,True,tencent_daily,,2026-06-29T14:44:01.395593+08:00,file_mtime,2026-06-29,21.56,22.1,21.56,344181.0,1020ba7636c6005cf00de39efa3325528efc5afdb3f368142912e94331e4f599,True,,ok,tencent_daily,2026-06-29,21.56,21.56,21.56,21.56,2026-06-29 15:00:00,48,0.0,0.0,0.0,0.0,
