code,name,field,old_value,current_value,absolute_difference,relative_difference,isclose_1e-10,old_canonical_12g,current_canonical_12g
600668,尖峰集团,d1_close_ma10_pct,4.4166,4.2945,0.12209999999999965,0.02764570031245747,False,4.4166,4.2945
600668,尖峰集团,d1_close_vwap_pct,4.4466,4.3102,0.13640000000000008,0.030675122565555723,False,4.4466,4.3102
600668,尖峰集团,low_absorb_width_pct,4.919786133096937,4.919786133096937,0.0,0.0,True,4.9197861331,4.9197861331
600668,尖峰集团,invalid_distance_pct,4.919786133096937,4.919786133096937,0.0,0.0,True,4.9197861331,4.9197861331
600668,尖峰集团,candidate_base_price,7.66,7.65,0.009999999999999787,0.0013054830287205987,False,7.66,7.65
601798,蓝科高新,days_since_d0,4.0,4.0,0.0,0.0,True,4,4
601798,蓝科高新,total_score,45.5,45.5,0.0,0.0,True,45.5,45.5
601798,蓝科高新,graph_quality_score,0.0,0.0,0.0,0.0,True,0,0
601798,蓝科高新,active_money_score,66.0,66.0,0.0,0.0,True,66,66
601798,蓝科高新,active_cooling_score,90.0,90.0,0.0,0.0,True,90,90
601798,蓝科高新,support_score,11.0,33.0,22.0,2.0,False,11,33
601798,蓝科高新,theme_score,70.0,70.0,0.0,0.0,True,70,70
601798,蓝科高新,trend_hold_score,40.0,40.0,0.0,0.0,True,40,40
601798,蓝科高新,entry_width_score,65.0,65.0,0.0,0.0,True,65,65
601798,蓝科高新,d1_low_ma10_pct,-1.9741,-2.0008,0.026699999999999946,0.013525150701585506,False,-1.9741,-2.0008
601798,蓝科高新,d1_close_ma10_pct,0.2042,0.4492,0.245,1.1998041136141038,False,0.2042,0.4492
601798,蓝科高新,d1_close_vwap_pct,-0.614,-0.3439,0.2701,0.4399022801302932,False,-0.614,-0.3439
601798,蓝科高新,low_absorb_width_pct,3.472222222222232,3.527777777777752,0.05555555555551983,0.015999999999989665,False,3.47222222222,3.52777777778
601798,蓝科高新,invalid_distance_pct,3.472222222222232,3.527777777777752,0.05555555555551983,0.015999999999989665,False,3.47222222222,3.52777777778
601798,蓝科高新,candidate_base_price,7.36,7.38,0.019999999999999574,0.002717391304347768,False,7.36,7.38
603065,宿迁联盛,days_since_d0,4.0,4.0,0.0,0.0,True,4,4
603065,宿迁联盛,total_score,59.25,59.25,0.0,0.0,True,59.25,59.25
603065,宿迁联盛,graph_quality_score,0.0,0.0,0.0,0.0,True,0,0
603065,宿迁联盛,active_money_score,46.0,46.0,0.0,0.0,True,46,46
603065,宿迁联盛,active_cooling_score,65.0,65.0,0.0,0.0,True,65,65
603065,宿迁联盛,support_score,0.0,15.0,15.0,,False,0,15
603065,宿迁联盛,theme_score,70.0,70.0,0.0,0.0,True,70,70
603065,宿迁联盛,trend_hold_score,95.0,95.0,0.0,0.0,True,95,95
603065,宿迁联盛,entry_width_score,60.0,60.0,0.0,0.0,True,60,60
603065,宿迁联盛,d1_low_ma10_pct,13.496,13.496,0.0,0.0,True,13.496,13.496
603065,宿迁联盛,d1_close_ma10_pct,13.496,13.496,0.0,0.0,True,13.496,13.496
603065,宿迁联盛,d1_close_vwap_pct,-3.4898,-3.4898,0.0,0.0,True,-3.4898,-3.4898
603065,宿迁联盛,low_absorb_width_pct,4.145478999060481,4.145478999060481,0.0,0.0,True,4.14547899906,4.14547899906
603065,宿迁联盛,invalid_distance_pct,4.145478999060481,4.145478999060481,0.0,0.0,True,4.14547899906,4.14547899906
603065,宿迁联盛,candidate_base_price,19.67,19.67,0.0,0.0,True,19.67,19.67
603313,梦百合,days_since_d0,4.0,4.0,0.0,0.0,True,4,4
603313,梦百合,total_score,41.25,41.25,0.0,0.0,True,41.25,41.25
603313,梦百合,graph_quality_score,0.0,0.0,0.0,0.0,True,0,0
603313,梦百合,active_money_score,92.0,92.0,0.0,0.0,True,92,92
603313,梦百合,active_cooling_score,30.0,30.0,0.0,0.0,True,30,30
603313,梦百合,support_score,69.0,91.0,22.0,0.3188405797101449,False,69,91
603313,梦百合,theme_score,60.0,60.0,0.0,0.0,True,60,60
603313,梦百合,trend_hold_score,65.0,65.0,0.0,0.0,True,65,65
603313,梦百合,entry_width_score,65.0,65.0,0.0,0.0,True,65,65
603313,梦百合,d1_low_ma10_pct,4.8476,4.8091,0.03849999999999998,0.007942074428583213,False,4.8476,4.8091
603313,梦百合,d1_close_ma10_pct,13.845,14.1703,0.3252999999999986,0.023495846876128462,False,13.845,14.1703
603313,梦百合,d1_close_vwap_pct,2.6075,2.9385,0.33099999999999996,0.12694151486097793,False,2.6075,2.9385
603313,梦百合,low_absorb_width_pct,2.626970227670755,2.626970227670755,0.0,0.0,True,2.62697022767,2.62697022767
603313,梦百合,invalid_distance_pct,2.626970227670755,2.626970227670755,0.0,0.0,True,2.62697022767,2.62697022767
603313,梦百合,candidate_base_price,6.2,6.22,0.019999999999999574,0.0032258064516128343,False,6.2,6.22
603500,祥和实业,days_since_d0,4.0,4.0,0.0,0.0,True,4,4
603500,祥和实业,total_score,44.0,42.5,1.5,0.03409090909090909,False,44,42.5
603500,祥和实业,graph_quality_score,0.0,0.0,0.0,0.0,True,0,0
603500,祥和实业,active_money_score,54.0,54.0,0.0,0.0,True,54,54
603500,祥和实业,active_cooling_score,90.0,90.0,0.0,0.0,True,90,90
603500,祥和实业,support_score,0.0,15.0,15.0,,False,0,15
