scope,signal_date,feature,group_a_count,group_b_count,group_a_mean,group_b_mean,mean_difference_a_minus_b,group_a_median,group_b_median,median_difference_a_minus_b,group_a_q25,group_b_q25,q25_difference_a_minus_b,group_a_q75,group_b_q75,q75_difference_a_minus_b,daily_comparable_dates,daily_nonzero_direction_dates,daily_a_greater_than_b_rate,daily_direction_consistency_rate,persistent_extreme_signal_bool
daily,2026-07-06,d1_close_vwap_pct,6,0,-1.1062833333333333,,,-1.1276000000000002,,,-1.663675,,,-0.5463,,,,,,,
daily,2026-07-07,d1_close_vwap_pct,5,0,-1.17354,,,-0.9866,,,-1.7946,,,-0.259,,,,,,,
daily,2026-07-08,d1_close_vwap_pct,4,3,0.35405000000000003,0.7129666666666665,-0.3589166666666665,0.2787,1.9823,-1.7036,-0.059699999999999996,-0.23194999999999988,0.17224999999999988,0.69245,2.29255,-1.6000999999999999,,,,,
overall,ALL,d1_close_vwap_pct,39,18,-0.2597,0.9874333333333332,-1.2471333333333332,-0.4138,1.3477999999999999,-1.7615999999999998,-1.63715,-0.738875,-0.8982750000000002,0.41815,2.2845,-1.86635,7.0,7.0,0.2857142857142857,0.7142857142857143,False
daily,2026-06-26,candidate_base_price,4,3,252.2975,142.07666666666668,110.22083333333333,21.035,87.03,-65.995,19.195,81.11500000000001,-61.92000000000001,254.1375,175.515,78.6225,,,,,
daily,2026-06-29,candidate_base_price,5,2,23.683999999999997,19.47,4.213999999999999,31.48,19.47,12.010000000000002,10.19,16.235,-6.045,31.7,22.705000000000002,8.994999999999997,,,,,
daily,2026-06-30,candidate_base_price,3,1,112.94666666666667,28.58,84.36666666666667,97.98,28.58,69.4,57.17,28.58,28.590000000000003,161.24,28.58,132.66000000000003,,,,,
daily,2026-07-01,candidate_base_price,3,5,101.26,62.532,38.72800000000001,62.26,72.96,-10.699999999999996,33.845,21.91,11.934999999999999,149.175,92.49,56.68500000000002,,,,,
daily,2026-07-02,candidate_base_price,5,2,26.2,291.49,-265.29,27.61,291.49,-263.88,26.05,201.885,-175.83499999999998,36.15,381.095,-344.94500000000005,,,,,
daily,2026-07-03,candidate_base_price,4,2,17.41,20.585,-3.1750000000000007,10.19,20.585,-10.395000000000001,5.7425,17.8875,-12.145,21.8575,23.2825,-1.4249999999999972,,,,,
