signal_date,code,name,d2open_d3high_return_pct,target7_d2open_d3high,in_v004a_topk,v004a_rank,v004a_score,in_v004a_top3,in_v002_topk,v002_rank,v002_score,in_v002_top3,in_v005_candidate_pool,v005_pool_order,v005_sort_field_name,in_final_top3,final_rank,selection_outcome_class,selection_path_classes,selected_hit,selected_false_positive,missed_hit_in_candidate_pool,missed_hit_outside_candidate_pool,v005_rescued_from_v004a,v005_rescued_from_v002,v005_dropped_v004a_hit,v005_dropped_v002_hit,group_a_false_positive,group_a_source,group_b_missed_pool_hit,total_score,trend_hold_score,active_money_score,d1_low_ma10_pct,d1_close_ma10_pct,d1_close_vwap_pct,candidate_base_price,low_absorb_width_pct,invalid_distance_pct,days_since_d0
2026-06-26,002387,维信诺,3.075170842824626,False,False,89,0.4321873632050544,False,False,97,33.822655,False,False,,,False,,not_selected_non_hit,not_selected_non_hit,False,False,False,False,False,False,False,False,False,,False,50.75,55.0,60.0,2.4973,4.6278,-1.2817,8.84,3.5796766743648956,3.5796766743648956,1.0
2026-06-26,002409,雅克科技,14.54828503992367,True,False,22,0.4804953192258914,False,True,8,53.78433,False,False,,,False,,missed_hit_outside_candidate_pool,missed_hit_outside_candidate_pool|v005_dropped_v002_hit,False,False,False,True,False,False,False,True,False,,False,64.25,95.0,64.0,13.2982,19.9105,0.5013,188.6,4.214338669509088,4.214338669509088,2.0
2026-06-26,002420,毅昌科技,2.621722846441954,False,False,202,0.372889360529003,False,False,196,19.66459,False,False,,,False,,not_selected_non_hit,not_selected_non_hit,False,False,False,False,False,False,False,False,False,,False,37.5,40.0,40.0,-4.1726,-4.1726,-1.9662,5.42,4.981549815498143,4.981549815498143,3.0
2026-06-26,002427,尤夫股份,6.198347107438007,False,False,139,0.4018920072861872,False,False,113,31.145795,False,False,,,False,,not_selected_non_hit,not_selected_non_hit,False,False,False,False,False,False,False,False,False,,False,35.75,55.0,100.0,2.6041,8.6134,0.6691,4.88,4.827165990656512,4.827165990656512,2.0
2026-06-26,002428,云南锗业,2.3900414937759296,False,False,51,0.4562602473908067,False,False,71,38.43211499999999,False,False,,,False,,not_selected_non_hit,not_selected_non_hit,False,False,False,False,False,False,False,False,False,,False,57.25,75.0,64.0,8.6825,10.4612,-2.6576,120.48,4.41146577423599,4.41146577423599,2.0
2026-06-26,002452,长高电气,3.200000000000003,False,False,75,0.4422825415314076,False,False,58,41.002225,False,False,,,False,,not_selected_non_hit,not_selected_non_hit,False,False,False,False,False,False,False,False,False,,False,56.75,75.0,70.0,6.7211,8.4578,-0.6662,12.49,2.6851098454027778,2.6851098454027778,2.0
2026-06-26,002453,华软科技,0.8888888888888946,False,False,194,0.3761048037511476,False,False,190,20.053565,False,False,,,False,,not_selected_non_hit,not_selected_non_hit,False,False,False,False,False,False,False,False,False,,False,45.0,40.0,58.0,-10.9029,-10.305,-1.6056,4.5,4.697986577181212,4.697986577181212,3.0
2026-06-26,002484,江海股份,-1.5133665609424418,False,False,37,0.4676259475261142,False,False,66,39.262565,False,False,,,False,,not_selected_non_hit,not_selected_non_hit,False,False,False,False,False,False,False,False,False,,False,55.75,75.0,50.0,8.0035,9.3477,-1.7122,109.0,4.9693479472413316,4.9693479472413316,1.0
2026-06-26,002491,通鼎互联,-3.9722222222222214,False,False,30,0.4730583245636434,False,False,24,49.343965,False,False,,,False,,not_selected_non_hit,not_selected_non_hit,False,False,False,False,False,False,False,False,False,,False,63.75,95.0,72.0,10.8339,15.6319,0.6219,36.15,3.684202225105815,3.684202225105815,2.0
2026-06-26,002497,雅化集团,5.0561797752809,False,False,174,0.3845106082035273,False,False,205,18.433115,False,False,,,False,,not_selected_non_hit,not_selected_non_hit,False,False,False,False,False,False,False,False,False,,False,40.5,40.0,46.0,-10.6911,-10.6911,-3.5164,19.99,3.6445832793714272,3.6445832793714272,2.0
