section,replicate,statistic,lower,upper,n_finite,replicates,r1_ll_improvement_vs_r0,r1_brier_improvement_vs_r0,r2_ll_improvement_vs_r0,r2_brier_improvement_vs_r0,r2_ll_improvement_vs_r1,r2_brier_improvement_vs_r1,r1_pair_weighted_within_date_auc,r2_pair_weighted_within_date_auc,r1_top3_lift,r2_top3_lift
replicate,1832,,,,,,-0.008420650017274323,-0.0048359470132848525,-0.01740018018718803,-0.008266641544508485,-0.008979530169913708,-0.0034306945312236325,0.5091575091575091,0.4725274725274725,-0.03627980206927578,-0.03627980206927578
replicate,1833,,,,,,-0.037561069372871514,-0.017798603679374858,-0.05200148956291328,-0.02330369112648259,-0.01444042019004177,-0.005505087447107732,0.5505050505050505,0.46464646464646464,0.013186813186813195,-0.04038461538461538
replicate,1834,,,,,,0.007619522253631161,0.002520262893088182,0.0019429286541865487,0.00042686961522123146,-0.005676593599444613,-0.0020933932778669506,0.5618556701030928,0.5257731958762887,0.05647435897435893,0.05647435897435893
replicate,1835,,,,,,-0.016837315292753563,-0.008549690087006068,-0.026410720838179857,-0.012698591709589174,-0.009573405545426295,-0.004148901622583107,0.5632183908045977,0.5057471264367817,0.018169761273209545,0.0009283819628647105
replicate,1836,,,,,,-0.028230545524429718,-0.014077850591707075,-0.0348309505982225,-0.01658057096006127,-0.006600405073792781,-0.0025027203683541943,0.5403726708074534,0.5279503105590062,-0.020347394540942892,0.04416873449131517
replicate,1837,,,,,,-0.03630602646809089,-0.017696383393270454,-0.040657956286232366,-0.018876345846646103,-0.004351929818141476,-0.0011799624533756492,0.48120300751879697,0.42857142857142855,0.013589743589743603,0.013589743589743603
replicate,1838,,,,,,-0.014864125345065315,-0.007356506436268534,-0.025444563047099078,-0.011678283221216251,-0.010580437702033763,-0.004321776784947717,0.5,0.4603960396039604,0.0008478081058726217,0.01697684036393715
replicate,1839,,,,,,-0.007988466766068458,-0.00467682805231423,-0.01565441771304099,-0.0077535313445233345,-0.007665950946972533,-0.003076703292209104,0.5691699604743083,0.5335968379446641,0.042177314211212485,0.02522816166883962
replicate,1840,,,,,,-0.0017701683455096928,-0.00217264338323761,-0.004981532272768541,-0.002953828277482251,-0.003211363927258848,-0.0007811848942446409,0.5254237288135594,0.5211864406779662,0.038793103448275856,0.05603448275862069
replicate,1841,,,,,,-0.008898244703952285,-0.004427244652149526,-0.021854918355747488,-0.009458196393066887,-0.012956673651795203,-0.005030951740917361,0.5158227848101266,0.47151898734177217,0.002795292139554484,0.002795292139554484
replicate,1842,,,,,,0.015060134326402741,0.0062943565741439,0.005264277184888422,0.0020943050220419146,-0.00979585714151432,-0.0042000515521019854,0.5777777777777777,0.5333333333333333,0.02215811965811959,0.02215811965811959
replicate,1843,,,,,,0.004426006987125808,0.0014231053012455086,0.0005323112214282721,0.0004370672936410136,-0.0038936957656975357,-0.000986038007604495,0.5534883720930233,0.5348837209302325,0.0530685161832703,0.0530685161832703
replicate,1844,,,,,,-0.013805447249029101,-0.007291793200758567,-0.022245096203117765,-0.010770805351031726,-0.008439648954088663,-0.0034790121502731586,0.4935064935064935,0.45021645021645024,-0.004780530204259004,-0.004780530204259004
replicate,1845,,,,,,0.00885072361239636,0.003233037635803321,0.00012168679932678117,-0.0005519890716811637,-0.00872903681306958,-0.0037850267074844846,0.5932203389830508,0.5635593220338984,0.02615384615384611,0.0443356643356643
replicate,1846,,,,,,-0.015216651811082782,-0.007819636117960965,-0.021335461459386584,-0.00970234372276857,-0.006118809648303802,-0.0018827076048076041,0.4537037037037037,0.4675925925925926,-0.0025862068965517016,0.04913793103448283
replicate,1847,,,,,,0.008162065320931666,0.003140360411471005,-0.006502503458624798,-0.0033481027792235385,-0.014664568779556464,-0.006488463190694543,0.5558912386706949,0.49244712990936557,0.014392059553349879,0.04665012406947894
replicate,1848,,,,,,-0.020395815152202124,-0.010319780781345184,-0.027256890900278496,-0.012858802335792813,-0.006861075748076373,-0.002539021554447629,0.4976958525345622,0.4792626728110599,0.00873931623931623,0.042072649572649584
replicate,1849,,,,,,-0.06205144086666092,-0.028754063290942627,-0.07675083586565401,-0.033671540628997965,-0.014699394998993087,-0.004917477338055337,0.46632124352331605,0.38341968911917096,-0.03617992177314211,-0.08702737940026073
replicate,1850,,,,,,-0.007421435516440922,-0.004264282435212541,-0.015796590364547503,-0.007787860884158115,-0.00837515484810658,-0.0035235784489455746,0.5667752442996743,0.5374592833876222,0.018376068376068366,0.06599511599511598
replicate,1851,,,,,,-0.022381941179223985,-0.010715561862663037,-0.024737758819450728,-0.010526096973308474,-0.0023558176402267428,0.00018946488935456252,0.47549019607843135,0.4852941176470588,0.02250000000000002,0.005833333333333357
replicate,1852,,,,,,-0.012861225566779821,-0.006816739376208719,-0.024053121232422314,-0.011237780915774154,-0.011191895665642493,-0.0044210415395654346,0.5789473684210527,0.531578947368421,0.04707264957264956,0.013739316239316235
replicate,1853,,,,,,-0.011602800153493464,-0.005939783291147971,-0.022822273196837606,-0.009999584572105119,-0.011219473043344141,-0.004059801280957148,0.49038461538461536,0.4855769230769231,-0.01572327044025157,0.04088050314465408
replicate,1854,,,,,,-0.01886661352546981,-0.00929275259888196,-0.031019637390643173,-0.014023726849298285,-0.012153023865173362,-0.0047309742504163255,0.5507246376811594,0.4927536231884058,0.015109890109890056,0.015109890109890056
replicate,1855,,,,,,-0.006509399200499533,-0.0034950196751391827,-0.017168960007068135,-0.007985705221053213,-0.010659560806568602,-0.0044906855459140305,0.5648854961832062,0.5305343511450382,0.012478632478632484,0.012478632478632484
replicate,1856,,,,,,-0.023398690300140523,-0.010600169032216944,-0.037518460831071576,-0.015850261740927407,-0.014119770530931053,-0.005250092708710463,0.4717741935483871,0.43548387096774194,-0.031175213675213642,-0.01450854700854698
replicate,1857,,,,,,0.008757395023558878,0.0033855838776619407,0.003663067268293907,0.0017325859291883183,-0.005094327755264971,-0.0016529979484736224,0.5654596100278552,0.5543175487465181,0.07140822140822142,0.10315425315425317
replicate,1858,,,,,,-0.03750481516086712,-0.017735999243684214,-0.04009164053452163,-0.01791837620381806,-0.002586825373654511,-0.0001823769601338454,0.5135135135135135,0.5067567567567568,-0.0016666666666667052,0.03166666666666662
replicate,1859,,,,,,0.004942194777054709,0.0015923243283730848,-0.01048818774606397,-0.005114430829148059,-0.01543038252311868,-0.006706755157521144,0.5911111111111111,0.5022222222222222,0.03901098901098901,0.03901098901098901
replicate,1860,,,,,,-0.012939603674695488,-0.006375001066142388,-0.022263469104355393,-0.009633676153139481,-0.009323865429659906,-0.0032586750869970926,0.5503597122302158,0.5215827338129496,0.012021857923497192,-0.004371584699453646
replicate,1861,,,,,,-0.0072388307566907395,-0.004402310522702513,-0.010700254207146376,-0.00497503978419625,-0.0034614234504556363,-0.0005727292614937374,0.5841584158415841,0.5693069306930693,0.08032786885245899,0.08032786885245899
replicate,1862,,,,,,-0.031155485455610643,-0.014669413704570367,-0.04521272689715872,-0.01994138931498174,-0.014057241441548074,-0.005271975610411372,0.4601226993865031,0.38650306748466257,-0.00926675663517773,-0.04435447593342334
replicate,1863,,,,,,0.0011340750223935991,-0.0004557713373894434,-0.007168010940400538,-0.003827263091404992,-0.008302085962794137,-0.0033714917540155487,0.5234042553191489,0.46808510638297873,-0.0035636679704476038,-0.0035636679704476038
replicate,1864,,,,,,-0.017321328725132923,-0.008045466193844247,-0.030614609464773013,-0.013320466105676165,-0.01329328073964009,-0.005274999911831918,0.5271966527196653,0.502092050209205,-0.02804487179487175,0.025526556776556852
replicate,1865,,,,,,0.0010011791693246286,5.7608377403789435e-05,-0.009792833927155464,-0.0040631099964373585,-0.010794013096480093,-0.004120718373841148,0.5096525096525096,0.4749034749034749,-0.01941070625281155,-0.01941070625281155
replicate,1866,,,,,,-0.022268724234541737,-0.011045335461394107,-0.021295683044258995,-0.010237197386859243,0.0009730411902827418,0.0008081380745348643,0.5145631067961165,0.5097087378640777,0.004301075268817234,0.020430107526881736
replicate,1867,,,,,,-0.047489400375051116,-0.022742796519168773,-0.06033786791113438,-0.02784569266040371,-0.012848467536083263,-0.005102896141234936,0.41201716738197425,0.3648068669527897,-0.039281210592685994,-0.022887767969735157
replicate,1868,,,,,,-0.019911651001343178,-0.009515613406268358,-0.032446878940928015,-0.014112014206526885,-0.012535227939584836,-0.004596400800258527,0.4858757062146893,0.4406779661016949,0.01737400530503974,-0.0171087533156499
replicate,1869,,,,,,-0.00617697779644566,-0.0034062207986467197,-0.019225696866735142,-0.0080950511551178,-0.013048719070289483,-0.00468883035647108,0.4888888888888889,0.48444444444444446,0.017926988265971305,0.05182529335071706
replicate,1870,,,,,,0.00028875484449053523,0.0001868710803186735,-0.01220899522891139,-0.004837639307107011,-0.012497750073401925,-0.005024510387425685,0.5412186379928315,0.4910394265232975,0.009991859991859975,-0.005881155881155897
replicate,1871,,,,,,-0.028727406420565482,-0.012670871317526311,-0.04676925108456287,-0.019165392411678417,-0.018041844663997386,-0.006494521094152106,0.49609375,0.45703125,0.01664417453891137,-0.0008996851102114345
replicate,1872,,,,,,-0.00394823082306861,-0.002437100309253426,-0.007944301962628075,-0.003653308218372897,-0.003996071139559465,-0.001216207909119471,0.5159817351598174,0.5068493150684932,0.02183622828784121,0.02183622828784121
replicate,1873,,,,,,-0.03983154007420997,-0.019267704962768334,-0.054649038974447395,-0.025060145128683153,-0.014817498900237425,-0.0057924401659148195,0.49382716049382713,0.42386831275720166,-0.011937788986969289,-0.04472467423287094
replicate,1874,,,,,,-0.029742951674344043,-0.013604430981314863,-0.04111027832886183,-0.017625099889463924,-0.011367326654517784,-0.004020668908149061,0.4742857142857143,0.46285714285714286,-0.020281630937368622,0.012505254308532998
replicate,1875,,,,,,-0.02281000105032116,-0.011307683992955148,-0.03208450485258563,-0.014797569684946749,-0.009274503802264467,-0.003489885691991601,0.5136186770428015,0.48249027237354086,-0.01629726205997392,0.017601043024771834
replicate,1876,,,,,,-0.012596047927319942,-0.006406197068326763,-0.027896280546672703,-0.01284833891213083,-0.01530023261935276,-0.006442141843804067,0.5224913494809689,0.4602076124567474,-0.006956704497688149,-0.02335014712063896
replicate,1877,,,,,,-0.029911173537983227,-0.013650698526273514,-0.043475056428586845,-0.019073042625853798,-0.013563882890603618,-0.005422344099580284,0.46798029556650245,0.43842364532019706,-0.02551064754454585,0.025336810082572797
replicate,1878,,,,,,-0.025712863517316942,-0.011344638585121497,-0.039652724625081626,-0.01651288442089552,-0.013939861107764684,-0.005168245835774021,0.4826254826254826,0.4594594594594595,-0.03268106162843004,0.0024066576698155706
replicate,1879,,,,,,-0.012378756148563208,-0.0064112819226809226,-0.018533296546695888,-0.008505322332335918,-0.00615454039813268,-0.002094040409654996,0.5052631578947369,0.5,0.014406779661016944,0.031355932203389836
replicate,1880,,,,,,-0.004323988527352052,-0.0016703266532718808,-0.015657488735847713,-0.0062249343745644226,-0.011333500208495662,-0.004554607721292542,0.5194805194805194,0.4902597402597403,-0.01727616645649438,-0.0008827238335435417
replicate,1881,,,,,,-0.015471052145883402,-0.0072038319441071474,-0.02750030892715216,-0.011616050054999744,-0.01202925678126876,-0.004412218110892596,0.4975124378109453,0.4626865671641791,-0.0005432420686658501,-0.0005432420686658501
replicate,1882,,,,,,-0.02391239485849106,-0.011489733870823693,-0.038218732959926616,-0.016900598603316247,-0.014306338101435556,-0.005410864732492554,0.5,0.45038167938931295,0.004245481294661624,0.004245481294661624
replicate,1883,,,,,,-0.033167623255948686,-0.016089707708825146,-0.04296660545657238,-0.019833840508212547,-0.009798982200623696,-0.0037441327993874007,0.5416666666666666,0.4722222222222222,0.0132478632478632,0.0132478632478632
replicate,1884,,,,,,-0.008688430357021937,-0.004562120818792148,-0.02159856934201676,-0.009612855662767233,-0.012910138984994823,-0.005050734843975085,0.5050505050505051,0.45791245791245794,0.031239316239316195,-0.002094017094017131
replicate,1885,,,,,,0.008212772404865176,0.003226539603636225,-0.004003484803613011,-0.0014527535182848328,-0.012216257208478187,-0.004679293121921058,0.5126582278481012,0.4873417721518987,0.01893837156995054,0.03648223121907335
replicate,1886,,,,,,-0.045594501545451416,-0.020773493890969524,-0.06062494123653561,-0.026327800268842266,-0.015030439691084196,-0.005554306377872742,0.43243243243243246,0.372972972972973,-0.062393162393162394,-0.062393162393162394
replicate,1887,,,,,,-0.010655259113225402,-0.005638600366552643,-0.014041760299196127,-0.006925602882064702,-0.003386501185970725,-0.001287002515512059,0.6282722513089005,0.6073298429319371,0.04888888888888887,0.04888888888888887
replicate,1888,,,,,,-0.0042821134285567775,-0.0025060029501583203,-0.009772769875859622,-0.0045627722271179005,-0.005490656447302844,-0.0020567692769595802,0.6221198156682027,0.5990783410138248,0.0633289124668435,0.04608753315649869
replicate,1889,,,,,,0.004727663245795211,0.001494650956806537,-0.0027497259791489093,-0.0012897748542898269,-0.00747738922494412,-0.0027844258110963638,0.5379061371841155,0.5054151624548736,0.0015508684863523303,0.0015508684863523303
replicate,1890,,,,,,-0.0567194510336646,-0.027045045522757244,-0.05478731986216234,-0.024854163287759634,0.0019321311715022604,0.00219088223499761,0.37894736842105264,0.4105263157894737,-0.0022222222222222365,0.014444444444444426
replicate,1891,,,,,,-0.02836638994964935,-0.013535020791889535,-0.03838887085173215,-0.01718464470882558,-0.010022480902082798,-0.0036496239169360456,0.5098039215686274,0.477124183006536,-0.019148056244830458,-0.03527708850289496
replicate,1892,,,,,,-0.031172129398240656,-0.014853006726247231,-0.036595951310763986,-0.016392321682248023,-0.00542382191252333,-0.0015393149560007924,0.5208333333333334,0.4739583333333333,0.013675213675213654,0.013675213675213654
replicate,1893,,,,,,-0.029330508680817102,-0.013842854224766166,-0.0356188695209565,-0.015869064967328733,-0.006288360840139395,-0.0020262107425625675,0.5046296296296297,0.4861111111111111,-0.016003536693191878,0.01847922192749779
