factor,target,universe,quantile,count,factor_min,factor_max,factor_mean,target_mean,target_median,target_p25,target_p75,target7_rate,target10_rate,loss_rate,opportunity7_rate,primary_close_mean,opportunity_max_mean
invalid_distance_pct,all_opportunity_d3_max,all_candidates,5,591,4.5544,6.4587,5.0059,5.489,4.335,1.5138,9.0109,0.3401,0.1929,0.0118,0.3401,0.0068,5.489
invalid_distance_pct,all_primary_d3_close,all_candidates,1,591,0.0,2.1053,1.0808,2.3248,1.7428,-3.8823,7.7709,0.2741,0.1912,0.2927,0.4839,2.3248,7.4415
invalid_distance_pct,all_primary_d3_close,all_candidates,2,590,2.1059,3.1454,2.6907,0.4408,-0.7322,-4.6352,4.6109,0.1763,0.1169,0.3458,0.3492,0.4408,5.8955
invalid_distance_pct,all_primary_d3_close,all_candidates,3,590,3.1461,3.8955,3.5282,0.7033,-0.3515,-4.3465,5.2493,0.1915,0.1136,0.339,0.3525,0.7033,5.9
invalid_distance_pct,all_primary_d3_close,all_candidates,4,590,3.8961,4.5543,4.2184,0.6162,-0.423,-4.541,5.0694,0.1814,0.1085,0.3458,0.3729,0.6162,6.1453
invalid_distance_pct,all_primary_d3_close,all_candidates,5,591,4.5544,6.4587,5.0059,0.0068,-0.7647,-5.2486,4.8787,0.176,0.0914,0.3773,0.3401,0.0068,5.489
invalid_distance_pct,executed_realized_d3,executed_only,1,33,0.0,3.0761,2.5005,0.4896,0.8856,-2.3148,7.0,0.2727,0.0,0.2424,0.1818,-2.1854,3.2543
invalid_distance_pct,executed_realized_d3,executed_only,2,33,3.0872,3.8683,3.4998,0.3558,-0.2127,-2.9124,7.0,0.303,0.0,0.2424,0.303,-0.9367,4.2105
invalid_distance_pct,executed_realized_d3,executed_only,3,33,3.8797,4.2947,4.0924,1.2591,0.6876,-2.8958,7.0,0.3636,0.0,0.2424,0.3333,0.0045,5.4474
invalid_distance_pct,executed_realized_d3,executed_only,4,33,4.3026,4.6875,4.4916,-0.5576,-1.0503,-5.0973,7.0,0.2727,0.0,0.3333,0.1212,-2.1423,3.9793
invalid_distance_pct,executed_realized_d3,executed_only,5,33,4.7009,6.3741,5.0872,0.4831,0.8691,-2.5777,7.0,0.2727,0.0,0.2121,0.1818,-0.9756,3.3652
low_absorb_width_pct,all_opportunity_d3_max,all_candidates,1,591,0.0,2.1053,1.0808,7.4415,6.7266,2.2166,10.4059,0.4839,0.2978,0.022,0.4839,2.3248,7.4415
low_absorb_width_pct,all_opportunity_d3_max,all_candidates,2,590,2.1059,3.1454,2.6907,5.8955,4.6105,1.7495,9.2888,0.3492,0.2085,0.0068,0.3492,0.4408,5.8955
low_absorb_width_pct,all_opportunity_d3_max,all_candidates,3,590,3.1461,3.8955,3.5282,5.9,4.6354,1.8309,8.7915,0.3525,0.1966,0.0068,0.3525,0.7033,5.9
