factor,bucket,record_count,success_count,failed_count,missed_count,ordinary_count,data_issue_count,success_rate,failed_rate,missed_rate,avg_d3_realized_return_pct,median_d3_realized_return_pct,avg_candidate_d3_max_return_pct,avg_d3_max_return_pct,avg_d3_close_return_pct
invalid_distance_pct,3-5,1707,39,86,571,1007,4,0.022847100175746926,0.05038078500292911,0.3345049794961921,0.4009897363276448,-0.0849617672047609,5.844294582351802,5.42619229082866,0.26956476355940207
invalid_distance_pct,<=1,244,0,2,142,98,2,0.0,0.00819672131147541,0.5819672131147541,-1.803436230231814,-1.803436230231814,8.597334250622023,2.1717603554620046,-1.803436230231814
invalid_distance_pct,>5,180,2,9,61,108,0,0.011111111111111112,0.05,0.3388888888888889,0.6342066092972023,1.055832210217944,5.65196260232105,4.238926334368125,0.22905648099263481
low_absorb_width_pct,1-2,303,1,1,125,172,4,0.0033003300330033004,0.0033003300330033004,0.41254125412541254,-0.2910306792319548,-0.2910306792319548,6.711805867698677,4.352273333635037,-2.4256274491720076
low_absorb_width_pct,2-3,528,7,18,185,318,0,0.013257575757575758,0.03409090909090909,0.3503787878787879,0.5631149932182946,1.8441279368695884,6.002734948473878,5.21636447918419,0.15156505863424588
low_absorb_width_pct,3-5,1707,39,86,571,1007,4,0.022847100175746926,0.05038078500292911,0.3345049794961921,0.4009897363276448,-0.0849617672047609,5.844294582351802,5.42619229082866,0.26956476355940207
low_absorb_width_pct,<=1,244,0,2,142,98,2,0.0,0.00819672131147541,0.5819672131147541,-1.803436230231814,-1.803436230231814,8.597334250622023,2.1717603554620046,-1.803436230231814
low_absorb_width_pct,>5,180,2,9,61,108,0,0.011111111111111112,0.05,0.3388888888888889,0.6342066092972023,1.055832210217944,5.65196260232105,4.238926334368125,0.22905648099263481
position_level,normal,319,49,116,79,75,0,0.1536050156739812,0.36363636363636365,0.2476489028213166,0.40599351972578573,0.202331631178354,5.625344614593397,5.262784275087459,0.19118918692662265
position_level,small,132,0,0,49,83,0,0.0,0.0,0.3712121212121212,,,6.203524708026028,,
position_level,zero,2511,0,0,956,1545,10,0.0,0.0,0.3807248108323377,,,6.242969070185854,,
selected_by_topn,False,2643,0,0,1005,1628,10,0.0,0.0,0.38024971623155507,,,6.240991608809062,,
selected_by_topn,True,319,49,116,79,75,0,0.1536050156739812,0.36363636363636365,0.2476489028213166,0.40599351972578573,0.202331631178354,5.625344614593397,5.262784275087459,0.19118918692662265
selected_for_execution,False,2643,0,0,1005,1628,10,0.0,0.0,0.38024971623155507,,,6.240991608809062,,
selected_for_execution,True,319,49,116,79,75,0,0.1536050156739812,0.36363636363636365,0.2476489028213166,0.40599351972578573,0.202331631178354,5.625344614593397,5.262784275087459,0.19118918692662265
signal_type,D2_LOW_ABSORB,319,49,116,79,75,0,0.1536050156739812,0.36363636363636365,0.2476489028213166,0.40599351972578573,0.202331631178354,5.625344614593397,5.262784275087459,0.19118918692662265
signal_type,D2_WATCH_OR_SMALL,132,0,0,49,83,0,0.0,0.0,0.3712121212121212,,,6.203524708026028,,
signal_type,WATCH_ONLY,2511,0,0,956,1545,10,0.0,0.0,0.3807248108323377,,,6.242969070185854,,
support_score,50-60,49,0,0,13,36,0,0.0,0.0,0.2653061224489796,,,4.425534545939751,,
support_score,60-70,197,8,17,64,108,0,0.04060913705583756,0.08629441624365482,0.3248730964467005,0.15815900450253056,0.6875606841119764,6.133694124430743,5.5447552623900656,1.0357922191844144
support_score,70-80,173,11,31,42,89,0,0.06358381502890173,0.1791907514450867,0.24277456647398843,-0.5198785820714414,-1.6362076091824773,4.862025220593457,4.349590664190053,-0.7380882233546548
support_score,<=50,973,0,0,337,636,0,0.0,0.0,0.34635149023638234,,,5.835460516191549,,
support_score,>80,1570,30,68,628,834,10,0.01910828025477707,0.04331210191082802,0.4,0.8660189396856319,0.5894926067037232,6.591534267543974,5.582221591160172,0.37399097698140715
support_type,A,1843,49,116,693,975,10,0.026587086272381984,0.06294085729788389,0.3760173629951167,0.40599351972578573,0.202331631178354,6.371113038238534,5.262784275087459,0.19118918692662265
support_type,B,283,0,0,111,172,0,0.0,0.0,0.392226148409894,,,6.443107839976867,,
support_type,C,836,0,0,280,556,0,0.0,0.0,0.3349282296650718,,,5.652351818474718,,
theme_score,50-60,856,18,23,291,521,3,0.02102803738317757,0.026869158878504672,0.3399532710280374,1.7588574323515054,2.3074209693407344,5.966209486787635,6.80851073801027,2.0296294184567154
theme_score,60-70,1763,30,88,694,948,3,0.017016449234259785,0.049914917753828704,0.39364719228587636,-0.10488579007300114,-0.17136353409133995,6.480108724815876,4.753775476957842,-0.45542138538575244
