event_id,signal_date,code,board,candidate_count,stage1_score,stage1_rank,stage1_top10,stage1_strength,d1_high_to_close_drawdown_raw,d1_close_location,d1_low_to_close_recovery,d1_open_to_close_return_raw,rank_drawdown_top10,rank_close_location_top10,rank_recovery_top10,rank_open_close_top10,closing_completion_gap,strength_x_gap,stage2_score,stage2_rank_within_top10,final_rerank_rank,control_top3,reranker_top3,target7,raw_repair_return,capped_opportunity_return_7
003026_2026-06-11,2026-06-11,003026,2,10,0.529836114734,8,True,0.222222222222,0.0626652564781,0.185567010309,0.0154683471785,-0.0382528486164,0.8,0.333333333333,0.3,0.3,0.716666666667,0.159259259259,0.358525999809,8,8,False,False,0,-0.0459548706659,-0.0459548706659
603002_2026-06-11,2026-06-11,603002,2,10,0.527254387246,9,True,0.111111111111,0.0319091400757,0.516393442623,0.0364794441228,-0.0245231607629,0.5,0.666666666667,0.6,0.5,0.433333333333,0.0481481481481,0.356254511726,9,9,False,False,0,0.0673719376392,0.0673719376392
002669_2026-06-11,2026-06-11,002669,2,10,0.52322400961,10,True,0,0.0538461538462,0,0,-0.03367003367,0.6,0.111111111111,0.15,0.4,0.734722222222,0,0.352283476411,10,10,False,False,0,-0.00120481927711,-0.00120481927711
002119_2026-06-12,2026-06-12,002119,2,8,0.588067577805,1,True,1,0.0687645687646,0.226229508197,0.0220658778382,-0.068221574344,0.375,0.75,0.75,0.25,0.40625,0.40625,0.373859338262,1,1,True,True,0,0.0543580131209,0.0543580131209
000048_2026-06-12,2026-06-12,000048,3,8,0.567836450945,2,True,0.857142857143,0.107176581681,0,0,-0.0247550283651,0.875,0.25,0.25,0.75,0.65625,0.5625,0.370532054746,2,2,True,True,0,-0.0215053763441,-0.0215053763441
002409_2026-06-12,2026-06-12,002409,2,8,0.56544213603,3,True,0.714285714286,0.0790166204986,0.0915605095541,0.00872269417476,-0.050139275766,0.5,0.625,0.625,0.5,0.4375,0.3125,0.365949764548,3,3,True,True,1,0.0771077107711,0.07
600378_2026-06-12,2026-06-12,600378,2,8,0.549637702913,4,True,0.571428571429,0.0954415954416,0,0,-0.0954415954416,0.75,0.25,0.25,0.125,0.78125,0.446428571429,0.361992222532,4,4,False,False,1,0.0784588441331,0.07
002165_2026-06-12,2026-06-12,002165,2,8,0.54002229513,5,True,0.428571428571,0.0630303030303,0.358024691358,0.0389784946237,0.0389784946237,0.25,0.875,0.875,1,0.125,0.0535714285714,0.358354838228,5,5,False,False,1,0.0732356857523,0.07
600665_2026-06-12,2026-06-12,600665,2,8,0.533900544134,6,True,0.285714285714,0.0431654676259,0.560975609756,0.061170212766,0.031007751938,0.125,1,1,0.875,0.0625,0.0178571428571,0.354942499431,6,6,False,False,0,0.012987012987,0.012987012987
603155_2026-06-12,2026-06-12,603155,2,8,0.523644152618,7,True,0.142857142857,0.0908725371934,0,0,-0.05,0.625,0.25,0.25,0.625,0.625,0.0892857142857,0.349431172224,7,7,False,False,1,0.087962962963,0.07
600178_2026-06-12,2026-06-12,600178,2,8,0.514674820484,8,True,0,0.123144104803,0.013986013986,0.00199600798403,-0.0608044901777,1,0.5,0.5,0.375,0.65625,0,0.345142669973,8,8,False,False,0,-0.00398803589232,-0.00398803589232
002203_2026-06-15,2026-06-15,002203,2,3,0.551771532523,1,True,1,0.0259332023576,0.752808988764,0.0882352941176,0.0778260869565,0.333333333333,1,1,1,0.0833333333333,0.0833333333333,0.376757632627,1,1,True,True,0,0.03625,0.03625
600067_2026-06-15,2026-06-15,600067,2,3,0.51804962166,2,True,0.5,0.0350404312668,0.628571428571,0.0654761904762,0.0376811594203,1,0.666666666667,0.666666666667,0.666666666667,0.5,0.25,0.365057485879,2,2,True,True,0,0.0285714285714,0.0285714285714
603014_2026-06-15,2026-06-15,603014,2,3,0.4702966319,3,True,0,0.0306884158142,0.393442622951,0.0209668025626,-0.0306884158142,0.666666666667,0.333333333333,0.333333333333,0.333333333333,0.666666666667,0,0.351149178049,3,3,True,True,1,0.111851637207,0.07
601958_2026-06-16,2026-06-16,601958,3,7,0.586498808578,1,True,1,0.0285906491759,0.674329501916,0.0648967551622,0.0277580071174,0.571428571429,0.571428571429,0.857142857143,0.714285714286,0.357142857143,0.357142857143,0.377407867197,1,1,True,True,0,0.0439285714286,0.0439285714286
001359_2026-06-16,2026-06-16,001359,2,7,0.582950918582,2,True,0.833333333333,0.0119638642468,0.764423076923,0.0408985681214,-0.00638402357178,0.142857142857,0.857142857143,0.285714285714,0.428571428571,0.392857142857,0.327380952381,0.374276403129,2,2,True,True,1,0.120841364284,0.07
000510_2026-06-16,2026-06-16,000510,3,7,0.570419244903,3,True,0.666666666667,0.013751611517,0.820224719101,0.0679385760819,0.0431818181818,0.285714285714,1,1,0.857142857143,0.107142857143,0.0714285714286,0.370128094936,3,3,True,True,0,-0.0145310435931,-0.0145310435931
603738_2026-06-16,2026-06-16,603738,2,7,0.552230803584,4,True,0.5,0.0522451767116,0.417142857143,0.041072768192,-0.0261403508772,0.857142857143,0.285714285714,0.428571428571,0.285714285714,0.714285714286,0.357142857143,0.368216749238,4,4,False,False,1,0.129815592478,0.07
601696_2026-06-16,2026-06-16,601696,2,7,0.549260829238,5,True,0.333333333333,0.0169992609017,0.757894736842,0.0572337042925,0.0572337042925,0.428571428571,0.714285714286,0.714285714286,1,0.25,0.0833333333333,0.364304389618,5,5,False,False,0,-0.0187265917603,-0.0187265917603
603335_2026-06-16,2026-06-16,603335,2,7,0.530453140418,6,True,0.166666666667,0.0964102564103,0.293233082707,0.0463182897862,-0.0964102564103,1,0.142857142857,0.571428571429,0.142857142857,0.785714285714,0.130952380952,0.360834689791,6,6,False,False,1,0.111922141119,0.07
000506_2026-06-16,2026-06-16,000506,2,7,0.514713490714,7,True,0,0.0299936183791,0.5,0.0319076714189,0.00595632031767,0.714285714286,0.428571428571,0.142857142857,0.571428571429,0.642857142857,0,0.357374060122,7,7,False,False,0,-0.00130975769483,-0.00130975769483
603256_2026-06-17,2026-06-17,603256,2,17,0.593073862637,1,True,1,0.0557986870897,0.274193548387,0.0228350189633,0.011328125,0.9,0.2,0.2,0.4,0.775,0.775,0.379446233491,1,1,True,True,1,0.12002451982,0.07
605198_2026-06-17,2026-06-17,605198,3,17,0.590090225555,2,True,0.9375,0.00231884057971,0.974457215837,0.0972966080082,0.0972966080082,0.1,1,1,1,0.025,0.0234375,0.372700836293,3,3,True,True,0,-0.0212765957447,-0.0212765957447
600549_2026-06-17,2026-06-17,600549,2,17,0.578139699328,3,True,0.875,0.0246138996139,0.664473684211,0.0526041666667,0.0105,0.6,0.5,0.4,0.3,0.6,0.525,0.375327349606,2,2,True,True,1,0.209677419355,0.07
002824_2026-06-17,2026-06-17,002824,2,17,0.578036803348,4,True,0.8125,0.0191048034934,0.798270893372,0.0835091950558,0.0366310931641,0.4,0.7,0.8,0.6,0.325,0.2640625,0.372281789964,4,4,False,False,1,0.144943820225,0.07
002515_2026-06-17,2026-06-17,002515,2,17,0.573912179844,5,True,0.75,0.0366225839268,0.586206896552,0.0569196428571,0.0533926585095,0.7,0.4,0.5,0.7,0.525,0.39375,0.372123082101,5,5,False,False,1,0.165371809101,0.07
605289_2026-06-17,2026-06-17,605289,2,17,0.573353681318,6,True,0.6875,0.0169741697417,0.693333333333,0.040625,0.00127790723897,0.3,0.6,0.3,0.2,0.55,0.378125,0.370892558538,6,6,False,False,0,0.065543071161,0.065543071161
002851_2026-06-17,2026-06-17,002851,2,17,0.566612674118,7,True,0.625,0.00600066674075,0.904677846425,0.0607767565965,0.0581415981546,0.2,0.9,0.6,0.8,0.225,0.140625,0.368071133477,8,8,False,False,1,0.0721357850071,0.07
002552_2026-06-17,2026-06-17,002552,2,17,0.560817227216,8,True,0.5625,0.0616384915475,0.521212121212,0.0770149253731,0.016338028169,1,0.3,0.7,0.5,0.625,0.3515625,0.368461814099,7,7,False,False,1,0.136402877698,0.07
002585_2026-06-17,2026-06-17,002585,2,17,0.556908378035,9,True,0.5,0.0197889182058,0.8125,0.0958702064897,0.0958702064897,0.5,0.8,0.9,0.9,0.225,0.1125,0.365671296822,10,10,False,False,0,0.0378634212306,0.0378634212306
002990_2026-06-17,2026-06-17,002990,2,17,0.556280258401,10,True,0.4375,0.0469109576916,0.10472972973,0.00579114515225,-0.0373681387449,0.8,0.1,0.1,0.1,0.875,0.3828125,0.36641175212,9,9,False,False,1,0.0859687386405,0.07
603516_2026-06-17,2026-06-17,603516,2,17,0.545834031981,11,False,0.375,0.0548432055749,0.267225325885,0.021617957216,-0.0217109059435,,,,,,,,,11,False,False,1,0.0701068927387,0.07
601179_2026-06-17,2026-06-17,601179,2,17,0.537675693626,12,False,0.3125,0.0436099333737,0.152941176471,0.00830140485313,-0.0383678440926,,,,,,,,,12,False,False,1,0.0707908163265,0.07
002806_2026-06-17,2026-06-17,002806,2,17,0.531915436247,13,False,0.25,0.0467889908257,0.286713286713,0.0201276386843,-0.0294255021018,,,,,,,,,13,False,False,0,0.0405727923628,0.0405727923628
600545_2026-06-17,2026-06-17,600545,2,17,0.523922600721,14,False,0.1875,0.0435413642961,0.25,0.0154083204931,-0.00902255639098,,,,,,,,,14,False,False,1,0.142857142857,0.07
