feature,feature_type,bucket,count,target7_count,target7_rate,target7_rate_lift_vs_base,avg_candidate_d3_max_return_pct
graph_quality_score,numeric,"(-0.001, 32.0]",359,110,0.3064066852367688,-0.03209460675289533,5.39164898745512
graph_quality_score,numeric,"(32.0, 50.0]",278,76,0.2733812949640288,-0.06511999702563531,4.7104128116862505
invalid_distance_pct,numeric,"(4.123, 4.628]",309,117,0.3786407766990291,0.040139484709365014,6.2797972821245835
invalid_distance_pct,numeric,"(-0.001, 2.782]",310,108,0.34838709677419355,0.00988580478452944,5.809284357283419
invalid_distance_pct,numeric,"(3.489, 4.123]",310,107,0.34516129032258064,0.006659998332916528,5.709287061612286
invalid_distance_pct,numeric,"(2.782, 3.489]",309,99,0.32038834951456313,-0.01811294247510098,5.492970084936173
invalid_distance_pct,numeric,"(4.628, 6.374]",310,93,0.3,-0.03850129198966412,4.958081512685821
low_absorb_width_pct,numeric,"(4.123, 4.628]",309,117,0.3786407766990291,0.040139484709365014,6.2797972821245835
low_absorb_width_pct,numeric,"(-0.001, 2.782]",310,108,0.34838709677419355,0.00988580478452944,5.809284357283419
low_absorb_width_pct,numeric,"(3.489, 4.123]",310,107,0.34516129032258064,0.006659998332916528,5.709287061612286
low_absorb_width_pct,numeric,"(2.782, 3.489]",309,99,0.32038834951456313,-0.01811294247510098,5.492970084936173
low_absorb_width_pct,numeric,"(4.628, 6.374]",310,93,0.3,-0.03850129198966412,4.958081512685821
signal_type,categorical,D2_LOW_ABSORB,1548,524,0.3385012919896641,0.0,5.649578504658944
support_score,numeric,"(39.0, 67.0]",278,102,0.3669064748201439,0.02840518283047977,6.170168032453475
support_score,numeric,"(-0.001, 21.0]",487,171,0.351129363449692,0.012628071460027868,5.859892409404977
support_score,numeric,"(67.0, 89.0]",324,106,0.3271604938271605,-0.011340798162503607,5.588806672377206
support_score,numeric,"(89.0, 91.0]",291,93,0.31958762886597936,-0.018913663123684754,4.936606942704784
support_score,numeric,"(21.0, 39.0]",168,52,0.30952380952380953,-0.028977482465854576,5.5306382537645815
support_type,categorical,B,228,87,0.3815789473684211,0.04307765537875696,6.358159069289089
support_type,categorical,C,687,231,0.33624454148471616,-0.0022567505049479464,5.732420063649463
support_type,categorical,A,633,206,0.325434439178515,-0.01306685281114911,5.304446561906719
theme_score,numeric,"(60.0, 70.0]",994,370,0.3722334004024145,0.03373210841275037,6.0370089504105655
theme_score,numeric,"(44.999, 60.0]",554,154,0.2779783393501805,-0.060522952639483596,4.954441567696651
total_score,numeric,"(74.25, 88.75]",293,137,0.46757679180887374,0.12907549981920963,7.219345070121743
total_score,numeric,"(66.75, 74.25]",316,115,0.3639240506329114,0.02542275864324728,6.0002720282453295
total_score,numeric,"(60.0, 66.75]",316,102,0.3227848101265823,-0.015716481863081833,5.362889311151552
total_score,numeric,"(52.0, 60.0]",312,93,0.2980769230769231,-0.04042436891274104,5.037909613900938
total_score,numeric,"(33.499, 52.0]",311,77,0.24758842443729903,-0.09091286755236508,4.7192689288741745
trend_hold_score,numeric,"(75.0, 95.0]",250,118,0.472,0.13349870801033586,7.046310344870406
trend_hold_score,numeric,"(55.0, 65.0]",325,112,0.3446153846153846,0.006114092625720491,5.788355475024952
trend_hold_score,numeric,"(65.0, 75.0]",266,90,0.3383458646616541,-0.00015542732800999381,5.741177619981226
trend_hold_score,numeric,"(39.999, 55.0]",707,204,0.28854314002828857,-0.04995815196137554,5.057427387123521
