trade_date,code,name,market,latest_price,pct_chg,amount,turnover_rate,float_market_cap,total_market_cap,industry,limit_up_time,final_limit_up_time,open_board_count,seal_amount,consecutive_limit_up_count,source
2026-06-25,603067,振华股份,SH,46.38,10.009488105773926,1969747088,5.712554454803467,35041268237.520004,35041268423.04,化学原料,095919,104822,3,12874624,1,akshare_zt_pool_em
2026-06-25,002303,美盈森,SZ,4.25,10.10362720489502,626450656,15.567251205444336,4109244492.25,6508125640.0,包装印刷,100018,101218,1,38712055,2,akshare_zt_pool_em
2026-06-25,002518,科士达,SZ,54.43,10.00404167175293,660881200,2.2183361053466797,30761239525.71,31690511539.84,其他电源,100309,100309,0,144091613,1,akshare_zt_pool_em
2026-06-25,603065,宿迁联盛,SH,20.13,10.0,719014864,8.798568725585938,8433817224.36,8433817143.839999,化学制品,100656,100738,1,39857400,1,akshare_zt_pool_em
2026-06-25,002842,翔鹭钨业,SZ,51.41,9.99144172668457,2645222688,19.76533317565918,13801649876.189999,16819933906.56,小金属,100712,104906,15,91561210,1,akshare_zt_pool_em
2026-06-25,603527,众源新材,SH,14.08,10.0,337220688,7.775292873382568,4462954496.0,4462954496.0,工业金属,101357,101357,0,56572778,1,akshare_zt_pool_em
2026-06-25,601798,蓝科高新,SH,7.83,9.971909523010254,173654703,6.40709924697876,2775955790.34,2775955743.36,专用设备,101504,111131,2,29072007,1,akshare_zt_pool_em
2026-06-25,600058,五矿发展,SH,11.77,10.0,297115216,2.4380710124969482,12616389068.47,12616388986.08,贸易Ⅱ,101520,101520,0,75196176,1,akshare_zt_pool_em
2026-06-25,605318,法狮龙,SH,134.2,10.0,443149744,2.6939680576324463,16872835557.599998,16872835557.599998,装修建材,102106,102703,2,43467380,1,akshare_zt_pool_em
2026-06-25,600152,维科技术,SH,11.81,9.962756156921387,500927808,8.2970552444458,6248427418.75,6248427430.56,电池,102810,102810,0,117882696,1,akshare_zt_pool_em
2026-06-25,600516,方大炭素,SH,6.77,10.081300735473633,1753256432,6.599803447723389,27255819391.359997,27255819391.359997,冶钢原料,103025,133731,2,71610609,1,akshare_zt_pool_em
2026-06-25,002928,华夏航空,SZ,7.9,10.027854919433594,532290512,5.377941131591797,10098057092.5,10098108260.800001,航空机场,103842,103842,0,77018877,1,akshare_zt_pool_em
2026-06-25,000783,长江证券,SZ,10.15,9.967496871948242,5274211584,9.706199645996094,56130240422.200005,56130239244.8,证券Ⅱ,103903,142636,4,18211058,1,akshare_zt_pool_em
2026-06-25,001330,博纳影业,SZ,6.93,10.0,698528112,9.058307647705078,8058531941.46,9525416614.56,影视院线,105630,105630,0,56582355,1,akshare_zt_pool_em
2026-06-25,002579,中京电子,SZ,21.3,10.020661354064941,2639139232,22.4615421295166,12426673342.2,13048776691.2,元件,110330,110330,0,114024395,1,akshare_zt_pool_em
2026-06-25,002654,万润科技,SZ,20.72,9.978768348693848,2094417760,12.302456855773926,17513425511.68,17514668711.68,光学光电,110800,130703,1,101055066,1,akshare_zt_pool_em
2026-06-25,002056,横店东磁,SZ,30.2,10.018214225769043,2466024224,5.224012851715088,49075954591.799995,49126704816.0,光伏设备,111645,112324,2,125761678,1,akshare_zt_pool_em
2026-06-25,600500,中化国际,SH,8.64,10.06369400024414,2259958432,7.647703647613525,31002966457.920002,31002966466.56,化学制品,130010,130010,0,87538112,1,akshare_zt_pool_em
2026-06-25,600237,铜峰电子,SH,12.99,9.991532325744629,1374246928,17.623031616210938,8113759177.05,8190061982.400001,元件,130052,135928,1,54496466,1,akshare_zt_pool_em
2026-06-25,603010,万盛股份,SH,15.53,9.985836029052734,391906336,4.559364318847656,8864186890.289999,9085520372.64,化学制品,130115,131344,1,32187478,1,akshare_zt_pool_em
2026-06-25,605589,圣泉集团,SH,72.96,9.995476722717285,5423194880,9.231534957885742,61718250094.079994,61752504668.159996,塑料,130231,130552,3,10118311,1,akshare_zt_pool_em
2026-06-25,603690,至纯科技,SH,34.57,9.990455627441406,2041340736,16.207612991333008,13239074122.5,13239074329.92,半导体,132119,132634,3,53479651,1,akshare_zt_pool_em
2026-06-25,600141,兴发集团,SH,47.48,10.009267807006836,5499890432,10.078803062438965,57058608410.35999,57058608362.88,农化制品,132158,145225,19,30089263,2,akshare_zt_pool_em
2026-06-25,000048,京基智农,SZ,22.31,10.009861946105957,642813024,5.664686679840088,11808744352.5,11828823397.119999,养殖业,132327,134451,8,14432339,1,akshare_zt_pool_em
2026-06-25,000636,风华高科,SZ,79.62,10.002762794494629,11175159808,12.536704063415527,92121383897.82,92121392257.92,元件,132512,140527,3,183542173,1,akshare_zt_pool_em
2026-06-25,001309,德明利,SZ,891.0,10.0,17667610880,12.302627563476562,146939113530.0,202119481278.0,半导体,132651,140130,6,98149887,1,akshare_zt_pool_em
2026-06-25,600903,贵州燃气,SH,7.99,10.055096626281738,334323472,3.80525803565979,9300235419.92,9300235483.84,燃气Ⅱ,133807,133807,0,18492695,1,akshare_zt_pool_em
2026-06-25,603733,仙鹤股份,SH,27.21,9.983831405639648,503138416,2.670929431915283,19713177396.15,19713177423.36,造纸,134413,134413,0,46041333,1,akshare_zt_pool_em
2026-06-25,002141,贤丰控股,SZ,5.24,10.084033966064453,993023792,20.12647819519043,5412583581.52,5412583550.08,元件,140836,141048,1,16239771,1,akshare_zt_pool_em
2026-06-25,603063,禾望电气,SH,55.17,10.009969711303711,1784748720,7.199062824249268,25498152489.780003,25603527520.8,风电设备,140934,140934,0,50631715,1,akshare_zt_pool_em
2026-06-25,600668,尖峰集团,SH,7.68,10.028653144836426,164106425,5.357986927032471,3171076561.92,3171076546.56,水泥,141331,145352,6,1599744,1,akshare_zt_pool_em
2026-06-25,000766,通化金马,SZ,26.61,10.004134178161621,1532490480,6.189751625061035,25705464391.41,25718424073.44,化学制药,142021,145139,3,17479310,1,akshare_zt_pool_em
2026-06-25,603019,中科曙光,SH,97.82,9.996626853942871,12536829440,9.004859924316406,143115975930.08,143121986773.44,计算机设,143610,143631,1,566649641,1,akshare_zt_pool_em
