fold_id,test_signal_date,model,factor,coefficient
fold_07,2026-06-26,M2,HIGHZONE,-0.128885
fold_07,2026-06-26,M2,LATESELL,-0.179310
fold_07,2026-06-26,M2,MOM7,0.145241
fold_07,2026-06-26,M2,DAMAGE7,0.141833
fold_07,2026-06-26,M2,REGIME,0.051967
fold_08,2026-06-29,M1,INTERCEPT,-0.679857
fold_08,2026-06-29,M1,OPEN,0.240832
fold_08,2026-06-29,M1,RESET,0.065237
fold_08,2026-06-29,M1,HIGHZONE,-0.219455
fold_08,2026-06-29,M1,LATESELL,-0.229462
fold_08,2026-06-29,M2,INTERCEPT,-0.691754
fold_08,2026-06-29,M2,OPEN,0.217862
fold_08,2026-06-29,M2,RESET,0.103845
fold_08,2026-06-29,M2,HIGHZONE,-0.231655
fold_08,2026-06-29,M2,LATESELL,-0.228531
fold_08,2026-06-29,M2,MOM7,0.095648
fold_08,2026-06-29,M2,DAMAGE7,0.067487
fold_08,2026-06-29,M2,REGIME,0.071780
fold_09,2026-06-30,M1,INTERCEPT,-0.638682
fold_09,2026-06-30,M1,OPEN,0.183884
fold_09,2026-06-30,M1,RESET,0.099908
fold_09,2026-06-30,M1,HIGHZONE,-0.161586
fold_09,2026-06-30,M1,LATESELL,-0.212970
fold_09,2026-06-30,M2,INTERCEPT,-0.651558
fold_09,2026-06-30,M2,OPEN,0.179056
fold_09,2026-06-30,M2,RESET,0.110031
fold_09,2026-06-30,M2,HIGHZONE,-0.161640
fold_09,2026-06-30,M2,LATESELL,-0.211908
fold_09,2026-06-30,M2,MOM7,0.028618
fold_09,2026-06-30,M2,DAMAGE7,0.042149
fold_09,2026-06-30,M2,REGIME,0.079272
