signal_date,candidate_count,target7_count,daily_universe_mean_capped_return,rank1_event_id,rank1_capped_return,rank1_target7,rank2_event_id,rank2_capped_return,rank2_target7,rank3_event_id,rank3_capped_return,rank3_target7,top1_capped_return,top1_excess_vs_universe,top1_beat_universe,top2_capped_return,top2_excess_vs_universe,top2_beat_universe,top3_capped_return,top3_excess_vs_universe,top3_beat_universe,top3_target7_hits,available_winner_capture
2026-06-09,9,1,-0.0018516822650699624,002421_2026-06-09,-0.14210526315789485,0,603859_2026-06-09,0.06404129229592792,0,603500_2026-06-09,0.07,1,-0.14210526315789485,-0.1402535808928249,0,-0.03903198543098346,-0.0371803031659135,0,-0.002687990287322306,-0.0008363080222523436,0,1,1.0
2026-06-10,7,4,0.04389499596509298,603186_2026-06-10,0.07,1,603929_2026-06-10,0.07,1,001696_2026-06-10,0.07,1,0.07,0.02610500403490703,1,0.07,0.02610500403490703,1,0.07,0.02610500403490703,1,3,1.0
2026-06-11,10,2,0.028416248118709197,002636_2026-06-11,0.07,1,605318_2026-06-11,0.0456747404844291,0,603065_2026-06-11,0.028676470588235414,0,0.07,0.041583751881290806,1,0.05783737024221455,0.029421122123505356,1,0.04811707035755484,0.01970082223884564,1,1,0.5
2026-06-12,8,4,0.040231451733937953,000048_2026-06-12,-0.021505376344086113,0,002119_2026-06-12,0.05435801312089983,0,002409_2026-06-12,0.07,1,-0.021505376344086113,-0.06173682807802407,0,0.016426318388406858,-0.023805133345531096,0,0.03428421225893791,-0.005947239475000046,0,1,0.3333333333333333
2026-06-15,3,1,0.044940476190476274,002203_2026-06-15,0.036250000000000115,0,600067_2026-06-15,0.028571428571428692,0,603014_2026-06-15,0.07,1,0.036250000000000115,-0.008690476190476158,0,0.032410714285714404,-0.01252976190476187,0,0.044940476190476274,0.0,0,1,1.0
2026-06-16,7,3,0.0313373111971878,000510_2026-06-16,-0.014531043593130843,0,601958_2026-06-16,0.04392857142857154,0,603335_2026-06-16,0.07,1,-0.014531043593130843,-0.045868354790318644,0,0.014698763917720348,-0.016638547279467453,0,0.033132509278480236,0.001795198081292436,1,1,0.3333333333333333
2026-06-17,17,12,0.0600758531774936,605198_2026-06-17,-0.02127659574468077,0,002851_2026-06-17,0.07,1,002552_2026-06-17,0.07,1,-0.02127659574468077,-0.08135244892217437,0,0.024361702127659618,-0.035714151049833984,0,0.039574468085106417,-0.020501385092387185,0,2,0.6666666666666666
2026-06-18,15,2,0.017311011105823247,603186_2026-06-18,0.045483180042837246,0,002741_2026-06-18,-0.020413122721749555,0,600110_2026-06-18,-0.04445727482678985,0,0.045483180042837246,0.028172168937014,1,0.012535028660543845,-0.004775982445279402,0,-0.006462405835234053,-0.0237734169410573,0,0,0.0
2026-06-22,7,4,0.046540992262907054,002491_2026-06-22,0.07,1,603261_2026-06-22,0.07,1,002989_2026-06-22,0.021419009370816422,0,0.07,0.023459007737092953,1,0.07,0.023459007737092953,1,0.05380633645693881,0.007265344194031756,1,2,0.6666666666666666
2026-06-23,14,7,0.05068555323433526,002297_2026-06-23,0.07,1,000811_2026-06-23,0.07,1,603663_2026-06-23,0.02941176470588225,0,0.07,0.019314446765664746,1,0.07,0.019314446765664746,1,0.056470588235294085,0.005785035000958824,1,2,0.6666666666666666
2026-06-24,15,3,0.021949161370582483,603757_2026-06-24,0.05169806132270027,0,002068_2026-06-24,0.06471389645776582,0,600851_2026-06-24,-0.03681592039801007,0,0.05169806132270027,0.02974889995211779,1,0.058205978890233045,0.03625681751965056,1,0.026532012460818672,0.004582851090236189,1,0,0.0
2026-06-25,9,4,0.024497753192807656,600909_2026-06-25,0.07,1,000566_2026-06-25,-0.00219780219780219,0,605069_2026-06-25,0.07,1,0.07,0.04550224680719235,1,0.03390109890109891,0.009403345708291252,1,0.04593406593406594,0.021436312741258283,1,2,0.6666666666666666
2026-06-26,12,3,0.016013751663266792,603989_2026-06-26,-0.04196428571428579,0,002080_2026-06-26,-0.05252525252525253,0,002990_2026-06-26,0.07,1,-0.04196428571428579,-0.05797803737755258,0,-0.04724476911976916,-0.06325852078303595,0,-0.008163179413179436,-0.02417693107644623,0,1,0.3333333333333333
2026-06-29,5,3,0.03005811481218995,600228_2026-06-29,-0.07931726907630532,0,000823_2026-06-29,0.07,1,600962_2026-06-29,0.07,1,-0.07931726907630532,-0.10937538388849527,0,-0.004658634538152656,-0.03471674935034261,0,0.020227576974564898,-0.009830537837625053,0,2,0.6666666666666666
2026-06-30,7,1,0.018284747767554867,603650_2026-06-30,0.0474406991260925,0,601133_2026-06-30,-0.0627906976744187,0,603163_2026-06-30,-0.028716216216216228,0,0.0474406991260925,0.029155951358537633,1,-0.007674999274163097,-0.025959747041717964,0,-0.014688738254847475,-0.03297348602240234,0,0,0.0
