event_id,code,signal_date,v02_candidate_status,v02_exclusion_reason,missing_reason,daily_label_complete,d1_daily_complete,recoverable,recovery_status,recovered_rows,before_rows,after_rows,backup_path,raw_sha256,raw_path,raw_source,raw_adjust,raw_d1_complete
600903_2026-05-15,600903,2026-05-15,QUALITY_FAILED,missing_minute_data,bar_grid_incomplete,True,True,False,UNRECOVERABLE_WITH_CURRENT_CANONICAL_SOURCE,,,,,,,,,
603007_2026-05-15,603007,2026-05-15,QUALITY_FAILED,missing_minute_data,bar_grid_incomplete,True,True,False,UNRECOVERABLE_WITH_CURRENT_CANONICAL_SOURCE,,,,,,,,,
002971_2026-05-18,002971,2026-05-18,CANDIDATE,nan,d1_date_missing,True,True,False,UNRECOVERABLE_WITH_CURRENT_CANONICAL_SOURCE,,,,,,,,,
002374_2026-05-19,002374,2026-05-19,QUALITY_FAILED,missing_minute_data,d1_date_missing,True,True,False,UNRECOVERABLE_WITH_CURRENT_CANONICAL_SOURCE,,,,,,,,,
003018_2026-05-19,003018,2026-05-19,QUALITY_FAILED,missing_minute_data,d1_date_missing,True,True,False,UNRECOVERABLE_WITH_CURRENT_CANONICAL_SOURCE,,,,,,,,,
601678_2026-05-19,601678,2026-05-19,QUALITY_FAILED,missing_minute_data,d1_date_missing,True,True,False,UNRECOVERABLE_WITH_CURRENT_CANONICAL_SOURCE,,,,,,,,,
002208_2026-05-20,002208,2026-05-20,QUALITY_FAILED,missing_minute_data,d1_date_missing,True,True,False,UNRECOVERABLE_WITH_CURRENT_CANONICAL_SOURCE,,,,,,,,,
002552_2026-05-20,002552,2026-05-20,QUALITY_FAILED,missing_minute_data,d1_date_missing,True,True,False,UNRECOVERABLE_WITH_CURRENT_CANONICAL_SOURCE,,,,,,,,,
600758_2026-05-20,600758,2026-05-20,CANDIDATE,nan,d1_date_missing,True,True,False,UNRECOVERABLE_WITH_CURRENT_CANONICAL_SOURCE,,,,,,,,,
600850_2026-05-20,600850,2026-05-20,QUALITY_FAILED,missing_minute_data,d1_date_missing,True,True,False,UNRECOVERABLE_WITH_CURRENT_CANONICAL_SOURCE,,,,,,,,,
603115_2026-05-20,603115,2026-05-20,QUALITY_FAILED,missing_minute_data,d1_date_missing,True,True,False,UNRECOVERABLE_WITH_CURRENT_CANONICAL_SOURCE,,,,,,,,,
603206_2026-05-20,603206,2026-05-20,CANDIDATE,nan,d1_date_missing,True,True,False,UNRECOVERABLE_WITH_CURRENT_CANONICAL_SOURCE,,,,,,,,,
603311_2026-05-20,603311,2026-05-20,QUALITY_FAILED,missing_minute_data,d1_date_missing,True,True,False,UNRECOVERABLE_WITH_CURRENT_CANONICAL_SOURCE,,,,,,,,,
603989_2026-05-20,603989,2026-05-20,QUALITY_FAILED,missing_minute_data,d1_date_missing,True,True,False,UNRECOVERABLE_WITH_CURRENT_CANONICAL_SOURCE,,,,,,,,,
000417_2026-05-21,000417,2026-05-21,QUALITY_FAILED,missing_minute_data,d1_date_missing,True,True,False,UNRECOVERABLE_WITH_CURRENT_CANONICAL_SOURCE,,,,,,,,,
002272_2026-05-21,002272,2026-05-21,QUALITY_FAILED,missing_minute_data,none,True,True,False,RECOVERED,48.0,98.0,146.0,F:\fenqixuangu\data\backups\minute_bar_repairs\002272_5min.before_may_recovery.pkl,07d277674240aacc3a8ff7c923d542c644b6b2c72ef3193cfcad445dbcac4da2,F:\fenqixuangu\data\raw\minute_5m\002272_5min.csv,sina_5m,none,True
603938_2026-05-21,603938,2026-05-21,CANDIDATE,nan,d1_date_missing,True,True,False,UNRECOVERABLE_WITH_CURRENT_CANONICAL_SOURCE,,,,,,,,,
605288_2026-05-21,605288,2026-05-21,QUALITY_FAILED,missing_minute_data,d1_date_missing,True,True,False,UNRECOVERABLE_WITH_CURRENT_CANONICAL_SOURCE,,,,,,,,,
001225_2026-05-25,001225,2026-05-25,QUALITY_FAILED,missing_minute_data,d1_date_missing,True,True,False,UNRECOVERABLE_WITH_CURRENT_CANONICAL_SOURCE,,,,,,,,,
002036_2026-05-25,002036,2026-05-25,QUALITY_FAILED,missing_minute_data,d1_date_missing,True,True,False,UNRECOVERABLE_WITH_CURRENT_CANONICAL_SOURCE,,,,,,,,,
