event_id,code,signal_date,board_streak_before_break,missing_reason,expected_bars,actual_bars,first_timestamp,last_timestamp,duplicate_bars,invalid_price_volume,daily_label_complete,d1_daily_complete,d1_minute_complete,raw_path,recoverable,minute_cache_path
600172_2026-05-14,600172,2026-05-14,3,d1_date_missing,48,0,,,0,0,True,True,False,F:\fenqixuangu\data\raw\minute_5m\600172_5min.csv,False,F:\fenqixuangu\data\cache\minute_5m\600172_5min.pkl
600396_2026-05-14,600396,2026-05-14,3,d1_date_missing,48,0,,,0,0,True,True,False,F:\fenqixuangu\data\raw\minute_5m\600396_5min.csv,False,F:\fenqixuangu\data\cache\minute_5m\600396_5min.pkl
603203_2026-05-14,603203,2026-05-14,2,d1_date_missing,48,0,,,0,0,True,True,False,F:\fenqixuangu\data\raw\minute_5m\603203_5min.csv,False,F:\fenqixuangu\data\cache\minute_5m\603203_5min.pkl
001210_2026-05-15,001210,2026-05-15,2,d1_date_missing,48,0,,,0,0,True,True,False,F:\fenqixuangu\data\raw\minute_5m\001210_5min.csv,False,F:\fenqixuangu\data\cache\minute_5m\001210_5min.pkl
001223_2026-05-15,001223,2026-05-15,2,d1_date_missing,48,0,,,0,0,True,True,False,F:\fenqixuangu\data\raw\minute_5m\001223_5min.csv,False,F:\fenqixuangu\data\cache\minute_5m\001223_5min.pkl
002208_2026-05-15,002208,2026-05-15,3,d1_date_missing,48,0,,,0,0,True,True,False,F:\fenqixuangu\data\raw\minute_5m\002208_5min.csv,False,F:\fenqixuangu\data\cache\minute_5m\002208_5min.pkl
002940_2026-05-15,002940,2026-05-15,2,d1_date_missing,48,0,,,0,0,True,True,False,F:\fenqixuangu\data\raw\minute_5m\002940_5min.csv,False,F:\fenqixuangu\data\cache\minute_5m\002940_5min.pkl
600156_2026-05-15,600156,2026-05-15,2,d1_date_missing,48,0,,,0,0,True,True,False,F:\fenqixuangu\data\raw\minute_5m\600156_5min.csv,False,F:\fenqixuangu\data\cache\minute_5m\600156_5min.pkl
600857_2026-05-15,600857,2026-05-15,2,d1_date_missing,48,0,,,0,0,True,True,False,F:\fenqixuangu\data\raw\minute_5m\600857_5min.csv,False,F:\fenqixuangu\data\cache\minute_5m\600857_5min.pkl
600903_2026-05-15,600903,2026-05-15,2,bar_grid_incomplete,48,2,14:55,15:00,0,0,True,True,False,F:\fenqixuangu\data\raw\minute_5m\600903_5min.csv,False,F:\fenqixuangu\data\cache\minute_5m\600903_5min.pkl
603007_2026-05-15,603007,2026-05-15,3,bar_grid_incomplete,48,2,14:55,15:00,0,0,True,True,False,F:\fenqixuangu\data\raw\minute_5m\603007_5min.csv,False,F:\fenqixuangu\data\cache\minute_5m\603007_5min.pkl
002971_2026-05-18,002971,2026-05-18,2,d1_date_missing,48,0,,,0,0,True,True,False,F:\fenqixuangu\data\raw\minute_5m\002971_5min.csv,False,F:\fenqixuangu\data\cache\minute_5m\002971_5min.pkl
002374_2026-05-19,002374,2026-05-19,2,d1_date_missing,48,0,,,0,0,True,True,False,F:\fenqixuangu\data\raw\minute_5m\002374_5min.csv,False,F:\fenqixuangu\data\cache\minute_5m\002374_5min.pkl
003018_2026-05-19,003018,2026-05-19,3,d1_date_missing,48,0,,,0,0,True,True,False,F:\fenqixuangu\data\raw\minute_5m\003018_5min.csv,False,F:\fenqixuangu\data\cache\minute_5m\003018_5min.pkl
601678_2026-05-19,601678,2026-05-19,2,d1_date_missing,48,0,,,0,0,True,True,False,F:\fenqixuangu\data\raw\minute_5m\601678_5min.csv,False,F:\fenqixuangu\data\cache\minute_5m\601678_5min.pkl
002208_2026-05-20,002208,2026-05-20,2,d1_date_missing,48,0,,,0,0,True,True,False,F:\fenqixuangu\data\raw\minute_5m\002208_5min.csv,False,F:\fenqixuangu\data\cache\minute_5m\002208_5min.pkl
002552_2026-05-20,002552,2026-05-20,2,d1_date_missing,48,0,,,0,0,True,True,False,F:\fenqixuangu\data\raw\minute_5m\002552_5min.csv,False,F:\fenqixuangu\data\cache\minute_5m\002552_5min.pkl
600758_2026-05-20,600758,2026-05-20,2,d1_date_missing,48,0,,,0,0,True,True,False,F:\fenqixuangu\data\raw\minute_5m\600758_5min.csv,False,F:\fenqixuangu\data\cache\minute_5m\600758_5min.pkl
600850_2026-05-20,600850,2026-05-20,2,d1_date_missing,48,0,,,0,0,True,True,False,F:\fenqixuangu\data\raw\minute_5m\600850_5min.csv,False,F:\fenqixuangu\data\cache\minute_5m\600850_5min.pkl
