feature_name,source_or_derived,source_column,allowlist_tier,mechanism_group,preprocess_policy,mutual_exclusion_group_id,total_value_type,total_n,total_non_null,total_missing,total_missing_rate,total_unique_count,total_dominant_value,total_dominant_count,total_dominant_rate,total_min,total_p01,total_p05,total_p25,total_p50,total_p75,total_p95,total_p99,total_max,dev_non_null,dev_missing_rate,locked_non_null,locked_missing_rate,missing_rate_delta
overrepair,derived,d1_open_to_close_return_raw,PRIMARY,PREDECLARED_DERIVED,FOLD_CLIP_Z,nan,numeric,333,333,0,0.0,72,0.0,262,0.786787,0.0,0.0,0.0,0.0,0.0,0.0,0.043316197842849784,0.06560603773223188,0.0780391322841343,173,0.0,160,0.0,0.0
break_volume_abnormality,derived,break_volume_ratio_vs_board_days,PRIMARY,PREDECLARED_DERIVED,FOLD_CLIP_Z,nan,numeric,333,333,0,0.0,333,0.6707724794372808,1,0.003003,0.001393621415825322,0.012694411860467653,0.07610988486053231,0.3431939985352881,0.6452849241789755,1.0236584269582663,1.6984081522637724,2.537399876131542,3.4947310447090336,173,0.0,160,0.0,0.0
profit_chip_ratio,derived,volume_above_d1_close_ratio,PRIMARY,PREDECLARED_DERIVED,FOLD_CLIP_Z,nan,numeric,333,333,0,0.0,283,0.0,51,0.153153,0.0,0.0,0.0,0.07814016062937446,0.3397607583805585,0.6498526413881223,0.92347193231113,0.9748899778399344,0.9821376216580825,173,0.0,160,0.0,0.0
profit_pressure,derived,profit_chip_ratio|d1_low_to_close_recovery|break_volume_ratio_vs_board_days,PRIMARY,PREDECLARED_DERIVED,FOLD_CLIP_Z,nan,numeric,333,333,0,0.0,283,0.0,51,0.153153,0.0,0.0,0.0,0.0013059224419094146,0.009979074753724759,0.038819529621074766,0.09295923963485986,0.1818294939539624,0.29759486845410066,173,0.0,160,0.0,0.0
board_day_amount_rank,source,board_day_amount_rank,SENSITIVITY,D0_CROSS_SECTION,CROSS_SECTION_RANK_SENSITIVITY,nan,numeric,333,299,34,0.102102,89,11.0,11,0.033033,1.0,1.0,3.0,11.0,26.0,49.0,87.2999999999999,105.09999999999991,127.0,142,0.179191,157,0.01875,-0.160441
board_day_turnover_rank,source,board_day_turnover_rank,SENSITIVITY,D0_CROSS_SECTION,CROSS_SECTION_RANK_SENSITIVITY,nan,numeric,333,299,34,0.102102,89,3.0,13,0.039039,1.0,1.0,2.0,11.0,25.0,47.5,93.09999999999997,109.03999999999996,126.0,142,0.179191,157,0.01875,-0.160441
board_day_volume_rank,source,board_day_volume_rank,SENSITIVITY,D0_CROSS_SECTION,CROSS_SECTION_RANK_SENSITIVITY,nan,numeric,333,324,9,0.027027,101,10.0,11,0.033033,1.0,1.0,3.0,11.75,27.5,52.0,91.84999999999997,109.76999999999998,126.0,167,0.034682,157,0.01875,-0.015932
break_upper_shadow_ratio,source,break_upper_shadow_ratio,SENSITIVITY,D1_PRICE_ACTION,FOLD_CLIP_Z,nan,numeric,333,331,2,0.006006,296,0.0,35,0.105105,0.0,0.0,0.0,0.12329955905807255,0.3170731707317071,0.4450082000820005,0.682311222361285,0.8381759976793333,1.0,172,0.00578,159,0.00625,0.00047
break_lower_shadow_ratio,source,break_lower_shadow_ratio,SENSITIVITY,D1_PRICE_ACTION,FOLD_CLIP_Z,nan,numeric,333,331,2,0.006006,291,0.0,40,0.12012,0.0,0.0,0.0,0.07037771436862214,0.2000000000000014,0.38766603415559797,0.6179536913565289,0.7433341204250292,0.8333333333333338,172,0.00578,159,0.00625,0.00047
break_amount_ratio_vs_board_days,source,break_amount_ratio_vs_board_days,SENSITIVITY,D1_VOLUME_ACTIVITY,FOLD_CLIP_Z,ME01_BREAK_ACTIVITY_RATIO,numeric,333,331,2,0.006006,331,2.027092477077651,1,0.003003,0.0881861955582029,0.8257466699236033,0.989041237929231,1.465980376615378,2.030929791055976,3.0522913804802894,6.09937767754082,13.479621195014454,36.04867930179479,171,0.011561,160,0.0,-0.011561
