feature_name,analysis_type,value_type,dev_mean,locked_mean,dev_std,locked_std,standardized_mean_difference,ks_statistic,total_variation_distance,missing_rate_delta,distribution_shift
break_day_in_pool,BINARY,categorical,0.005780346820809248,0.09375,0.07602859212697054,0.2923957643654708,,,0.08796965317919073,0.0,False
d1_true_reclaim_ma5,BINARY,categorical,0.03468208092485549,0.0875,0.18350444380987116,0.28345354460596456,,,0.05281791907514453,0.0,False
board_streak_is_3,BINARY,categorical,0.16184971098265896,0.13125,0.3693820113448252,0.3387337686705237,,,0.030599710982658984,0.0,False
ma5_overheat_10,BINARY,categorical,0.4508670520231214,0.35625,0.49902445495253783,0.4803939028409837,,,0.0946170520231214,0.0,False
overrepair,CONTINUOUS,numeric,0.0062074788629431395,0.0049558848586345235,0.014799716811505563,0.014236134565909473,0.08612840729437155,0.08027456647398844,,0.0,False
break_volume_abnormality,CONTINUOUS,numeric,0.6725173637648668,0.7824369626338321,0.5270571665836044,0.5326698849214913,-0.20748914190341441,0.12723988439306358,,0.0,False
profit_chip_ratio,CONTINUOUS,numeric,0.41688632490217936,0.3469158849064535,0.3049213104902594,0.32480487325677065,0.2223899552584969,0.1654985549132948,,0.0,False
profit_pressure,CONTINUOUS,numeric,0.02719805303060089,0.02545597114731225,0.034611204467118024,0.043800853114429925,0.044333743364943126,0.1342485549132948,,0.0,False
board_day_amount_rank,RANK,numeric,33.95070422535211,31.222929936305732,24.236812591735994,27.41130188166231,0.10510568876143998,0.14506145151161748,,-0.1604407514450867,False
board_day_turnover_rank,RANK,numeric,34.7887323943662,31.18471337579618,26.596760583933616,28.878574627454757,0.12955412905912364,0.1610747286265363,,-0.1604407514450867,False
board_day_volume_rank,RANK,numeric,36.21556886227545,33.05095541401274,27.865451200513174,28.352360770504102,0.11261008244945211,0.10999656737480452,,-0.01593208092485549,False
break_upper_shadow_ratio,CONTINUOUS,numeric,0.306788563158529,0.31464930269233016,0.21453534749198824,0.22461675038040418,-0.035822684662180054,0.09660669884452246,,0.0004696531791907521,False
break_lower_shadow_ratio,CONTINUOUS,numeric,0.24145182158690118,0.24473571208197253,0.19179977209577273,0.2073799245376159,-0.016466051574870886,0.10077519379844961,,0.0004696531791907521,False
break_amount_ratio_vs_board_days,CONTINUOUS,numeric,2.6265432755965965,2.6623882109715473,3.268704525668082,1.9776846562458368,-0.01316702198798098,0.08823099415204678,,-0.011560693641618497,False
break_opened_from_limit_up,BINARY,categorical,0.023121387283236993,0.025,0.1507252708489285,0.15661513939205382,,,0.001878612716763024,0.0,False
consecutive_days_below_ma5,ORDINAL,categorical,0.005780346820809248,0.0125,0.07602859212697054,0.1114512613109369,,,0.006719653179190703,0.0,False
consecutive_days_below_ma10,ORDINAL,categorical,0.028901734104046242,0.14375,0.3801429606348528,1.5854958750533918,,,0.024999999999999984,0.0,False
d1_close_location,CONTINUOUS,numeric,0.4098385140154171,0.35245489617235026,0.2815010699232242,0.27317517618780873,0.20676263465279962,0.12556676905075326,,0.0004696531791907521,False
amount_above_d1_close_ratio,CONTINUOUS,numeric,0.5875708876763787,0.6570997135452907,0.3041714227042905,0.32380991381475377,-0.22159983858757576,0.1654985549132948,,0.0,False
high_zone_amount_ratio,CONTINUOUS,numeric,0.1938426095469066,0.20085539914882428,0.2007347675281705,0.187939591014012,-0.03601965351614365,0.06900289017341041,,0.0,False
late_day_sell_amount_ratio,CONTINUOUS,numeric,0.07254354373889434,0.07679252523222861,0.03611414921241497,0.04220214073537003,-0.10851167532876874,0.08020231213872832,,0.0,False
d1_vwap_to_close_gap,CONTINUOUS,numeric,0.007222524727900062,0.012972425526765839,0.025192884523248915,0.027340087552657842,-0.21907510703896108,0.12503612716763005,,0.0,False
last_board_day_in_pool,BINARY,categorical,0.9653179190751445,0.98125,0.18350444380987116,0.13606671504595175,,,0.015932080924855457,0.0,False
pool_consecutive_count_last_board,ORDINAL,categorical,2.143712574850299,2.0063694267515926,0.41472082498018575,0.486968846560869,,,0.09069758572027918,-0.01593208092485549,False
d1_close_above_ma5,BINARY,categorical,0.9942196531791907,0.9875,0.07602859212697055,0.11145126131093688,,,0.006719653179190703,0.0,False
d1_close_above_ma10,BINARY,categorical,0.9942196531791907,0.975,0.07602859212697055,0.15661513939205385,,,0.019219653179190735,0.0,False
d1_true_reclaim_ma10,BINARY,categorical,0.005780346820809248,0.0375,0.07602859212697054,0.19058004805587897,,,0.03171965317919072,0.0,False
d1_close_to_ma5_bucket,BUCKET,categorical,,,,,,,0.09580924855491327,0.0,False
d1_open_to_close_bucket,BUCKET,categorical,,,,,,,0.11210260115606938,0.0,False
