code,status,daily_source,minute_source,from_cache,daily_rows,daily_history_rows,daily_required_days,minute_rows,minute_trade_days,minute_target_days,minute_required_days,daily_start,daily_end,minute_start,minute_end,daily_ma_coverage_ok,missing_latest_daily_ma,missing_daily_amount_count,missing_daily_volume_count,missing_minute_amount_count,missing_minute_volume_count,zero_minute_volume_count,daily_minute_close_matched_days,daily_minute_close_max_abs_diff,daily_minute_close_check_ok,warnings,error,name,trade_date,d0_date
600973,ok,cache,sina_5m,False,40,180,180,1394,30,40,20,2026-04-10 00:00:00,2026-06-09 00:00:00,2026-04-24 14:55:00,2026-06-09 15:00:00,True,,10,0,0,0,0,30,0.0,True,,,宝胜股份,2026-06-09,2026-06-05
600996,ok,cache,sina_5m,False,40,180,180,1394,30,40,20,2026-04-10 00:00:00,2026-06-09 00:00:00,2026-04-24 14:55:00,2026-06-09 15:00:00,True,,10,0,0,0,0,30,0.0,True,,,贵广网络,2026-06-09,2026-06-05
603020,ok,cache,sina_5m,False,40,180,180,1394,30,40,20,2026-04-10 00:00:00,2026-06-09 00:00:00,2026-04-24 14:55:00,2026-06-09 15:00:00,True,,10,0,0,0,0,30,0.0,True,,,爱普股份,2026-06-09,2026-06-09
603048,ok,cache,sina_5m,False,40,180,180,1394,30,40,20,2026-04-10 00:00:00,2026-06-09 00:00:00,2026-04-24 14:55:00,2026-06-09 15:00:00,True,,10,0,0,0,0,30,0.0,True,,,浙江黎明,2026-06-09,2026-06-05
603070,ok,cache,sina_5m,False,40,180,180,1394,30,40,20,2026-04-10 00:00:00,2026-06-09 00:00:00,2026-04-24 14:55:00,2026-06-09 15:00:00,True,,10,0,0,0,0,30,0.0,True,,,万控智造,2026-06-09,2026-06-05
603078,ok,cache,sina_5m,False,40,180,180,1394,30,40,20,2026-04-10 00:00:00,2026-06-09 00:00:00,2026-04-24 14:55:00,2026-06-09 15:00:00,True,,10,0,0,0,0,30,0.0,True,,,江化微,2026-06-09,2026-06-05
603124,ok,cache,sina_5m,False,40,180,180,1394,30,40,20,2026-04-10 00:00:00,2026-06-09 00:00:00,2026-04-24 14:55:00,2026-06-09 15:00:00,True,,10,0,0,0,0,30,0.0,True,,,江南新材,2026-06-09,2026-06-09
603135,ok,cache,sina_5m,False,40,180,180,1394,30,40,20,2026-04-10 00:00:00,2026-06-09 00:00:00,2026-04-24 14:55:00,2026-06-09 15:00:00,True,,10,0,0,0,0,30,0.0,True,,,中重科技,2026-06-09,2026-06-08
603159,ok,cache,sina_5m,False,40,180,180,1651,35,40,20,2026-04-10 00:00:00,2026-06-09 00:00:00,2026-04-17 13:30:00,2026-06-09 15:00:00,True,,5,0,0,0,0,35,0.0,True,,,上海亚虹,2026-06-09,2026-06-05
603166,ok,cache,sina_5m,False,40,180,180,1394,30,40,20,2026-04-10 00:00:00,2026-06-09 00:00:00,2026-04-24 14:55:00,2026-06-09 15:00:00,True,,10,0,0,0,0,30,0.0,True,,,福达股份,2026-06-09,2026-06-05
603270,ok,cache,sina_5m,False,40,180,180,1394,30,40,20,2026-04-10 00:00:00,2026-06-09 00:00:00,2026-04-24 14:55:00,2026-06-09 15:00:00,True,,10,0,0,0,0,30,0.0,True,,,金帝股份,2026-06-09,2026-06-05
603360,ok,cache,sina_5m,False,40,180,180,1394,30,40,20,2026-04-10 00:00:00,2026-06-09 00:00:00,2026-04-24 14:55:00,2026-06-09 15:00:00,True,,10,0,0,0,0,30,0.0,True,,,百傲化学,2026-06-09,2026-06-05
603500,ok,cache,sina_5m,False,40,180,180,1394,30,40,20,2026-04-10 00:00:00,2026-06-09 00:00:00,2026-04-24 14:55:00,2026-06-09 15:00:00,True,,10,0,0,0,0,30,0.0,True,,,祥和实业,2026-06-09,2026-06-08
603578,ok,cache,sina_5m,False,40,180,180,1394,30,40,20,2026-04-10 00:00:00,2026-06-09 00:00:00,2026-04-24 14:55:00,2026-06-09 15:00:00,True,,10,0,0,0,0,30,0.0,True,,,三星新材,2026-06-09,2026-06-05
603725,ok,cache,sina_5m,False,40,180,180,1394,30,40,20,2026-04-10 00:00:00,2026-06-09 00:00:00,2026-04-24 14:55:00,2026-06-09 15:00:00,True,,10,0,0,0,0,30,0.0,True,,,天安新材,2026-06-09,2026-06-05
603790,ok,cache,sina_5m,False,40,180,180,1394,30,40,20,2026-04-10 00:00:00,2026-06-09 00:00:00,2026-04-24 14:55:00,2026-06-09 15:00:00,True,,10,0,0,0,0,30,0.0,True,,,XD雅运股,2026-06-09,2026-06-05
603823,ok,cache,sina_5m,False,40,180,180,1394,30,40,20,2026-04-10 00:00:00,2026-06-09 00:00:00,2026-04-24 14:55:00,2026-06-09 15:00:00,True,,10,0,0,0,0,30,0.0,True,,,百合花,2026-06-09,2026-06-08
603859,ok,cache,sina_5m,False,40,180,180,1394,30,40,20,2026-04-10 00:00:00,2026-06-09 00:00:00,2026-04-24 14:55:00,2026-06-09 15:00:00,True,,10,0,0,0,0,30,0.0,True,,,能科科技,2026-06-09,2026-06-08
603888,ok,cache,sina_5m,False,40,180,180,1394,30,40,20,2026-04-10 00:00:00,2026-06-09 00:00:00,2026-04-24 14:55:00,2026-06-09 15:00:00,True,,10,0,0,0,0,30,0.0,True,,,新华网,2026-06-09,2026-06-05
603938,ok,cache,sina_5m,False,40,180,180,1394,30,40,20,2026-04-10 00:00:00,2026-06-09 00:00:00,2026-04-24 14:55:00,2026-06-09 15:00:00,True,,10,0,0,0,0,30,0.0,True,,,三孚股份,2026-06-09,2026-06-05
603992,ok,cache,sina_5m,False,40,180,180,1394,30,40,20,2026-04-10 00:00:00,2026-06-09 00:00:00,2026-04-24 14:55:00,2026-06-09 15:00:00,True,,10,0,0,0,0,30,0.0,True,,,松霖科技,2026-06-09,2026-06-05
000068,ok,cache,sina_5m,False,40,180,180,1394,30,40,20,2026-04-10 00:00:00,2026-06-09 00:00:00,2026-04-24 14:55:00,2026-06-09 15:00:00,True,,10,0,0,0,0,30,0.0,True,,,华控赛格,2026-06-09,2026-06-08
000620,ok,cache,sina_5m,False,40,180,180,1394,30,40,20,2026-04-10 00:00:00,2026-06-09 00:00:00,2026-04-24 14:55:00,2026-06-09 15:00:00,True,,10,0,0,0,0,30,0.0,True,,,盈新发展,2026-06-09,2026-06-08
000785,ok,cache,sina_5m,False,40,180,180,1394,30,40,20,2026-04-10 00:00:00,2026-06-09 00:00:00,2026-04-24 14:55:00,2026-06-09 15:00:00,True,,10,0,0,0,0,30,0.0,True,,,居然智家,2026-06-09,2026-06-08
000833,ok,cache,sina_5m,False,40,180,180,1394,30,40,20,2026-04-10 00:00:00,2026-06-09 00:00:00,2026-04-24 14:55:00,2026-06-09 15:00:00,True,,10,0,0,0,0,30,0.0,True,,,粤桂股份,2026-06-09,2026-06-08
000970,ok,cache,sina_5m,False,40,180,180,1394,30,40,20,2026-04-10 00:00:00,2026-06-09 00:00:00,2026-04-24 14:55:00,2026-06-09 15:00:00,True,,10,0,0,0,0,30,0.0,True,,,中科三环,2026-06-09,2026-06-08
001238,ok,cache,sina_5m,False,40,180,180,1397,30,40,20,2026-04-10 00:00:00,2026-06-09 00:00:00,2026-04-24 14:30:00,2026-06-09 15:00:00,True,,10,0,0,0,0,30,0.0,True,,,浙江正特,2026-06-09,2026-06-08
001317,ok,cache,sina_5m,False,40,180,180,1394,30,40,20,2026-04-10 00:00:00,2026-06-09 00:00:00,2026-04-24 14:55:00,2026-06-09 15:00:00,True,,10,0,0,0,0,30,0.0,True,,,三羊马,2026-06-09,2026-06-08
001696,ok,cache,sina_5m,False,40,180,180,1394,30,40,20,2026-04-10 00:00:00,2026-06-09 00:00:00,2026-04-24 14:55:00,2026-06-09 15:00:00,True,,10,0,0,0,0,30,0.0,True,,,宗申动力,2026-06-09,2026-06-09
002046,ok,cache,sina_5m,False,40,180,180,1394,30,40,20,2026-04-10 00:00:00,2026-06-09 00:00:00,2026-04-24 14:55:00,2026-06-09 15:00:00,True,,10,0,0,0,0,30,0.0,True,,,国机精工,2026-06-09,2026-06-08
002164,ok,cache,sina_5m,False,40,180,180,1394,30,40,20,2026-04-10 00:00:00,2026-06-09 00:00:00,2026-04-24 14:55:00,2026-06-09 15:00:00,True,,10,0,0,0,0,30,0.0,True,,,宁波东力,2026-06-09,2026-06-08
002362,ok,cache,sina_5m,False,40,180,180,1394,30,40,20,2026-04-10 00:00:00,2026-06-09 00:00:00,2026-04-24 14:55:00,2026-06-09 15:00:00,True,,10,0,0,0,0,30,0.0,True,,,汉王科技,2026-06-09,2026-06-09
002490,ok,cache,sina_5m,False,40,180,180,1394,30,40,20,2026-04-10 00:00:00,2026-06-09 00:00:00,2026-04-24 14:55:00,2026-06-09 15:00:00,True,,10,0,0,0,0,30,0.0,True,,,山东墨龙,2026-06-09,2026-06-08
002636,ok,cache,sina_5m,False,40,180,180,1394,30,40,20,2026-04-10 00:00:00,2026-06-09 00:00:00,2026-04-24 14:55:00,2026-06-09 15:00:00,True,,10,0,0,0,0,30,0.0,True,,,金安国纪,2026-06-09,2026-06-09
