signal_date,code,future_fetch_end_date,eval_days,status,error
2026-06-08,003036,2026-06-29,40,failed,"003036 data quality check failed: daily/minute close cross-check failed: matched=40, max_diff=0.6800000000000068"
2026-06-08,600063,2026-06-29,40,failed,"600063 data quality check failed: daily/minute close cross-check failed: matched=40, max_diff=0.05999999999999961"
2026-06-08,600207,2026-06-29,40,ok,
2026-06-08,600293,2026-06-29,40,ok,
2026-06-08,600303,2026-06-29,40,ok,
2026-06-08,600382,2026-06-29,40,failed,"600382 data quality check failed: daily/minute close cross-check failed: matched=40, max_diff=0.020000000000000462"
2026-06-08,600403,2026-06-29,40,failed,"600403 data quality check failed: daily/minute close cross-check failed: matched=40, max_diff=0.07000000000000028"
2026-06-08,600516,2026-06-29,40,ok,
2026-06-08,600552,2026-06-29,40,failed,"600552 data quality check failed: daily/minute close cross-check failed: matched=40, max_diff=1.1900000000000013"
2026-06-08,600714,2026-06-29,40,failed,"600714 data quality check failed: daily/minute close cross-check failed: matched=40, max_diff=0.129999999999999"
2026-06-08,600776,2026-06-29,40,failed,"600776 data quality check failed: daily/minute close cross-check failed: matched=40, max_diff=0.03999999999999915"
2026-06-08,600819,2026-06-29,40,failed,"600819 data quality check failed: daily/minute close cross-check failed: matched=40, max_diff=0.04999999999999982"
2026-06-08,600881,2026-06-29,40,failed,"600881 data quality check failed: daily/minute close cross-check failed: matched=40, max_diff=0.020000000000000018"
2026-06-08,600973,2026-06-29,40,failed,"600973 data quality check failed: daily/minute close cross-check failed: matched=40, max_diff=0.04999999999999982"
2026-06-08,600996,2026-06-29,40,ok,
2026-06-08,603020,2026-06-29,40,failed,"603020 data quality check failed: daily/minute close cross-check failed: matched=40, max_diff=0.08999999999999986"
2026-06-08,603048,2026-06-29,40,failed,"603048 data quality check failed: daily/minute close cross-check failed: matched=40, max_diff=0.25"
2026-06-08,603070,2026-06-29,40,failed,"603070 data quality check failed: daily/minute close cross-check failed: matched=40, max_diff=0.05000000000000071"
2026-06-08,603078,2026-06-29,40,failed,"603078 data quality check failed: daily/minute close cross-check failed: matched=40, max_diff=1.759999999999998"
2026-06-08,603124,2026-06-29,40,failed,"603124 data quality check failed: daily/minute close cross-check failed: matched=40, max_diff=2.6500000000000057"
2026-06-08,603135,2026-06-29,40,failed,"603135 data quality check failed: daily/minute close cross-check failed: matched=40, max_diff=0.15000000000000036"
2026-06-08,603159,2026-06-29,40,failed,"603159 data quality check failed: daily/minute close cross-check failed: matched=40, max_diff=0.35999999999999943"
2026-06-08,603166,2026-06-29,40,failed,"603166 data quality check failed: daily/minute close cross-check failed: matched=40, max_diff=0.02999999999999936"
2026-06-08,603270,2026-06-29,40,failed,"603270 data quality check failed: daily/minute close cross-check failed: matched=40, max_diff=0.14000000000000057"
2026-06-08,603360,2026-06-29,40,ok,
2026-06-08,603500,2026-06-29,40,ok,
2026-06-08,603578,2026-06-29,40,ok,
2026-06-08,603725,2026-06-29,40,failed,"603725 data quality check failed: daily/minute close cross-check failed: matched=40, max_diff=0.03999999999999915"
2026-06-08,603790,2026-06-29,40,failed,"603790 data quality check failed: daily/minute close cross-check failed: matched=40, max_diff=0.05000000000000071"
2026-06-08,603823,2026-06-29,40,ok,
2026-06-08,603859,2026-06-29,40,failed,"603859 data quality check failed: daily/minute close cross-check failed: matched=40, max_diff=0.14000000000000057"
2026-06-08,603888,2026-06-29,40,failed,"603888 data quality check failed: daily/minute close cross-check failed: matched=40, max_diff=0.05999999999999872"
2026-06-08,603938,2026-06-29,40,failed,"603938 data quality check failed: daily/minute close cross-check failed: matched=40, max_diff=2.6700000000000017"
2026-06-08,603992,2026-06-29,40,failed,"603992 data quality check failed: daily/minute close cross-check failed: matched=40, max_diff=0.0799999999999983"
2026-06-08,000068,2026-06-29,40,failed,"000068 data quality check failed: daily/minute close cross-check failed: matched=40, max_diff=0.040000000000000036"
2026-06-08,000620,2026-06-29,40,ok,
2026-06-08,000785,2026-06-29,40,ok,
2026-06-08,000833,2026-06-29,40,failed,"000833 data quality check failed: daily/minute close cross-check failed: matched=40, max_diff=0.10000000000000142"
2026-06-08,000970,2026-06-29,40,ok,
2026-06-08,001238,2026-06-29,40,failed,"001238 data quality check failed: daily/minute close cross-check failed: matched=40, max_diff=0.33999999999999986"
2026-06-08,001317,2026-06-29,40,failed,"001317 data quality check failed: daily/minute close cross-check failed: matched=40, max_diff=0.23000000000000398"
2026-06-08,001696,2026-06-29,40,failed,"001696 data quality check failed: daily/minute close cross-check failed: matched=40, max_diff=0.09999999999999787"
2026-06-08,002046,2026-06-29,40,failed,"002046 data quality check failed: daily/minute close cross-check failed: matched=40, max_diff=1.3199999999999932"
2026-06-08,002164,2026-06-29,40,ok,
2026-06-08,002362,2026-06-29,40,failed,"002362 data quality check failed: daily/minute close cross-check failed: matched=40, max_diff=0.13000000000000078"
2026-06-08,002490,2026-06-29,40,ok,
2026-06-08,002636,2026-06-29,40,failed,"002636 data quality check failed: daily/minute close cross-check failed: matched=40, max_diff=4.549999999999997"
2026-06-08,002747,2026-06-29,40,failed,"002747 data quality check failed: daily/minute close cross-check failed: matched=40, max_diff=0.1600000000000037"
2026-06-08,002931,2026-06-29,40,failed,"002931 data quality check failed: daily/minute close cross-check failed: matched=40, max_diff=0.05000000000000426"
2026-06-08,002963,2026-06-29,40,ok,
2026-06-08,002982,2026-06-29,40,ok,
2026-06-08,600280,2026-06-29,40,ok,
2026-06-08,600488,2026-06-29,40,ok,
2026-06-08,600505,2026-06-29,40,failed,"600505 data quality check failed: daily/minute close cross-check failed: matched=40, max_diff=0.02999999999999936"
2026-06-08,600539,2026-06-29,40,failed,"600539 data quality check failed: daily/minute close cross-check failed: matched=40, max_diff=0.6500000000000004"
2026-06-08,600721,2026-06-29,40,ok,
2026-06-08,600825,2026-06-29,40,failed,"600825 data quality check failed: daily/minute close cross-check failed: matched=40, max_diff=0.03000000000000025"
2026-06-08,601588,2026-06-29,40,ok,
2026-06-08,603186,2026-06-29,40,failed,"603186 data quality check failed: daily/minute close cross-check failed: matched=40, max_diff=5.02000000000001"
2026-06-08,603203,2026-06-29,40,failed,"603203 data quality check failed: daily/minute close cross-check failed: matched=40, max_diff=3.5"
2026-06-08,603206,2026-06-29,40,failed,"603206 data quality check failed: daily/minute close cross-check failed: matched=40, max_diff=0.14000000000000057"
2026-06-08,603278,2026-06-29,40,failed,"603278 data quality check failed: daily/minute close cross-check failed: matched=40, max_diff=0.049999999999998934"
2026-06-08,603616,2026-06-29,40,failed,"603616 data quality check failed: daily/minute close cross-check failed: matched=40, max_diff=0.10999999999999943"
2026-06-08,603669,2026-06-29,40,failed,"603669 data quality check failed: daily/minute close cross-check failed: matched=40, max_diff=0.05999999999999961"
2026-06-08,603778,2026-06-29,40,failed,"603778 data quality check failed: daily/minute close cross-check failed: matched=40, max_diff=0.15000000000000036"
2026-06-08,603877,2026-06-29,40,failed,"603877 data quality check failed: daily/minute close cross-check failed: matched=40, max_diff=0.05999999999999872"
2026-06-08,603929,2026-06-29,40,failed,"603929 data quality check failed: daily/minute close cross-check failed: matched=40, max_diff=2.509999999999991"
2026-06-09,000517,2026-06-29,40,failed,"000517 data quality check failed: daily/minute close cross-check failed: matched=40, max_diff=0.020000000000000018"
2026-06-09,000520,2026-06-29,40,ok,
2026-06-09,000608,2026-06-29,40,failed,"000608 data quality check failed: daily/minute close cross-check failed: matched=40, max_diff=0.0600000000000005"
2026-06-09,000668,2026-06-29,40,failed,"000668 data quality check failed: daily/minute close cross-check failed: matched=40, max_diff=0.4499999999999993"
2026-06-09,000759,2026-06-29,40,ok,
2026-06-09,001256,2026-06-29,40,failed,"001256 data quality check failed: daily/minute close cross-check failed: matched=40, max_diff=0.8699999999999974"
2026-06-09,001400,2026-06-29,40,failed,"001400 data quality check failed: daily/minute close cross-check failed: matched=40, max_diff=0.5999999999999943"
2026-06-09,002138,2026-06-29,40,failed,"002138 data quality check failed: daily/minute close cross-check failed: matched=40, max_diff=0.060000000000002274"
2026-06-09,002183,2026-06-29,40,failed,"002183 data quality check failed: daily/minute close cross-check failed: matched=40, max_diff=0.020000000000000462"
2026-06-09,002194,2026-06-29,40,failed,"002194 data quality check failed: daily/minute close cross-check failed: matched=40, max_diff=0.07000000000000028"
2026-06-09,002251,2026-06-29,40,ok,
2026-06-09,002254,2026-06-29,40,failed,"002254 data quality check failed: daily/minute close cross-check failed: matched=40, max_diff=0.25"
2026-06-09,002354,2026-06-29,40,failed,"002354 data quality check failed: daily/minute close cross-check failed: matched=40, max_diff=0.03999999999999915"
2026-06-09,002361,2026-06-29,40,failed,"002361 data quality check failed: daily/minute close cross-check failed: matched=40, max_diff=0.27999999999999936"
2026-06-09,002387,2026-06-29,40,ok,
2026-06-09,002421,2026-06-29,40,failed,"002421 data quality check failed: daily/minute close cross-check failed: matched=40, max_diff=0.020000000000000018"
2026-06-09,002471,2026-06-29,40,ok,
2026-06-09,002613,2026-06-29,40,ok,
2026-06-09,002631,2026-06-29,40,failed,"002631 data quality check failed: daily/minute close cross-check failed: matched=40, max_diff=0.1899999999999995"
2026-06-09,002708,2026-06-29,40,failed,"002708 data quality check failed: daily/minute close cross-check failed: matched=40, max_diff=0.07000000000000028"
2026-06-09,002786,2026-06-29,40,failed,"002786 data quality check failed: daily/minute close cross-check failed: matched=40, max_diff=0.0699999999999994"
2026-06-09,002877,2026-06-29,40,ok,
2026-06-09,002892,2026-06-29,40,failed,"002892 data quality check failed: daily/minute close cross-check failed: matched=40, max_diff=0.03999999999999915"
2026-06-09,002896,2026-06-29,40,failed,"002896 data quality check failed: daily/minute close cross-check failed: matched=40, max_diff=2.6500000000000057"
2026-06-09,002903,2026-06-29,40,failed,"002903 data quality check failed: daily/minute close cross-check failed: matched=40, max_diff=0.9100000000000037"
2026-06-09,002960,2026-06-29,40,ok,
2026-06-09,002983,2026-06-29,40,failed,"002983 data quality check failed: daily/minute close cross-check failed: matched=40, max_diff=0.14999999999999858"
2026-06-09,003009,2026-06-29,40,failed,"003009 data quality check failed: daily/minute close cross-check failed: matched=40, max_diff=0.4099999999999966"
2026-06-09,003036,2026-06-29,40,failed,"003036 data quality check failed: daily/minute close cross-check failed: matched=40, max_diff=0.6800000000000068"
