scope,model,Rank1_mean,Rank1_median,Rank1_p25,Rank1_worst,Rank1_baseline,Rank1_excess,Rank1_positive_date_rate,Rank1_negative_date_rate,Rank1_beat_universe,Rank1_target7_precision,Rank1_dates,Rank2_mean,Rank2_median,Rank2_p25,Rank2_worst,Rank2_baseline,Rank2_excess,Rank2_positive_date_rate,Rank2_negative_date_rate,Rank2_beat_universe,Rank2_target7_precision,Rank2_dates,Rank3_mean,Rank3_median,Rank3_p25,Rank3_worst,Rank3_baseline,Rank3_excess,Rank3_positive_date_rate,Rank3_negative_date_rate,Rank3_beat_universe,Rank3_target7_precision,Rank3_dates,Top1_mean,Top1_median,Top1_p25,Top1_worst,Top1_baseline,Top1_excess,Top1_positive_date_rate,Top1_negative_date_rate,Top1_beat_universe,Top1_target7_precision,Top1_dates,Top2_mean,Top2_median,Top2_p25,Top2_worst,Top2_baseline,Top2_excess,Top2_positive_date_rate,Top2_negative_date_rate,Top2_beat_universe,Top2_target7_precision,Top2_dates,Top3_mean,Top3_median,Top3_p25,Top3_worst,Top3_baseline,Top3_excess,Top3_positive_date_rate,Top3_negative_date_rate,Top3_beat_universe,Top3_target7_precision,Top3_dates,winner_capture,universe_target7_rate,Top3_days_le_minus_3,Top3_days_le_minus_5,all_repair_concordance,cross_threshold_concordance,within_non_target_concordance,within_target_concordance
LOW,TOP10_ORACLE,0.0691615548891,0.07,0.069096692112,0.0659375,0.007922338637,0.0612392162521,1,0,1,0.714285714286,7,0.0479603484141,0.0640412922959,0.037616521561,-0.0109409190372,0.007922338637,0.0400380097771,0.857142857143,0.142857142857,0.857142857143,0.142857142857,7,0.0351803893931,0.0454831800428,0.0249518920539,-0.0172839506173,0.007922338637,0.0272580507561,0.857142857143,0.142857142857,0.857142857143,0,7,0.0691615548891,0.07,0.069096692112,0.0659375,0.007922338637,0.0612392162521,1,0,1,0.714285714286,7,0.0585609516516,0.067020646148,0.0527926357805,0.0286262325934,0.007922338637,0.0506386130146,1,0,1,0.428571428571,7,0.0507674308988,0.0604550786526,0.0435123878716,0.0133228381898,0.007922338637,0.0428450922618,1,0,0.857142857143,0.285714285714,7,0.833333333333,0.111451247166,0,0,,,,
LOW,UNIVERSE,0.007922338637,,,,0.007922338637,0,,,,0.111451247166,7,0.007922338637,,,,0.007922338637,0,,,,0.111451247166,7,0.007922338637,,,,0.007922338637,0,,,,0.111451247166,7,0.007922338637,,,,0.007922338637,0,,,,0.111451247166,7,0.007922338637,,,,0.007922338637,0,,,,0.111451247166,7,0.007922338637,,,,0.007922338637,0,,,,0.111451247166,7,,0.111451247166,,,,,,
MID,CONTROL_V4A,0.032761501673,0.0516980613227,0.0234748597324,-0.0793172690763,0.0270959359012,0.00566556577188,0.857142857143,0.142857142857,0.714285714286,0.428571428571,7,0.0405175223794,0.0456747404844,0.0323819182846,-0.036815920398,0.0270959359012,0.0134215864782,0.857142857143,0.142857142857,0.714285714286,0.428571428571,7,-0.00538456358937,-0.0145310435931,-0.0244440925951,-0.0449915110357,0.0270959359012,-0.0324804994905,0.285714285714,0.714285714286,0.142857142857,0.142857142857,7,0.032761501673,0.0516980613227,0.0234748597324,-0.0793172690763,0.0270959359012,0.00566556577188,0.857142857143,0.142857142857,0.714285714286,0.428571428571,7,0.0366395120262,0.0569642857143,0.0219758222402,-0.0298547129695,0.0270959359012,0.00954357612504,0.857142857143,0.142857142857,0.714285714286,0.428571428571,7,0.022631486821,0.0295902563858,0.00638670184359,-0.0025402733304,0.0270959359012,-0.00446444908015,0.857142857143,0.142857142857,0.571428571429,0.333333333333,7,0.47619047619,0.350907029478,0,0,0.500302343159,0.491472431078,0.51623015873,0.669444444444
MID,PAIR_BINARY7,0.00672102506916,0.0196078431373,-0.0168973861809,-0.12269446672,0.0270959359012,-0.020374910832,0.714285714286,0.285714285714,0.428571428571,0.285714285714,7,0.0416447806914,0.07,0.0454153669582,-0.0793172690763,0.0270959359012,0.0145488447903,0.857142857143,0.142857142857,0.857142857143,0.571428571429,7,0.0183081915444,0.012037037037,-0.0244440925951,-0.0449915110357,0.0270959359012,-0.00878774435673,0.571428571429,0.428571428571,0.428571428571,0.428571428571,7,0.00672102506916,0.0196078431373,-0.0168973861809,-0.12269446672,0.0270959359012,-0.020374910832,0.714285714286,0.285714285714,0.428571428571,0.285714285714,7,0.0241829028803,0.0365105740181,-0.0048775967795,-0.0298547129695,0.0270959359012,-0.00291303302086,0.714285714286,0.285714285714,0.571428571429,0.428571428571,7,0.0222246657683,0.00934321233352,0.00466444199435,0.00343019135367,0.0270959359012,-0.00487127013282,1,0,0.428571428571,0.428571428571,7,0.571428571429,0.350907029478,0,0,0.522411186697,0.549880952381,0.57873015873,0.66626984127
MID,PAIR_CAPPED7,0.0296850545649,0.07,0.0035563255153,-0.0793172690763,0.0270959359012,0.00258911866374,0.714285714286,0.285714285714,0.714285714286,0.571428571429,7,0.0368412180385,0.0383064516129,0.0157024665942,0.00302114803625,0.0270959359012,0.00974528213733,1,0,0.571428571429,0.285714285714,7,0.0395409364706,0.07,0.0115858897843,-0.0263852242744,0.0270959359012,0.0124450005694,0.714285714286,0.285714285714,0.714285714286,0.571428571429,7,0.0296850545649,0.07,0.0035563255153,-0.0793172690763,0.0270959359012,0.00258911866374,0.714285714286,0.285714285714,0.714285714286,0.571428571429,7,0.0332631363017,0.0408985450256,0.0265513069096,-0.0298547129695,0.0270959359012,0.00616720040054,0.857142857143,0.142857142857,0.714285714286,0.428571428571,7,0.035355736358,0.0424906101785,0.0165753146406,0.00343019135367,0.0270959359012,0.00825980045683,1,0,0.714285714286,0.47619047619,7,0.642857142857,0.350907029478,0,0,0.521730914588,0.505766499582,0.550873015873,0.512698412698
MID,PAIR_RAW,0.0162894324926,0.0439285714286,-0.00860403863035,-0.12269446672,0.0270959359012,-0.0108065034086,0.714285714286,0.285714285714,0.571428571429,0.428571428571,7,0.032076373268,0.0456747404844,0.0240885707341,-0.0793172690763,0.0270959359012,0.00498043736688,0.857142857143,0.142857142857,0.714285714286,0.428571428571,7,0.0183081915444,0.012037037037,-0.0244440925951,-0.0449915110357,0.0270959359012,-0.00878774435673,0.571428571429,0.428571428571,0.428571428571,0.428571428571,7,0.0162894324926,0.0439285714286,-0.00860403863035,-0.12269446672,0.0270959359012,-0.0108065034086,0.714285714286,0.285714285714,0.571428571429,0.428571428571,7,0.0241829028803,0.0365105740181,-0.0048775967795,-0.0298547129695,0.0270959359012,-0.00291303302086,0.714285714286,0.285714285714,0.571428571429,0.428571428571,7,0.0222246657683,0.00934321233352,0.00466444199435,0.00343019135367,0.0270959359012,-0.00487127013282,1,0,0.428571428571,0.428571428571,7,0.571428571429,0.350907029478,0,0,0.52037037037,0.525319548872,0.573015873016,0.694047619048
MID,TOP10_ORACLE,0.07,0.07,0.07,0.07,0.0270959359012,0.0429040640988,1,0,1,1,7,0.0664508562046,0.07,0.07,0.0451559934319,0.0270959359012,0.0393549203034,1,0,1,0.857142857143,7,0.0616485025416,0.0673719376392,0.0658818524434,0.0224038752649,0.0270959359012,0.0345525666404,1,0,0.857142857143,0.428571428571,7,0.07,0.07,0.07,0.07,0.0270959359012,0.0429040640988,1,0,1,1,7,0.0682254281023,0.07,0.07,0.057577996716,0.0270959359012,0.0411294922011,1,0,1,0.928571428571,7,0.066033119582,0.0691239792131,0.0686272841478,0.0458532895656,0.0270959359012,0.0389371836809,1,0,1,0.761904761905,7,0.952380952381,0.350907029478,0,0,,,,
MID,UNIVERSE,0.0270959359012,,,,0.0270959359012,0,,,,0.350907029478,7,0.0270959359012,,,,0.0270959359012,0,,,,0.350907029478,7,0.0270959359012,,,,0.0270959359012,0,,,,0.350907029478,7,0.0270959359012,,,,0.0270959359012,0,,,,0.350907029478,7,0.0270959359012,,,,0.0270959359012,0,,,,0.350907029478,7,0.0270959359012,,,,0.0270959359012,0,,,,0.350907029478,7,,0.350907029478,,,,,,
HIGH,CONTROL_V4A,0.0561026602318,0.0626988437961,0.0453040065604,0.0294117647059,0.0477704435891,0.00833221664274,1,0,0.714285714286,0.428571428571,7,0.0170449178761,0.0214190093708,-0.00260910079205,-0.0215053763441,0.0477704435891,-0.030725525713,0.714285714286,0.285714285714,0.142857142857,0.142857142857,7,0.0690860215054,0.07,0.07,0.0645161290323,0.0477282204274,0.021357801078,1,0,1,0.833333333333,6,0.0561026602318,0.0626988437961,0.0453040065604,0.0294117647059,0.0477704435891,0.00833221664274,1,0,0.714285714286,0.428571428571,7,0.036573789054,0.0420589265835,0.0283862082067,0.0164263183884,0.0477704435891,-0.0111966545351,1,0,0,0.285714285714,7,0.0461389783705,0.0481565469564,0.0409159701114,0.0342842122589,0.0477282204274,-0.00158924205686,1,0,0.5,0.444444444444,6,0.555555555556,0.526010404162,0,0,0.500302343159,0.491472431078,0.51623015873,0.669444444444
HIGH,PAIR_BINARY7,0.0544546480448,0.0645161290323,0.0453040065604,0.0160583941606,0.0477704435891,0.00668420445573,1,0,0.714285714286,0.428571428571,7,0.0436874944489,0.0626988437961,0.0273094968452,-0.0215053763441,0.0477704435891,-0.0040829491402,0.857142857143,0.142857142857,0.571428571429,0.428571428571,7,0.0548067226891,0.07,0.0395588235294,0.0194285714286,0.0477282204274,0.00707850226171,1,0,0.666666666667,0.666666666667,6,0.0544546480448,0.0645161290323,0.0453040065604,0.0160583941606,0.0477704435891,0.00668420445573,1,0,0.714285714286,0.428571428571,7,0.0490710712469,0.0480237825595,0.037719955683,0.0164263183884,0.0477704435891,0.00130062765776,1,0,0.428571428571,0.428571428571,7,0.0510993204707,0.0497915537183,0.0376068604449,0.0342842122589,0.0477282204274,0.00337110004328,1,0,0.5,0.5,6,0.611111111111,0.526010404162,0,0,0.522411186697,0.549880952381,0.57873015873,0.66626984127
