event_id,signal_date,code,candidate_count,stage1_rank,stage1_strength,stage1_top10,closing_completion_gap,strength_x_gap,binary_pair_score,binary_pair_rank,capped_pair_score,capped_pair_rank,raw_pair_score,raw_pair_rank,target7,raw_return,capped_return_7
000055_2026-06-03,2026-06-03,000055,7,5,0.333333333333,True,0.892857142857,0.297619047619,0.176620631414,4,0.0150558456433,3,0.00640346672806,5,0,0,0
603045_2026-06-03,2026-06-03,603045,7,6,0.166666666667,True,0.714285714286,0.119047619048,0.0738060394226,6,0.00994389161617,5,-0.00253779408438,6,1,0.154815115807,0.07
002421_2026-06-03,2026-06-03,002421,7,7,0,True,0.392857142857,0,-0.0059236031571,7,0.00381841599739,7,-0.00598704075284,7,0,0.0698151950719,0.0698151950719
600121_2026-06-04,2026-06-04,600121,6,1,1,True,0.75,0.75,0.491936876699,1,0.0211292171087,1,0.0355866109115,1,0,-0.00709219858156,-0.00709219858156
600487_2026-06-04,2026-06-04,600487,6,2,0.8,True,0.125,0.1,0.225681432187,3,0.0084098405224,4,0.00710921436007,3,0,0.0659375,0.0659375
002137_2026-06-04,2026-06-04,002137,6,3,0.6,True,0.541666666667,0.325,0.256924114973,2,0.012937299459,2,0.0138789912877,2,0,0.0068359375,0.0068359375
000700_2026-06-04,2026-06-04,000700,6,4,0.4,True,0.291666666667,0.116666666667,0.138162025289,4,0.00721559865474,5,0.00472159382178,4,0,-0.0651340996169,-0.0651340996169
603311_2026-06-04,2026-06-04,603311,6,5,0.2,True,0.25,0.05,0.0682695534326,5,0.00473568206196,6,0.00086862667454,5,0,0.0277923439958,0.0277923439958
600936_2026-06-04,2026-06-04,600936,6,6,0,True,0.791666666667,0,0.0140299244909,6,0.00896631627979,3,-0.00802498547965,6,0,-0.0455284552846,-0.0455284552846
600688_2026-06-05,2026-06-05,600688,6,1,1,True,0.166666666667,0.166666666667,0.275592476825,1,0.0107022569196,2,0.0101190586734,2,0,0.00302114803625,0.00302114803625
600255_2026-06-05,2026-06-05,600255,6,2,0.8,True,0.291666666667,0.233333333333,0.250636021232,2,0.0102689549203,3,0.0108191970045,1,1,0.0896551724138,0.07
605162_2026-06-05,2026-06-05,605162,6,3,0.6,True,0.375,0.225,0.204563475323,3,0.00908024631631,4,0.00841151294877,3,0,-0.0449915110357,-0.0449915110357
001896_2026-06-05,2026-06-05,001896,6,4,0.4,True,0.833333333333,0.333333333333,0.197396105786,4,0.01117904793,1,0.00655319770408,4,1,0.0850528434826,0.07
002787_2026-06-05,2026-06-05,002787,6,5,0.2,True,0.375,0.075,0.0730703316378,5,0.00472930693572,6,-0.000649761823576,5,0,0.0670498084291,0.0670498084291
600439_2026-06-05,2026-06-05,600439,6,6,0,True,0.708333333333,0,0.0138337685016,6,0.00482391479691,5,-0.0097851985073,6,0,-0.0113636363636,-0.0113636363636
