dimension,dimension_value,candidate_count,independent_event_count,target7_count,target7_rate,tail_loss_count,tail_loss_rate,avg_d3_close_return,median_d3_close_return,v004a_top15_overlap_count,v004a_top15_overlap_rate,v004a_missed_target7_count
signal_date,2026-07-09,13,13,2,0.15384615384615385,5,0.38461538461538464,-0.04086569789476309,-0.020480854853072,0,0.0,2
signal_date,2026-07-10,11,11,1,0.09090909090909091,4,0.36363636363636365,-0.015171952447968401,-0.0253164556962025,5,0.45454545454545453,0
signal_date,2026-07-13,12,12,1,0.08333333333333333,6,0.5,-0.059837460709299496,-0.0462990196078431,0,0.0,1
signal_date,2026-07-14,16,16,6,0.375,3,0.1875,0.00488106135656107,-0.00476711193257805,0,0.0,6
signal_date,2026-07-15,13,13,4,0.3076923076923077,6,0.46153846153846156,-0.0012978246350499904,-0.0377833753148614,0,0.0,4
signal_date,2026-07-16,21,21,7,0.3333333333333333,10,0.47619047619047616,-0.02112689839413325,-0.0354445090063916,6,0.2857142857142857,3
signal_date,2026-07-17,17,17,3,0.17647058823529413,5,0.29411764705882354,-0.020506802314626732,-0.039855072463768,5,0.29411764705882354,2
signal_date,2026-07-20,19,19,11,0.5789473684210527,2,0.10526315789473684,0.02080446149837436,0.0246305418719212,5,0.2631578947368421,7
signal_date,2026-07-21,15,15,11,0.7333333333333333,0,0.0,0.07680370278038043,0.0631741140215715,4,0.26666666666666666,7
signal_date,2026-07-22,8,8,4,0.5,4,0.5,-0.02927664455511569,-0.051461496098174395,2,0.25,4
signal_date,2026-07-23,9,9,0,0.0,1,0.1111111111111111,-0.012738042469973634,-0.0247678018575852,2,0.2222222222222222,0
signal_date,2026-07-24,13,13,7,0.5384615384615384,1,0.07692307692307693,0.060298734568177595,0.0283896231032796,4,0.3076923076923077,6
signal_date,2026-07-27,21,21,6,0.2857142857142857,3,0.14285714285714285,0.02488795122086203,0.0119791666666666,9,0.42857142857142855,6
signal_date,2026-07-28,18,18,10,0.5555555555555556,3,0.16666666666666666,0.019146391627101342,0.020165332346609298,3,0.16666666666666666,9
signal_date,2026-07-29,15,15,2,0.13333333333333333,3,0.2,-0.007302535276681951,-0.0032128514056224,4,0.26666666666666666,1
