section,column,dtype,row_count,missing_count,missing_rate,non_finite_count,min,max,p01,p50,p99,source,available_at_d1_close
column_stats,d1_intraday_range,float64,1020.0,0.0,0.0,0.0,0.0,0.2001853568118627,0.01304924020250172,0.08483690357003004,0.17913852285930318,5min cache,True
column_stats,d1_afternoon_return,float64,1020.0,0.0,0.0,0.0,-0.164951768488746,0.1197822141560798,-0.06620965085639006,-0.0020133796810207997,0.07162681912681917,5min cache,True
column_stats,d1_last_hour_return,float64,1020.0,0.0,0.0,0.0,-0.1337558372248165,0.1187165775401071,-0.051795378482714496,0.0,0.04469026504645453,5min cache,True
column_stats,d1_up_bar_volume_ratio,float64,1020.0,0.0,0.0,0.0,0.0,0.8384429824368163,0.0,0.45664301427977433,0.7020160201088174,5min cache,True
column_stats,d1_down_bar_volume_ratio,float64,1020.0,0.0,0.0,0.0,0.0,0.9255450696359372,0.0,0.4945613990105374,0.7717169283796839,5min cache,True
column_stats,volume_above_d1_close_ratio,float64,1020.0,0.0,0.0,0.0,0.0178623783419175,1.0,0.02667080629195757,0.6548391013688926,1.0,5min cache,True
column_stats,amount_above_d1_close_ratio,float64,1020.0,0.0,0.0,0.0,0.018227312301159,1.0,0.028136691066202174,0.6620182208494068,1.0,5min cache,True
column_stats,volume_above_break_close_ratio,float64,1020.0,0.0,0.0,0.0,0.0,1.0,0.0,0.46593762873354855,1.0,5min cache,True
column_stats,high_zone_volume_ratio,float64,1020.0,0.0,0.0,0.0,0.0,1.0,0.0,0.16165601631431953,0.8791584914342246,5min cache,True
column_stats,high_zone_amount_ratio,float64,1020.0,0.0,0.0,0.0,0.0,1.0,0.0,0.16568986513700829,0.8857619920773072,5min cache,True
column_stats,late_day_sell_volume_ratio,float64,1020.0,0.0,0.0,0.0,0.0,0.4139691649844499,0.0,0.07479659196434604,0.19397165007131512,5min cache,True
column_stats,late_day_sell_amount_ratio,float64,1020.0,0.0,0.0,0.0,0.0,0.409234818076627,0.0,0.07404554895400015,0.1890004716088413,5min cache,True
column_stats,down_bar_volume_ratio,float64,1020.0,0.0,0.0,0.0,0.0,0.9255450696359372,0.0,0.4945613990105374,0.7717169283796839,5min cache,True
column_stats,d1_vwap_to_close_gap,float64,1020.0,0.0,0.0,0.0,-0.0810421364976873,0.1381326868525649,-0.04654976340531049,0.00540591114443245,0.07097444442240386,5min cache,True
column_stats,is_v004a_scorable,bool,1020.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,existing scored files/frozen reconstruction,True
column_stats,v004a_probability,float64,1020.0,436.0,0.42745098039215684,436.0,0.3412629038121764,0.510060139754054,0.3567185059549785,0.4497463674155695,0.5040667506238744,existing scored files/frozen reconstruction,True
column_stats,v004a_rank,float64,1020.0,436.0,0.42745098039215684,436.0,1.0,209.0,1.0,29.0,167.16999999999996,existing scored files/frozen reconstruction,True
column_stats,is_v004a_top3,bool,1020.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,derived from v004a_rank,True
column_stats,is_v004a_top10,bool,1020.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,derived from v004a_rank,True
column_stats,is_v004a_top15,bool,1020.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,derived from v004a_rank,True
column_stats,is_v002_scorable,bool,1020.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,daily signals CSVs,True
column_stats,v002_rank,float64,1020.0,820.0,0.803921568627451,820.0,1.0,138.0,1.0,29.5,133.01999999999998,daily signals CSVs,True
column_stats,is_v002_top3,bool,1020.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,derived from v002_rank,True
column_stats,is_v002_top10,bool,1020.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,derived from v002_rank,True
column_stats,is_v002_top15,bool,1020.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,derived from v002_rank,True
column_stats,d2_trade_date,str,1020.0,1020.0,1.0,1020.0,,,,,,5min cache future dates,False
