event_id,signal_date,code,stage1_rank,stage1_score,candidate_count,board_streak_before_break,raw_repair_return,outcome_state,loss_target,target7,board_streak_is_3,max_board_streak_20d,recent_limit_up_count_10d,recent_limit_up_count_20d,recent_pool_appearance_count_10d,recent_pool_appearance_count_20d,board_day_volume_rank,break_open_return,break_high_return,break_close_return,break_touched_limit_up,break_opened_from_limit_up,break_upper_shadow_ratio,break_lower_shadow_ratio,d1_high_to_close_drawdown_raw,d1_low_to_close_recovery,d1_open_to_close_return_raw,d1_close_location,d1_intraday_range,d1_afternoon_return,d1_last_hour_return,break_volume_ratio_vs_board_days,d1_up_bar_volume_ratio,down_bar_volume_ratio,volume_above_d1_close_ratio,amount_above_d1_close_ratio,high_zone_volume_ratio,high_zone_amount_ratio,late_day_sell_volume_ratio,late_day_sell_amount_ratio,d1_close_to_vwap_raw,d1_close_to_ma5_raw,d1_low_to_ma5_raw,d1_high_to_ma5_raw,d1_close_to_ma10_raw,d1_low_to_ma10_raw,d1_close_to_ma20,d1_ma5_slope,d1_ma10_slope,d1_ma20_slope,d1_close_above_ma5,d1_close_above_ma10,d1_true_reclaim_ma5,d1_true_reclaim_ma10,consecutive_days_below_ma5,consecutive_days_below_ma10,break_day_in_pool,last_board_day_in_pool,pool_consecutive_count_last_board,recent_7d_cumulative_return,recent_7d_max_drawdown,recent_7d_close_position,recent_7d_limit_up_count,stage1_strength,closing_completion_gap,strength_x_gap
600293_2026-06-08,2026-06-08,600293,2,0.566017213282,3,2,-0.0172839506173,LOSS,1,0,0,2,2,2,2,2,6,-0.020202020202,0.10101010101,0.0429292929293,1,0,0.425925925926,0.111111111111,0.052752293578,0.0783289817232,0.0644329896907,0.566037735849,0.133838383838,-0.0024154589372,0.014742014742,2.41705070713,0.550846633119,0.371399579595,0.487965312726,0.498195290432,0.242229051553,0.250113838337,0.0361232381776,0.0366436751615,0.00552141983168,0.129649890591,0.0448577680525,0.192560175055,0.186099942562,0.0970706490523,0.231181994336,0.045766590389,0.0223135642983,0.0137503777576,1,1,0,0,0,0,0,1,2,0.290625,0.0942857142857,0.806722689076,2,0.5,0.166666666667,0.0833333333333
003036_2026-06-08,2026-06-08,003036,3,0.523107889091,3,2,0.0681933842239,POSITIVE_NON_TARGET,0,0,0,2,4,6,4,6,47,-0.0149362477231,-0.000242865816636,-0.0953248330298,0,0,0.147381242387,0.0462850182704,0.081607495069,0.00282675999462,-0.081607495069,0.0307467057101,0.0829386763813,-0.0414307771487,-0.0104927613229,1.19543167004,0.386724621558,0.592980106015,1,1,0,0,0.0979170961957,0.0952027310255,-0.035447540708,0.0134399825879,0.00827075851562,0.119953204919,0.052007286386,0.0466413431803,0.275881557089,0.00740009866798,0.0268542014065,0.0280467622099,1,1,0,0,0,0,0,1,2,0.0492957746479,0.17597551645,0.557247602933,2,0,0.75,0
603859_2026-06-09,2026-06-09,603859,1,0.626528279519,9,2,0.0640412922959,POSITIVE_NON_TARGET,0,0,0,2,2,3,2,3,26,0.0226589131743,0.0759975937437,0.0617605775015,0,0,0.193460490463,0.275204359673,0.0132314573239,0.0564644852354,0.0382352941176,0.799435028249,0.0709845598556,0.0118478884005,0.021412037037,1.66034816736,0.374427314623,0.625572685377,0.0595734655495,0.0607525254745,0.121851805233,0.124428700778,0.052066687723,0.0524332516204,0.0233807340206,0.141262177774,0.0774635744461,0.15656522114,0.174760943359,0.109089698933,0.184484262801,0.0434508816121,0.015271990089,0.0138228990668,1,1,0,0,0,0,0,1,2,0.206150341686,0.085637823372,0.943917851501,2,1,0.0555555555556,0.0555555555556
603500_2026-06-09,2026-06-09,603500,2,0.611437680055,9,3,0.0936270653029,TARGET7,0,1,1,3,3,3,3,3,18,-0.0327137546468,0.0185873605948,-0.00594795539033,0,0,0.207547169811,0.566037735849,0.0240875912409,0.104046242775,0.0276710222905,0.792452830189,0.118215613383,0.0340293890178,-0.00668647845468,2.73211552776,0.447169573388,0.487420735087,0.198584870202,0.207946424606,0.234748828694,0.245544180102,0.0758314810585,0.0792025121523,0.0422379486315,0.10899137359,0.00447909754479,0.136363636364,0.192047075606,0.0797075606277,0.244647179296,0.0531097134871,0.0263543191801,0.0152159531235,1,1,0,0,0,0,0,1,3,0.243720930233,0.111111111111,0.910810810811,3,0.875,0.111111111111,0.0972222222222
002421_2026-06-09,2026-06-09,002421,3,0.592821129716,9,2,-0.142105263158,LOSS,1,0,0,4,4,10,4,10,2,0.0453752181501,0.0750436300175,-0.00523560209424,0,0,0.253731343284,0.313432835821,0.0731707317073,0.0363636363636,-0.0484140233723,0.307692307692,0.113438045375,0.0160427807487,0.0233393177738,1.52826754121,0.348970125509,0.619624146116,0.718403208734,0.726102168269,0.0567357165621,0.0591742199763,0.0561222509406,0.0550960958525,-0.0158382984117,0.0853008377761,0.0453160700685,0.172886519421,0.163027953479,0.120179555193,0.301072814426,0.0285938112025,0.0218932443703,0.032402497938,1,1,0,0,0,0,0,1,2,0.261061946903,0.0862745098039,0.796460176991,4,0.75,0.472222222222,0.354166666667
603929_2026-06-10,2026-06-10,603929,1,0.606701516414,7,2,0.0850540374308,TARGET7,0,1,0,2,2,2,2,2,105,-0.00393566882076,0.0999951411496,0.0789563189349,1,0,0.202431042543,0,0.0191262864968,0.0832195121951,0.0832195121951,0.797568957457,0.10393080997,0.00853846852575,0.00357029873006,2.67475257132,0.570289986227,0.382913107158,0.591564858978,0.598353143664,0.725810868725,0.7324501675,0.0807183852572,0.0807549256621,-0.000588832361219,0.17983975517,0.0891972881644,0.202845727159,0.306834900719,0.206435894116,0.271431720521,0.0821259371694,0.0351062080057,0.0071534429368,1,1,0,0,0,0,0,1,2,0.483862345473,0.0457769181173,0.947374817696,2,1,0.178571428571,0.178571428571
603616_2026-06-10,2026-06-10,603616,2,0.595411918467,7,2,0.0160583941606,POSITIVE_NON_TARGET,0,0,0,2,3,3,3,3,91,0.100137174211,0.100137174211,0,1,1,0,0.0266666666667,0.0910224438903,0.00137362637363,-0.0910224438903,0.0135135135135,0.101508916324,-0.0569210866753,-0.0520156046814,13.281248477,0.332929591186,0.637930129494,1,1,0.277465339103,0.28483827636,0.053597255197,0.0515557644385,-0.0530438619751,0.101541251133,0.0985191900876,0.211846479299,0.167520819987,0.164317745035,0.136310498013,0.0454976303318,0.028665568369,0.00698477476063,1,1,0,0,0,0,0,1,2,0.259067357513,0.0783034257749,0.691983122363,2,0.833333333333,0.821428571429,0.684523809524
603186_2026-06-10,2026-06-10,603186,3,0.593746482363,7,2,0.12896813445,TARGET7,0,1,0,2,2,4,2,4,73,0.0191806455925,0.0999799505447,0.0914923477912,1,0,0.105045492142,0,0.00771614314357,0.0709508196721,0.0709508196721,0.894954507858,0.0807993049522,0.0169998131889,-0.00103981894917,1.00139459296,0.472654447119,0.508227681702,0.141933829324,0.143499148225,0.677598974145,0.683538430821,0.0557916812026,0.0562619152147,0.0133929291525,0.172921963201,0.0952155240517,0.18204277445,0.236495234057,0.154577046251,0.319880231294,0.0687902978201,0.0270360636362,0.0242786959203,1,1,0,0,0,0,0,1,2,0.343423541992,0.11583011583,0.974811582705,2,0.666666666667,0.107142857143,0.0714285714286
002636_2026-06-11,2026-06-11,002636,1,0.600535612351,10,3,0.0890098899878,TARGET7,0,1,1,3,3,3,3,3,27,0.000258331180573,0.0999741668819,0.0953242056316,1,0,0.0466321243523,0,0.00422733677783,0.095041322314,0.095041322314,0.953367875648,0.0997158357014,0.0120539443848,-0.00422733677783,2.96246221679,0.672933203591,0.206692105972,0.342384197174,0.352816606569,0.558531359473,0.57257371811,0.0706531607359,0.0728488171373,0.0273046396296,0.195241585386,0.0915036364661,0.200315724192,0.380028642104,0.26025257128,0.578628938428,0.0950793356794,0.0536712507288,0.0381798152371,1,1,0,0,0,0,0,1,3,0.6392808815,0.0731981981982,0.989938513136,3,1,0.05,0.05
605318_2026-06-11,2026-06-11,605318,2,0.597700837423,10,2,0.0456747404844,POSITIVE_NON_TARGET,0,0,0,2,2,3,2,3,63,0.0123541523679,0.10003431709,0.0894818119423,1,0,0.120352250489,0,0.00959288722508,0.076186440678,0.076186440678,0.879647749511,0.087680164722,-0.00959288722508,-0.00781311039925,2.20786117407,0.744714039872,0.225386697797,0.39093461612,0.397528138729,0.624362212807,0.632514810969,0.0551390300603,0.0558992704383,0.0107657378139,0.166930088951,0.0843196353745,0.178232742777,0.262865837286,0.173463806597,0.28158808332,0.0698177385423,0.0343667709019,0.0191302916855,1,1,0,0,0,0,0,1,2,0.380776340111,0.0896078431373,0.96780947396,2,0.888888888889,0.152777777778,0.135802469136
