event_id,code,signal_date,board_streak_before_break,D0,d1_close_to_ma5_raw,d1_close_to_ma10_raw,d1_close_to_ma20,d1_ma5_slope,d1_ma10_slope,recent_7d_cumulative_return,recent_7d_max_drawdown,recent_7d_close_position,d1_low_to_close_recovery,d1_close_location,d1_close_to_vwap_raw,d1_high_to_close_drawdown_raw,d1_afternoon_return,d1_last_hour_return,intraday_low_time_fraction,d1_up_bar_volume_ratio,down_bar_volume_ratio,late_day_sell_volume_ratio,high_zone_volume_ratio,amount_above_d1_close_ratio,volume_above_d1_close_ratio,post_low_volume_share,tier_cohort_size,tier_peer_count_ex_self,tier_peer_advance_count_d1,tier_peer_advance_rate_d1,tier_peer_break_count_d1,tier_peer_break_rate_d1,tier_peer_mean_d1_close_return,tier_peer_max_d1_close_return,subject_d1_close_return_vs_tier_mean,subject_d1_close_return_percentile_in_tier
603045_2026-06-17,603045,2026-06-17,2,2026-06-16,0.0517078271261,0.0277588555858,0.122507273911,0.0105919943644,0.0149386404603,-0.052802690583,0.206261713152,0.667557455906,0.0274056029233,0.681818181818,0.00342835054476,0.0122950819672,0.00476474091721,0.0170002411382,0.808510638298,0.598019691414,0.376097327948,0.0991643246664,0.385719692035,0.256746292685,0.254580084002,0.168481329139,27,26,10,0.384615384615,16,0.615384615385,0.0490448637584,0.100319488818,-0.0874201045022,0.0185185185185
603256_2026-06-17,603256,2026-06-17,2,2026-06-16,0.117856340996,0.208209665677,0.306127802764,0.0556532995433,0.0295631116941,0.248673676088,0.0953735389538,0.805681818182,0.0228350189633,0.274193548387,-0.0130486368168,0.0557986870897,0.00723622782446,-0.00204294029218,0.468085106383,0.557154953429,0.438335041669,0.0493604884353,0.107339899282,0.749497482345,0.744257765498,0.24784081287,27,26,10,0.384615384615,16,0.615384615385,0.0463157716188,0.100319488818,-0.0164637088744,0.425925925926
603516_2026-06-17,603516,2026-06-17,2,2026-06-16,0.0975254495137,0.0857261789451,0.124668830927,0.033209036336,0.0168745115916,0.0866917714927,0.184295473313,0.77411021814,0.021617957216,0.267225325885,-0.00540681583175,0.0548432055749,0.00295792353768,0.00414599837121,0.0425531914894,0.353090873499,0.646909126501,0.0528895227708,0,0.541131035473,0.535341247536,0.686927583651,27,26,10,0.384615384615,16,0.615384615385,0.0471567678494,0.100319488818,-0.0383296108703,0.277777777778
605198_2026-06-17,605198,2026-06-17,3,2026-06-16,0.197496522949,0.329134441717,0.43848833421,0.0738074613937,0.0505838469024,0.409395973154,0.106002749351,0.994688385269,0.0972966080082,0.974457215837,0.0262725435838,0.00231884057971,0.0484951870355,0.0172597233716,0,0.713783254146,0.26936089183,0.0293394464883,0.585670444251,0.184033131004,0.179479950454,1,1,0,0,0,0,0,,,0,0.5
605289_2026-06-17,605289,2026-06-17,2,2026-06-16,0.117768491013,0.173289173501,0.187303341742,0.0473369660749,0.0205408029341,0.259455370651,0.0797796730633,0.925046845721,0.040625,0.693333333333,0.00688889831428,0.0169741697417,-0.00433547615488,-0.00403768506057,0.0212765957447,0.444139313325,0.544823906083,0.0594528463961,0.326326886535,0.378624465437,0.374443605695,0.847294166645,27,26,10,0.384615384615,16,0.615384615385,0.0466197367747,0.100319488818,-0.0243668029285,0.388888888889
000679_2026-06-18,000679,2026-06-18,2,2026-06-17,0.12030741945,0.175923053056,0.169211784668,0.0496431895749,0.0210676382069,0.257048092869,0.0615141955836,0.77027027027,0.0498614958449,0.413793103448,-0.0217780014013,0.0630407911001,-0.0343949044586,-0.0143042912874,0,0.513634104083,0.421121442873,0.0842107589307,0.301028940698,1,1,1,11,10,4,0.4,6,0.6,0.0208921739564,0.10046728972,0.00945485731856,0.590909090909
000777_2026-06-18,000777,2026-06-18,3,2026-06-17,0.0257613683771,0.100912296412,0.100511931071,0.0398004554821,0.0145363693146,0.214197530864,0.100182982617,0.631932773109,0,0,-0.0133188554694,0.053416746872,-0.00956696878147,0,0.191489361702,0.173583032302,0.734605654086,0,0,1,1,0.335679429718,10,9,1,0.111111111111,8,0.888888888889,0.0106901207077,0.100026184865,-0.0997857929919,0.05
002080_2026-06-18,002080,2026-06-18,3,2026-06-17,0.0946970726536,0.183166862515,0.170359607701,0.0474604259196,0.0252240042165,0.282643312102,0.0761932997332,0.897912885662,0.0292614362382,0.535046728972,0.000755280654673,0.0241095226557,-0.0042032389665,-0.00567831131959,0.063829787234,0.32428650631,0.67571349369,0.0842181397717,0.0629140553056,0.432523662854,0.429573560052,0.677128412287,10,9,1,0.111111111111,8,0.888888888889,0.00206646446665,0.100026184865,-0.0221728868223,0.35
002484_2026-06-18,002484,2026-06-18,2,2026-06-17,0.134202405693,0.184387912799,0.300126330987,0.0559952118109,0.0130015766216,0.233561643836,0.137931034483,0.901960784314,0.0389385635997,0.574468085106,-6.50545112149e-05,0.0270124257158,0.0103786816269,-0.00597921074418,0,0.644206747516,0.355793252484,0.0815249640875,0.225490828394,0.651389383072,0.648200479739,1,11,10,4,0.4,6,0.6,0.0210384846488,0.10046728972,0.00799175039467,0.5
002741_2026-06-18,002741,2026-06-18,3,2026-06-17,0.1548571109,0.302756923853,0.377745900956,0.0827782487586,0.0423146473779,0.446584938704,0.0545391784605,0.987224982257,0.0713359273671,1,0.0333441671968,0,0.0299251870324,0.0240515745103,0.127659574468,0.448439310585,0.540269978749,0.0400275905318,0.114899739579,0.0258165074439,0.0251083769375,0.544838252309,10,9,1,0.111111111111,8,0.888888888889,-0.00568134885054,0.100026184865,0.0475574330324,0.75
