representation,model_stage,run_type,lambda,test_signal_date,train_signal_dates,train_rows,test_rows,train_max_signal_date,test_after_train,date_equal_weight_sum,predictor_count,predictors,imputation_scaling_pca_fit,model_status
CS_RANK,M1,PERMUTED,10,2026-06-15,28,208,3,2026-06-12,True,28,5,"[""EXISTING_TREND_POSITION"",""EXISTING_D1_REPAIR_PATH"",""EXISTING_SUPPLY_ACTIVITY"",""SAME_TIER_COMPETITION"",""is_board3""]",TRAIN_FOLD_ONLY,CAPABILITY_SCREEN_ONLY
CS_RANK,M1,PERMUTED,10,2026-06-16,29,211,7,2026-06-15,True,29,5,"[""EXISTING_TREND_POSITION"",""EXISTING_D1_REPAIR_PATH"",""EXISTING_SUPPLY_ACTIVITY"",""SAME_TIER_COMPETITION"",""is_board3""]",TRAIN_FOLD_ONLY,CAPABILITY_SCREEN_ONLY
CS_RANK,M1,PERMUTED,10,2026-06-17,30,218,17,2026-06-16,True,30,5,"[""EXISTING_TREND_POSITION"",""EXISTING_D1_REPAIR_PATH"",""EXISTING_SUPPLY_ACTIVITY"",""SAME_TIER_COMPETITION"",""is_board3""]",TRAIN_FOLD_ONLY,CAPABILITY_SCREEN_ONLY
CS_RANK,M1,PERMUTED,10,2026-06-18,31,235,15,2026-06-17,True,31,5,"[""EXISTING_TREND_POSITION"",""EXISTING_D1_REPAIR_PATH"",""EXISTING_SUPPLY_ACTIVITY"",""SAME_TIER_COMPETITION"",""is_board3""]",TRAIN_FOLD_ONLY,CAPABILITY_SCREEN_ONLY
CS_RANK,M1,PERMUTED,10,2026-06-22,32,250,7,2026-06-18,True,32,5,"[""EXISTING_TREND_POSITION"",""EXISTING_D1_REPAIR_PATH"",""EXISTING_SUPPLY_ACTIVITY"",""SAME_TIER_COMPETITION"",""is_board3""]",TRAIN_FOLD_ONLY,CAPABILITY_SCREEN_ONLY
CS_RANK,M1,PERMUTED,10,2026-06-23,33,257,14,2026-06-22,True,33,5,"[""EXISTING_TREND_POSITION"",""EXISTING_D1_REPAIR_PATH"",""EXISTING_SUPPLY_ACTIVITY"",""SAME_TIER_COMPETITION"",""is_board3""]",TRAIN_FOLD_ONLY,CAPABILITY_SCREEN_ONLY
CS_RANK,M1,PERMUTED,10,2026-06-24,34,271,15,2026-06-23,True,34,5,"[""EXISTING_TREND_POSITION"",""EXISTING_D1_REPAIR_PATH"",""EXISTING_SUPPLY_ACTIVITY"",""SAME_TIER_COMPETITION"",""is_board3""]",TRAIN_FOLD_ONLY,CAPABILITY_SCREEN_ONLY
CS_RANK,M1,PERMUTED,10,2026-06-25,35,286,9,2026-06-24,True,35,5,"[""EXISTING_TREND_POSITION"",""EXISTING_D1_REPAIR_PATH"",""EXISTING_SUPPLY_ACTIVITY"",""SAME_TIER_COMPETITION"",""is_board3""]",TRAIN_FOLD_ONLY,CAPABILITY_SCREEN_ONLY
CS_RANK,M1,PERMUTED,10,2026-06-26,36,295,12,2026-06-25,True,36,5,"[""EXISTING_TREND_POSITION"",""EXISTING_D1_REPAIR_PATH"",""EXISTING_SUPPLY_ACTIVITY"",""SAME_TIER_COMPETITION"",""is_board3""]",TRAIN_FOLD_ONLY,CAPABILITY_SCREEN_ONLY
CS_RANK,M1,PERMUTED,10,2026-06-29,37,307,5,2026-06-26,True,37,5,"[""EXISTING_TREND_POSITION"",""EXISTING_D1_REPAIR_PATH"",""EXISTING_SUPPLY_ACTIVITY"",""SAME_TIER_COMPETITION"",""is_board3""]",TRAIN_FOLD_ONLY,CAPABILITY_SCREEN_ONLY
