event_id,code,signal_date,board,board_streak_before_break,representation,model_stage,run_type,lambda,score,rank,repair_rank_target,raw_repair_return,capped_opportunity_return_7,target7,fold_test_signal_date,fold_train_signal_dates,fold_train_max_signal_date,model_status
002185_2026-05-27,002185,2026-05-27,2,2,CS_RANK,M0,PERMUTED,10,0.53452520828,2,0.35,0.0669975186104,0.0669975186104,0,2026-05-27,15,2026-05-26,CAPABILITY_SCREEN_ONLY
002957_2026-05-27,002957,2026-05-27,2,2,CS_RANK,M0,PERMUTED,10,0.523923149724,3,0.65,0.212845673506,0.07,1,2026-05-27,15,2026-05-26,CAPABILITY_SCREEN_ONLY
600584_2026-05-27,600584,2026-05-27,2,2,CS_RANK,M0,PERMUTED,10,0.50162405503,4,0.45,0.0814359715697,0.07,1,2026-05-27,15,2026-05-26,CAPABILITY_SCREEN_ONLY
002388_2026-05-27,002388,2026-05-27,2,2,CS_RANK,M0,PERMUTED,10,0.476064273467,5,0.15,0.0187074829932,0.0187074829932,0,2026-05-27,15,2026-05-26,CAPABILITY_SCREEN_ONLY
002552_2026-05-27,002552,2026-05-27,3,3,CS_RANK,M0,PERMUTED,10,0.473549085201,6,0.85,0.222996515679,0.07,1,2026-05-27,15,2026-05-26,CAPABILITY_SCREEN_ONLY
600520_2026-05-27,600520,2026-05-27,2,2,CS_RANK,M0,PERMUTED,10,0.466150239934,7,0.25,0.0330961954841,0.0330961954841,0,2026-05-27,15,2026-05-26,CAPABILITY_SCREEN_ONLY
002585_2026-05-27,002585,2026-05-27,3,3,CS_RANK,M0,PERMUTED,10,0.451176277236,8,0.55,0.0986590038314,0.07,1,2026-05-27,15,2026-05-26,CAPABILITY_SCREEN_ONLY
600172_2026-05-27,600172,2026-05-27,3,3,CS_RANK,M0,PERMUTED,10,0.450494571302,9,0.75,0.21482602118,0.07,1,2026-05-27,15,2026-05-26,CAPABILITY_SCREEN_ONLY
000510_2026-05-27,000510,2026-05-27,3,3,CS_RANK,M0,PERMUTED,10,0.434816887781,10,0.05,0.00334821428571,0.00334821428571,0,2026-05-27,15,2026-05-26,CAPABILITY_SCREEN_ONLY
002771_2026-05-28,002771,2026-05-28,2,2,CS_RANK,M0,PERMUTED,10,0.555383799408,1,0.625,0.0943396226415,0.07,1,2026-05-28,16,2026-05-27,CAPABILITY_SCREEN_ONLY
001257_2026-05-28,001257,2026-05-28,2,2,CS_RANK,M0,PERMUTED,10,0.507004439172,2,0.125,-0.0676771237222,-0.0676771237222,0,2026-05-28,16,2026-05-27,CAPABILITY_SCREEN_ONLY
002251_2026-05-28,002251,2026-05-28,2,2,CS_RANK,M0,PERMUTED,10,0.48680076868,3,0.875,0.168539325843,0.07,1,2026-05-28,16,2026-05-27,CAPABILITY_SCREEN_ONLY
000759_2026-05-28,000759,2026-05-28,2,2,CS_RANK,M0,PERMUTED,10,0.485390902102,4,0.375,0.0771929824561,0.07,1,2026-05-28,16,2026-05-27,CAPABILITY_SCREEN_ONLY
603989_2026-05-29,603989,2026-05-29,2,2,CS_RANK,M0,PERMUTED,10,0.53594777737,1,0.166666666667,-0.0322019147084,-0.0322019147084,0,2026-05-29,17,2026-05-28,CAPABILITY_SCREEN_ONLY
603032_2026-05-29,603032,2026-05-29,2,2,CS_RANK,M0,PERMUTED,10,0.492124508302,2,0.5,0.00237812128419,0.00237812128419,0,2026-05-29,17,2026-05-28,CAPABILITY_SCREEN_ONLY
