factor,bucket,record_count,selected_count,executed_count,execution_rate,target_hit_count,target_hit_rate,avg_candidate_d5_max_return_pct,avg_candidate_d10_max_return_pct,avg_d5_max_return_pct,avg_d5_close_return_pct,avg_d10_max_return_pct,avg_d10_close_return_pct,avg_d10_max_drawdown_pct
support_score,<=50,973,0,0,,0,,8.548012147831413,11.787859223750178,,,,,
support_score,>80,1570,225,98,0.43555555555555553,42,0.42857142857142855,9.104263716539448,12.701746910774947,7.479988304910161,-0.41867544622292724,9.348793188144537,-2.1526572191166937,-8.15386735842729
support_type,A,1843,319,165,0.5172413793103449,67,0.40606060606060607,8.84312106418829,12.268568768874351,7.171324398363592,0.018387505916303733,9.30913238943818,-0.664661856327942,-7.398855028474932
support_type,B,283,0,0,,0,,8.736649348252142,11.91523147445074,,,,,
support_type,C,836,0,0,,0,,8.430196899068362,11.790008026499336,,,,,
theme_score,50-60,856,66,41,0.6212121212121212,21,0.5121951219512195,8.114359335246492,11.263268436430657,8.67241180910431,1.0726586693003115,12.387756204440908,0.8624361427632955,-7.6601209683837315
theme_score,60-70,1763,234,118,0.5042735042735043,45,0.3813559322033898,9.321590724513163,13.09506140237815,6.711863582622145,-0.43526566653395565,8.207648595677865,-1.2903919384892322,-7.413553925653059
theme_score,<=50,343,19,6,0.3157894736842105,1,0.16666666666666666,7.085572553761707,9.032058189701473,5.949956467883841,1.7360469476473568,9.934384264205727,1.2061934323873202,-5.3244594612616725
total_score,50-60,439,0,0,,0,,9.511156717138403,13.287954302709322,,,,,
total_score,60-70,647,0,0,,0,,8.586071346170005,12.40268684399684,,,,,
total_score,70-80,786,151,96,0.6357615894039735,40,0.4166666666666667,9.059717914612936,12.185443445384298,6.989030302483006,0.8834675216765125,9.14850263536217,0.7638625629654001,-6.369609156433293
total_score,<=50,613,0,0,,0,,7.69222915781469,10.753449343866677,,,,,
total_score,>80,477,168,69,0.4107142857142857,27,0.391304347826087,8.913546688715659,12.183335296874299,7.424950966545277,-1.1852020812283344,9.532617264674366,-2.6521740918665047,-8.83084928522852
