event_id,signal_date,code,target7,raw_repair_return,capped_opportunity_return_7,control_score,control_rank,curve_score,curve_rank,rank_delta,rank_d1_close_ma10_pct,rank_d1_low_ma10_pct,rank_trend_hold_score,rank_d1_close_vwap_pct,rank_log_candidate_base_price,quad_close_ma10,quad_low_ma10,quad_trend_hold,quad_close_vwap,quad_log_base_price,extreme_strength_count
002361_2026-06-09,2026-06-09,002361,0,0.047323943662,0.047323943662,0.556643408355,6,0.550584626741,6,0,0.444444444444,0.444444444444,0.5,0.555555555556,0.777777777778,0.197530864198,0.197530864198,0.25,0.308641975309,0.604938271605,0
002613_2026-06-09,2026-06-09,002613,0,-0.013698630137,-0.013698630137,0.545545667452,7,0.532233429346,7,0,0.333333333333,0.333333333333,0.5,0.333333333333,0.333333333333,0.111111111111,0.111111111111,0.25,0.111111111111,0.111111111111,0
000517_2026-06-09,2026-06-09,000517,0,0.0147783251232,0.0147783251232,0.528890758783,8,0.514124713909,8,0,0.222222222222,0.222222222222,0.5,0.111111111111,0.111111111111,0.0493827160494,0.0493827160494,0.25,0.0123456790123,0.0123456790123,0
000759_2026-06-09,2026-06-09,000759,0,0.00649350649351,0.00649350649351,0.523283966064,9,0.51214742598,9,0,0.111111111111,0.111111111111,0.111111111111,0.666666666667,0.555555555556,0.0123456790123,0.0123456790123,0.0123456790123,0.444444444444,0.308641975309,0
603929_2026-06-10,2026-06-10,603929,1,0.0850540374308,0.07,0.582849870417,1,0.59886490213,1,0,1,1,0.142857142857,0.857142857143,1,1,1,0.0204081632653,0.734693877551,1,3
603186_2026-06-10,2026-06-10,603186,1,0.12896813445,0.07,0.568609474064,3,0.576420627625,2,-1,0.857142857143,0.714285714286,0.642857142857,1,0.857142857143,0.734693877551,0.510204081633,0.413265306122,1,0.734693877551,1
603616_2026-06-10,2026-06-10,603616,0,0.0160583941606,0.0160583941606,0.56994068717,2,0.563411180332,3,1,0.571428571429,0.857142857143,0.642857142857,0.142857142857,0.142857142857,0.326530612245,0.734693877551,0.413265306122,0.0204081632653,0.0204081632653,0
001696_2026-06-10,2026-06-10,001696,1,0.202105263158,0.07,0.557689283641,4,0.550369376214,4,0,0.714285714286,0.428571428571,0.642857142857,0.714285714286,0.428571428571,0.510204081633,0.183673469388,0.413265306122,0.510204081633,0.183673469388,0
002747_2026-06-10,2026-06-10,002747,0,0.0194285714286,0.0194285714286,0.530009055327,5,0.522766020262,5,0,0.428571428571,0.571428571429,0.642857142857,0.285714285714,0.714285714286,0.183673469388,0.326530612245,0.413265306122,0.0816326530612,0.510204081633,0
002362_2026-06-10,2026-06-10,002362,0,-0.0082219938335,-0.0082219938335,0.528205477225,6,0.517040691804,6,0,0.285714285714,0.142857142857,0.642857142857,0.428571428571,0.571428571429,0.0816326530612,0.0204081632653,0.413265306122,0.183673469388,0.326530612245,0
