event_id,signal_date,code,target7,capped_opportunity_return_7,control_rank,curve_rank,rank_delta,extreme_strength_count,control_top3_false_positive,control_top3_true_positive,demoted_below_top3,newly_promoted_winner,newly_promoted_false_positive,extreme_strength
002805_2026-06-23,2026-06-23,002805,0,0.0302405498282,9,9,0,1,False,False,False,False,False,False
603380_2026-06-23,2026-06-23,603380,1,0.07,10,11,1,0,False,False,False,False,False,False
002842_2026-06-23,2026-06-23,002842,1,0.07,11,10,-1,0,False,False,False,False,False,False
001296_2026-06-23,2026-06-23,001296,0,0.0229293401965,12,12,0,0,False,False,False,False,False,False
600162_2026-06-23,2026-06-23,600162,1,0.07,13,13,0,0,False,False,False,False,False,False
002354_2026-06-23,2026-06-23,002354,0,0.0438489646772,14,14,0,0,False,False,False,False,False,False
603757_2026-06-24,2026-06-24,603757,0,0.0516980613227,1,1,0,3,True,False,False,False,False,True
600851_2026-06-24,2026-06-24,600851,0,-0.036815920398,2,3,1,2,True,False,False,False,False,False
000070_2026-06-24,2026-06-24,000070,0,-0.0225029609159,3,2,-1,1,True,False,False,False,False,False
600172_2026-06-24,2026-06-24,600172,0,0.0564468211527,4,5,1,0,False,False,False,False,False,False
601869_2026-06-24,2026-06-24,601869,0,-0.0267558528428,5,4,-1,1,False,False,False,False,False,False
002068_2026-06-24,2026-06-24,002068,0,0.0647138964578,6,6,0,1,False,False,False,False,False,False
000783_2026-06-24,2026-06-24,000783,1,0.07,7,8,1,0,False,False,False,False,False,False
600470_2026-06-24,2026-06-24,600470,0,0.0189873417722,8,11,3,0,False,False,False,False,False,False
000571_2026-06-24,2026-06-24,000571,1,0.07,9,10,1,0,False,False,False,False,False,False
002830_2026-06-24,2026-06-24,002830,0,-0.0324971493729,10,9,-1,0,False,False,False,False,False,False
605580_2026-06-24,2026-06-24,605580,0,-0.00604026845638,11,7,-4,0,False,False,False,False,False,False
600400_2026-06-24,2026-06-24,600400,1,0.07,12,12,0,0,False,False,False,False,False,False
605377_2026-06-24,2026-06-24,605377,0,-0.0173913043478,13,13,0,0,False,False,False,False,False,False
600322_2026-06-24,2026-06-24,600322,0,0.0181818181818,14,14,0,0,False,False,False,False,False,False
002672_2026-06-24,2026-06-24,002672,0,0.0512129380054,15,15,0,0,False,False,False,False,False,False
605069_2026-06-25,2026-06-25,605069,1,0.07,1,2,1,0,False,True,False,False,False,False
600909_2026-06-25,2026-06-25,600909,1,0.07,2,1,-1,3,False,True,False,False,False,True
600379_2026-06-25,2026-06-25,600379,0,-0.0113182423435,3,3,0,0,True,False,False,False,False,False
002580_2026-06-25,2026-06-25,002580,0,-0.12269446672,4,5,1,0,False,False,False,False,False,False
002631_2026-06-25,2026-06-25,002631,0,0.0383838383838,5,6,1,0,False,False,False,False,False,False
603938_2026-06-25,2026-06-25,603938,1,0.07,6,4,-2,1,False,False,False,False,False,False
000566_2026-06-25,2026-06-25,000566,0,-0.0021978021978,7,7,0,0,False,False,False,False,False,False
002584_2026-06-25,2026-06-25,002584,0,0.0383064516129,8,8,0,0,False,False,False,False,False,False
002687_2026-06-25,2026-06-25,002687,1,0.07,9,9,0,0,False,False,False,False,False,False
603989_2026-06-26,2026-06-26,603989,0,-0.0419642857143,1,1,0,2,True,False,False,False,False,False
002990_2026-06-26,2026-06-26,002990,1,0.07,2,2,0,0,False,True,False,False,False,False
002080_2026-06-26,2026-06-26,002080,0,-0.0525252525253,3,3,0,0,True,False,False,False,False,False
600667_2026-06-26,2026-06-26,600667,0,0.0668103448276,4,5,1,2,False,False,False,False,False,False
600141_2026-06-26,2026-06-26,600141,0,-0.0441767068273,5,8,3,0,False,False,False,False,False,False
603678_2026-06-26,2026-06-26,603678,0,0.0416001963431,6,6,0,1,False,False,False,False,False,False
600584_2026-06-26,2026-06-26,600584,0,0.0200970873786,7,4,-3,1,False,False,False,False,False,False
603929_2026-06-26,2026-06-26,603929,0,0.0476785648642,8,7,-1,1,False,False,False,False,False,False
603713_2026-06-26,2026-06-26,603713,0,-0.0293809024134,9,9,0,0,False,False,False,False,False,False
002025_2026-06-26,2026-06-26,002025,1,0.07,10,10,0,1,False,False,False,False,False,False
000818_2026-06-26,2026-06-26,000818,1,0.07,11,11,0,0,False,False,False,False,False,False
002254_2026-06-26,2026-06-26,002254,0,-0.025974025974,12,12,0,0,False,False,False,False,False,False
600228_2026-06-29,2026-06-29,600228,0,-0.0793172690763,1,1,0,3,True,False,False,False,False,True
002141_2026-06-29,2026-06-29,002141,0,0.0196078431373,2,2,0,0,True,False,False,False,False,False
000823_2026-06-29,2026-06-29,000823,1,0.07,3,4,1,0,False,True,True,False,False,False
002965_2026-06-29,2026-06-29,002965,1,0.07,4,3,-1,1,False,False,False,True,False,False
600962_2026-06-29,2026-06-29,600962,1,0.07,5,5,0,0,False,False,False,False,False,False
601133_2026-06-30,2026-06-30,601133,0,-0.0627906976744,1,1,0,1,True,False,False,False,False,False
603650_2026-06-30,2026-06-30,603650,0,0.0474406991261,2,2,0,2,True,False,False,False,False,False
603163_2026-06-30,2026-06-30,603163,0,-0.0287162162162,3,3,0,1,True,False,False,False,False,False
603956_2026-06-30,2026-06-30,603956,0,0.0395387149918,4,4,0,0,False,False,False,False,False,False
603155_2026-06-30,2026-06-30,603155,1,0.07,5,5,0,0,False,False,False,False,False,False
002180_2026-06-30,2026-06-30,002180,0,0.019452887538,6,6,0,0,False,False,False,False,False,False
002568_2026-06-30,2026-06-30,002568,0,0.0430678466077,7,7,0,0,False,False,False,False,False,False
