code,status,daily_source,minute_source,from_cache,daily_rows,daily_history_rows,daily_required_days,minute_rows,minute_trade_days,minute_required_days,daily_start,daily_end,minute_start,minute_end,daily_ma_coverage_ok,missing_latest_daily_ma,missing_daily_amount_count,missing_daily_volume_count,missing_minute_amount_count,missing_minute_volume_count,zero_minute_volume_count,daily_minute_close_matched_days,daily_minute_close_max_abs_diff,daily_minute_close_check_ok,warnings,error,name,trade_date,d0_date
002830,failed,cache,sina_5m,False,40,180,180,1634,35,40,2026-04-17 00:00:00,2026-06-16 00:00:00,2026-04-24 14:45:00,2026-06-16 15:00:00,True,,5,0,0,0,0,35,0.0,True,minute trade days 35 < required 40,002830 data quality check failed: minute trade days 35 < required 40,名雕股份,2026-06-16,2026-06-12
002882,failed,tencent_daily,sina_5m,False,40,180,180,1634,35,40,2026-04-17 00:00:00,2026-06-16 00:00:00,2026-04-24 14:55:00,2026-06-16 15:00:00,True,,5,0,0,0,0,35,0.0,True,minute trade days 35 < required 40,002882 data quality check failed: minute trade days 35 < required 40,金龙羽,2026-06-16,2026-06-12
002927,failed,tencent_daily,sina_5m,False,40,180,180,1634,35,40,2026-04-17 00:00:00,2026-06-16 00:00:00,2026-04-24 14:55:00,2026-06-16 15:00:00,True,,5,0,0,0,0,35,0.0,True,minute trade days 35 < required 40,002927 data quality check failed: minute trade days 35 < required 40,泰永长征,2026-06-16,2026-06-16
002935,failed,tencent_daily,sina_5m,False,40,180,180,1634,35,40,2026-04-17 00:00:00,2026-06-16 00:00:00,2026-04-24 14:55:00,2026-06-16 15:00:00,True,,5,0,0,0,0,35,0.0,True,minute trade days 35 < required 40,002935 data quality check failed: minute trade days 35 < required 40,天奥电子,2026-06-16,2026-06-12
002969,failed,tencent_daily,sina_5m,False,40,180,180,1634,35,40,2026-04-13 00:00:00,2026-06-16 00:00:00,2026-04-20 14:55:00,2026-06-16 15:00:00,True,,5,0,0,0,0,35,0.0,True,minute trade days 35 < required 40,002969 data quality check failed: minute trade days 35 < required 40,嘉美包装,2026-06-16,2026-06-12
002971,failed,tencent_daily,sina_5m,False,40,180,180,1634,35,40,2026-04-17 00:00:00,2026-06-16 00:00:00,2026-04-24 14:55:00,2026-06-16 15:00:00,True,,5,0,0,0,0,35,0.0,True,minute trade days 35 < required 40,002971 data quality check failed: minute trade days 35 < required 40,和远气体,2026-06-16,2026-06-12
002976,failed,cache,sina_5m,False,40,180,180,1634,35,40,2026-04-17 00:00:00,2026-06-16 00:00:00,2026-04-24 14:45:00,2026-06-16 15:00:00,True,,5,0,0,0,0,35,0.21000000000000085,False,"minute trade days 35 < required 40; daily/minute close cross-check failed: matched=35, max_diff=0.21000000000000085","002976 data quality check failed: minute trade days 35 < required 40; daily/minute close cross-check failed: matched=35, max_diff=0.21000000000000085",瑞玛精密,2026-06-16,2026-06-12
002985,failed,tencent_daily,sina_5m,False,40,180,180,1634,35,40,2026-04-17 00:00:00,2026-06-16 00:00:00,2026-04-24 14:55:00,2026-06-16 15:00:00,True,,5,0,0,0,0,35,0.0,True,minute trade days 35 < required 40,002985 data quality check failed: minute trade days 35 < required 40,北摩高科,2026-06-16,2026-06-12
002997,failed,tencent_daily,sina_5m,False,40,180,180,1634,35,40,2026-04-17 00:00:00,2026-06-16 00:00:00,2026-04-24 14:55:00,2026-06-16 15:00:00,True,,5,0,0,0,0,35,0.0,True,minute trade days 35 < required 40,002997 data quality check failed: minute trade days 35 < required 40,瑞鹄模具,2026-06-16,2026-06-12
003009,failed,tencent_daily,sina_5m,False,40,180,180,1634,35,40,2026-04-17 00:00:00,2026-06-16 00:00:00,2026-04-24 14:55:00,2026-06-16 15:00:00,True,,5,0,0,0,0,35,0.0,True,minute trade days 35 < required 40,003009 data quality check failed: minute trade days 35 < required 40,中天火箭,2026-06-16,2026-06-12
600067,failed,tencent_daily,sina_5m,False,40,180,180,1634,35,40,2026-04-17 00:00:00,2026-06-16 00:00:00,2026-04-24 14:55:00,2026-06-16 15:00:00,True,,5,0,0,0,0,35,0.0,True,minute trade days 35 < required 40,600067 data quality check failed: minute trade days 35 < required 40,冠城新材,2026-06-16,2026-06-12
600229,failed,tencent_daily,sina_5m,False,40,180,180,1634,35,40,2026-04-17 00:00:00,2026-06-16 00:00:00,2026-04-24 14:55:00,2026-06-16 15:00:00,True,,5,0,0,0,0,35,0.0,True,minute trade days 35 < required 40,600229 data quality check failed: minute trade days 35 < required 40,城市传媒,2026-06-16,2026-06-12
600292,failed,tencent_daily,sina_5m,False,40,180,180,1634,35,40,2026-04-17 00:00:00,2026-06-16 00:00:00,2026-04-24 14:55:00,2026-06-16 15:00:00,True,,5,0,0,0,0,35,0.0,True,minute trade days 35 < required 40,600292 data quality check failed: minute trade days 35 < required 40,电投水电,2026-06-16,2026-06-12
600391,failed,tencent_daily,sina_5m,False,40,180,180,1634,35,40,2026-04-17 00:00:00,2026-06-16 00:00:00,2026-04-24 14:55:00,2026-06-16 15:00:00,True,,5,0,0,0,0,35,0.0,True,minute trade days 35 < required 40,600391 data quality check failed: minute trade days 35 < required 40,航发科技,2026-06-16,2026-06-12
600497,failed,cache,sina_5m,False,40,180,180,1634,35,40,2026-04-17 00:00:00,2026-06-16 00:00:00,2026-04-24 14:55:00,2026-06-16 15:00:00,True,,5,0,0,0,0,35,0.0,True,minute trade days 35 < required 40,600497 data quality check failed: minute trade days 35 < required 40,驰宏锌锗,2026-06-16,2026-06-12
600531,failed,cache,sina_5m,False,40,180,180,1634,35,40,2026-04-17 00:00:00,2026-06-16 00:00:00,2026-04-24 14:55:00,2026-06-16 15:00:00,True,,5,0,0,0,0,35,0.0,True,minute trade days 35 < required 40,600531 data quality check failed: minute trade days 35 < required 40,豫光金铅,2026-06-16,2026-06-12
600539,failed,tencent_daily,sina_5m,False,40,180,180,1634,35,40,2026-04-17 00:00:00,2026-06-16 00:00:00,2026-04-24 14:55:00,2026-06-16 15:00:00,True,,5,0,0,0,0,35,0.0,True,minute trade days 35 < required 40,600539 data quality check failed: minute trade days 35 < required 40,狮头股份,2026-06-16,2026-06-12
600567,failed,tencent_daily,sina_5m,False,40,180,180,1634,35,40,2026-04-17 00:00:00,2026-06-16 00:00:00,2026-04-24 14:55:00,2026-06-16 15:00:00,True,,5,0,0,0,0,35,0.0,True,minute trade days 35 < required 40,600567 data quality check failed: minute trade days 35 < required 40,山鹰国际,2026-06-16,2026-06-12
600576,failed,tencent_daily,sina_5m,False,40,180,180,1634,35,40,2026-04-17 00:00:00,2026-06-16 00:00:00,2026-04-24 14:55:00,2026-06-16 15:00:00,True,,5,0,0,0,0,35,0.0,True,minute trade days 35 < required 40,600576 data quality check failed: minute trade days 35 < required 40,祥源文旅,2026-06-16,2026-06-12
600601,failed,tencent_daily,sina_5m,False,40,180,180,1634,35,40,2026-04-17 00:00:00,2026-06-16 00:00:00,2026-04-24 14:55:00,2026-06-16 15:00:00,True,,5,0,0,0,0,35,0.0,True,minute trade days 35 < required 40,600601 data quality check failed: minute trade days 35 < required 40,方正科技,2026-06-16,2026-06-12
