event_id,signal_date,code,change_type,field,old_value,new_value,reason
605218_2026-05-20,2026-05-21,605218,sample_role_changed,sample_role,v01_candidate,SENSITIVITY_MAY_COMPLETE,may_sensitivity_complete;minute_data_coverage_selection_bias
605218_2026-05-20,2026-05-21,605218,unchanged,,,,
002782_2026-05-21,2026-05-22,002782,sample_role_changed,sample_role,v01_candidate,SENSITIVITY_MAY_COMPLETE,may_sensitivity_complete;minute_data_coverage_selection_bias
002782_2026-05-21,2026-05-22,002782,unchanged,,,,
003004_2026-05-22,2026-05-22,003004,sample_role_changed,sample_role,v01_candidate,SENSITIVITY_MAY_COMPLETE,may_sensitivity_complete;minute_data_coverage_selection_bias
003004_2026-05-22,2026-05-22,003004,unchanged,,,,
600758_2026-05-20,2026-05-22,600758,sample_role_changed,sample_role,v01_candidate,SENSITIVITY_MAY_COMPLETE,may_sensitivity_complete;minute_data_coverage_selection_bias
600758_2026-05-20,2026-05-22,600758,unchanged,,,,
600903_2026-05-20,2026-05-22,600903,sample_role_changed,sample_role,v01_candidate,SENSITIVITY_MAY_COMPLETE,may_sensitivity_complete;minute_data_coverage_selection_bias
600903_2026-05-20,2026-05-22,600903,unchanged,,,,
603206_2026-05-20,2026-05-22,603206,sample_role_changed,sample_role,v01_candidate,SENSITIVITY_MAY_COMPLETE,may_sensitivity_complete;minute_data_coverage_selection_bias
603206_2026-05-20,2026-05-22,603206,unchanged,,,,
603938_2026-05-21,2026-05-22,603938,sample_role_changed,sample_role,v01_candidate,SENSITIVITY_MAY_COMPLETE,may_sensitivity_complete;minute_data_coverage_selection_bias
603938_2026-05-21,2026-05-22,603938,unchanged,,,,
605218_2026-05-20,2026-05-22,605218,sample_role_changed,sample_role,v01_candidate,SENSITIVITY_MAY_COMPLETE,may_sensitivity_complete;minute_data_coverage_selection_bias
605218_2026-05-20,2026-05-22,605218,unchanged,,,,
000012_2026-05-25,2026-05-25,000012,sample_role_changed,sample_role,v01_candidate,SENSITIVITY_MAY_COMPLETE,may_sensitivity_complete;minute_data_coverage_selection_bias
000012_2026-05-25,2026-05-25,000012,unchanged,,,,
000725_2026-05-25,2026-05-25,000725,sample_role_changed,sample_role,v01_candidate,SENSITIVITY_MAY_COMPLETE,may_sensitivity_complete;minute_data_coverage_selection_bias
000725_2026-05-25,2026-05-25,000725,unchanged,,,,
002442_2026-05-25,2026-05-25,002442,sample_role_changed,sample_role,v01_candidate,SENSITIVITY_MAY_COMPLETE,may_sensitivity_complete;minute_data_coverage_selection_bias
002442_2026-05-25,2026-05-25,002442,unchanged,,,,
002782_2026-05-21,2026-05-25,002782,sample_role_changed,sample_role,v01_candidate,SENSITIVITY_MAY_COMPLETE,may_sensitivity_complete;minute_data_coverage_selection_bias
002782_2026-05-21,2026-05-25,002782,unchanged,,,,
003004_2026-05-22,2026-05-25,003004,sample_role_changed,sample_role,v01_candidate,SENSITIVITY_MAY_COMPLETE,may_sensitivity_complete;minute_data_coverage_selection_bias
003004_2026-05-22,2026-05-25,003004,unchanged,,,,
600563_2026-05-21,2026-05-25,600563,sample_role_changed,sample_role,v01_candidate,SENSITIVITY_MAY_COMPLETE,may_sensitivity_complete;minute_data_coverage_selection_bias
600563_2026-05-21,2026-05-25,600563,unchanged,,,,
603938_2026-05-21,2026-05-25,603938,sample_role_changed,sample_role,v01_candidate,SENSITIVITY_MAY_COMPLETE,may_sensitivity_complete;minute_data_coverage_selection_bias
603938_2026-05-21,2026-05-25,603938,unchanged,,,,
000012_2026-05-25,2026-05-26,000012,sample_role_changed,sample_role,v01_candidate,SENSITIVITY_MAY_COMPLETE,may_sensitivity_complete;minute_data_coverage_selection_bias
000012_2026-05-25,2026-05-26,000012,unchanged,,,,
