event_id,code,name,signal_date,break_date,stage_group,post_day,board_streak_before_break,d1_close_to_ma5_raw,d1_close_to_ma5_bucket,d1_close_above_ma5,d1_true_reclaim_ma5,d1_close_to_ma10_raw,d1_close_above_ma10,d1_true_reclaim_ma10,d1_open_to_close_return_raw,d1_open_to_close_bucket,d1_high_to_close_drawdown_raw,d1_close_location,d1_close_to_vwap_raw,down_bar_volume_ratio,late_day_sell_volume_ratio,high_zone_volume_ratio,volume_above_d1_close_ratio,break_high_to_close_drawdown,break_close_location,break_volume_ratio_vs_board_days,break_touched_limit_up,break_opened_from_limit_up,d2_open,d3_high,d3_close,d2open_to_d3high_return,d2open_to_d3close_return,target7_d2open_d3high,tail_loss_5pct,event_observation_count,signal_date_candidate_count,proposed_training_weight,label_quality_ok,target_quality_ok,tail_label_quality_ok,training_stage_feature
603989_2026-06-26,603989,艾华集团,2026-06-30,2026-06-26,post,2.0,2,-0.0098449700124477,near_ma5,False,False,0.1200955814896203,True,False,-0.0164855751217685,minus_2_to_0pct,0.02143522833178,0.6965699208443275,0.0185553759005716,0.604900115191607,0.0802785287801219,0.120085989618747,0.132771074730151,0.0344827586206896,0.5192307692307688,2.6731934400597006,False,False,54.53,50.84,47.63,-0.0676691729323307,-0.1265358518246836,False,True,3,20,0.8704147488514558,True,True,True,stage_group
000017_2026-07-01,000017,深中华A,2026-07-01,2026-07-01,d0,,2,0.0884353741496597,plus_5_to_plus_10pct,True,False,0.1263430900333455,True,False,0.0033003300330034,zero_to_plus_2pct,0.0333863275039745,0.4324324324324327,-0.0051603206011893,0.3507339002708545,0.0926406744384059,0.1884033595778453,0.6237749349143111,0.0333863275039745,0.4324324324324327,1.1003460872909057,False,False,6.08,6.25,6.09,0.0279605263157893,0.0016447368421053,False,False,3,25,0.6963317990811646,True,True,True,stage_group
001229_2026-07-01,001229,魅视科技,2026-07-01,2026-07-01,d0,,2,0.1167543382308484,above_plus_10pct,True,False,0.2261019649495483,True,False,0.0170704845814977,zero_to_plus_2pct,0.035509138381201,0.3300492610837421,-0.0096627099347189,0.3669016629832554,0.1049736507409182,0.1823064566171985,0.9218598393706255,0.035509138381201,0.3300492610837421,2.406571033368043,False,False,36.17,38.63,35.28,0.0680121647774398,-0.024606027094277,False,False,3,25,0.6963317990811646,True,True,True,stage_group
002141_2026-06-29,002141,贤丰控股,2026-07-01,2026-06-29,post,2.0,2,-0.0744963892056251,below_minus_5pct,False,False,-0.0163603312462128,False,False,-0.058027079303675,below_minus_5pct,0.0634615384615384,0.1081081081081081,-0.0201302695480005,0.4695321498103925,0.0169100430505331,0.1511026672513972,0.868876907645453,0.1294117647058824,0.0,0.8729291877391572,False,False,4.6,5.14,5.14,0.117391304347826,0.117391304347826,True,False,3,25,0.6963317990811646,True,True,True,stage_group
002180_2026-06-30,002180,奔图科技,2026-07-01,2026-06-30,post,1.0,2,0.0634816753926701,plus_5_to_plus_10pct,True,False,0.0984925302507941,True,False,-0.0121580547112462,minus_2_to_0pct,0.0338882282996432,0.1857142857142844,-0.0120103567811035,0.4628010678464312,0.0560572330721588,0.095426899549985,0.8225310983487413,0.0132689987937273,0.6562500000000011,0.9582539811725128,False,False,16.05,17.04,16.37,0.061682242990654,0.0199376947040499,False,False,3,25,0.6963317990811646,True,True,True,stage_group
002208_2026-07-01,002208,合肥城建,2026-07-01,2026-07-01,d0,,2,0.1087935009331431,above_plus_10pct,True,False,0.1279245072310011,True,False,-0.0274434280211843,minus_5_to_minus_2pct,0.0630797773654916,0.0810810810810817,-0.0265244891148777,0.3905456818084277,0.0553711367302738,0.160848894782063,0.9333199483976368,0.0630797773654916,0.0810810810810817,1.162172382556252,False,False,19.2,19.98,19.22,0.0406250000000001,0.0010416666666666,False,False,3,25,0.6963317990811646,True,True,True,stage_group
002568_2026-06-30,002568,百润股份,2026-07-01,2026-06-30,post,1.0,2,0.0650416462518372,plus_5_to_plus_10pct,True,False,0.0728607563699179,True,False,0.0259587020648968,plus_2_to_plus_5pct,0.0169587337478802,0.7058823529411756,0.0056751513450026,0.4855624426666579,0.0950823990045569,0.4157020490967444,0.4377684191231415,0.0314825414997136,0.3209876543209901,1.2440852244018838,False,False,17.39,17.48,16.86,0.0051753881541114,-0.0304772857964348,False,False,3,25,0.6963317990811646,True,True,True,stage_group
002628_2026-07-01,002628,成都路桥,2026-07-01,2026-07-01,d0,,2,0.1047696697920912,above_plus_10pct,True,False,0.1095189355168884,True,False,0.0111940298507462,zero_to_plus_2pct,0.0163339382940108,0.6896551724137936,0.0020095134990902,0.2198266469797173,0.0306219601631978,0.4940414388059475,0.7634852486100699,0.0163339382940108,0.6896551724137936,1.4061471628068267,False,False,5.47,5.55,5.4,0.0146252285191956,-0.012797074954296,False,False,3,25,0.6963317990811646,True,True,True,stage_group
002638_2026-07-01,002638,勤上股份,2026-07-01,2026-07-01,d0,,2,0.0782865583456426,plus_5_to_plus_10pct,True,False,0.0895522388059699,True,False,-0.009049773755656,minus_2_to_0pct,0.0244988864142539,0.4761904761904745,0.0017804794977438,0.297690240182253,0.0468456818297073,0.0835098518804589,0.5066569922799955,0.0244988864142539,0.4761904761904745,2.066628468855428,False,False,4.32,4.22,4.01,-0.0231481481481482,-0.0717592592592594,False,True,3,25,0.6963317990811646,True,True,True,stage_group
003043_2026-07-01,003043,华亚智能,2026-07-01,2026-07-01,d0,,2,0.1400791602133884,above_plus_10pct,True,False,0.2077845130121691,True,False,0.0576731191378967,above_plus_5pct,0.0191542518737854,0.8210890233362148,0.0488944123733663,0.3693878469053507,0.0688470762625581,0.0973593575378107,0.0539206277298908,0.0191542518737854,0.8210890233362148,2.669925764982799,False,False,97.08,103.88,100.07,0.0700453234445817,0.0307993407498969,True,False,3,25,0.6963317990811646,True,True,True,stage_group
600228_2026-06-29,600228,返利科技,2026-07-01,2026-06-29,post,2.0,3,-0.1364011555922409,below_minus_5pct,False,False,-0.0407976163190465,False,False,-0.07,below_minus_5pct,0.0872410032715377,0.0,-0.0285323740572666,0.5713264311929164,0.0656639024516537,0.1280998250848702,1.0,0.1415332771693344,0.2222222222222217,5.271213508469204,True,True,8.12,7.42,7.21,-0.086206896551724,-0.1120689655172413,False,True,3,25,0.6963317990811646,True,True,True,stage_group
600363_2026-07-01,600363,联创光电,2026-07-01,2026-07-01,d0,,2,0.1123453824906928,above_plus_10pct,True,False,0.1112110851178693,True,False,0.017298187808896,zero_to_plus_2pct,0.0313725490196079,0.4690265486725646,0.0007030042466313,0.3782009707197246,0.0812797911741965,0.1784205619331821,0.4919841779340927,0.0313725490196079,0.4690265486725646,2.223973294831666,False,False,35.22,37.2,36.81,0.0562180579216355,0.0451448040885862,False,False,3,25,0.6963317990811646,True,True,True,stage_group
600378_2026-07-01,600378,昊华科技,2026-07-01,2026-07-01,d0,,2,0.1388881077584995,above_plus_10pct,True,False,0.176846632184576,True,False,0.0545501887775028,above_plus_5pct,0.0231548480463097,0.6857610474631748,-0.0067533471970937,0.3686099800696674,0.0538618222436068,0.7312809139044784,0.7974993784530174,0.0231548480463097,0.6857610474631748,1.416534428414623,True,False,76.81,85.8,76.01,0.1170420518161696,-0.0104153105064443,True,False,3,25,0.6963317990811646,True,True,True,stage_group
600707_2026-07-01,600707,彩虹股份,2026-07-01,2026-07-01,d0,,2,0.1395018712091884,above_plus_10pct,True,False,0.2486742558155978,True,False,0.0555887627017332,above_plus_5pct,0.0050704225352112,0.9482758620689656,0.0270475087694992,0.4032413022682091,0.0288052030961006,0.5215619418148394,0.0223984466701566,0.0050704225352112,0.9482758620689656,1.3857158858398355,False,False,16.4,16.03,15.02,-0.0225609756097558,-0.0841463414634146,False,True,3,25,0.6963317990811646,True,True,True,stage_group
600962_2026-06-29,600962,国投中鲁,2026-07-01,2026-06-29,post,2.0,2,0.0198054204308548,near_ma5,True,True,0.0872383774773106,True,False,0.0222918843608499,plus_2_to_plus_5pct,0.0637958532695374,0.4778067885117496,-0.0046291306184089,0.4068851142436958,0.0735433221995816,0.30579191868905,0.547896674590749,0.0902821316614419,0.2615384615384615,4.038377208426647,True,False,28.02,28.51,27.0,0.0174875089221984,-0.0364025695931476,False,False,3,25,0.6963317990811646,True,True,True,stage_group
601133_2026-06-30,601133,柏诚股份,2026-07-01,2026-06-30,post,1.0,2,0.0297711065675958,plus_2_to_plus_5pct,True,False,0.1581928825822371,True,False,-0.0395348837209302,minus_5_to_minus_2pct,0.0717015059563948,0.1114206128133699,-0.0248083132319868,0.68682665251054,0.1050054334942332,0.1468366752643523,0.861084136875877,0.0363238512035011,0.4812499999999993,1.9196596613630563,False,False,38.97,39.0,37.38,0.0007698229407235,-0.0408006158583524,False,False,3,25,0.6963317990811646,True,True,True,stage_group
603033_2026-07-01,603033,三维股份,2026-07-01,2026-07-01,d0,,2,0.0804672290720314,plus_5_to_plus_10pct,True,False,0.0874061173397191,True,False,0.0111336032388662,zero_to_plus_2pct,0.014792899408284,0.7692307692307688,0.0221829408592748,0.4808727594758252,0.0680725609474919,0.0329023154867412,0.0329023154867412,0.014792899408284,0.7692307692307688,1.695659613724965,False,False,10.1,10.73,9.95,0.0623762376237624,-0.0148514851485148,False,False,3,25,0.6963317990811646,True,True,True,stage_group
603061_2026-07-01,603061,金海通,2026-07-01,2026-07-01,d0,,2,0.138500922991188,above_plus_10pct,True,False,0.2860518699390908,True,False,0.0356435643564356,plus_2_to_plus_5pct,0.049090909090909,0.564234990316333,0.022156017053255,0.4903324875061605,0.0455059037129386,0.1287691893272776,0.2587602921465109,0.049090909090909,0.564234990316333,1.103883308809417,False,False,485.0,489.1,472.73,0.0084536082474226,-0.0252989690721648,False,False,3,25,0.6963317990811646,True,True,True,stage_group
603155_2026-06-30,603155,新亚强,2026-07-01,2026-06-30,post,1.0,2,0.1191322375240633,above_plus_10pct,True,False,0.2156673503036152,True,False,0.0854578096947935,above_plus_5pct,0.0245240400129073,0.7647058823529416,0.015045966657053,0.2914157101705515,0.032602232684947,0.3205663255592336,0.28336993353742,0.0660130718954249,0.5291375291375287,1.308257239808145,False,False,28.63,29.0,26.88,0.0129235068110373,-0.0611246943765281,False,True,3,25,0.6963317990811646,True,True,True,stage_group
603163_2026-06-30,603163,圣晖集成,2026-07-01,2026-06-30,post,1.0,2,0.0308245164430827,plus_2_to_plus_5pct,True,False,0.1341172393696197,True,False,-0.0270270270270269,minus_5_to_minus_2pct,0.0358218948778037,0.3123393316195381,-0.0050283576531272,0.5025272726620486,0.0769356325715044,0.1319598649729695,0.5573990436183226,0.0668789808917197,0.2758620689655172,1.2719963903359448,False,False,135.0,130.7,125.4,-0.0318518518518519,-0.071111111111111,False,True,3,25,0.6963317990811646,True,True,True,stage_group
603222_2026-07-01,603222,济民健康,2026-07-01,2026-07-01,d0,,2,0.0708742886704605,plus_5_to_plus_10pct,True,False,0.0595009596928981,True,False,-0.08,below_minus_5pct,0.08,0.2941176470588226,-0.003542282207455,0.5794958787032707,0.053186699168206,0.0,0.5151498455891593,0.08,0.2941176470588226,5.578748801023127,False,False,8.24,8.54,8.16,0.0364077669902911,-0.0097087378640776,False,False,3,25,0.6963317990811646,True,True,True,stage_group
603650_2026-06-30,603650,彤程新材,2026-07-01,2026-06-30,post,1.0,2,0.0305522128626822,plus_2_to_plus_5pct,True,False,0.1573981379517468,True,False,-0.037765293383271,minus_5_to_minus_2pct,0.0957176378568635,0.1258928571428568,-0.0307649292025454,0.5328132952371218,0.0412582808439429,0.1292402675092449,0.8456902520970624,0.0046728971962616,0.9552964042759968,1.1063934617172575,False,False,87.45,97.0,89.08,0.1092052601486563,0.0186392224128073,True,False,3,25,0.6963317990811646,True,True,True,stage_group
603928_2026-07-01,603928,兴业股份,2026-07-01,2026-07-01,d0,,3,0.090909090909091,plus_5_to_plus_10pct,True,False,0.117145073700543,True,False,-0.1138461538461538,below_minus_5pct,0.1154791154791155,0.1214953271028036,-0.0607011546737571,0.4991899053393869,0.0617787013393093,0.1698585427442661,0.9263146579863052,0.1154791154791155,0.1214953271028036,5.168537029864826,True,False,13.42,15.87,14.7,0.1825633383010432,0.0953800298062592,True,False,2,25,1.044497698621747,True,True,True,stage_group
603950_2026-07-01,603950,长源东谷,2026-07-01,2026-07-01,d0,,2,0.1108000814332248,above_plus_10pct,True,False,0.1750137959809952,True,False,-0.0133363471971067,minus_2_to_0pct,0.0599763109723269,0.2642007926023775,-0.0229239194548833,0.5090319306028667,0.0487238709584356,0.3468035950330479,0.8179207804628388,0.0599763109723269,0.2642007926023775,1.9424220387560425,True,False,82.79,86.94,83.72,0.0501268269114625,0.0112332407295565,False,False,3,25,0.6963317990811646,True,True,True,stage_group
603956_2026-06-30,603956,威派格,2026-07-01,2026-06-30,post,1.0,3,0.0279906697767411,plus_2_to_plus_5pct,True,True,0.1327336148338533,True,False,0.016474464579901,zero_to_plus_2pct,0.0434108527131783,0.4042553191489353,-0.0064181737814272,0.2413878457588828,0.0503818754720417,0.0470278249341693,0.6814243993356789,0.0843023255813953,0.1470588235294113,2.6617107084215905,False,False,6.01,6.47,6.2,0.076539101497504,0.0316139767054908,True,False,3,25,0.6963317990811646,True,True,True,stage_group
603983_2026-07-01,603983,丸美生物,2026-07-01,2026-07-01,d0,,2,0.1354954393077101,above_plus_10pct,True,False,0.2208717518860015,True,False,0.0300565770862799,plus_2_to_plus_5pct,0.0529908972691808,0.34274193548387,-0.0076412268490722,0.4002167473245328,0.0689161637557084,0.1295081154650108,0.6827754023078847,0.0529908972691808,0.34274193548387,1.4676982418371007,False,False,28.5,29.43,29.16,0.0326315789473683,0.023157894736842,False,False,3,25,0.6963317990811646,True,True,True,stage_group
000017_2026-07-01,000017,深中华A,2026-07-02,2026-07-01,post,1.0,2,0.0413051023950017,plus_2_to_plus_5pct,True,False,0.0944910616563297,True,False,-0.0131578947368421,minus_2_to_0pct,0.0536277602523659,0.1052631578947369,-0.0167489942421782,0.3516294746171648,0.0593037569550445,0.1310625830912403,0.9100989708996012,0.0333863275039745,0.4324324324324327,1.1003460872909057,False,False,6.02,6.14,6.03,0.0199335548172756,0.0016611295681063,False,False,3,39,0.44636653787254144,True,True,True,stage_group
000603_2026-07-02,000603,盛达资源,2026-07-02,2026-07-02,d0,,2,0.0710571923743499,plus_5_to_plus_10pct,True,False,0.0234329717645107,True,False,-0.07137490608565,below_minus_5pct,0.0738104158860997,0.0390243902439015,-0.0260650096622314,0.6938066868752755,0.0970481253009329,0.0,0.9544352518875304,0.0738104158860997,0.0390243902439015,3.0802765222733424,False,False,25.45,26.0,24.12,0.0216110019646365,-0.0522593320235755,False,True,3,39,0.44636653787254144,True,True,True,stage_group
000620_2026-07-02,000620,盈新发展,2026-07-02,2026-07-02,d0,,2,0.0459183673469387,plus_2_to_plus_5pct,True,False,0.1353846153846154,True,False,-0.0238095238095237,minus_5_to_minus_2pct,0.0681818181818181,0.0,-0.0221423224748382,0.3115467195402515,0.0539091802593472,0.0,1.0,0.0681818181818181,0.0,1.2197893359981828,False,False,3.68,3.85,3.46,0.046195652173913,-0.0597826086956522,False,True,3,39,0.44636653787254144,True,True,True,stage_group
001229_2026-07-01,001229,魅视科技,2026-07-02,2026-07-01,post,1.0,2,0.078826237054085,plus_5_to_plus_10pct,True,False,0.204432310904127,True,False,0.0367708045341441,plus_2_to_plus_5pct,0.0496705524581855,0.4285714285714282,-0.0063569575566696,0.3705743193466066,0.0813859434797217,0.1111644349594733,0.7166652322305106,0.035509138381201,0.3300492610837421,2.406571033368043,False,False,37.51,36.16,35.29,-0.0359904025593175,-0.0591842175419887,False,True,3,39,0.44636653787254144,True,True,True,stage_group
001331_2026-07-02,001331,胜通能源,2026-07-02,2026-07-02,d0,,2,0.0231538384878582,plus_2_to_plus_5pct,True,True,0.0093231308679195,True,True,-0.0229976209357651,minus_5_to_minus_2pct,0.0635451505016722,0.27681660899654,-0.0250990480734908,0.5352327624216628,0.0973457757783099,0.3890663052559988,0.734797036737736,0.0635451505016722,0.27681660899654,1.1414119461372887,False,False,62.99,66.34,66.17,0.0531830449277663,0.0504842038418795,False,False,2,39,0.669549806808812,True,True,True,stage_group
002053_2026-07-02,002053,云南能投,2026-07-02,2026-07-02,d0,,2,0.0193467859371749,near_ma5,True,False,0.0284395004722426,True,False,-0.0841121495327101,below_minus_5pct,0.109090909090909,0.047619047619048,-0.0359826928899706,0.7101725540564509,0.0543888240620983,0.1641938195677169,0.9301151685391038,0.109090909090909,0.047619047619048,2.010601588924309,False,False,9.8,10.1,9.55,0.0306122448979591,-0.0255102040816326,False,False,2,39,0.669549806808812,True,True,True,stage_group
