event_id,code,signal_date,sample_role,d1_bar_count,d2_bar_count,d3_bar_count,d1_first_bar_time,d2_first_bar_time,d3_first_bar_time,d1_last_bar_time,d2_last_bar_time,d3_last_bar_time,d1_expected_bar_count,d2_expected_bar_count,d3_expected_bar_count,d1_minute_complete,d2_minute_complete,d3_minute_complete,d2_daily_minute_open_diff,d3_daily_minute_high_diff,d3_daily_minute_close_diff,expected_d2_date,actual_d2_date,expected_d3_date,actual_d3_date,d2_date_shift_reason,d3_date_shift_reason,suspension_proof_status,label_quality_ok,label_quality_reason,target_quality_ok,tail_label_quality_ok,section,value
603757_2026-06-24,603757,2026-06-26,TRAIN_PRIMARY,48.0,48.0,48.0,09:35,09:35,09:35,15:00,15:00,15:00,48.0,48.0,48.0,True,True,True,0.0,0.0,0.0,2026-06-29,2026-06-29,2026-06-30,2026-06-30,none,none,not_applicable,True,ok,True,True,per_row,
603929_2026-06-26,603929,2026-06-26,TRAIN_PRIMARY,48.0,48.0,48.0,09:35,09:35,09:35,15:00,15:00,15:00,48.0,48.0,48.0,True,True,True,0.0,0.0,0.0,2026-06-29,2026-06-29,2026-06-30,2026-06-30,none,none,not_applicable,True,ok,True,True,per_row,
603938_2026-06-25,603938,2026-06-26,TRAIN_PRIMARY,48.0,48.0,48.0,09:35,09:35,09:35,15:00,15:00,15:00,48.0,48.0,48.0,True,True,True,0.0,,,2026-06-29,2026-06-29,2026-06-30,2026-06-30,none,none,not_applicable,True,ok,True,True,per_row,
603989_2026-06-26,603989,2026-06-26,TRAIN_PRIMARY,48.0,48.0,48.0,09:35,09:35,09:35,15:00,15:00,15:00,48.0,48.0,48.0,True,True,True,0.0,0.0,0.0,2026-06-29,2026-06-29,2026-06-30,2026-06-30,none,none,not_applicable,True,ok,True,True,per_row,
605069_2026-06-25,605069,2026-06-26,TRAIN_PRIMARY,48.0,48.0,48.0,09:35,09:35,09:35,15:00,15:00,15:00,48.0,48.0,48.0,True,True,True,0.0,0.0,0.0,2026-06-29,2026-06-29,2026-06-30,2026-06-30,none,none,not_applicable,True,ok,True,True,per_row,
605377_2026-06-24,605377,2026-06-26,TRAIN_PRIMARY,48.0,48.0,48.0,09:35,09:35,09:35,15:00,15:00,15:00,48.0,48.0,48.0,True,True,True,0.0,0.0,0.0,2026-06-29,2026-06-29,2026-06-30,2026-06-30,none,none,not_applicable,True,ok,True,True,per_row,
605580_2026-06-24,605580,2026-06-26,TRAIN_PRIMARY,48.0,48.0,48.0,09:35,09:35,09:35,15:00,15:00,15:00,48.0,48.0,48.0,True,True,True,0.0,,,2026-06-29,2026-06-29,2026-06-30,2026-06-30,none,none,not_applicable,True,ok,True,True,per_row,
000818_2026-06-26,000818,2026-06-29,TRAIN_PRIMARY,48.0,48.0,48.0,09:35,09:35,09:35,15:00,15:00,15:00,48.0,48.0,48.0,True,True,True,0.0,0.0,0.0,2026-06-30,2026-06-30,2026-07-01,2026-07-01,none,none,not_applicable,True,ok,True,True,per_row,
000823_2026-06-29,000823,2026-06-29,TRAIN_PRIMARY,48.0,48.0,48.0,09:35,09:35,09:35,15:00,15:00,15:00,48.0,48.0,48.0,True,True,True,0.0,,,2026-06-30,2026-06-30,2026-07-01,2026-07-01,none,none,not_applicable,True,ok,True,True,per_row,
002025_2026-06-26,002025,2026-06-29,TRAIN_PRIMARY,48.0,48.0,48.0,09:35,09:35,09:35,15:00,15:00,15:00,48.0,48.0,48.0,True,True,True,0.0,0.0,0.0,2026-06-30,2026-06-30,2026-07-01,2026-07-01,none,none,not_applicable,True,ok,True,True,per_row,
002080_2026-06-26,002080,2026-06-29,TRAIN_PRIMARY,48.0,48.0,48.0,09:35,09:35,09:35,15:00,15:00,15:00,48.0,48.0,48.0,True,True,True,0.0,0.0,0.0,2026-06-30,2026-06-30,2026-07-01,2026-07-01,none,none,not_applicable,True,ok,True,True,per_row,
002141_2026-06-29,002141,2026-06-29,TRAIN_PRIMARY,48.0,48.0,48.0,09:35,09:35,09:35,15:00,15:00,15:00,48.0,48.0,48.0,True,True,True,0.0,0.0,0.0,2026-06-30,2026-06-30,2026-07-01,2026-07-01,none,none,not_applicable,True,ok,True,True,per_row,
002254_2026-06-26,002254,2026-06-29,TRAIN_PRIMARY,48.0,48.0,48.0,09:35,09:35,09:35,15:00,15:00,15:00,48.0,48.0,48.0,True,True,True,,,,2026-06-30,2026-06-30,2026-07-01,2026-07-01,none,none,not_applicable,True,ok,True,True,per_row,
002580_2026-06-25,002580,2026-06-29,TRAIN_PRIMARY,48.0,48.0,48.0,09:35,09:35,09:35,15:00,15:00,15:00,48.0,48.0,48.0,True,True,True,0.0,0.0,0.0,2026-06-30,2026-06-30,2026-07-01,2026-07-01,none,none,not_applicable,True,ok,True,True,per_row,
002584_2026-06-25,002584,2026-06-29,TRAIN_PRIMARY,48.0,48.0,48.0,09:35,09:35,09:35,15:00,15:00,15:00,48.0,48.0,48.0,True,True,True,0.0,0.0,0.0,2026-06-30,2026-06-30,2026-07-01,2026-07-01,none,none,not_applicable,True,ok,True,True,per_row,
002631_2026-06-25,002631,2026-06-29,TRAIN_PRIMARY,48.0,48.0,48.0,09:35,09:35,09:35,15:00,15:00,15:00,48.0,48.0,48.0,True,True,True,0.0,0.0,0.0,2026-06-30,2026-06-30,2026-07-01,2026-07-01,none,none,not_applicable,True,ok,True,True,per_row,
002965_2026-06-29,002965,2026-06-29,TRAIN_PRIMARY,48.0,48.0,48.0,09:35,09:35,09:35,15:00,15:00,15:00,48.0,48.0,48.0,True,True,True,0.0,,,2026-06-30,2026-06-30,2026-07-01,2026-07-01,none,none,not_applicable,True,ok,True,True,per_row,
002990_2026-06-26,002990,2026-06-29,TRAIN_PRIMARY,48.0,48.0,48.0,09:35,09:35,09:35,15:00,15:00,15:00,48.0,48.0,48.0,True,True,True,,,,2026-06-30,2026-06-30,2026-07-01,2026-07-01,none,none,not_applicable,True,ok,True,True,per_row,
600141_2026-06-26,600141,2026-06-29,TRAIN_PRIMARY,48.0,48.0,48.0,09:35,09:35,09:35,15:00,15:00,15:00,48.0,48.0,48.0,True,True,True,,,,2026-06-30,2026-06-30,2026-07-01,2026-07-01,none,none,not_applicable,True,ok,True,True,per_row,
600228_2026-06-29,600228,2026-06-29,TRAIN_PRIMARY,48.0,48.0,48.0,09:35,09:35,09:35,15:00,15:00,15:00,48.0,48.0,48.0,True,True,True,0.0,0.0,0.0,2026-06-30,2026-06-30,2026-07-01,2026-07-01,none,none,not_applicable,True,ok,True,True,per_row,
600379_2026-06-25,600379,2026-06-29,TRAIN_PRIMARY,48.0,48.0,48.0,09:35,09:35,09:35,15:00,15:00,15:00,48.0,48.0,48.0,True,True,True,0.0,0.0,0.0,2026-06-30,2026-06-30,2026-07-01,2026-07-01,none,none,not_applicable,True,ok,True,True,per_row,
600584_2026-06-26,600584,2026-06-29,TRAIN_PRIMARY,48.0,48.0,48.0,09:35,09:35,09:35,15:00,15:00,15:00,48.0,48.0,48.0,True,True,True,0.0,0.0,0.0,2026-06-30,2026-06-30,2026-07-01,2026-07-01,none,none,not_applicable,True,ok,True,True,per_row,
