event_id,code,name,signal_date,break_date,board_streak_before_break,days_since_break,candidate_status,exclusion_reason,data_quality_reason,v01_candidate_status,sample_role_v02
600392_2026-04-30,600392,盛和资源,2026-05-06,2026-04-30,1,1,EXCLUDED,not_two_or_three_board,"断板前连板长度 1 不在 {2,3}",EXCLUDED,EXCLUDED_QUALITY
600397_2026-04-30,600397,江钨装备,2026-05-06,2026-04-30,1,1,EXCLUDED,not_two_or_three_board,"断板前连板长度 1 不在 {2,3}",EXCLUDED,EXCLUDED_QUALITY
600400_2026-05-06,600400,红豆股份,2026-05-06,2026-05-06,1,0,EXCLUDED,not_two_or_three_board,"断板前连板长度 1 不在 {2,3}",EXCLUDED,EXCLUDED_QUALITY
600488_2026-04-29,600488,津药药业,2026-05-06,2026-04-29,1,2,EXCLUDED,not_two_or_three_board,"断板前连板长度 1 不在 {2,3}",EXCLUDED,EXCLUDED_QUALITY
600540_2026-05-06,600540,新赛股份,2026-05-06,2026-05-06,1,0,EXCLUDED,not_two_or_three_board,"断板前连板长度 1 不在 {2,3}",EXCLUDED,EXCLUDED_QUALITY
600545_2026-04-30,600545,卓郎智能,2026-05-06,2026-04-30,1,1,EXCLUDED,not_two_or_three_board,"断板前连板长度 1 不在 {2,3}",EXCLUDED,EXCLUDED_QUALITY
600708_2026-04-30,600708,光明地产,2026-05-06,2026-04-30,1,1,EXCLUDED,not_two_or_three_board,"断板前连板长度 1 不在 {2,3}",EXCLUDED,EXCLUDED_QUALITY
600714_2026-05-06,600714,金瑞矿业,2026-05-06,2026-05-06,2,0,CANDIDATE,,,CANDIDATE,SENSITIVITY_MAY_COMPLETE
600726_2026-04-29,600726,华电能源,2026-05-06,2026-04-29,4,2,EXCLUDED,not_two_or_three_board,"断板前连板长度 4 不在 {2,3}",EXCLUDED,EXCLUDED_QUALITY
600744_2026-04-29,600744,华银电力,2026-05-06,2026-04-29,1,2,EXCLUDED,not_two_or_three_board,"断板前连板长度 1 不在 {2,3}",EXCLUDED,EXCLUDED_QUALITY
600770_2026-04-29,600770,综艺股份,2026-05-06,2026-04-29,1,2,EXCLUDED,not_two_or_three_board,"断板前连板长度 1 不在 {2,3}",EXCLUDED,EXCLUDED_QUALITY
600881_2026-04-30,600881,亚泰集团,2026-05-06,2026-04-30,1,1,EXCLUDED,not_two_or_three_board,"断板前连板长度 1 不在 {2,3}",EXCLUDED,EXCLUDED_QUALITY
601086_2026-05-06,601086,国芳集团,2026-05-06,2026-05-06,1,0,EXCLUDED,not_two_or_three_board,"断板前连板长度 1 不在 {2,3}",EXCLUDED,EXCLUDED_QUALITY
601101_2026-04-29,601101,昊华能源,2026-05-06,2026-04-29,1,2,EXCLUDED,not_two_or_three_board,"断板前连板长度 1 不在 {2,3}",EXCLUDED,EXCLUDED_QUALITY
601177_2026-04-29,601177,杭齿前进,2026-05-06,2026-04-29,1,2,EXCLUDED,not_two_or_three_board,"断板前连板长度 1 不在 {2,3}",EXCLUDED,EXCLUDED_QUALITY
601233_2026-04-30,601233,桐昆股份,2026-05-06,2026-04-30,1,1,EXCLUDED,not_two_or_three_board,"断板前连板长度 1 不在 {2,3}",EXCLUDED,EXCLUDED_QUALITY
601588_2026-05-06,601588,北辰实业,2026-05-06,2026-05-06,1,0,EXCLUDED,not_two_or_three_board,"断板前连板长度 1 不在 {2,3}",EXCLUDED,EXCLUDED_QUALITY
601789_2026-04-29,601789,宁波建工,2026-05-06,2026-04-29,1,2,EXCLUDED,not_two_or_three_board,"断板前连板长度 1 不在 {2,3}",EXCLUDED,EXCLUDED_QUALITY
603013_2026-04-30,603013,亚普股份,2026-05-06,2026-04-30,1,1,EXCLUDED,not_two_or_three_board,"断板前连板长度 1 不在 {2,3}",EXCLUDED,EXCLUDED_QUALITY
603026_2026-04-30,603026,石大胜华,2026-05-06,2026-04-30,1,1,EXCLUDED,not_two_or_three_board,"断板前连板长度 1 不在 {2,3}",EXCLUDED,EXCLUDED_QUALITY
603083_2026-04-30,603083,剑桥科技,2026-05-06,2026-04-30,1,1,EXCLUDED,not_two_or_three_board,"断板前连板长度 1 不在 {2,3}",EXCLUDED,EXCLUDED_QUALITY
603095_2026-05-06,603095,越剑智能,2026-05-06,2026-05-06,4,0,EXCLUDED,not_two_or_three_board,"断板前连板长度 4 不在 {2,3}",EXCLUDED,EXCLUDED_QUALITY
603139_2026-04-30,603139,康惠股份,2026-05-06,2026-04-30,1,1,EXCLUDED,not_two_or_three_board,"断板前连板长度 1 不在 {2,3}",EXCLUDED,EXCLUDED_QUALITY
603178_2026-05-06,603178,圣龙股份,2026-05-06,2026-05-06,1,0,EXCLUDED,not_two_or_three_board,"断板前连板长度 1 不在 {2,3}",EXCLUDED,EXCLUDED_QUALITY
603256_2026-04-30,603256,宏和科技,2026-05-06,2026-04-30,1,1,EXCLUDED,not_two_or_three_board,"断板前连板长度 1 不在 {2,3}",EXCLUDED,EXCLUDED_QUALITY
