row_count,independent_event_count,target7_count,target7_rate,tail_loss_count,tail_loss_rate,avg_d3_close_return,median_d3_close_return,label_quality_failure_count,dimension,dimension_value
14,14,4,0.2857142857142857,8,0.5714285714285714,-0.03139596573645694,-0.0568414512251128,0,signal_date,2026-06-08
14,14,1,0.07142857142857142,8,0.5714285714285714,-0.05564555828104594,-0.05750736058955235,0,signal_date,2026-06-09
19,19,6,0.3157894736842105,7,0.3684210526315789,-0.014016153098314055,-0.0262773722627737,0,signal_date,2026-06-10
24,24,5,0.20833333333333334,4,0.16666666666666666,0.015123753577471581,0.0109721243442173,0,signal_date,2026-06-11
24,24,15,0.625,1,0.041666666666666664,0.05704900542385272,0.036835401387132996,0,signal_date,2026-06-12
18,18,10,0.5555555555555556,1,0.05555555555555555,0.052043834474757744,0.060964940982476803,0,signal_date,2026-06-15
17,17,7,0.4117647058823529,4,0.23529411764705882,0.01395393031363477,0.0,0,signal_date,2026-06-16
27,27,16,0.5925925925925926,2,0.07407407407407407,0.05684403541327619,0.0681188118811881,0,signal_date,2026-06-17
38,38,11,0.2894736842105263,13,0.34210526315789475,-0.022441691080968,-0.030639004147433202,0,signal_date,2026-06-18
35,35,7,0.2,14,0.4,-0.01142033705355332,-0.0213043478260869,0,signal_date,2026-06-22
34,34,20,0.5882352941176471,5,0.14705882352941177,0.05389121182506321,0.05230482902949225,0,signal_date,2026-06-23
32,32,11,0.34375,14,0.4375,-0.012342594330142932,-0.032459640432948,0,signal_date,2026-06-24
35,35,5,0.14285714285714285,21,0.6,-0.04433645598124155,-0.0574596774193548,0,signal_date,2026-06-25
36,36,10,0.2777777777777778,10,0.2777777777777778,0.014665400850002203,0.0053402528205402505,0,signal_date,2026-06-26
23,23,12,0.5217391304347826,2,0.08695652173913043,0.028137240529049378,0.0282714054927302,0,signal_date,2026-06-29
20,20,3,0.15,10,0.5,-0.05174287793599382,-0.0469742990654205,0,signal_date,2026-06-30
25,25,6,0.24,5,0.2,-0.00838338143300708,-0.0104153105064443,0,signal_date,2026-07-01
39,39,6,0.15384615384615385,19,0.48717948717948717,-0.03416217537356133,-0.042458100558659,0,signal_date,2026-07-02
43,43,6,0.13953488372093023,23,0.5348837209302325,-0.0471911672361385,-0.0524126455906822,0,signal_date,2026-07-03
37,37,3,0.08108108108108109,27,0.7297297297297297,-0.05936919188442349,-0.0790629575402636,1,signal_date,2026-07-06
20,20,2,0.1,8,0.4,-0.04250497403426721,-0.04296177624108895,0,signal_date,2026-07-07
16,16,6,0.375,2,0.125,0.01925051041647633,0.021590079022511498,0,signal_date,2026-07-08
13,13,2,0.15384615384615385,5,0.38461538461538464,-0.04086569789476309,-0.020480854853072,0,signal_date,2026-07-09
11,11,1,0.09090909090909091,4,0.36363636363636365,-0.015171952447968401,-0.0253164556962025,0,signal_date,2026-07-10
12,12,1,0.08333333333333333,6,0.5,-0.059837460709299496,-0.0462990196078431,0,signal_date,2026-07-13
16,16,6,0.375,3,0.1875,0.00488106135656107,-0.00476711193257805,0,signal_date,2026-07-14
13,13,4,0.3076923076923077,6,0.46153846153846156,-0.0012978246350499904,-0.0377833753148614,0,signal_date,2026-07-15
21,21,7,0.3333333333333333,10,0.47619047619047616,-0.02112689839413325,-0.0354445090063916,0,signal_date,2026-07-16
17,17,3,0.17647058823529413,5,0.29411764705882354,-0.020506802314626732,-0.039855072463768,0,signal_date,2026-07-17
19,19,11,0.5789473684210527,2,0.10526315789473684,0.02080446149837436,0.0246305418719212,1,signal_date,2026-07-20
15,15,11,0.7333333333333333,0,0.0,0.07680370278038043,0.0631741140215715,0,signal_date,2026-07-21
8,8,4,0.5,4,0.5,-0.02927664455511569,-0.051461496098174395,0,signal_date,2026-07-22
9,9,0,0.0,1,0.1111111111111111,-0.012738042469973634,-0.0247678018575852,0,signal_date,2026-07-23
13,13,7,0.5384615384615384,1,0.07692307692307693,0.060298734568177595,0.0283896231032796,0,signal_date,2026-07-24
21,21,6,0.2857142857142857,3,0.14285714285714285,0.02488795122086203,0.0119791666666666,0,signal_date,2026-07-27
18,18,10,0.5555555555555556,3,0.16666666666666666,0.019146391627101342,0.020165332346609298,0,signal_date,2026-07-28
15,15,2,0.13333333333333333,3,0.2,-0.007302535276681951,-0.0032128514056224,0,signal_date,2026-07-29
382,382,119,0.31151832460732987,104,0.27225130890052357,-0.0011945612463471272,-0.009884550018557849,1,stage_group,d0
638,377,185,0.28996865203761757,221,0.3463949843260188,-0.008409169869125759,-0.0201860886277118,1,stage_group,post
