event_id,code,name,signal_date,break_date,stage_group,post_day,expected_d2_date,expected_d3_date,actual_daily_d2_date,actual_daily_d3_date,daily_label_quality_reason,d2_daily_date_shift_reason,d3_daily_date_shift_reason,suspension_proof_status_daily,audit_minute_d2_open,audit_minute_d3_high,audit_minute_d3_close,audit_minute_target7,audit_minute_tail_loss,v004a_probability,v004a_rank,is_v004a_top15,v004a_score_source,sample_role,sample_role_v021,missing_type,month
603938_2026-06-25,603938,三孚股份,2026-06-26,2026-06-25,post,1.0,2026-06-29,2026-06-30,2026-06-29,,d3_high_invalid|d3_close_invalid,none,no_bar_after_d2,not_applicable,76.49,73.97,71.65,False,True,0.4835033746902837,18.0,False,holdout_0626_frozen,TRAIN_PRIMARY,EXCLUDED_QUALITY,D3_MISSING,2026-06
605580_2026-06-24,605580,恒盛能源,2026-06-26,2026-06-24,post,2.0,2026-06-29,2026-06-30,2026-06-29,,d3_high_invalid|d3_close_invalid,none,no_bar_after_d2,not_applicable,28.36,28.24,27.61,False,False,0.4175835328396871,113.0,False,holdout_0626_frozen,TRAIN_PRIMARY,EXCLUDED_QUALITY,D3_MISSING,2026-06
000823_2026-06-29,000823,超声电子,2026-06-29,2026-06-29,d0,,2026-06-30,2026-07-01,2026-06-30,,d3_high_invalid|d3_close_invalid,none,no_bar_after_d2,not_applicable,25.83,28.22,26.0,True,False,,,False,,TRAIN_PRIMARY,EXCLUDED_QUALITY,D3_MISSING,2026-06
002254_2026-06-26,002254,泰和新材,2026-06-29,2026-06-26,post,1.0,2026-06-30,2026-07-01,,,d2_no_bar_without_proof(exp=2026-06-30)|d3_no_bar_without_proof(exp=2026-07-01)|d2_open_invalid|d3_high_invalid|d3_close_invalid,no_bar_without_proof,no_bar_without_proof,not_proven,18.06,18.39,17.29,False,False,,,False,,TRAIN_PRIMARY,EXCLUDED_QUALITY,D2_AND_D3_MISSING,2026-06
002965_2026-06-29,002965,祥鑫科技,2026-06-29,2026-06-29,d0,,2026-06-30,2026-07-01,2026-06-30,,d3_high_invalid|d3_close_invalid,none,no_bar_after_d2,not_applicable,49.52,54.51,50.92,True,False,,,False,,TRAIN_PRIMARY,EXCLUDED_QUALITY,D3_MISSING,2026-06
002990_2026-06-26,002990,盛视科技,2026-06-29,2026-06-26,post,1.0,2026-06-30,2026-07-01,,,d2_no_bar_without_proof(exp=2026-06-30)|d3_no_bar_without_proof(exp=2026-07-01)|d2_open_invalid|d3_high_invalid|d3_close_invalid,no_bar_without_proof,no_bar_without_proof,not_proven,75.11,81.03,78.3,True,False,,,False,,TRAIN_PRIMARY,EXCLUDED_QUALITY,D2_AND_D3_MISSING,2026-06
600141_2026-06-26,600141,兴发集团,2026-06-29,2026-06-26,post,1.0,2026-06-30,2026-07-01,,,d2_no_bar_without_proof(exp=2026-06-30)|d3_no_bar_without_proof(exp=2026-07-01)|d2_open_invalid|d3_high_invalid|d3_close_invalid,no_bar_without_proof,no_bar_without_proof,not_proven,46.5,49.37,45.67,False,False,,,False,,TRAIN_PRIMARY,EXCLUDED_QUALITY,D2_AND_D3_MISSING,2026-06
000823_2026-06-29,000823,超声电子,2026-06-30,2026-06-29,post,1.0,2026-07-01,2026-07-02,,,d2_no_bar_without_proof(exp=2026-07-01)|d3_no_bar_without_proof(exp=2026-07-02)|d2_open_invalid|d3_high_invalid|d3_close_invalid,no_bar_without_proof,no_bar_without_proof,not_proven,25.65,24.92,23.4,False,True,,,False,,TRAIN_PRIMARY,EXCLUDED_QUALITY,D2_AND_D3_MISSING,2026-06
002965_2026-06-29,002965,祥鑫科技,2026-06-30,2026-06-29,post,1.0,2026-07-01,2026-07-02,,,d2_no_bar_without_proof(exp=2026-07-01)|d3_no_bar_without_proof(exp=2026-07-02)|d2_open_invalid|d3_high_invalid|d3_close_invalid,no_bar_without_proof,no_bar_without_proof,not_proven,53.5,52.57,51.18,False,False,,,False,,TRAIN_PRIMARY,EXCLUDED_QUALITY,D2_AND_D3_MISSING,2026-06
001331_2026-07-02,001331,胜通能源,2026-07-02,2026-07-02,d0,,2026-07-03,2026-07-06,2026-07-03,,d3_high_invalid|d3_close_invalid,none,no_bar_after_d2,not_applicable,62.99,66.34,66.17,False,False,0.4125910803539047,114.0,False,daily_v005_frozen,TRAIN_PRIMARY,EXCLUDED_QUALITY,D3_MISSING,2026-07
002053_2026-07-02,002053,云南能投,2026-07-02,2026-07-02,d0,,2026-07-03,2026-07-06,2026-07-03,,d3_high_invalid|d3_close_invalid,none,no_bar_after_d2,not_applicable,9.8,10.1,9.55,False,False,0.4270498062782862,87.0,False,daily_v005_frozen,TRAIN_PRIMARY,EXCLUDED_QUALITY,D3_MISSING,2026-07
002180_2026-06-30,002180,奔图科技,2026-07-02,2026-06-30,post,2.0,2026-07-03,2026-07-06,2026-07-03,,d3_high_invalid|d3_close_invalid,none,no_bar_after_d2,not_applicable,16.38,16.88,16.47,False,False,0.4360708011725638,72.0,False,daily_v005_frozen,TRAIN_PRIMARY,EXCLUDED_QUALITY,D3_MISSING,2026-07
002638_2026-07-01,002638,勤上股份,2026-07-02,2026-07-01,post,1.0,2026-07-03,2026-07-06,2026-07-03,,d3_high_invalid|d3_close_invalid,none,no_bar_after_d2,not_applicable,4.18,4.1,3.9,False,True,0.4055562080753052,139.0,False,daily_v005_frozen,TRAIN_PRIMARY,EXCLUDED_QUALITY,D3_MISSING,2026-07
002738_2026-07-02,002738,中矿资源,2026-07-02,2026-07-02,d0,,2026-07-03,2026-07-06,2026-07-03,,d3_high_invalid|d3_close_invalid,none,no_bar_after_d2,not_applicable,66.05,68.18,63.47,False,False,0.4486546516465348,55.0,False,daily_v005_frozen,TRAIN_PRIMARY,EXCLUDED_QUALITY,D3_MISSING,2026-07
003043_2026-07-01,003043,华亚智能,2026-07-02,2026-07-01,post,1.0,2026-07-03,2026-07-06,2026-07-03,,d3_high_invalid|d3_close_invalid,none,no_bar_after_d2,not_applicable,102.0,100.87,93.86,False,True,0.4844423006218208,11.0,True,daily_v005_frozen,TRAIN_PRIMARY,EXCLUDED_QUALITY,D3_MISSING,2026-07
600363_2026-07-01,600363,联创光电,2026-07-02,2026-07-01,post,1.0,2026-07-03,2026-07-06,2026-07-03,,d3_high_invalid|d3_close_invalid,none,no_bar_after_d2,not_applicable,35.8,37.18,34.28,False,False,0.4641816513510432,30.0,False,daily_v005_frozen,TRAIN_PRIMARY,EXCLUDED_QUALITY,D3_MISSING,2026-07
600378_2026-07-01,600378,昊华科技,2026-07-02,2026-07-01,post,1.0,2026-07-03,2026-07-06,2026-07-03,,d3_high_invalid|d3_close_invalid,none,no_bar_after_d2,not_applicable,82.0,79.8,68.41,False,True,0.4729592342733184,23.0,False,daily_v005_frozen,TRAIN_PRIMARY,EXCLUDED_QUALITY,D3_MISSING,2026-07
600707_2026-07-01,600707,彩虹股份,2026-07-02,2026-07-01,post,1.0,2026-07-03,2026-07-06,2026-07-03,,d3_high_invalid|d3_close_invalid,none,no_bar_after_d2,not_applicable,15.8,15.0,13.52,False,True,0.4850480801169036,10.0,True,daily_v005_frozen,TRAIN_PRIMARY,EXCLUDED_QUALITY,D3_MISSING,2026-07
600783_2026-07-02,600783,鲁信创投,2026-07-02,2026-07-02,d0,,2026-07-03,2026-07-06,2026-07-03,,d3_high_invalid|d3_close_invalid,none,no_bar_after_d2,not_applicable,21.53,22.37,20.05,False,True,0.4528107747883345,51.0,False,daily_v005_frozen,TRAIN_PRIMARY,EXCLUDED_QUALITY,D3_MISSING,2026-07
601133_2026-06-30,601133,柏诚股份,2026-07-02,2026-06-30,post,2.0,2026-07-03,2026-07-06,2026-07-03,,d3_high_invalid|d3_close_invalid,none,no_bar_after_d2,not_applicable,37.95,38.09,35.9,False,True,0.4260769669575411,90.0,False,daily_v005_frozen,TRAIN_PRIMARY,EXCLUDED_QUALITY,D3_MISSING,2026-07
