event_id,code,name,signal_date,break_date,stage_group,post_day,expected_d2_date,expected_d3_date,actual_daily_d2_date,actual_daily_d3_date,daily_label_quality_reason,d2_daily_date_shift_reason,d3_daily_date_shift_reason,suspension_proof_status_daily,audit_minute_d2_open,audit_minute_d3_high,audit_minute_d3_close,audit_minute_target7,audit_minute_tail_loss,v004a_probability,v004a_rank,is_v004a_top15,v004a_score_source,sample_role,sample_role_v021,missing_type,month
002458_2026-07-03,002458,益生股份,2026-07-03,2026-07-03,d0,,2026-07-06,2026-07-07,2026-07-06,,d3_high_invalid|d3_close_invalid,none,no_bar_after_d2,not_applicable,9.0,9.22,8.67,False,False,0.4739604136163403,15.0,True,daily_v005_frozen,TRAIN_PRIMARY,EXCLUDED_QUALITY,D3_MISSING,2026-07
002559_2026-07-03,002559,亚威股份,2026-07-03,2026-07-03,d0,,2026-07-06,2026-07-07,2026-07-06,,d3_high_invalid|d3_close_invalid,none,no_bar_after_d2,not_applicable,14.32,13.79,13.15,False,True,0.4990153277611754,1.0,True,daily_v005_frozen,TRAIN_PRIMARY,EXCLUDED_QUALITY,D3_MISSING,2026-07
002638_2026-07-01,002638,勤上股份,2026-07-03,2026-07-01,post,2.0,2026-07-06,2026-07-07,,,d2_no_bar_without_proof(exp=2026-07-06)|d3_no_bar_without_proof(exp=2026-07-07)|d2_open_invalid|d3_high_invalid|d3_close_invalid,no_bar_without_proof,no_bar_without_proof,not_proven,4.06,3.96,3.87,False,False,0.383641461464919,164.0,False,daily_v005_frozen,TRAIN_PRIMARY,EXCLUDED_QUALITY,D2_AND_D3_MISSING,2026-07
002738_2026-07-02,002738,中矿资源,2026-07-03,2026-07-02,post,1.0,2026-07-06,2026-07-07,,,d2_no_bar_without_proof(exp=2026-07-06)|d3_no_bar_without_proof(exp=2026-07-07)|d2_open_invalid|d3_high_invalid|d3_close_invalid,no_bar_without_proof,no_bar_without_proof,not_proven,64.69,65.9,61.05,False,True,0.4423251447715982,55.0,False,daily_v005_frozen,TRAIN_PRIMARY,EXCLUDED_QUALITY,D2_AND_D3_MISSING,2026-07
002826_2026-07-03,002826,易明医药,2026-07-03,2026-07-03,d0,,2026-07-06,2026-07-07,2026-07-06,,d3_high_invalid|d3_close_invalid,none,no_bar_after_d2,not_applicable,17.92,18.49,17.23,False,False,0.4861438537942519,7.0,True,daily_v005_frozen,TRAIN_PRIMARY,EXCLUDED_QUALITY,D3_MISSING,2026-07
002971_2026-07-03,002971,和远气体,2026-07-03,2026-07-03,d0,,2026-07-06,2026-07-07,2026-07-06,,d3_high_invalid|d3_close_invalid,none,no_bar_after_d2,not_applicable,69.14,64.51,60.94,False,True,0.4278145812226229,85.0,False,daily_v005_frozen,TRAIN_PRIMARY,EXCLUDED_QUALITY,D3_MISSING,2026-07
003043_2026-07-01,003043,华亚智能,2026-07-03,2026-07-01,post,2.0,2026-07-06,2026-07-07,,,d2_no_bar_without_proof(exp=2026-07-06)|d3_no_bar_without_proof(exp=2026-07-07)|d2_open_invalid|d3_high_invalid|d3_close_invalid,no_bar_without_proof,no_bar_without_proof,not_proven,99.45,100.58,96.73,False,False,0.4414628240902385,59.0,False,daily_v005_frozen,TRAIN_PRIMARY,EXCLUDED_QUALITY,D2_AND_D3_MISSING,2026-07
600363_2026-07-01,600363,联创光电,2026-07-03,2026-07-01,post,2.0,2026-07-06,2026-07-07,,,d2_no_bar_without_proof(exp=2026-07-06)|d3_no_bar_without_proof(exp=2026-07-07)|d2_open_invalid|d3_high_invalid|d3_close_invalid,no_bar_without_proof,no_bar_without_proof,not_proven,37.11,34.58,33.04,False,True,0.4573982599844978,31.0,False,daily_v005_frozen,TRAIN_PRIMARY,EXCLUDED_QUALITY,D2_AND_D3_MISSING,2026-07
600378_2026-07-01,600378,昊华科技,2026-07-03,2026-07-01,post,2.0,2026-07-06,2026-07-07,,,d2_no_bar_without_proof(exp=2026-07-06)|d3_no_bar_without_proof(exp=2026-07-07)|d2_open_invalid|d3_high_invalid|d3_close_invalid,no_bar_without_proof,no_bar_without_proof,not_proven,76.88,68.41,65.57,False,True,0.442322449980466,56.0,False,daily_v005_frozen,TRAIN_PRIMARY,EXCLUDED_QUALITY,D2_AND_D3_MISSING,2026-07
600707_2026-07-01,600707,彩虹股份,2026-07-03,2026-07-01,post,2.0,2026-07-06,2026-07-07,,,d2_no_bar_without_proof(exp=2026-07-06)|d3_no_bar_without_proof(exp=2026-07-07)|d2_open_invalid|d3_high_invalid|d3_close_invalid,no_bar_without_proof,no_bar_without_proof,not_proven,14.9,13.67,12.95,False,True,0.4142304060399558,109.0,False,daily_v005_frozen,TRAIN_PRIMARY,EXCLUDED_QUALITY,D2_AND_D3_MISSING,2026-07
600783_2026-07-02,600783,鲁信创投,2026-07-03,2026-07-02,post,1.0,2026-07-06,2026-07-07,,,d2_no_bar_without_proof(exp=2026-07-06)|d3_no_bar_without_proof(exp=2026-07-07)|d2_open_invalid|d3_high_invalid|d3_close_invalid,no_bar_without_proof,no_bar_without_proof,not_proven,22.04,20.2,19.04,False,True,0.4551889566538914,34.0,False,daily_v005_frozen,TRAIN_PRIMARY,EXCLUDED_QUALITY,D2_AND_D3_MISSING,2026-07
603033_2026-07-01,603033,三维股份,2026-07-03,2026-07-01,post,2.0,2026-07-06,2026-07-07,,,d2_no_bar_without_proof(exp=2026-07-06)|d3_no_bar_without_proof(exp=2026-07-07)|d2_open_invalid|d3_high_invalid|d3_close_invalid,no_bar_without_proof,no_bar_without_proof,not_proven,10.14,10.35,9.19,False,True,0.4335545277770799,75.0,False,daily_v005_frozen,TRAIN_PRIMARY,EXCLUDED_QUALITY,D2_AND_D3_MISSING,2026-07
603379_2026-07-02,603379,三美股份,2026-07-03,2026-07-02,post,1.0,2026-07-06,2026-07-07,,,d2_no_bar_without_proof(exp=2026-07-06)|d3_no_bar_without_proof(exp=2026-07-07)|d2_open_invalid|d3_high_invalid|d3_close_invalid,no_bar_without_proof,no_bar_without_proof,not_proven,75.15,73.3,70.29,False,True,0.4381245474131986,68.0,False,daily_v005_frozen,TRAIN_PRIMARY,EXCLUDED_QUALITY,D2_AND_D3_MISSING,2026-07
