event_id,code,signal_date,expected_d2_date,expected_d3_date,primary_daily_file_path,primary_daily_file_exists,primary_daily_first_date,primary_daily_last_date,primary_daily_row_count,expected_d2_in_primary_daily,expected_d3_in_primary_daily,file_modified_time,file_size,file_sha256,cache_modified_after_v021_build,v021_build_reference_time,loader_function_path,loader_applied_override,override_file_path,override_contains_d2,override_contains_d3,audit_result
600141_2026-06-26,600141,2026-06-29,2026-06-30,2026-07-01,F:\fenqixuangu\data\cache\daily\600141_daily.pkl,True,2025-04-23,2026-06-29,286,False,False,2026-07-14 21:19:56,36187,734c45f7b45ed014995f4f66a4a801eaa315ace3935da885f1571c110bf1960a,False,2026-08-03 10:13:50,src/loaders.py: MarketDataService.daily_cache = FrameCache(config.cache_dir / 'daily') (data/cache/daily),False,,False,False,DAILY_FILE_ENDS_BEFORE_D2
000823_2026-06-29,000823,2026-06-30,2026-07-01,2026-07-02,F:\fenqixuangu\data\cache\daily\000823_daily.pkl,True,2025-04-24,2026-06-30,286,False,False,2026-07-02 23:09:12,36187,da8ef777fc27f27dba4f95b46fe2d985b19f5de8b97de65186d606c603a3b2c1,False,2026-08-03 10:13:50,src/loaders.py: MarketDataService.daily_cache = FrameCache(config.cache_dir / 'daily') (data/cache/daily),False,,False,False,DAILY_FILE_ENDS_BEFORE_D2
002965_2026-06-29,002965,2026-06-30,2026-07-01,2026-07-02,F:\fenqixuangu\data\cache\daily\002965_daily.pkl,True,2025-04-24,2026-06-30,286,False,False,2026-07-02 23:09:21,36187,07505448fa516f5d767ce439822d5322ea3065cc4af92e090eb4ecd21f7f8dfa,False,2026-08-03 10:13:50,src/loaders.py: MarketDataService.daily_cache = FrameCache(config.cache_dir / 'daily') (data/cache/daily),False,,False,False,DAILY_FILE_ENDS_BEFORE_D2
001331_2026-07-02,001331,2026-07-02,2026-07-03,2026-07-06,F:\fenqixuangu\data\cache\daily\001331_daily.pkl,True,2025-05-28,2026-08-03,260,True,True,2026-08-03 22:02:08,32989,b74aa1d8cafc1645f4eed6fd2cd52c12e35fc85a8a4a349f0bbf3fa70fa0661d,True,2026-08-03 10:13:50,src/loaders.py: MarketDataService.daily_cache = FrameCache(config.cache_dir / 'daily') (data/cache/daily),False,,False,False,CACHE_REFRESHED_EXTERNALLY_AFTER_V021_BUILD
002053_2026-07-02,002053,2026-07-02,2026-07-03,2026-07-06,F:\fenqixuangu\data\cache\daily\002053_daily.pkl,True,2025-04-28,2026-07-03,287,True,False,2026-07-05 23:29:32,36310,679825190a3330f4963e816ff32c664b7440b792a78513f00d77670815880802,False,2026-08-03 10:13:50,src/loaders.py: MarketDataService.daily_cache = FrameCache(config.cache_dir / 'daily') (data/cache/daily),False,,False,False,DAILY_FILE_ENDS_AT_D2
002180_2026-06-30,002180,2026-07-02,2026-07-03,2026-07-06,F:\fenqixuangu\data\cache\daily\002180_daily.pkl,True,2025-04-28,2026-07-03,287,True,False,2026-07-05 23:27:30,36310,ff0140465f948bf042be1171b74710b838bbb1cc3e3d345cd1259ed7683c7397,False,2026-08-03 10:13:50,src/loaders.py: MarketDataService.daily_cache = FrameCache(config.cache_dir / 'daily') (data/cache/daily),False,,False,False,DAILY_FILE_ENDS_AT_D2
002638_2026-07-01,002638,2026-07-02,2026-07-03,2026-07-06,F:\fenqixuangu\data\cache\daily\002638_daily.pkl,True,2025-04-28,2026-07-03,287,True,False,2026-07-05 23:27:54,36310,08011f50f51eab3c736983da5479335573136751ad2ba5a0f40da12ee73b8fad,False,2026-08-03 10:13:50,src/loaders.py: MarketDataService.daily_cache = FrameCache(config.cache_dir / 'daily') (data/cache/daily),False,,False,False,DAILY_FILE_ENDS_AT_D2
002738_2026-07-02,002738,2026-07-02,2026-07-03,2026-07-06,F:\fenqixuangu\data\cache\daily\002738_daily.pkl,True,2025-04-28,2026-07-03,287,True,False,2026-07-05 23:29:58,36310,ce207214b5f7922617ec654136b301720e3f1ee97f363162b70f6c45adc1822e,False,2026-08-03 10:13:50,src/loaders.py: MarketDataService.daily_cache = FrameCache(config.cache_dir / 'daily') (data/cache/daily),False,,False,False,DAILY_FILE_ENDS_AT_D2
003043_2026-07-01,003043,2026-07-02,2026-07-03,2026-07-06,F:\fenqixuangu\data\cache\daily\003043_daily.pkl,True,2025-04-28,2026-07-03,287,True,False,2026-07-05 23:28:12,36310,33b5bf984effb36e5701b828879f75f3342b77f83d65736857a82063cf068080,False,2026-08-03 10:13:50,src/loaders.py: MarketDataService.daily_cache = FrameCache(config.cache_dir / 'daily') (data/cache/daily),False,,False,False,DAILY_FILE_ENDS_AT_D2
600363_2026-07-01,600363,2026-07-02,2026-07-03,2026-07-06,F:\fenqixuangu\data\cache\daily\600363_daily.pkl,True,2025-04-28,2026-07-03,287,True,False,2026-07-05 23:28:17,36310,ba75bf4a3c9a164bdd4bff0fd5cf7760d4fbdded4770b67f80ca17e160bdd3c0,False,2026-08-03 10:13:50,src/loaders.py: MarketDataService.daily_cache = FrameCache(config.cache_dir / 'daily') (data/cache/daily),False,,False,False,DAILY_FILE_ENDS_AT_D2
