event_id,signal_date,code,candidate_count,label_available_date,stage1_score,stage1_rank,stage1_top10,closing_completion_gap,strength_x_gap,capped_pair_score,capped_pair_rank,final_capped_rank,target7,raw_repair_return,capped_opportunity_return_7,outcome_state,rank_strict_stage1,rank_strict_capped,rank_winner_protect,rank_loss_permission,rank_oracle_loss_stage1_backfill,rank_oracle_risk_oracle_backfill,rank_top10_oracle
600688_2026-06-05,2026-06-05,600688,6,2026-06-09,0.659782465301,1,True,0.166666666667,0.166666666667,0.0161778979999,1,1,0,0.00302114803625,0.00302114803625,POSITIVE_NON_TARGET,1,1,2,1,1,1,4
600255_2026-06-05,2026-06-05,600255,6,2026-06-09,0.643192287344,2,True,0.291666666667,0.233333333333,0.0151112445283,3,3,1,0.0896551724138,0.07,TARGET7,2,3,1,2,2,2,2
605162_2026-06-05,2026-06-05,605162,6,2026-06-09,0.626879956026,3,True,0.375,0.225,0.0131671159629,4,4,0,-0.0449915110357,-0.0449915110357,LOSS,3,4,4,4,4,4,5
001896_2026-06-05,2026-06-05,001896,6,2026-06-09,0.612742396022,4,True,0.833333333333,0.333333333333,0.0156028259318,2,2,1,0.0850528434826,0.07,TARGET7,4,2,3,3,3,3,1
002787_2026-06-05,2026-06-05,002787,6,2026-06-09,0.584055502965,5,True,0.375,0.075,0.00681893974354,6,6,0,0.0670498084291,0.0670498084291,POSITIVE_NON_TARGET,5,5,5,5,5,5,3
600439_2026-06-05,2026-06-05,600439,6,2026-06-09,0.579469160203,6,True,0.708333333333,0,0.00688471975286,5,5,0,-0.0113636363636,-0.0113636363636,LOSS,6,6,6,6,6,6,6
000520_2026-06-08,2026-06-08,000520,3,2026-06-10,0.591371261451,1,True,0.333333333333,0.333333333333,0.0138153171133,1,1,0,-0.0109409190372,-0.0109409190372,LOSS,1,1,1,1,2,2,2
600293_2026-06-08,2026-06-08,600293,3,2026-06-10,0.566017213282,2,True,0.166666666667,0.0833333333333,0.00638870132388,3,3,0,-0.0172839506173,-0.0172839506173,LOSS,2,3,3,2,3,3,3
003036_2026-06-08,2026-06-08,003036,3,2026-06-10,0.523107889091,3,True,0.75,0,0.00849440489664,2,2,0,0.0681933842239,0.0681933842239,POSITIVE_NON_TARGET,3,2,2,3,1,1,1
603859_2026-06-09,2026-06-09,603859,9,2026-06-11,0.626528279519,1,True,0.0555555555556,0.0555555555556,0.00924682823841,4,4,0,0.0640412922959,0.0640412922959,POSITIVE_NON_TARGET,1,4,4,1,1,1,2
603500_2026-06-09,2026-06-09,603500,9,2026-06-11,0.611437680055,2,True,0.111111111111,0.0972222222222,0.00882231132129,5,5,1,0.0936270653029,0.07,TARGET7,2,5,1,2,2,2,1
002421_2026-06-09,2026-06-09,002421,9,2026-06-11,0.592821129716,3,True,0.472222222222,0.354166666667,0.0118325001442,1,1,0,-0.142105263158,-0.142105263158,LOSS,3,1,2,3,4,4,4
003009_2026-06-09,2026-06-09,003009,9,2026-06-11,0.591826599503,4,True,0.416666666667,0.260416666667,0.00979970600998,3,3,0,-0.0131004366812,-0.0131004366812,LOSS,4,3,5,4,3,5,5
000068_2026-06-09,2026-06-09,000068,9,2026-06-11,0.581605518672,5,True,0.638888888889,0.319444444444,0.0106194053942,2,2,0,-0.0503978779841,-0.0503978779841,LOSS,5,2,3,5,5,6,6
002361_2026-06-09,2026-06-09,002361,9,2026-06-11,0.576456113378,6,True,0.5,0.1875,0.00777890131574,8,8,0,0.047323943662,0.047323943662,POSITIVE_NON_TARGET,6,6,6,6,6,3,3
002613_2026-06-09,2026-06-09,002613,9,2026-06-11,0.565011080731,7,True,0.777777777778,0.194444444444,0.00864941438168,6,6,0,-0.013698630137,-0.013698630137,LOSS,7,7,7,7,7,7,7
000517_2026-06-09,2026-06-09,000517,9,2026-06-11,0.547631865776,8,True,0.916666666667,0.114583333333,0.00802817417299,7,7,0,0.0147783251232,0.0147783251232,POSITIVE_NON_TARGET,8,8,8,8,8,8,8
000759_2026-06-09,2026-06-09,000759,9,2026-06-11,0.542700800948,9,True,0.361111111111,0,0.00245925068078,9,9,0,0.00649350649351,0.00649350649351,POSITIVE_NON_TARGET,9,9,9,9,9,9,9
603929_2026-06-10,2026-06-10,603929,7,2026-06-12,0.606701516414,1,True,0.178571428571,0.178571428571,0.0147011789162,2,2,1,0.0850540374308,0.07,TARGET7,1,2,1,1,1,1,4
603616_2026-06-10,2026-06-10,603616,7,2026-06-12,0.595411918467,2,True,0.821428571429,0.684523809524,0.0198898144097,1,1,0,0.0160583941606,0.0160583941606,POSITIVE_NON_TARGET,2,1,3,2,2,2,5
