scope,policy,date_count,universe_target7_rate,winner_capture,Rank1_mean,Rank1_median,Rank1_p25,Rank1_worst,Rank1_baseline,Rank1_excess,Rank1_positive_date_rate,Rank1_negative_date_rate,Rank1_beat_universe,Rank1_target7_precision,Rank1_dates,Rank2_mean,Rank2_median,Rank2_p25,Rank2_worst,Rank2_baseline,Rank2_excess,Rank2_positive_date_rate,Rank2_negative_date_rate,Rank2_beat_universe,Rank2_target7_precision,Rank2_dates,Rank3_mean,Rank3_median,Rank3_p25,Rank3_worst,Rank3_baseline,Rank3_excess,Rank3_positive_date_rate,Rank3_negative_date_rate,Rank3_beat_universe,Rank3_target7_precision,Rank3_dates,Top1_mean,Top1_median,Top1_p25,Top1_worst,Top1_baseline,Top1_excess,Top1_positive_date_rate,Top1_negative_date_rate,Top1_beat_universe,Top1_target7_precision,Top1_dates,Top2_mean,Top2_median,Top2_p25,Top2_worst,Top2_baseline,Top2_excess,Top2_positive_date_rate,Top2_negative_date_rate,Top2_beat_universe,Top2_target7_precision,Top2_dates,Top3_mean,Top3_median,Top3_p25,Top3_worst,Top3_baseline,Top3_excess,Top3_positive_date_rate,Top3_negative_date_rate,Top3_beat_universe,Top3_target7_precision,Top3_dates,Top3_days_le_minus_3,Top3_days_le_minus_5,selected_stock_raw_mean,selected_stock_raw_median,worst_selected_stock,worst_top3_date_raw
LOW,CAPPED_WITH_ORACLE_LOSS_PERMISSION,6,0.106216931217,0.333333333333,0.0248266710665,0.0191954907306,-0.00997873892329,-0.0125313283208,0.00619527044858,0.018631400618,0.5,0.5,0.5,0.166666666667,6,0.0365126992029,0.0599814618644,0.00054339296924,-0.0204131227217,0.00619527044858,0.0303174287543,0.666666666667,0.333333333333,0.666666666667,0.166666666667,6,-0.043206970074,0.0134665124393,-0.104869962993,-0.244557534634,0.00619527044858,-0.0494022405226,0.666666666667,0.333333333333,0.666666666667,0,6,0.0248266710665,0.0191954907306,-0.00997873892329,-0.0125313283208,0.00619527044858,0.018631400618,0.5,0.5,0.5,0.166666666667,6,0.0306696851347,0.0250848492066,0.0145880334214,-0.0141124348272,0.00619527044858,0.0244744146861,0.833333333333,0.166666666667,0.666666666667,0.166666666667,6,0.00604413339847,0.0162221900226,0.00131471683196,-0.0676878130753,0.00619527044858,-0.000151137050106,0.666666666667,0.333333333333,0.5,0.111111111111,6,1,1,,,,
LOW,STAGE1_WITH_ORACLE_LOSS_VETO_STAGE1_BACKFILL,6,0.106216931217,0.458333333333,0.0612801300486,0.064989396148,0.0565293908706,0.0454831800428,0.00619527044858,0.0550848596,1,0,1,0.166666666667,6,0.0387728893466,0.0483711588084,0.0126099463223,-0.0109409190372,0.00619527044858,0.032577618898,0.833333333333,0.166666666667,0.833333333333,0.333333333333,6,-0.0213792646881,-0.0151921936493,-0.0437149270483,-0.0651340996169,0.00619527044858,-0.0275745351367,0.166666666667,0.666666666667,0.333333333333,0,6,0.0612801300486,0.064989396148,0.0565293908706,0.0454831800428,0.00619527044858,0.0550848596,1,0,1,0.166666666667,6,0.0500265096976,0.0498601441402,0.0377847136272,0.0286262325934,0.00619527044858,0.043831239249,1,0,1,0.25,6,0.0262245849023,0.0280404148034,0.0169885783522,0.00254644596105,0.00619527044858,0.0200293144538,1,0,0.833333333333,0.166666666667,6,0,0,,,,
LOW,STAGE1_WITH_ORACLE_RISK_AND_ORACLE_BACKFILL,6,0.106216931217,0.791666666667,0.0612801300486,0.064989396148,0.0565293908706,0.0454831800428,0.00619527044858,0.0550848596,1,0,1,0.166666666667,6,0.0454508938817,0.0684051724138,0.0218295393319,-0.0109409190372,0.00619527044858,0.0392556234332,0.833333333333,0.166666666667,0.833333333333,0.5,6,0.0442035599265,0.0574488855542,0.0326752439123,-0.0172839506173,0.00619527044858,0.0380082894779,0.833333333333,0.166666666667,0.833333333333,0.166666666667,6,0.0612801300486,0.064989396148,0.0565293908706,0.0454831800428,0.00619527044858,0.0550848596,1,0,1,0.166666666667,6,0.0533655119652,0.0598771509429,0.0417254365679,0.0286262325934,0.00619527044858,0.0471702415166,1,0,1,0.333333333333,6,0.0503115279523,0.0607370405745,0.0402552150371,0.0133228381898,0.00619527044858,0.0441162575037,1,0,0.833333333333,0.277777777778,6,0,0,,,,
LOW,TOP10_ORACLE,6,0.106216931217,0.791666666667,0.0690218140373,0.07,0.0686450381679,0.0659375,0.00619527044858,0.0628265435887,1,0,1,0.666666666667,6,0.0480469566288,0.0658075598712,0.0368545810708,-0.0109409190372,0.00619527044858,0.0418516861802,0.833333333333,0.166666666667,0.833333333333,0.166666666667,6,0.0338658131907,0.0464035618524,0.0164977481357,-0.0172839506173,0.00619527044858,0.0276705427421,0.833333333333,0.166666666667,0.833333333333,0,6,0.0690218140373,0.07,0.0686450381679,0.0659375,0.00619527044858,0.0628265435887,1,0,1,0.666666666667,6,0.0585343853331,0.0679037799356,0.0519038530354,0.0286262325934,0.00619527044858,0.0523391148845,1,0,1,0.416666666667,6,0.0503115279523,0.0607370405745,0.0402552150371,0.0133228381898,0.00619527044858,0.0441162575037,1,0,0.833333333333,0.277777777778,6,0,0,,,,
LOW,UNIVERSE,6,0.106216931217,,0.00619527044858,,,,0.00619527044858,0,,,,0.106216931217,6,0.00619527044858,,,,0.00619527044858,0,,,,0.106216931217,6,0.00619527044858,,,,0.00619527044858,0,,,,0.106216931217,6,0.00619527044858,,,,0.00619527044858,0,,,,0.106216931217,6,0.00619527044858,,,,0.00619527044858,0,,,,0.106216931217,6,0.00619527044858,,,,0.00619527044858,0,,,,0.106216931217,6,,,,,,
MID,STRICT_STAGE1,5,0.32126984127,0.5,0.0477295561575,0.0516980613227,0.0439285714286,0.00302114803625,0.0263639550781,0.0213656010794,1,0,0.8,0.4,5,0.0437717640173,0.07,0.0456747404844,-0.036815920398,0.0263639550781,0.0174078089392,0.8,0.2,0.8,0.6,5,-0.00466875157765,-0.0145310435931,-0.0225029609159,-0.0449915110357,0.0263639550781,-0.0310327066557,0.2,0.8,0.2,0.2,5,0.0477295561575,0.0516980613227,0.0439285714286,0.00302114803625,0.0263639550781,0.0213656010794,1,0,0.8,0.4,5,0.0457506600874,0.0569642857143,0.0365105740181,0.00744107046235,0.0263639550781,0.0193867050093,1,0,0.8,0.5,5,0.0289441895324,0.0331325092785,0.00934321233353,-0.00254027333041,0.0263639550781,0.00258023445432,0.8,0.2,0.6,0.4,5,0,0,,,,
MID,STRICT_CAPPED,5,0.32126984127,0.533333333333,0.0397493619032,0.0439285714286,0.0117970900511,0.00302114803625,0.0263639550781,0.0133854068251,1,0,0.6,0.4,5,0.0397897949864,0.07,0.0257648953301,-0.036815920398,0.0263639550781,0.0134258399084,0.8,0.2,0.6,0.6,5,-0.0102304596604,-0.0225029609159,-0.0459548706659,-0.12269446672,0.0263639550781,-0.0365944147385,0.4,0.6,0.4,0.4,5,0.0397493619032,0.0439285714286,0.0117970900511,0.00302114803625,0.0263639550781,0.0133854068251,1,0,0.6,0.4,5,0.0397695784448,0.0365105740181,0.0187809926906,0.016592039801,0.0263639550781,0.0134056233667,1,0,0.6,0.5,5,0.0231028990764,0.00576851109329,0.00356037289536,-0.00279762842823,0.0263639550781,-0.00326105600165,0.8,0.2,0.4,0.466666666667,5,0,0,,,,
MID,CAPPED_WITH_ORACLE_WINNER_PROTECTION,5,0.32126984127,0.8,0.07,0.07,0.07,0.07,0.0263639550781,0.0436360449219,1,0,1,1,5,0.0300267598134,0.0439285714286,0.00302114803625,-0.036815920398,0.0263639550781,0.0036628047353,0.8,0.2,0.6,0.4,5,0.039858825827,0.07,0.0117970900511,-0.0225029609159,0.0263639550781,0.013494870749,0.8,0.2,0.6,0.6,5,0.07,0.07,0.07,0.07,0.0263639550781,0.0436360449219,1,0,1,1,5,0.0500133799067,0.0569642857143,0.0365105740181,0.016592039801,0.0263639550781,0.0236494248286,1,0,0.8,0.7,5,0.0466285285468,0.050599030017,0.0476737160121,0.00356037289536,0.0263639550781,0.0202645734687,1,0,0.8,0.666666666667,5,0,0,,,,
MID,CAPPED_WITH_ORACLE_LOSS_PERMISSION,5,0.32126984127,0.733333333333,0.0477295561575,0.0516980613227,0.0439285714286,0.00302114803625,0.0263639550781,0.0213656010794,1,0,0.8,0.4,5,0.0437717640173,0.07,0.0456747404844,-0.036815920398,0.0263639550781,0.0174078089392,0.8,0.2,0.8,0.6,5,0.0514994078168,0.07,0.07,-0.0225029609159,0.0263639550781,0.0251354527388,0.8,0.2,0.8,0.8,5,0.0477295561575,0.0516980613227,0.0439285714286,0.00302114803625,0.0263639550781,0.0213656010794,1,0,0.8,0.4,5,0.0457506600874,0.0569642857143,0.0365105740181,0.00744107046235,0.0263639550781,0.0193867050093,1,0,0.8,0.5,5,0.0476669093305,0.0613095238095,0.0476737160121,-0.00254027333041,0.0263639550781,0.0213029542525,0.8,0.2,0.8,0.6,5,0,0,,,,
MID,STAGE1_WITH_ORACLE_LOSS_VETO_STAGE1_BACKFILL,5,0.32126984127,0.6,0.0477295561575,0.0516980613227,0.0439285714286,0.00302114803625,0.0263639550781,0.0213656010794,1,0,0.8,0.4,5,0.0624243123274,0.07,0.0564468211527,0.0456747404844,0.0263639550781,0.0360603572494,1,0,1,0.6,5,-0.00563538226465,-0.0187265917603,-0.0267558528428,-0.12269446672,0.0263639550781,-0.0319993373427,0.4,0.6,0.4,0.4,5,0.0477295561575,0.0516980613227,0.0439285714286,0.00302114803625,0.0263639550781,0.0213656010794,1,0,0.8,0.4,5,0.0550769342425,0.0569642857143,0.0540724412377,0.0365105740181,0.0263639550781,0.0287129791644,1,0,1,0.5,5,0.0348394954068,0.0317339932228,0.0271296765442,0.00576851109329,0.0263639550781,0.0084755403287,1,0,0.8,0.466666666667,5,0,0,,,,
MID,STAGE1_WITH_ORACLE_RISK_AND_ORACLE_BACKFILL,5,0.32126984127,0.866666666667,0.0477295561575,0.0516980613227,0.0439285714286,0.00302114803625,0.0263639550781,0.0213656010794,1,0,0.8,0.4,5,0.0651349480969,0.07,0.07,0.0456747404844,0.0263639550781,0.0387709930188,1,0,1,0.8,5,0.07,0.07,0.07,0.07,0.0263639550781,0.0436360449219,1,0,1,1,5,0.0477295561575,0.0516980613227,0.0439285714286,0.00302114803625,0.0263639550781,0.0213656010794,1,0,0.8,0.4,5,0.0564322521272,0.0578373702422,0.0569642857143,0.0365105740181,0.0263639550781,0.0300682970491,1,0,1,0.6,5,0.0609548347515,0.0618915801615,0.0613095238095,0.0476737160121,0.0263639550781,0.0345908796734,1,0,1,0.733333333333,5,0,0,,,,
MID,TOP10_ORACLE,5,0.32126984127,0.933333333333,0.07,0.07,0.07,0.07,0.0263639550781,0.0436360449219,1,0,1,1,5,0.07,0.07,0.07,0.07,0.0263639550781,0.0436360449219,1,0,1,1,5,0.0678271285052,0.0673719376392,0.0670498084291,0.0647138964578,0.0263639550781,0.0414631734272,1,0,1,0.4,5,0.07,0.07,0.07,0.07,0.0263639550781,0.0436360449219,1,0,1,1,5,0.07,0.07,0.07,0.07,0.0263639550781,0.0436360449219,1,0,1,1,5,0.0692757095017,0.0691239792131,0.0690166028097,0.0682379654859,0.0263639550781,0.0429117544237,1,0,1,0.8,5,0,0,,,,
MID,UNIVERSE,5,0.32126984127,,0.0263639550781,,,,0.0263639550781,0,,,,0.32126984127,5,0.0263639550781,,,,0.0263639550781,0,,,,0.32126984127,5,0.0263639550781,,,,0.0263639550781,0,,,,0.32126984127,5,0.0263639550781,,,,0.0263639550781,0,,,,0.32126984127,5,0.0263639550781,,,,0.0263639550781,0,,,,0.32126984127,5,0.0263639550781,,,,0.0263639550781,0,,,,0.32126984127,5,,,,,,
HIGH,STRICT_STAGE1,6,0.530345471522,0.555555555556,0.0385736709797,0.0453040065604,0.0311213235294,-0.0212765957447,0.0477282204274,-0.00915454944768,0.833333333333,0.166666666667,0.5,0.166666666667,6,0.0307572426265,0.0249952189711,0.0173985479631,-0.0215053763441,0.0477282204274,-0.0169709778009,0.833333333333,0.166666666667,0.333333333333,0.333333333333,6,0.0596259124088,0.07,0.07,0.00775547445255,0.0477282204274,0.0118976919814,1,0,0.833333333333,0.833333333333,6,0.0385736709797,0.0453040065604,0.0311213235294,-0.0212765957447,0.0477282204274,-0.00915454944768,0.833333333333,0.166666666667,0.5,0.166666666667,6,0.0346654568031,0.0372348204346,0.0263739551672,0.0164263183884,0.0477282204274,-0.0130627636243,1,0,0,0.25,6,0.0429856086716,0.0422574721378,0.0366854268109,0.0342842122589,0.0477282204274,-0.00474261175574,1,0,0.333333333333,0.444444444444,6,0,0,,,,
HIGH,STRICT_CAPPED,6,0.530345471522,0.555555555556,0.0380411285407,0.049474421898,0.0211062956204,-0.0212765957447,0.0477282204274,-0.00968709188667,0.833333333333,0.166666666667,0.5,0.166666666667,6,0.0547491039427,0.07,0.07,-0.0215053763441,0.0477282204274,0.00702088351528,0.833333333333,0.166666666667,0.833333333333,0.833333333333,6,0.043962837082,0.0414647208462,0.023207114171,0.0194285714286,0.0477282204274,-0.00376538334542,1,0,0.5,0.333333333333,6,0.0380411285407,0.049474421898,0.0211062956204,-0.0212765957447,0.0477282204274,-0.00968709188667,0.833333333333,0.166666666667,0.5,0.166666666667,6,0.0463951162417,0.0480770985401,0.0290285758658,0.024247311828,0.0477282204274,-0.00133310418569,1,0,0.5,0.5,6,0.0455843565218,0.0422574721378,0.0362653584186,0.0342842122589,0.0477282204274,-0.0021438639056,1,0,0.333333333333,0.444444444444,6,0,0,,,,
HIGH,CAPPED_WITH_ORACLE_WINNER_PROTECTION,6,0.530345471522,0.722222222222,0.07,0.07,0.07,0.07,0.0477282204274,0.0222717795726,1,0,1,1,6,0.0622441621381,0.0672580645161,0.0631531651051,0.03625,0.0477282204274,0.0145159417107,1,0,0.833333333333,0.5,6,0.0236413084405,0.022314911366,-0.0119428482684,-0.0215053763441,0.0477282204274,-0.0240869119868,0.666666666667,0.333333333333,0.333333333333,0.333333333333,6,0.07,0.07,0.07,0.07,0.0477282204274,0.0222717795726,1,0,1,1,6,0.066122081069,0.0686290322581,0.0665765825526,0.053125,0.0477282204274,0.0183938606417,1,0,1,0.75,6,0.0519618235262,0.0484799704553,0.0409159701114,0.0394982078853,0.0477282204274,0.00423360309882,1,0,0.5,0.611111111111,6,0,0,,,,
HIGH,CAPPED_WITH_ORACLE_LOSS_PERMISSION,6,0.530345471522,0.555555555556,0.0385736709797,0.0453040065604,0.0311213235294,-0.0212765957447,0.0477282204274,-0.00915454944768,0.833333333333,0.166666666667,0.5,0.166666666667,6,0.0307572426265,0.0249952189711,0.0173985479631,-0.0215053763441,0.0477282204274,-0.0169709778009,0.833333333333,0.166666666667,0.333333333333,0.333333333333,6,0.0596259124088,0.07,0.07,0.00775547445255,0.0477282204274,0.0118976919814,1,0,0.833333333333,0.833333333333,6,0.0385736709797,0.0453040065604,0.0311213235294,-0.0212765957447,0.0477282204274,-0.00915454944768,0.833333333333,0.166666666667,0.5,0.166666666667,6,0.0346654568031,0.0372348204346,0.0263739551672,0.0164263183884,0.0477282204274,-0.0130627636243,1,0,0,0.25,6,0.0429856086716,0.0422574721378,0.0366854268109,0.0342842122589,0.0477282204274,-0.00474261175574,1,0,0.333333333333,0.444444444444,6,0,0,,,,
